scenario,year,species,region,commodity,sector,subsector,unit,value
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Solar,million t,4.26E-05
tfp1,2017,energy,Australia_Oceania,Coal,Power,Biomass,million toe,7.84E-06
tfp1,2017,energy,Australia_Oceania,Oil,Power,Biomass,million toe,3.01E-06
tfp1,2017,energy,Australia_Oceania,Gas,Power,Biomass,million toe,5.01E-06
tfp1,2017,energy,Australia_Oceania,Petro,Power,Biomass,million toe,0.166738376
tfp1,2017,energy,Australia_Oceania,Power,Power,Biomass,million toe,0.013613104
tfp1,2017,CO2,Australia_Oceania,Coal,Power,Biomass,million t,3.18E-05
tfp1,2017,CO2,Australia_Oceania,Oil,Power,Biomass,million t,9.23E-06
tfp1,2017,CO2,Australia_Oceania,Gas,Power,Biomass,million t,1.18E-05
tfp1,2017,CO2,Australia_Oceania,Petro,Power,Biomass,million t,0.569203148
tfp1,2017,energy,Australia_Oceania,Coal,Household,,million toe,0.032250508
tfp1,2017,energy,Australia_Oceania,Oil,Household,,million toe,4.18E-05
tfp1,2017,energy,Australia_Oceania,Gas,Household,,million toe,7.249905721
tfp1,2017,energy,Australia_Oceania,Petro,Household,,million toe,13.5287994
tfp1,2017,energy,Australia_Oceania,Power,Household,,million toe,13.80530836
tfp1,2017,CO2,Australia_Oceania,Coal,Household,,million t,0.131859439
tfp1,2017,CO2,Australia_Oceania,Oil,Household,,million t,1.87E-06
tfp1,2017,CO2,Australia_Oceania,Gas,Household,,million t,17.02853924
tfp1,2017,CO2,Australia_Oceania,Petro,Household,,million t,39.92012557
tfp1,2017,energy,China,Coal,Rice,,million toe,1.063041955
tfp1,2017,energy,China,Oil,Rice,,million toe,8.41E-06
tfp1,2017,energy,China,Gas,Rice,,million toe,0.006058218
tfp1,2017,energy,China,Petro,Rice,,million toe,1.489677757
tfp1,2017,energy,China,Power,Rice,,million toe,1.360339632
tfp1,2017,CO2,China,Coal,Rice,,million t,4.210404058
tfp1,2017,CO2,China,Oil,Rice,,million t,2.58E-05
tfp1,2017,CO2,China,Gas,Rice,,million t,0.014229511
tfp1,2017,CO2,China,Petro,Rice,,million t,4.107904863
tfp1,2017,energy,China,Coal,Crops nec,,million toe,7.704736444
tfp1,2017,energy,China,Oil,Crops nec,,million toe,6.80E-05
tfp1,2017,energy,China,Gas,Crops nec,,million toe,0.086902232
tfp1,2017,energy,China,Petro,Crops nec,,million toe,9.489565052
tfp1,2017,energy,China,Power,Crops nec,,million toe,8.573652277
tfp1,2017,CO2,China,Coal,Crops nec,,million t,30.51624929
tfp1,2017,CO2,China,Oil,Crops nec,,million t,0.000208751
tfp1,2017,CO2,China,Gas,Crops nec,,million t,0.204115498
tfp1,2017,CO2,China,Petro,Crops nec,,million t,26.11220274
tfp1,2017,energy,China,Coal,"Bovine cattle, sheep and goats, horses",,million toe,0.210076383
tfp1,2017,energy,China,Oil,"Bovine cattle, sheep and goats, horses",,million toe,4.78E-06
tfp1,2017,energy,China,Gas,"Bovine cattle, sheep and goats, horses",,million toe,0.006971752
tfp1,2017,energy,China,Petro,"Bovine cattle, sheep and goats, horses",,million toe,0.611160406
tfp1,2017,energy,China,Power,"Bovine cattle, sheep and goats, horses",,million toe,0.120216775
tfp1,2017,CO2,China,Coal,"Bovine cattle, sheep and goats, horses",,million t,0.832052256
tfp1,2017,CO2,China,Oil,"Bovine cattle, sheep and goats, horses",,million t,1.47E-05
tfp1,2017,CO2,China,Gas,"Bovine cattle, sheep and goats, horses",,million t,0.016375214
tfp1,2017,CO2,China,Petro,"Bovine cattle, sheep and goats, horses",,million t,1.681096498
tfp1,2017,energy,China,Coal,Animal products nec,,million toe,3.113811037
tfp1,2017,energy,China,Oil,Animal products nec,,million toe,3.04E-05
tfp1,2017,energy,China,Gas,Animal products nec,,million toe,0.043342824
tfp1,2017,energy,China,Petro,Animal products nec,,million toe,8.019792531
tfp1,2017,energy,China,Power,Animal products nec,,million toe,1.597746234
tfp1,2017,CO2,China,Coal,Animal products nec,,million t,12.33291128
tfp1,2017,CO2,China,Oil,Animal products nec,,million t,9.33E-05
tfp1,2017,CO2,China,Gas,Animal products nec,,million t,0.101803397
tfp1,2017,CO2,China,Petro,Animal products nec,,million t,22.1958002
tfp1,2017,energy,China,Coal,Forestry,,million toe,0.862905734
tfp1,2017,energy,China,Oil,Forestry,,million toe,7.96E-06
tfp1,2017,energy,China,Gas,Forestry,,million toe,0.008556605
tfp1,2017,energy,China,Petro,Forestry,,million toe,1.238120327
tfp1,2017,energy,China,Power,Forestry,,million toe,0.187496628
tfp1,2017,CO2,China,Coal,Forestry,,million t,3.417721974
tfp1,2017,CO2,China,Oil,Forestry,,million t,2.44E-05
tfp1,2017,CO2,China,Gas,Forestry,,million t,0.020097708
tfp1,2017,CO2,China,Petro,Forestry,,million t,3.406432448
tfp1,2017,energy,China,Coal,Coal,,million toe,20.62402464
tfp1,2017,energy,China,Oil,Coal,,million toe,0.001438291
tfp1,2017,energy,China,Gas,Coal,,million toe,0.002381683
tfp1,2017,energy,China,Petro,Coal,,million toe,2.181556129
tfp1,2017,energy,China,Power,Coal,,million toe,7.991035437
tfp1,2017,CO2,China,Coal,Coal,,million t,81.69170346
tfp1,2017,CO2,China,Oil,Coal,,million t,0.0064253
tfp1,2017,CO2,China,Gas,Coal,,million t,0.005548293
tfp1,2017,CO2,China,Petro,Coal,,million t,7.27453097
tfp1,2017,energy,China,Coal,Oil,,million toe,0.000544047
tfp1,2017,energy,China,Oil,Oil,,million toe,2.869741594
tfp1,2017,energy,China,Gas,Oil,,million toe,0.022057768
tfp1,2017,energy,China,Petro,Oil,,million toe,0.454486034
tfp1,2017,energy,China,Power,Oil,,million toe,2.717136425
tfp1,2017,CO2,China,Coal,Oil,,million t,0.001763238
tfp1,2017,CO2,China,Oil,Oil,,million t,8.811026446
tfp1,2017,CO2,China,Gas,Oil,,million t,0.05925885
tfp1,2017,CO2,China,Petro,Oil,,million t,1.424122719
tfp1,2017,energy,China,Coal,Gas,,million toe,9.418337136
tfp1,2017,energy,China,Oil,Gas,,million toe,0.12098285
tfp1,2017,energy,China,Gas,Gas,,million toe,5.333423885
tfp1,2017,energy,China,Petro,Gas,,million toe,1.411980995
tfp1,2017,energy,China,Power,Gas,,million toe,2.615815044
tfp1,2017,CO2,China,Coal,Gas,,million t,0.014284705
tfp1,2017,CO2,China,Oil,Gas,,million t,0
tfp1,2017,CO2,China,Gas,Gas,,million t,10.29526451
tfp1,2017,CO2,China,Petro,Gas,,million t,4.001765659
tfp1,2017,energy,China,Coal,Mine,,million toe,4.494901446
tfp1,2017,energy,China,Oil,Mine,,million toe,0.013104127
tfp1,2017,energy,China,Gas,Mine,,million toe,0.679097469
tfp1,2017,energy,China,Petro,Mine,,million toe,4.734410075
tfp1,2017,energy,China,Power,Mine,,million toe,12.58856949
tfp1,2017,CO2,China,Coal,Mine,,million t,16.31191665
tfp1,2017,CO2,China,Oil,Mine,,million t,0
tfp1,2017,CO2,China,Gas,Mine,,million t,1.61582855
tfp1,2017,CO2,China,Petro,Mine,,million t,14.85854243
tfp1,2017,energy,China,Coal,Manufac,,million toe,362.1894381
tfp1,2017,energy,China,Oil,Manufac,,million toe,1.148991231
tfp1,2017,energy,China,Gas,Manufac,,million toe,42.29913617
tfp1,2017,energy,China,Petro,Manufac,,million toe,309.5944253
tfp1,2017,energy,China,Power,Manufac,,million toe,389.1228979
tfp1,2017,CO2,China,Coal,Manufac,,million t,1382.18528
tfp1,2017,CO2,China,Oil,Manufac,,million t,3.34714249
tfp1,2017,CO2,China,Gas,Manufac,,million t,87.04734942
tfp1,2017,CO2,China,Petro,Manufac,,million t,1188.973232
tfp1,2017,energy,China,Coal,Petro,,million toe,391.1546859
tfp1,2017,energy,China,Oil,Petro,,million toe,603.1968805
tfp1,2017,energy,China,Gas,Petro,,million toe,8.175443548
tfp1,2017,energy,China,Petro,Petro,,million toe,232.7245162
tfp1,2017,energy,China,Power,Petro,,million toe,18.99493531
tfp1,2017,CO2,China,Coal,Petro,,million t,51.50196226
tfp1,2017,CO2,China,Oil,Petro,,million t,6.79E-08
tfp1,2017,CO2,China,Gas,Petro,,million t,18.9296265
tfp1,2017,CO2,China,Petro,Petro,,million t,107.6273232
tfp1,2017,energy,China,Coal,WatWaste,,million toe,0.076714849
tfp1,2017,energy,China,Oil,WatWaste,,million toe,0.010873151
tfp1,2017,energy,China,Gas,WatWaste,,million toe,0.045783911
tfp1,2017,energy,China,Petro,WatWaste,,million toe,0.045737804
tfp1,2017,energy,China,Power,WatWaste,,million toe,5.794096817
tfp1,2017,CO2,China,Coal,WatWaste,,million t,0.30278407
tfp1,2017,CO2,China,Oil,WatWaste,,million t,0.033383201
tfp1,2017,CO2,China,Gas,WatWaste,,million t,0.107381238
tfp1,2017,CO2,China,Petro,WatWaste,,million t,0.117820803
tfp1,2017,energy,China,Coal,OthServ,,million toe,40.17781764
tfp1,2017,energy,China,Oil,OthServ,,million toe,0.051609632
tfp1,2017,energy,China,Gas,OthServ,,million toe,20.17646909
tfp1,2017,energy,China,Petro,OthServ,,million toe,37.96124672
tfp1,2017,energy,China,Power,OthServ,,million toe,106.7656331
tfp1,2017,CO2,China,Coal,OthServ,,million t,157.4753421
tfp1,2017,CO2,China,Oil,OthServ,,million t,0.146761767
tfp1,2017,CO2,China,Gas,OthServ,,million t,47.28070519
tfp1,2017,CO2,China,Petro,OthServ,,million t,89.23748446
tfp1,2017,energy,China,Coal,Transport,,million toe,0.759021966
tfp1,2017,energy,China,Oil,Transport,,million toe,0.002808556
tfp1,2017,energy,China,Gas,Transport,,million toe,40.60221913
tfp1,2017,energy,China,Petro,Transport,,million toe,259.752984
tfp1,2017,energy,China,Power,Transport,,million toe,14.64033899
tfp1,2017,CO2,China,Coal,Transport,,million t,3.006904454
tfp1,2017,CO2,China,Oil,Transport,,million t,0.008623165
tfp1,2017,CO2,China,Gas,Transport,,million t,95.36050168
tfp1,2017,CO2,China,Petro,Transport,,million t,785.358667
tfp1,2017,energy,China,Coal,Power,TnD,million toe,1.93E-05
tfp1,2017,energy,China,Oil,Power,TnD,million toe,6.20E-06
tfp1,2017,energy,China,Gas,Power,TnD,million toe,7.13E-06
tfp1,2017,energy,China,Petro,Power,TnD,million toe,0.335222168
tfp1,2017,energy,China,Power,Power,TnD,million toe,12.79027346
tfp1,2017,CO2,China,Coal,Power,TnD,million t,7.52E-05
tfp1,2017,CO2,China,Oil,Power,TnD,million t,1.90E-05
tfp1,2017,CO2,China,Gas,Power,TnD,million t,1.67E-05
tfp1,2017,CO2,China,Petro,Power,TnD,million t,1.726079776
tfp1,2017,energy,China,Coal,Power,Coal_Power,million toe,1143.224751
tfp1,2017,energy,China,Oil,Power,Coal_Power,million toe,6.20E-06
tfp1,2017,energy,China,Gas,Power,Coal_Power,million toe,7.12E-06
tfp1,2017,energy,China,Petro,Power,Coal_Power,million toe,21.65914905
tfp1,2017,energy,China,Power,Power,Coal_Power,million toe,24.60465772
tfp1,2017,CO2,China,Coal,Power,Coal_Power,million t,4443.594679
tfp1,2017,CO2,China,Oil,Power,Coal_Power,million t,1.90E-05
tfp1,2017,CO2,China,Gas,Power,Coal_Power,million t,1.67E-05
tfp1,2017,CO2,China,Petro,Power,Coal_Power,million t,111.5243047
tfp1,2017,energy,China,Coal,Power,Oil_Power,million toe,3.05E-06
