scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Coal_Power,,million toe,29.969193237431604
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Coal_Power,,1000 USD/toe,0.9698681458209759
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Oil_Power,,million toe,7.3017924540418635
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Oil_Power,,1000 USD/toe,0.5542078314072708
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Gas_Power,,million toe,54.35269325362858
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Gas_Power,,1000 USD/toe,0.6686894286592271
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Nuclear,,million toe,4.0363283123032644e-7
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Nuclear,,1000 USD/toe,9.843024738149663e-5
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Hydro,,million toe,4.806598940745203
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Hydro,,1000 USD/toe,1.3185112684070555
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Wind,,million toe,0.08596610302155007
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Wind,,1000 USD/toe,1.5121617914712686
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Solar,,million toe,0.03697845351629109
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Solar,,1000 USD/toe,3.870544031698227
tfp0,2017,electicity generation by technology,Southeast Asia,,,Power,Biomass,,million toe,0.4153721586746335
tfp0,2017,electicity cost by technology,Southeast Asia,,,Power,Biomass,,1000 USD/toe,2.215105884253135
tfp0,2017,electicity cost of TnD,"Central, Western and South Asia",,,Power,TnD,,1000 USD/toe,0.3125371549709239
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Coal_Power,,million toe,46.741468642104586
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Coal_Power,,1000 USD/toe,0.6584343531447717
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Oil_Power,,million toe,17.83646355519803
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Oil_Power,,1000 USD/toe,0.9849041204731457
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Gas_Power,,million toe,108.88099593099624
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Gas_Power,,1000 USD/toe,0.8842717175618305
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Nuclear,,million toe,0.4928018485145074
tfp0,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Nuclear,,1000 USD/toe,1.8704913559137846
tfp0,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Hydro,,million toe,19.092851915315144
