scenario,year,species,region,commodity,sector,subsector,unit,value
tfp2,2017,CO2,Australia_Oceania,Oil,OthServ,,million t,0.0663960878373921
tfp2,2017,CO2,Australia_Oceania,Gas,OthServ,,million t,3.906032343179212
tfp2,2017,CO2,Australia_Oceania,Petro,OthServ,,million t,6.982069216144151
tfp2,2017,energy,Australia_Oceania,Coal,Transport,,million toe,0.00288024898330613
tfp2,2017,energy,Australia_Oceania,Oil,Transport,,million toe,0.0004618388706023516
tfp2,2017,energy,Australia_Oceania,Gas,Transport,,million toe,0.4361243626083932
tfp2,2017,energy,Australia_Oceania,Petro,Transport,,million toe,34.65643377353201
tfp2,2017,energy,Australia_Oceania,Power,Transport,,million toe,0.772464607508574
tfp2,2017,CO2,Australia_Oceania,Coal,Transport,,million t,0.012010823322871105
tfp2,2017,CO2,Australia_Oceania,Oil,Transport,,million t,0.0014179929618370645
tfp2,2017,CO2,Australia_Oceania,Gas,Transport,,million t,1.024346192884769
tfp2,2017,CO2,Australia_Oceania,Petro,Transport,,million t,104.46216935806765
tfp2,2017,energy,Australia_Oceania,Coal,Power,TnD,million toe,1.1887356364990685e-5
tfp2,2017,energy,Australia_Oceania,Oil,Power,TnD,million toe,4.5700187933078645e-6
tfp2,2017,energy,Australia_Oceania,Gas,Power,TnD,million toe,7.602608438755049e-6
tfp2,2017,energy,Australia_Oceania,Petro,Power,TnD,million toe,0.3617044941140092
tfp2,2017,energy,Australia_Oceania,Power,Power,TnD,million toe,1.1958928041950643
tfp2,2017,CO2,Australia_Oceania,Coal,Power,TnD,million t,4.82508631546532e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Power,TnD,million t,1.4010429931060547e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,TnD,million t,1.7856969157243834e-5
tfp2,2017,CO2,Australia_Oceania,Petro,Power,TnD,million t,1.2347687502986757
tfp2,2017,energy,Australia_Oceania,Coal,Power,Coal_Power,million toe,29.95074500046937
tfp2,2017,energy,Australia_Oceania,Oil,Power,Coal_Power,million toe,3.601026762194786e-6
tfp2,2017,energy,Australia_Oceania,Gas,Power,Coal_Power,million toe,5.990609161287219e-6
tfp2,2017,energy,Australia_Oceania,Petro,Power,Coal_Power,million toe,3.1619880284539056e-6
tfp2,2017,energy,Australia_Oceania,Power,Power,Coal_Power,million toe,0.061392246145743436
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Coal_Power,million t,121.57028476521943
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Coal_Power,million t,1.103976491420199e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Coal_Power,million t,1.4070713214808886e-5
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Coal_Power,million t,1.0794236925136906e-5
tfp2,2017,energy,Australia_Oceania,Coal,Power,Oil_Power,million toe,2.6304591298918663e-6
tfp2,2017,energy,Australia_Oceania,Oil,Power,Oil_Power,million toe,0.004434721778859254
tfp2,2017,energy,Australia_Oceania,Gas,Power,Oil_Power,million toe,1.6823211288266808e-6
tfp2,2017,energy,Australia_Oceania,Petro,Power,Oil_Power,million toe,0.5718715668635361
tfp2,2017,energy,Australia_Oceania,Power,Power,Oil_Power,million toe,0.0034193695186587976
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Oil_Power,million t,1.067705212271728e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Oil_Power,million t,0.013595646223039534
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Oil_Power,million t,3.951427559638597e-6
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Oil_Power,million t,1.9522266143722902
tfp2,2017,energy,Australia_Oceania,Coal,Power,Gas_Power,million toe,9.812108094280644e-6
tfp2,2017,energy,Australia_Oceania,Oil,Power,Gas_Power,million toe,3.772202751899739e-6
tfp2,2017,energy,Australia_Oceania,Gas,Power,Gas_Power,million toe,11.066590935792384
tfp2,2017,energy,Australia_Oceania,Petro,Power,Gas_Power,million toe,3.31229416777177e-6
tfp2,2017,energy,Australia_Oceania,Power,Power,Gas_Power,million toe,0.03700190520243146
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Gas_Power,million t,3.9827415817206497e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Gas_Power,million t,1.1564543764817019e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Gas_Power,million t,25.99315414021756
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Gas_Power,million t,1.130734452216123e-5
tfp2,2017,energy,Australia_Oceania,Coal,Power,Nuclear,million toe,1.8850545551871197e-11
tfp2,2017,energy,Australia_Oceania,Oil,Power,Nuclear,million toe,7.24697273234688e-12
tfp2,2017,energy,Australia_Oceania,Gas,Power,Nuclear,million toe,1.205594518136197e-11
tfp2,2017,energy,Australia_Oceania,Petro,Power,Nuclear,million toe,6.363418695720467e-12
tfp2,2017,energy,Australia_Oceania,Power,Power,Nuclear,million toe,1.95087145820509e-12
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Nuclear,million t,7.651449707460725e-11
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Nuclear,million t,2.2217239856329066e-11
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Nuclear,million t,2.831694450651681e-11
tfp2,2017,CO2,Australia_Oceania,Petro,Power,Nuclear,million t,2.1723121162175424e-11
tfp2,2017,energy,Australia_Oceania,Coal,Power,Hydro,million toe,2.1601704953306066e-5
tfp2,2017,energy,Australia_Oceania,Oil,Power,Hydro,million toe,8.304638522896477e-6
tfp2,2017,energy,Australia_Oceania,Gas,Power,Hydro,million toe,1.3815460673255426e-5
tfp2,2017,energy,Australia_Oceania,Petro,Power,Hydro,million toe,7.292133417534256e-6
tfp2,2017,energy,Australia_Oceania,Power,Power,Hydro,million toe,0.16731034379089502
tfp2,2017,CO2,Australia_Oceania,Coal,Power,Hydro,million t,8.768147244906643e-5
tfp2,2017,CO2,Australia_Oceania,Oil,Power,Hydro,million t,2.5459754410246053e-5
tfp2,2017,CO2,Australia_Oceania,Gas,Power,Hydro,million t,3.244968580492034e-5
