scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Nuclear,,1000 USD/toe,1.8704933192716189
tfp1,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Hydro,,million toe,19.106000276368885
tfp1,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Hydro,,1000 USD/toe,0.9760500078093483
tfp1,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Wind,,million toe,1.1196952005446739
tfp1,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Wind,,1000 USD/toe,1.3754393699737661
tfp1,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Solar,,million toe,0.03930715966147048
tfp1,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Solar,,1000 USD/toe,4.269814224497758
tfp1,2017,electicity generation by technology,"Central, Western and South Asia",,,Power,Biomass,,million toe,0.08905943047601225
tfp1,2017,electicity cost by technology,"Central, Western and South Asia",,,Power,Biomass,,1000 USD/toe,2.1238984530159843
tfp1,2017,electicity cost of TnD,India,,,Power,TnD,,1000 USD/toe,0.48800454280513345
tfp1,2017,electicity generation by technology,India,,,Power,Coal_Power,,million toe,61.59365375334634
tfp1,2017,electicity cost by technology,India,,,Power,Coal_Power,,1000 USD/toe,1.3416817910028254
tfp1,2017,electicity generation by technology,India,,,Power,Oil_Power,,million toe,6.165976938994182
tfp1,2017,electicity cost by technology,India,,,Power,Oil_Power,,1000 USD/toe,0.3764669278105524
tfp1,2017,electicity generation by technology,India,,,Power,Gas_Power,,million toe,2.274883423913529
tfp1,2017,electicity cost by technology,India,,,Power,Gas_Power,,1000 USD/toe,1.8103203948736097
tfp1,2017,electicity generation by technology,India,,,Power,Nuclear,,million toe,13.473835124600265
tfp1,2017,electicity cost by technology,India,,,Power,Nuclear,,1000 USD/toe,0.5253897312014741
tfp1,2017,electicity generation by technology,India,,,Power,Hydro,,million toe,68.12015615912644
tfp1,2017,electicity cost by technology,India,,,Power,Hydro,,1000 USD/toe,0.44522278923461645
tfp1,2017,electicity generation by technology,India,,,Power,Wind,,million toe,113.24098673627378
tfp1,2017,electicity cost by technology,India,,,Power,Wind,,1000 USD/toe,0.21495532242328072
tfp1,2017,electicity generation by technology,India,,,Power,Solar,,million toe,3.212504581322419
tfp1,2017,electicity cost by technology,India,,,Power,Solar,,1000 USD/toe,0.8164588709953552
tfp1,2017,electicity generation by technology,India,,,Power,Biomass,,million toe,0.012837403684629035
tfp1,2017,electicity cost by technology,India,,,Power,Biomass,,1000 USD/toe,13.889339868475936
tfp1,2017,electicity cost of TnD,Canada,,,Power,TnD,,1000 USD/toe,0.33002578242490593
tfp1,2017,electicity generation by technology,Canada,,,Power,Coal_Power,,million toe,4.095025382356715
tfp1,2017,electicity cost by technology,Canada,,,Power,Coal_Power,,1000 USD/toe,0.8436951707030057
tfp1,2017,electicity generation by technology,Canada,,,Power,Oil_Power,,million toe,0.3300253018837398
tfp1,2017,electicity cost by technology,Canada,,,Power,Oil_Power,,1000 USD/toe,0.7424528531705928
tfp1,2017,electicity generation by technology,Canada,,,Power,Gas_Power,,million toe,3.112130717674286
tfp1,2017,electicity cost by technology,Canada,,,Power,Gas_Power,,1000 USD/toe,0.9573413737613526
tfp1,2017,electicity generation by technology,Canada,,,Power,Nuclear,,million toe,11.933248976261734
tfp1,2017,electicity cost by technology,Canada,,,Power,Nuclear,,1000 USD/toe,0.6254881768398212
tfp1,2017,electicity generation by technology,Canada,,,Power,Hydro,,million toe,26.321140727944524
tfp1,2017,electicity cost by technology,Canada,,,Power,Hydro,,1000 USD/toe,0.8341038952623914
tfp1,2017,electicity generation by technology,Canada,,,Power,Wind,,million toe,3.809063018331126
tfp1,2017,electicity cost by technology,Canada,,,Power,Wind,,1000 USD/toe,0.6196045355951998
tfp1,2017,electicity generation by technology,Canada,,,Power,Solar,,million toe,0.1293818990996061
tfp1,2017,electicity cost by technology,Canada,,,Power,Solar,,1000 USD/toe,1.1316100942304763
tfp1,2017,electicity generation by technology,Canada,,,Power,Biomass,,million toe,0.037780036285077624
tfp1,2017,electicity cost by technology,Canada,,,Power,Biomass,,1000 USD/toe,3.700886053920763
tfp1,2017,electicity cost of TnD,United States,,,Power,TnD,,1000 USD/toe,0.20354821956606609
tfp1,2017,electicity generation by technology,United States,,,Power,Coal_Power,,million toe,79.48984618184336
tfp1,2017,electicity cost by technology,United States,,,Power,Coal_Power,,1000 USD/toe,1.0593958779300203
tfp1,2017,electicity generation by technology,United States,,,Power,Oil_Power,,million toe,34.475973733535454
tfp1,2017,electicity cost by technology,United States,,,Power,Oil_Power,,1000 USD/toe,0.28514994756741835
tfp1,2017,electicity generation by technology,United States,,,Power,Gas_Power,,million toe,183.16505235621136
tfp1,2017,electicity cost by technology,United States,,,Power,Gas_Power,,1000 USD/toe,0.7236426708491426
tfp1,2017,electicity generation by technology,United States,,,Power,Nuclear,,million toe,117.10569214310512
tfp1,2017,electicity cost by technology,United States,,,Power,Nuclear,,1000 USD/toe,0.7131234432898192
tfp1,2017,electicity generation by technology,United States,,,Power,Hydro,,million toe,22.210273262450016
tfp1,2017,electicity cost by technology,United States,,,Power,Hydro,,1000 USD/toe,0.9893450170300176
tfp1,2017,electicity generation by technology,United States,,,Power,Wind,,million toe,10.835854828144521
tfp1,2017,electicity cost by technology,United States,,,Power,Wind,,1000 USD/toe,1.3176827334348302
tfp1,2017,electicity generation by technology,United States,,,Power,Solar,,million toe,0.4851676375262942
tfp1,2017,electicity cost by technology,United States,,,Power,Solar,,1000 USD/toe,3.4328664532312883
tfp1,2017,electicity generation by technology,United States,,,Power,Biomass,,million toe,1.3805731573303335
tfp1,2017,electicity cost by technology,United States,,,Power,Biomass,,1000 USD/toe,1.8334842989563733
