,,TnD,Coal_Power,Oil_Power,Gas_Power,Nuclear,Hydro,Wind,Solar,Biomass
1994,Canada,0,81621.0,3684.0,14958.0,107779.0,87240.0,59.0,3.0,366.0
1994,United States,0,1805817.0,113781.0,483527.0,678920.0,241311.0,3483.0,4.0,62578.0
1994,Rest of America,0,22417.0,89205.0,24492.0,12474.0,213076.0,5.0,5.0,6364.0
1994,Brazil,0,-131270.0,4043.0,-17195.0,55.0,200222.0,-5.0,-13.0,3841.0
1994,EUPlus,0,195351.0,139975.0,237262.0,833460.0,331670.0,3462.0,39.0,27792.0
1994,Eastern Europe,0,-881562.0,-195637.0,-183791.0,-814239.0,-491562.0,-3502.0,-44.0,-28439.0
1994,Russia,0,123599.0,72892.0,364008.0,97820.0,148508.0,0.0,0.0,1609.0
1994,North Africa,0,-159068.0,-208542.0,-142742.0,-269127.0,-64645.0,-2.0,-96.0,-8658.0
1994,Sub Saharan,0,-25740.0,-67586.0,-72294.0,0.0,9203.0,0.0,0.0,-104.0
1994,South Africa,0,6372.0,-73097.0,-364316.0,-88123.0,-173420.0,0.0,0.0,-1609.0
1995,Australia_Oceania,0,-1673347.0,-117728.0,-472379.0,-678920.0,-240602.0,-3475.0,12.0,-61352.0
1995,China,0,721210.0,-111194.0,-257849.0,47362.0,74744.0,63.0,7.0,3179.0
1995,Japan,0,-120604.0,188751.0,166162.0,283272.0,19969.0,-526.0,105.0,9022.0
1995,South Korea,0,-123848.0,41888.0,19507.0,55728.0,3675.0,0.0,2.0,250.0
1995,Rest of World,0,10049.0,-109679.0,-83164.0,-15509.0,-206883.0,-7.0,-5.0,-6833.0
1995,Southeast Asia,0,-12583.0,36708.0,78149.0,-67029.0,33424.0,0.0,-2.0,533.0
1995,"Central, Western and South Asia",0,10531.0,187100.0,245574.0,-97057.0,-211322.0,-58.0,-4.0,-5439.0
1995,India,0,221626.0,-4224.0,-26213.0,-62541.0,57898.0,529.0,1.0,17.0
1995,Canada,0,81881.0,4387.0,20630.0,95325.0,82129.0,59.0,4.0,67.0
1995,United States,0,1825692.0,78900.0,520949.0,713806.0,292479.0,3196.0,4.0,62479.0
1995,Rest of America,0,22659.0,85534.0,31396.0,15509.0,223970.0,7.0,5.0,6833.0
1995,Brazil,0,-133902.0,4712.0,-19157.0,2519.0,210134.0,-8.0,-16.0,3978.0
1995,EUPlus,0,153037.0,142891.0,260357.0,857567.0,316703.0,4014.0,46.0,28187.0
1995,Eastern Europe,0,-900040.0,-212661.0,-213624.0,-835193.0,-501461.0,-4078.0,-53.0,-31588.0
1995,Russia,0,121852.0,67120.0,353702.0,99532.0,147108.0,0.0,0.0,1579.0
1995,North Africa,0,-167195.0,-177636.0,-143475.0,-291254.0,-80348.0,-3.0,-106.0,-9039.0
1995,Sub Saharan,0,-29884.0,-70698.0,-89761.0,0.0,6475.0,0.0,0.0,-345.0
1995,South Africa,0,12632.0,-67499.0,-354056.0,-88231.0,-174609.0,0.0,0.0,-1579.0
1996,Australia_Oceania,0,-1685936.0,-84368.0,-509784.0,-713806.0,-295945.0,-3181.0,15.0,-61170.0
1996,China,0,805797.0,-127530.0,-263295.0,49456.0,69099.0,97.0,9.0,1932.0
1996,Japan,0,-126979.0,175424.0,176483.0,293130.0,20503.0,-920.0,120.0,8962.0
1996,South Korea,0,-128942.0,41401.0,27050.0,62149.0,1662.0,0.0,3.0,343.0
1996,Rest of World,0,6001.0,-112580.0,-88282.0,-15337.0,-215883.0,-39.0,-6.0,-5973.0
1996,Southeast Asia,0,-12020.0,42541.0,85060.0,-73924.0,36176.0,0.0,-3.0,952.0
1996,"Central, Western and South Asia",0,8716.0,196425.0,258542.0,-90097.0,-227847.0,-61.0,-6.0,-5684.0
1996,India,0,251983.0,5860.0,-25564.0,-70506.0,53989.0,922.0,2.0,71.0
1996,Canada,0,83896.0,939.0,17392.0,90340.0,89989.0,60.0,6.0,-892.0
1996,United States,0,1918863.0,88592.0,469742.0,715212.0,331150.0,3410.0,3.0,64034.0
1996,Rest of America,0,26096.0,88467.0,33745.0,15337.0,232971.0,39.0,6.0,5973.0
1996,Brazil,0,-140505.0,6437.0,-18086.0,2427.0,223858.0,-13.0,-19.0,5005.0
1996,EUPlus,0,78176.0,147546.0,302096.0,898955.0,297394.0,4788.0,49.0,30581.0
1996,Eastern Europe,0,-924967.0,-216412.0,-258121.0,-871504.0,-479463.0,-4886.0,-58.0,-32689.0
1996,Russia,0,122865.0,54931.0,364214.0,109026.0,123610.0,0.0,0.0,1556.0
1996,North Africa,0,-176779.0,-165725.0,-153460.0,-302201.0,-75786.0,-2.0,-122.0,-9033.0
1996,Sub Saharan,0,-39233.0,-75793.0,-103087.0,0.0,4175.0,0.0,0.0,-859.0
1996,South Africa,0,25441.0,-56603.0,-364724.0,-97251.0,-150806.0,0.0,0.0,-1496.0
1997,Australia_Oceania,0,-1771877.0,-94566.0,-457950.0,-715212.0,-336594.0,-3389.0,20.0,-62748.0
1997,China,0,848709.0,-140387.0,-267770.0,48705.0,81483.0,203.0,11.0,3095.0
1997,Japan,0,-129707.0,149416.0,178852.0,309094.0,25753.0,-1036.0,147.0,9519.0
1997,South Korea,0,-123574.0,41014.0,31823.0,64439.0,703.0,1.0,3.0,-67.0
1997,Rest of World,0,10876.0,-127249.0,-92166.0,-18417.0,-228034.0,-104.0,-6.0,-5911.0
1997,Southeast Asia,0,-15489.0,48902.0,96915.0,-77086.0,30188.0,-1.0,-3.0,759.0
1997,"Central, Western and South Asia",0,163.0,203840.0,275367.0,-80546.0,-226742.0,-59.0,-7.0,-6606.0
1997,India,0,267763.0,10170.0,-18750.0,-69350.0,59198.0,1037.0,2.0,125.0
1997,Canada,0,92022.0,3267.0,19626.0,79359.0,71837.0,58.0,7.0,-479.0
