region,year,GDP_target,population_multiplier
South Korea,2038,2253.365428969666,0.9764216587156702
South Korea,2039,2278.343561117094,0.9735869675013238
South Korea,2040,2303.5985711634876,0.9707605057995132
South Korea,2041,2324.135226140564,0.9664486731005025
South Korea,2042,2344.8549660539343,0.9621559922943771
South Korea,2043,2365.759423111664,0.9578823783140605
South Korea,2044,2386.8502440730063,0.9536277464703196
South Korea,2045,2408.129090378125,0.9493920124500855
South Korea,2046,2424.51666891609,0.9438316710630822
South Korea,2047,2441.0157666958644,0.9383038951452788
South Korea,2048,2457.6271426179323,0.9328084939692162
South Korea,2049,2474.3515607471786,0.9273452779244762
South Korea,2050,2491.1897903480317,0.9219140585111396
Rest of World,2017,78.07138553602339,1.0
Rest of World,2018,80.69302266232305,1.0113
Rest of World,2019,83.11542720264598,1.02212091
Rest of World,2020,85.0104589428663,1.032648755373
Rest of World,2021,81.80131411777309,1.0421491239224316
Rest of World,2022,86.34701314329773,1.0506947467385956
Rest of World,2023,89.41923987093625,1.0595205826111997
Rest of World,2024,91.6681337536903,1.0691622199129618
Rest of World,2025,93.76550065397474,1.0788915961141698
Rest of World,2026,96.19777774093885,1.088493731319586
Rest of World,2027,98.51229627338584,1.0979636267820663
Rest of World,2028,100.88742773653716,1.107406113972392
Rest of World,2029,103.24214029990792,1.11670832532976
Rest of World,2030,105.6352931120598,1.125865333597464
Rest of World,2031,108.63540272612401,1.1348722562662437
Rest of World,2032,111.72071736429749,1.143837747090747
Rest of World,2033,114.8936569035405,1.152645297743346
Rest of World,2034,118.1567099468605,1.1614054020061955
Rest of World,2035,121.51243577517559,1.1699998019810414
Rest of World,2036,124.36768176857379,1.169732359163302
Rest of World,2037,127.29001908172712,1.1694649774786163
Rest of World,2038,130.2810241970812,1.1691976569130103
Rest of World,2039,133.34231064057562,1.1689303974525131
Rest of World,2040,136.4755298520758,1.1686631990831573
Rest of World,2041,139.16763728302843,1.1676928149401704
Rest of World,2042,141.91284905017704,1.1667232365429157
Rest of World,2043,144.71221268620565,1.1657544632223527
Rest of World,2044,147.56679638735991,1.1647864943099966
Rest of World,2045,150.47768942105523,1.1638193291379175
Rest of World,2046,153.0237147445375,1.1621238754213192
Rest of World,2047,155.61281784900345,1.1604308916441979
Rest of World,2048,158.2457275941378,1.1587403742083422
Rest of World,2049,160.92318517165413,1.1570523195207822
Rest of World,2050,163.64594431394812,1.155366723993783
Southeast Asia,2017,2732.779180876116,1.0
Southeast Asia,2018,2891.635634660444,1.0137
Southeast Asia,2019,3031.677548447049,1.02657399
Southeast Asia,2020,3165.465478660017,1.0390981926779999
Southeast Asia,2021,2992.72602748954,1.0513595513516003
Southeast Asia,2022,3091.426131876145,1.0625039625959272
Southeast Asia,2023,3358.834492283432,1.0741915061844822
Southeast Asia,2024,3482.439601599462,1.085685355300656
Southeast Asia,2025,3636.398256386175,1.0969764829957829
Southeast Asia,2026,3796.217959754347,1.1080559454740402
Southeast Asia,2027,3963.441360881525,1.1189148937396858
Southeast Asia,2028,4120.15583229078,1.129432693740839
Southeast Asia,2029,4283.3964063661415,1.1397105312538807
Southeast Asia,2030,4453.275907842623,1.1497399839289146
Southeast Asia,2031,4618.329249274666,1.1593977997939175
Southeast Asia,2032,4789.500021129087,1.1689048617522277
Southeast Asia,2033,4967.014955895203,1.1780223196738953
Southeast Asia,2034,5151.109189528841,1.1867396848394822
Southeast Asia,2035,5342.0265729130015,1.1951655366018428
Southeast Asia,2036,5515.149752105907,1.199353824521718
Southeast Asia,2037,5693.883467818012,1.2035567897019077
Southeast Asia,2038,5878.409545037627,1.207774483576787
Southeast Asia,2039,6068.91570129583,1.2120069577609747
Southeast Asia,2040,6265.595737630646,1.2162542640499663
Southeast Asia,2041,6443.2200573016935,1.2189330812583805
Southeast Asia,2042,6625.879875632368,1.2216177985995615
Southeast Asia,2043,6813.717944734531,1.2243084290686352
Southeast Asia,2044,7006.881063621219,1.2270049856893492
Southeast Asia,2045,7205.520192932858,1.2297074815141364
Southeast Asia,2046,7395.660137102869,1.2308256190131477
Southeast Asia,2047,7590.817511992793,1.231944773202295
Southeast Asia,2048,7791.124718036105,1.2330649450060254
Southeast Asia,2049,7996.717649461366,1.2341861353496262
Southeast Asia,2050,8207.735786486812,1.2353083451592266
"Central, Western and South Asia",2017,4555.629755774994,1.0
"Central, Western and South Asia",2018,4733.3448725477765,1.0124
"Central, Western and South Asia",2019,4927.412012322235,1.02434632
"Central, Western and South Asia",2020,5149.145552876735,1.036023868048
"Central, Western and South Asia",2021,5015.26776850194,1.0488705640117952
"Central, Western and South Asia",2022,5220.893747010519,1.0596739308211167
"Central, Western and South Asia",2023,5393.131031724397,1.0709064744878205
"Central, Western and South Asia",2024,5668.234645652658,1.0824722644122888
"Central, Western and South Asia",2025,5844.460060786,1.0950289426794715
"Central, Western and South Asia",2026,6174.555165019194,1.1072932668374817
"Central, Western and South Asia",2027,6307.925556583608,1.1192520341193264
"Central, Western and South Asia",2028,6542.7065457996505,1.1310041804775792
"Central, Western and South Asia",2029,6695.282462447698,1.1425404231184506
"Central, Western and South Asia",2030,6854.697137878578,1.1539658273496352
"Central, Western and South Asia",2031,7087.778391734251,1.1655054856231315
"Central, Western and South Asia",2032,7328.785141028479,1.1769274393822382
"Central, Western and South Asia",2033,7577.98687752393,1.1884613282881842
"Central, Western and South Asia",2034,7835.662256550486,1.1999894031725795
"Central, Western and South Asia",2035,8102.099408595336,1.2116293003833536
"Central, Western and South Asia",2036,8349.930168475377,1.2225696827922872
"Central, Western and South Asia",2037,8605.34169013644,1.2336088511642342
"Central, Western and South Asia",2038,8868.565857422194,1.2447476974850618
"Central, Western and South Asia",2039,9139.841647146452,1.255987121794805
"Central, Western and South Asia",2040,9419.415346056208,1.2673280322603933
"Central, Western and South Asia",2041,9680.79383590771,1.2771500562510163
"Central, Western and South Asia",2042,9949.42529342728,1.2870482027235988
"Central, Western and South Asia",2043,10225.510980547468,1.2970230616412954
"Central, Western and South Asia",2044,10509.25774399967,1.3070752275395834
"Central, Western and South Asia",2045,10800.878170286203,1.3172052995616983
"Central, Western and South Asia",2046,11075.122879076327,1.3256695729983121
"Central, Western and South Asia",2047,11356.330925394532,1.3341882372917147
"Central, Western and South Asia",2048,11644.679115093311,1.3427616419539252
"Central, Western and South Asia",2049,11940.348743296197,1.3513901387429044
"Central, Western and South Asia",2050,12243.525708384677,1.3600740816769858
India,2017,2597.79721099279,1.0
India,2018,2774.31753147975,1.0112
India,2019,2953.371984961453,1.02191872
India,2020,3067.697014499311,1.032035715328
India,2021,2890.445481001541,1.0415304439090176
India,2022,3170.52964811059,1.048612850927599
India,2023,3392.0545546240774,1.0557434183139065
India,2024,3657.550664614504,1.0654562577623945
India,2025,3906.5567138614592,1.075045364082256
India,2026,4158.842146442633,1.0845057632861796
India,2027,4427.794468053078,1.0937240622741122
India,2028,4714.582715748876,1.1028019719909874
India,2029,5020.370550692347,1.1116243877669154
India,2030,5346.443617959815,1.1202950579914974
India,2031,5589.028440464296,1.1286972709264338
India,2032,5842.620092987867,1.1368238912771043
India,2033,6107.717989738796,1.144781658516044
India,2034,6384.844204905655,1.1524516956281015
India,2035,6674.544500811299,1.1599426316496841
India,2036,6928.454512491592,1.1679198616652609
India,2037,7192.023654322811,1.1759519531860405
India,2038,7465.619374577891,1.1840392835089981
India,2039,7749.623099831245,1.1921822325258788
India,2040,8044.430766715006,1.2003811827410433
India,2041,8305.383943734443,1.2074003978825598
India,2042,8574.802177209871,1.2144606578037775
India,2043,8852.960064989153,1.2215622025135728
India,2044,9140.141112595895,1.2287052734242716
India,2045,9436.638022185418,1.2358901133598552
India,2046,9706.827653303872,1.241559123464814
India,2047,9984.753348536717,1.2472541372372692
India,2048,10270.636606716955,1.2529752739556683
India,2049,10564.705268627744,1.2587226534455873
India,2050,10867.19369858499,1.2644963960822402
Canada,2017,1554.7002160099269,1.0
Canada,2018,1601.869820563668,1.0125
Canada,2019,1645.8091097417296,1.02627
Canada,2020,1677.2111475556017,1.039201002
Canada,2021,1592.7132499417503,1.0463714889137998
Canada,2022,1676.9199994661708,1.053800726485088
Canada,2023,1740.9783434457786,1.062758032660211
Canada,2024,1759.5371725869104,1.0716852001345567
Canada,2025,1779.8422315585635,1.0805801872956735
Canada,2026,1820.9209902629352,1.0894409448314981
Canada,2027,1854.7719114719237,1.0982654164846333
Canada,2028,1885.987722741996,1.1069417132748618
Canada,2029,1917.578017097924,1.1155758586384057
Canada,2030,1949.4098121817497,1.1240542351640577
Canada,2031,1990.580850315526,1.1325970473513045
Canada,2032,2032.6214102760732,1.1410915252064393
Canada,2033,2075.5498561426443,1.1494214933404463
Canada,2034,2119.3849398391635,1.1575823859431635
Canada,2035,2164.145809325407,1.165453946167577
Canada,2036,2206.271996069268,1.1737301775866589
Canada,2037,2249.21819022757,1.1820651809604177
Canada,2038,2293.0003536570994,1.1904593736457978
Canada,2039,2337.6347589202123,1.198913175963518
Canada,2040,2383.137995332878,1.2074270112191188
Canada,2041,2425.2896914300163,1.2155995293022084
Canada,2042,2468.1869446402325,1.2238273634012542
Canada,2043,2511.84294198707,1.2321108879249254
Canada,2044,2556.271103739236,1.2404504798160918
Canada,2045,2601.4850875361176,1.2488465185689754
Canada,2046,2643.0935470014106,1.2569639399951023
Canada,2047,2685.36749707719,1.2651341241343645
Canada,2048,2728.3175816988073,1.2733574139409776
Canada,2049,2771.954615041973,1.2816341545983372
Canada,2050,2816.2895842455987,1.289964693533509
United States,2017,19186.53176612059,1.0
United States,2018,19658.13671693184,1.0075
United States,2019,20241.393633323205,1.01425025
United States,2020,20740.748814257287,1.0207414516
United States,2021,20281.54863550963,1.02410989839028
United States,2022,21457.878456369188,1.0271822280854508
United States,2023,21873.30298328449,1.0320099845574524
United States,2024,22426.916281791426,1.0375828384740626
United States,2025,23038.049750470243,1.0430820275179753
United States,2026,23471.39546627659,1.048506054061069
United States,2027,23947.39536633268,1.0538534349367805
United States,2028,24455.080148098936,1.0591227021114644
United States,2029,24974.0169488416,1.0643124033518105
United States,2030,25503.965588496016,1.069421102887899
United States,2031,25951.754473783978,1.0744473820714722
United States,2032,26407.40546526447,1.079389840029001
United States,2033,26871.0566027947,1.0842470943091314
United States,2034,27342.84834988295,1.0890177815240916
United States,2035,27822.923636242125,1.0935916562064927
United States,2036,28276.14183988678,1.0997591588671485
United States,2037,28736.742687526734,1.105961444244784
United States,2038,29204.84643786282,1.1121987085026548
United States,2039,29680.57530853566,1.1184711489103136
United States,2040,30164.053508035588,1.1247789638498495
United States,2041,30619.411688651784,1.1304381722870016
United States,2042,31081.643980951903,1.1361258544431372
United States,2043,31550.85415689713,1.1418421535808134
United States,2044,32027.147554995776,1.1475872136833982
United States,2045,32510.63110395196,1.1533611794586969
United States,2046,32945.485860663895,1.158724879885103
United States,2047,33386.15713501987,1.1641135241736547
United States,2048,33832.722727427914,1.1695272283256584
United States,2049,34285.26147893648,1.1749661088818846
United States,2050,34743.853285153855,1.1804302829250757
Rest of America,2017,3651.581501987016,1.0
Rest of America,2018,3719.939107704213,1.0102
Rest of America,2019,3793.29630690814,1.01908976
Rest of America,2020,3783.7751331778,1.027650113984
Rest of America,2021,3457.4245279412157,1.0340215446907008
Rest of America,2022,3655.846121599762,1.0391916524141542
Rest of America,2023,3800.2154849417366,1.0469855898072604
Rest of America,2024,3922.924442950505,1.0546285846128536
Rest of America,2025,4015.780064515144,1.062116447563605
Rest of America,2026,4073.526981842872,1.0694450510517937
Rest of America,2027,4152.349728941532,1.0766103328938406
Rest of America,2028,4237.722039368569,1.0835006390243611
Rest of America,2029,4325.061490599956,1.0903266930502145
Rest of America,2030,4414.2010079212205,1.0969776858778209
Rest of America,2031,4537.307538624079,1.1034498542245
Rest of America,2032,4663.84735609265,1.1097395183935796
Rest of America,2033,4793.91621038949,1.1158430857447443
Rest of America,2034,4927.612521926324,1.121645469790617
Rest of America,2035,5065.0374559367465,1.1273658616865494
Rest of America,2036,5197.008283240617,1.1326640372141485
Rest of America,2037,5332.417643706538,1.1379871120799974
Rest of America,2038,5471.355129182558,1.1433352033011788
Rest of America,2039,5613.912665854901,1.14870842844471
Rest of America,2040,5760.184575069742,1.1541069056301267
Rest of America,2041,5902.396504803032,1.1582163547820834
Rest of America,2042,6048.119473582883,1.1623404365233176
Rest of America,2043,6197.440164679886,1.1664792029563527
Rest of America,2044,6350.447401468831,1.1706327063692337
Rest of America,2045,6507.232200265266,1.174800999236189
Rest of America,2046,6658.924574124152,1.1776939109774363
Rest of America,2047,6814.153102154086,1.1805939464258886
Rest of America,2048,6973.000216886139,1.1835011231234582
Rest of America,2049,7135.550272465049,1.186415458655254
Rest of America,2050,7301.889589444628,1.1893369706496875
Brazil,2017,1910.4391710493244,1.0
Brazil,2018,1935.7142812823072,1.0079
Brazil,2019,1970.247424060384,1.01586241
Brazil,2020,1994.3041451081613,1.023379791834
Brazil,2021,1928.950798272967,1.0294177326058205
Brazil,2022,2020.8267247947083,1.0341530541758073
Brazil,2023,2081.795067081765,1.0388067429195984
Brazil,2024,2142.3336676325025,1.04472794135424
Brazil,2025,2188.4795348333064,1.0504739450316884
Brazil,2026,2234.940955357817,1.0559364095458534
Brazil,2027,2281.4947754579207,1.0612160915935827
Brazil,2028,2327.0790410715704,1.0662038072240725
Brazil,2029,2373.643892683413,1.0710017243565808
Brazil,2030,2421.093034098154,1.0754999315988785
Brazil,2031,2474.884242382279,1.079801931325274
Brazil,2032,2529.8705695849726,1.0837971984711776
Brazil,2033,2586.078568544052,1.0875904886658267
Brazil,2034,2643.5353820413,1.0910707782295574
Brazil,2035,2702.2687559096885,1.094343990564246
Brazil,2036,2758.749858802784,1.0971263316877964
Brazil,2037,2816.4114937865693,1.0999157468412628
Brazil,2038,2875.278335591986,1.1027122540101824
Brazil,2039,2935.375574685508,1.10551587122582
Brazil,2040,2996.728928048719,1.108326616565284
Brazil,2041,3061.4991632607944,1.1099522659716234
Brazil,2042,3127.6693193433102,1.1115802998158648
Brazil,2043,3195.269653688988,1.113210721595407
Brazil,2044,3264.3310776630947,1.1148435348127783
Brazil,2045,3334.8851707381723,1.1164787429756449
Brazil,2046,3406.335645781946,1.1168033985141224
Brazil,2047,3479.3169592572126,1.1171281484576383
Brazil,2048,3553.8619096345474,1.1174529928336443
Brazil,2049,3630.0039980972683,1.1177779316696
Brazil,2050,3707.7774435971737,1.1181029649929728
"EU, UK and EFTA",2017,17229.497439816303,1.0
"EU, UK and EFTA",2018,17667.471264736432,1.0013
"EU, UK and EFTA",2019,17917.996007270398,1.0024014300000001
"EU, UK and EFTA",2020,18190.17036662084,1.0035040715730001
"EU, UK and EFTA",2021,16872.65632696649,1.0025005675014271
"EU, UK and EFTA",2022,17894.295667564314,1.0006960664799245
"EU, UK and EFTA",2023,18411.798698270275,0.9981943263137247
"EU, UK and EFTA",2024,18455.25054319819,0.9972959514200423
"EU, UK and EFTA",2025,18538.483723148016,0.9965978442540483
"EU, UK and EFTA",2026,18804.69634941242,0.9957009061942197
"EU, UK and EFTA",2027,19102.186645660124,0.9947052052880254
"EU, UK and EFTA",2028,19377.258133357627,0.9935115590416798
"EU, UK and EFTA",2029,19627.418535859277,0.9922199940149256
"EU, UK and EFTA",2030,19850.97483298271,0.9908308860233047
"EU, UK and EFTA",2031,20235.77948885131,0.9893446396942698
"EU, UK and EFTA",2032,20628.043457142798,0.9877616882707589
"EU, UK and EFTA",2033,21027.9113341893,0.9860824934006986
"EU, UK and EFTA",2034,21435.53051927555,0.9843075449125773
"EU, UK and EFTA",2035,21851.051268973228,0.9824373605772434
"EU, UK and EFTA",2036,22242.880714904994,0.9837891444298652
"EU, UK and EFTA",2037,22641.73638180935,0.9851427882683319
"EU, UK and EFTA",2038,23047.74426272145,0.9864982946518895
"EU, UK and EFTA",2039,23461.032609962767,0.9878556661433053
"EU, UK and EFTA",2040,23881.73197565424,0.989214905308873
"EU, UK and EFTA",2041,24271.748743733475,0.9903143434024133
"EU, UK and EFTA",2042,24668.134944295165,0.9914150034388449
"EU, UK and EFTA",2043,25070.9945976622,0.9925168867762657
"EU, UK and EFTA",2044,25480.43342293167,0.9936199947742828
"EU, UK and EFTA",2045,25896.55886571785,0.9947243287940144
"EU, UK and EFTA",2046,26280.265977223684,0.9954833095679606
"EU, UK and EFTA",2047,26669.658444385597,0.9962428694489001
"EU, UK and EFTA",2048,27064.82050663509,0.997003008878695
"EU, UK and EFTA",2049,27465.837651572157,0.9977637282995447
"EU, UK and EFTA",2050,27872.7966334593,0.9985250281539861
Eastern Europe,2017,282.2563745114897,1.0
Eastern Europe,2018,285.3386141211552,0.9943
Eastern Europe,2019,290.098062204696,0.98893078
Eastern Europe,2020,295.5519057741443,0.9831949814759999
Eastern Europe,2021,268.018290232225,0.9773941310852915
Eastern Europe,2022,290.4782229536855,0.9707478509939115
Eastern Europe,2023,306.62009780322177,0.9660882613091407
Eastern Europe,2024,312.7862279700446,0.9625137347422968
Eastern Europe,2025,319.16081129607414,0.958856182550276
Eastern Europe,2026,325.3269981703143,0.9551166434383299
Eastern Europe,2027,330.8770767590999,0.9513916885289204
Eastern Europe,2028,335.2645067969256,0.9475861217748047
Eastern Europe,2029,339.6732350613052,0.9437957772877055
Eastern Europe,2030,343.93273742897395,0.9399262146008259
Eastern Europe,2031,352.72366163698587,0.9360725171209625
Eastern Europe,2032,361.73928195566384,0.9322346198007666
Eastern Europe,2033,370.98534161984344,0.9283192343976034
Eastern Europe,2034,380.4677306615,0.9244202936131335
Eastern Europe,2035,390.19248966188525,0.9205377283799584
Eastern Europe,2036,397.8698472440169,0.9174127031227158
Eastern Europe,2037,405.6982631396876,0.9142982866461428
Eastern Europe,2038,413.680709545235,0.9111944429357376
Eastern Europe,2039,421.82021713740005,0.90810113609926
Eastern Europe,2040,430.1198762239767,0.9050183303663161
Eastern Europe,2041,436.90246192922524,0.90213021741831
Eastern Europe,2042,443.7920026286324,0.8992513210752284
Eastern Europe,2043,450.7901849018114,0.8963816119248539
Eastern Europe,2044,457.89872192414896,0.8935210606488295
Eastern Europe,2045,465.1193538861954,0.8906696380223602
Eastern Europe,2046,471.32015301804523,0.8878698941614768
Eastern Europe,2047,477.60361890962514,0.8850789510560608
Eastern Europe,2048,483.97085364358924,0.88229678104169
Eastern Europe,2049,490.4229739951497,0.8795233565409025
Eastern Europe,2050,496.9611116279526,0.8767586500629242
Russia,2017,1560.9759151739488,1.0
Russia,2018,1589.4949451441769,1.0018
Russia,2019,1634.0961733049223,1.0028017999999999
Russia,2020,1670.0136071941647,1.0031026405399999
Russia,2021,1625.6914460592316,1.0010964352589198
Russia,2022,1723.0378498492582,0.9959908434390993
Russia,2023,1702.3441652725687,0.9956920461860675
Russia,2024,1763.3732035975902,0.9922071240244164
Russia,2025,1819.148698027382,0.9889328405151359
Russia,2026,1852.0934809486585,0.985867148709539
Russia,2027,1875.2446494605165,0.9831067206931522
Russia,2028,1898.6852075787729,0.9803540218752114
Russia,2029,1922.4187726735076,0.9776090306139608
Russia,2030,1946.4490073319264,0.9747739644251803
Russia,2031,1980.5884713538167,0.9718496425319048
Russia,2032,2015.3267196229756,0.9688369086400559
Russia,2033,2050.674254430082,0.9657366305324078
Russia,2034,2086.6417622692397,0.9626462733147041
Russia,2035,2123.240117068789,0.959565805240097
Russia,2036,2155.0639363661744,0.9585983610676035
Russia,2037,2187.364741505402,0.9576318922823339
Russia,2038,2220.1496817067205,0.9566663979008927
Russia,2039,2253.4260133452367,0.9557018769408758
Russia,2040,2287.2011015569874,0.9547383284208697
Russia,2041,2315.600838492409,0.95396951893282
Russia,2042,2344.353209508608,0.9532013285338038
Russia,2043,2373.46259319526,0.9524337567252954
Russia,2044,2402.933422510148,0.9516668030091706
Russia,2045,2432.7701854542393,0.9509004668877064
Russia,2046,2458.1000231968164,0.9501739515623872
Russia,2047,2483.69359348754,0.9494479913156869
Russia,2048,2509.553642291768,0.9487225857235096
Russia,2049,2535.6829441656623,0.9479977343620832
Russia,2050,2562.084302553875,0.9472734368079595
North Africa,2017,622.133792636808,1.0
North Africa,2018,648.2074198862167,1.0195
North Africa,2019,682.7374291435555,1.03836075
North Africa,2020,720.6157017124399,1.05642822705
North Africa,2021,746.3633007346253,1.0745987925552603
North Africa,2022,770.6424989075226,1.0916849133568889
North Africa,2023,821.91334435984,1.1084968610225852
North Africa,2024,852.8172861077701,1.1255677126823331
North Africa,2025,878.1118468137265,1.1432391257714458
North Africa,2026,917.108793930724,1.1608450083083262
North Africa,2027,960.506382059526,1.1783737679337818
North Africa,2028,1009.1272151193792,1.1958136996992017
North Africa,2029,1064.4879341408282,1.21327257971481
North Africa,2030,1124.397315074274,1.2307437048627032
North Africa,2031,1166.481953784812,1.2480971911012673
North Africa,2032,1210.1417624033993,1.265570551776685
North Africa,2033,1255.4356973643846,1.2831619824463811
North Africa,2034,1302.4249217600354,1.3009979340023858
North Africa,2035,1351.1728879326965,1.319081805285019
North Africa,2036,1399.7113566833823,1.3278932620478794
North Africa,2037,1449.9934830886157,1.3367635792771435
North Africa,2038,1502.0819049302331,1.3456931501602942
North Africa,2039,1556.041510140324,1.354682370511304
North Africa,2040,1611.9395176338535,1.3637316387881797
North Africa,2041,1666.4685735466421,1.3713607911094012
