target,target_name,iso3,country_name,start_year,end_year,scope,method,excluded_target_receiver,TIC0,TIC1,actual_TIC_decline,X0,X1,B0,B1,direct_price_effect,target_share_effect,spillover_other_origins,global_experience_contribution,first_three_net,four_effects_net,spillover_inclusive,direct_spillover_overlap,remaining_other_price,remaining_other_mix,tariff_effect,SDA_interaction,B_actual_decline,B_other_decline,all_other_net,B_gap0,B_gap1,B_cf0,B_cf1,beta_B,Q_ratio0,Q_ratio1,balance_fitted_anchor_period_sensitivity,old_alpha_start,old_three_net,old_three_pct,first_three_scale_change,four_change_vs_old_three,full_reconciliation_error,direct_price_effect_pct,target_share_effect_pct,spillover_other_origins_pct,global_experience_contribution_pct,first_three_net_pct,four_effects_net_pct,all_other_net_pct
CHN,中国,ITA,Italy,2010,2024,2010-2024,SDA,False,6078.874297702453,804.1602225425657,5274.714075159887,2717.8350020312737,212.89001534158663,3361.0392956711794,591.270207200979,759.9723759573866,-37.05352324143435,14.557743115612784,243.94700397604242,737.476595831565,981.4235998076074,23.504267064361546,8.946523948748762,1734.6205900414814,-29.98645929821318,0.0,62.83426011485324,2769.7690884702006,2525.822084494158,4293.29047535228,29.263889066502998,273.2108930425454,3390.3031847376824,864.4811002435245,-0.5895247210083466,0.9854023379917494,0.5250071812543446,114.51951953937873,0.911304899106392,672.0660347576098,12.741278961878862,65.41056107395514,309.35756504999756,0.0,14.407840218985713,-0.7024745363152444,0.2759911325652568,4.6248384367383535,13.981356815235724,18.60619525197408,81.39380474802591
CHN,中国,JPN,Japan,2011,2024,available_start_sensitivity,Shapley,False,6644.276501864859,1911.450682621868,4732.825819242991,3597.0302141004536,315.6578779059117,3047.246287764405,1595.7928047159564,639.2180092003497,608.4898329204796,88.74854681650554,166.19573722610153,1336.4563889373349,1502.6521261634364,92.02421383188326,3.275667015377738,2120.561604423452,-175.64565716624443,0.0,0.0,1451.4534830484488,1285.2577458223473,3230.173693079555,20.10967855015133,186.30541577625286,3067.3559663145566,1782.0982204922093,-0.1713694705319817,0.962344623542295,0.5250071812543446,132.1407623600478,0.5264514586571797,703.5794153877669,14.865947792270608,632.876973549568,799.0727107756695,0.0,13.506053964660625,12.856797527735907,1.8751703571187146,3.5115540603749555,28.23802184951525,31.7495759098902,68.2504240901098
CHN,中国,JPN,Japan,2011,2024,available_start_sensitivity,SDA,False,6644.276501864859,1911.450682621868,4732.825819242991,3597.0302141004536,315.6578779059117,3047.246287764405,1595.7928047159564,313.4288759237558,928.1476073756957,109.62982866128758,166.19573722610153,1351.206311960739,1517.4020491868405,111.23599215441995,1.6061634931323943,2718.0187263081784,-403.63656043015794,0.0,-384.2161416442147,1451.4534830484488,1285.2577458223473,3215.4237700561534,20.10967855015133,186.30541577625286,3067.3559663145566,1782.0982204922093,-0.1713694705319817,0.962344623542295,0.5250071812543446,132.1407623600478,0.5264514586571797,711.3445338785193,15.030017183102204,639.8617780822196,806.0575153083212,2.7284841053187847e-12,6.622446882566414,19.610854969603583,2.3163715050646574,3.5115540603749555,28.549673357234653,32.06122741760961,67.93877258239044
CHN,中国,KOR,South Korea,2011,2024,available_start_sensitivity,Shapley,False,7012.58447961614,1262.2227758007118,5750.361703815428,2027.4340459964749,143.30763666718258,4985.150433619665,1118.9151391335292,702.0310850818194,71.4104758517725,30.91390413377113,275.9027241328142,804.355465067363,1080.2581892001772,34.51145619906595,3.5975520652948147,979.3177332952546,100.45331912864353,-0.00010816196895201638,0.0,3866.235294486136,3590.3325703533214,4670.103514615251,83.38246648030508,359.2851906131193,5068.53290009997,1478.2003297466485,-0.4321698509914313,0.962344623542295,0.5250071812543446,175.37019715188887,0.9524641670854076,766.1197580759815,13.32298379713493,38.23570699138145,314.1384311241957,0.0,12.208468288455908,1.2418432010005713,0.5375992976799949,4.798006427139179,13.987910787136473,18.785917214275653,81.21408278572434
CHN,中国,KOR,South Korea,2011,2024,available_start_sensitivity,SDA,False,7012.58447961614,1262.2227758007118,5750.361703815428,2027.4340459964749,143.30763666718258,4985.150433619665,1118.9151391335292,361.84816036804807,159.3772467342299,42.443309996587416,275.9027241328142,563.6687170988655,839.5714412316797,44.29759768315543,1.8542876865680158,1406.821432845031,241.84004772229932,-0.000307670923901563,-328.20348066597876,3866.235294486136,3590.3325703533214,4910.790262583749,83.38246648030508,359.2851906131193,5068.53290009997,1478.2003297466485,-0.4321698509914313,0.962344623542295,0.5250071812543446,175.37019715188887,0.9524641670854076,536.8742551436711,9.336356264118988,26.79446195519438,302.6971860880086,0.0,6.292615647602791,2.7716038563014456,0.7380980916109297,4.798006427139179,9.802317595515168,14.600324022654348,85.39967597734565
CHN,中国,USA,United States,2010,2024,2010-2024,Shapley,False,5552.428538737875,1058.0371018079034,4494.391436929972,2848.4060455608724,275.2245466799994,2704.0224931770026,782.812555127904,466.8249416520011,-67.76020198773544,27.316474838873727,291.80959404199143,426.38121450313935,718.1908085451307,32.81201737764235,5.495542538768613,2388.5059122709176,94.72868311846757,-336.43431101165345,0.0,1921.2099380490986,1629.4003440071072,3776.2006283848386,20.815748922761486,312.6253429647529,2724.838242099764,1095.437898092657,-0.5214862563796543,0.9854023379917494,0.5250071812543446,202.54748777928603,0.5555661805550485,236.882982801932,5.270635326853996,189.49823170120735,481.3078257431987,-2.7284841053187847e-12,10.386833194281799,-1.5076613361034052,0.6077902920163327,6.492749866961314,9.486962150194726,15.97971201715604,84.0202879828439
CHN,中国,USA,United States,2010,2024,2010-2024,SDA,False,5552.428538737875,1058.0371018079034,4494.391436929972,2848.4060455608724,275.2245466799994,2704.0224931770026,782.812555127904,733.9826145610625,-294.7427345037327,35.02417594125151,291.80959404199143,474.2640559985813,766.0736500405727,43.664744002509536,8.640568061258035,1855.988079513736,135.43355167909448,-795.8553715372374,903.3511832266961,1921.2099380490986,1629.4003440071072,3728.3177868893963,20.815748922761486,312.6253429647529,2724.838242099764,1095.437898092657,-0.5214862563796543,0.9854023379917494,0.5250071812543446,202.54748777928603,0.5555661805550485,263.4850701656774,5.862530530844433,210.77898583290386,502.5885798748953,-2.7284841053187847e-12,16.33107896499623,-6.5580121055291425,0.7792862823086859,6.492749866961314,10.552353141775775,17.045103008737087,82.95489699126286
USA,美国,AUS,Australia,2010,2024,2010-2024,Shapley,False,8226.006707647639,943.9690385525072,7282.037669095132,2666.087536470216,129.51154301459246,5559.919171177424,814.4574955379147,8.342908289889584,0.5469434655756505,-26.63379315531375,-65.37676569474729,-17.743941399848516,-83.12070709459582,-26.74261636737149,-0.10882321205773908,2389.583710164819,164.7362246906533,0.0,0.0,4745.461675639509,4810.8384413342565,7365.158376189729,117.50251915094577,52.12575345619848,5677.42169032837,866.5832489941132,-0.6311445523247294,0.9674069443091644,0.9063849516273368,-101.87086870637813,0.8199027752719692,-14.548306797998988,-0.19978345978271717,-3.1956346018495285,-68.57240029659683,1.8189894035458565e-12,0.11456832097005998,0.007510857405982272,-0.3657464347973261,-0.8977812072053045,-0.24366725642128384,-1.1414484636265885,101.1414484636266
USA,美国,AUS,Australia,2010,2024,2010-2024,SDA,False,8226.006707647639,943.9690385525072,7282.037669095132,2666.087536470216,129.51154301459246,5559.919171177424,814.4574955379147,16.052658078871673,-0.4045358126727556,-24.86261147217015,-65.37676569474729,-9.214489205971233,-74.59125490071852,-25.071999104577,-0.20938763240684644,2499.23959372145,282.96681841705964,0.0,-236.41592947691393,4745.461675639509,4810.8384413342565,7356.628923995852,117.50251915094577,52.12575345619848,5677.42169032837,866.5832489941132,-0.6311445523247294,0.9674069443091644,0.9063849516273368,-101.87086870637813,0.8199027752719692,-7.554985272689418,-0.1037482311407516,-1.6595039332818153,-67.0362696280291,1.8189894035458565e-12,0.22044184345542367,-0.005555255699783043,-0.34142382396189375,-0.8977812072053045,-0.1265372362062531,-1.0243184434115575,101.02431844341159
USA,美国,BRA,Brazil,2011,2024,available_start_sensitivity,Shapley,False,7522.515553575554,724.4366073748986,6798.078946200655,2145.844033503492,131.86173695884258,5376.671520072062,592.574870416056,52.15585847443551,3.225035917640739,-29.29981262931532,-189.59107557847017,26.08108176276093,-163.50999381570924,-30.477801735012925,-1.1779891056976068,1814.304770018768,195.0227403034316,-21.42629554031158,0.0,4784.096649656006,4973.687725234476,6961.588940016363,240.79245994124085,51.20138436277068,5617.463980013303,643.7762547788267,-0.8431480181598846,0.949365899683857,0.9063849516273368,-248.48008164182716,0.926261156929074,24.157892967536714,0.3553635248828377,1.9231887952242168,-187.66788678324596,-9.094947017729282e-13,0.7672146629539311,0.04744040107747151,-0.4310013587837274,-2.788891936661456,0.3836537052476753,-2.4052382314137812,102.40523823141376
