model_id,technology,iso3,country_name,spec,n,df_resid,first_year,last_year,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,SE_OLS,p_OLS,p_BH_within_technology_spec
pv__IND__annual_difference,pv,IND,India,annual_difference,14,12,2011,2024,const,-0.018673322936746447,0.2965810132132128,0.9508333997546742,-0.6648678395613995,0.6275211936879067,,0.305148033015218,0.9522118580652292,
pv__IND__annual_difference,pv,IND,India,annual_difference,14,12,2011,2024,lnQ,-0.5203963313909428,1.0627436183767647,0.633194875742148,-2.8359157617572084,1.7951230989753226,,1.050315108468867,0.6292192917606059,0.773904848129292
pv__ITA__main_level,pv,ITA,Italy,main_level,13,11,2010,2024,const,10.153257698104854,0.6294111576284368,5.288814574902426e-09,8.767933080568566,11.538582315641142,***,0.5333798284575353,9.074909656860569e-10,
pv__ITA__main_level,pv,ITA,Italy,main_level,13,11,2010,2024,lnQ,-0.5895247210083466,0.11243884052476132,0.0002755147288030923,-0.8370009404212564,-0.34204850159543687,***,0.08931409787246707,3.860786595224316e-05,0.0003788327521042519
pv__ITA__annual_difference,pv,ITA,Italy,annual_difference,11,9,2011,2024,const,-0.0532613340302095,0.15665907282675012,0.741669829315309,-0.4076487777425673,0.3011261096821483,,0.27485453431771295,0.8506510937664588,
pv__ITA__annual_difference,pv,ITA,Italy,annual_difference,11,9,2011,2024,lnQ,-0.06867933575987752,0.5729187593111876,0.9072145480680404,-1.364711610837139,1.2273529393173839,,0.9268799382309012,0.9425536960677476,0.9072145480680404
pv__JPN__main_level,pv,JPN,Japan,main_level,14,12,2011,2024,const,8.426501929102534,0.3984008373436182,7.25132208234743e-11,7.558461073348092,9.294542784856974,***,0.31564802923212,4.684493670828786e-12,
pv__JPN__main_level,pv,JPN,Japan,main_level,14,12,2011,2024,lnQ,-0.17136947053198173,0.06394033951663161,0.020031513333947523,-0.31068350260409705,-0.03205543845986644,**,0.052228038469232636,0.006565779791080692,0.020031513333947523
pv__JPN__annual_difference,pv,JPN,Japan,annual_difference,13,11,2012,2024,const,0.002714179781504584,0.31345268722140845,0.993246266967326,-0.6871905331836606,0.6926188927466698,,0.3533526153538952,0.9940088686900701,
pv__JPN__annual_difference,pv,JPN,Japan,annual_difference,13,11,2012,2024,lnQ,-0.20808977568472428,1.2940310486498132,0.8751603298736454,-3.056232910460781,2.6400533590913327,,1.3765283467277731,0.8825782872148111,0.9072145480680404
pv__KOR__main_level,pv,KOR,South Korea,main_level,14,12,2011,2024,const,9.799162155676273,0.6669466959615609,4.923736803899391e-09,8.346010137811056,11.252314173541489,***,0.5049921510330923,1.9843944683071848e-10,
pv__KOR__main_level,pv,KOR,South Korea,main_level,14,12,2011,2024,lnQ,-0.43216985099143135,0.11587122462241287,0.0028752765744617516,-0.6846315617879974,-0.1797081401948652,***,0.08355746606427097,0.00023233479833762946,0.0031628042319079264
pv__KOR__annual_difference,pv,KOR,South Korea,annual_difference,13,11,2012,2024,const,0.5728359699982394,0.49784456689848994,0.2742826061687451,-0.5229125337775847,1.6685844737740636,,0.44185638314556286,0.22136502119990942,
pv__KOR__annual_difference,pv,KOR,South Korea,annual_difference,13,11,2012,2024,lnQ,-2.727434339678564,1.9132692164138683,0.18175624490424458,-6.938511492265641,1.4836428129085126,,1.7213056028276832,0.14138341244713426,0.3998637387893381
pv__USA__main_level,pv,USA,United States,main_level,15,13,2010,2024,const,10.31070497682888,0.511574498302418,3.446009226317734e-11,9.20551546525066,11.415894488407101,***,0.35882447602362466,3.7740942663639557e-13,
pv__USA__main_level,pv,USA,United States,main_level,15,13,2010,2024,lnQ,-0.5214862563796543,0.08420575483730913,3.255168458641644e-05,-0.703401729823967,-0.3395707829353416,***,0.06065712232887585,1.007884842502676e-06,5.967808840843014e-05
pv__USA__annual_difference,pv,USA,United States,annual_difference,14,12,2011,2024,const,-0.37919205472356626,0.09230543512173879,0.001451412577449216,-0.5803083210148265,-0.178075788432306,***,0.11372924409588236,0.005952035215489422,
