model_id,iso3,role,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_role_spec,p_BH_all_specs_within_role
DEU__new_source_old_years__A,DEU,new_source_old_years,A,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logG,-3.53921548546473,4.733304484093641,0.496187928897248,-16.680975551737312,9.602544580807852,,0.744281893345872,0.7481440987486075
DEU__new_source_old_years__A,DEU,new_source_old_years,A,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logM,0.21303185506869365,0.06524719749315357,0.03093469433273345,0.031876592960953354,0.39418711717643395,**,0.09280408299820035,0.11892848338841001
DEU__new_source_old_years__B,DEU,new_source_old_years,B,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,const,35.885284589088236,47.57927358243804,0.48470081109615,-86.42113183469775,158.1917010128742,,,
DEU__new_source_old_years__B,DEU,new_source_old_years,B,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logQ,-0.19454964996226898,0.6187612537822368,0.7658999915036839,-1.7851260895304384,1.3960267896059004,,0.7658999915036839,0.8510125430036626
DEU__new_source_old_years__B,DEU,new_source_old_years,B,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logG,-3.245233245221815,4.736371170062374,0.5237008691240252,-15.42046294181567,8.92999645137204,,0.6982678254987004,0.7481440987486075
DEU__new_source_old_years__C,DEU,new_source_old_years,C,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,const,37.26951864997752,47.5160995007659,0.47667780305656565,-94.65632322701552,169.19536052697057,,,
DEU__new_source_old_years__C,DEU,new_source_old_years,C,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logQ,0.011359270841237334,0.6335184957364308,0.9865530641823581,-1.7475700556984486,1.7702885973809233,,0.9865530641823581,0.9865621024688018
DEU__new_source_old_years__C,DEU,new_source_old_years,C,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logG,-3.539192496865848,4.733162259869727,0.4961784053659714,-16.680557685388102,9.602172691656406,,0.7442676080489572,0.7481440987486075
DEU__new_source_old_years__C,DEU,new_source_old_years,C,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logM,0.21303143996436147,0.06524702969956019,0.03093463499844903,0.03187664372632218,0.3941862362024008,**,0.0928039049953471,0.11892848338841001
DEU__new_source_old_years__D,DEU,new_source_old_years,D,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,const,35.88523734899425,47.577660796648175,0.4846873077066148,-86.41703327693551,158.18750797492402,,,
DEU__new_source_old_years__D,DEU,new_source_old_years,D,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logQ,-0.19453860475790352,0.6187571794428569,0.7659112887032964,-1.785104570903271,1.3960273613874636,,0.7659112887032964,0.8510125430036626
DEU__new_source_old_years__D,DEU,new_source_old_years,D,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,logG,-3.245240874898421,4.736228504713608,0.523687963992854,-15.420103838538164,8.929622088741322,,0.6982506186571387,0.7481440987486075
DEU__annual_difference__C,DEU,annual_difference,C,13,9,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,const,0.1676830932873398,0.0635777967817844,0.027026640371582162,0.02386012489894393,0.3115060616757357,**,,
DEU__annual_difference__C,DEU,annual_difference,C,13,9,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,logQ,-0.9337213937071559,0.14075271210821189,9.549770319956819e-05,-1.2521261495938885,-0.6153166378204235,***,0.0011459724383948184,0.0021009494703905004
DEU__annual_difference__C,DEU,annual_difference,C,13,9,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,logG,-0.7919143436586278,1.1486634789368042,0.5079410709917316,-3.390371660244428,1.8065429729271727,,0.5265952894563288,0.6436164648910685
DEU__annual_difference__C,DEU,annual_difference,C,13,9,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,logM,0.1510368786577969,0.043438790426474215,0.006971378219525831,0.05277150774883019,0.24930224956676364,***,0.027885512878103324,0.03834258020739207
DEU__annual_difference__D,DEU,annual_difference,D,13,10,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,const,0.1878140322764499,0.09109185082809236,0.06618623530248195,-0.01515125965101724,0.39077932420391703,*,,
DEU__annual_difference__D,DEU,annual_difference,D,13,10,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,logQ,-1.1696449262799904,0.2535247327966302,0.0009600301318918077,-1.7345332333581918,-0.604756619201789,***,0.009600301318918076,0.010560331450809883
DEU__annual_difference__D,DEU,annual_difference,D,13,10,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,logG,-0.34205346169478146,1.2834831316070825,0.7952656987833384,-3.2018320930701503,2.5177251696805873,,0.9895674246247996,0.8787492869728938
JPN__updated_main__A,JPN,updated_main,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,const,-77.82932547116788,27.89598930726864,0.03157825034427465,-146.08835230653685,-9.570298635798906,**,,
JPN__updated_main__A,JPN,updated_main,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logQ,-1.9704792962029687,0.45196469182838656,0.004771483079955272,-3.0763970569369317,-0.8645615354690057,***,0.016900768447699492,0.014910884624860225
JPN__updated_main__A,JPN,updated_main,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logG,8.347883866856607,2.8041156044868276,0.024732067252653787,1.4864601622572495,15.209307571455966,**,0.046372626098725854,0.042200776106447006
JPN__updated_main__A,JPN,updated_main,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logM,-0.1622103162305492,0.17529558434011752,0.3904825585264674,-0.5911431590057652,0.2667225265446668,,0.5321435645569337,0.5137932618504514
JPN__updated_main__B,JPN,updated_main,B,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,const,-72.06866061839557,26.916114090579477,0.03165241306968764,-135.71515675561807,-8.422164481173077,**,,
JPN__updated_main__B,JPN,updated_main,B,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logQ,-1.753064622936054,0.409120128668237,0.0036331245363869875,-2.7204800009997276,-0.7856492448723804,***,0.009082811340967467,0.012975548116322597
JPN__updated_main__B,JPN,updated_main,B,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logG,7.655650109438095,2.7029253170467493,0.025320465663868204,1.264247354505235,14.047052864370954,**,0.03617209380552601,0.042200776106447006
JPN__updated_main__C,JPN,updated_main,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,const,-77.827809361676,27.895482290471588,0.03157840196264165,-146.08559557163554,-9.57002315171647,**,,
JPN__updated_main__C,JPN,updated_main,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logQ,-1.9704882426850314,0.4519662819641199,0.004771460007633358,-3.0764098943409652,-0.8645665910290976,***,0.01690151733105788,0.014910884624860225
JPN__updated_main__C,JPN,updated_main,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logG,8.34776373688381,2.8040745418169304,0.02473204312855307,1.4864405090180632,15.209086964749556,**,0.04637258086603701,0.042200776106447006
JPN__updated_main__C,JPN,updated_main,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logM,-0.16220937601787777,0.175294694789417,0.39048287900634304,-0.5911400421409425,0.26672129010518697,,0.53215039662358,0.5137932618504514
JPN__updated_main__D,JPN,updated_main,D,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,const,-72.06735225379222,26.915634788467816,0.031652455705309834,-135.71271502161764,-8.421989485966797,**,,
JPN__updated_main__D,JPN,updated_main,D,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logQ,-1.753074763153629,0.4091231133384506,0.0036331534725703276,-2.7204971988408726,-0.7856523274663854,***,0.009082883681425818,0.012975548116322597
JPN__updated_main__D,JPN,updated_main,D,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,logG,7.655548786437493,2.7028876557458306,0.025320393845410304,1.2642350863301335,14.046862486544853,**,0.03617199120772901,0.042200776106447006
JPN__annual_difference__C,JPN,annual_difference,C,9,5,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,const,-0.16405049936457244,0.21206931233295576,0.47415187173341655,-0.7091920215435528,0.3810910228144078,,,
JPN__annual_difference__C,JPN,annual_difference,C,9,5,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,logQ,-1.1749130453972272,0.8102536321327108,0.20673341981095578,-3.257736314415922,0.9079102236214676,,0.2772444368115536,0.3049688804927089
JPN__annual_difference__C,JPN,annual_difference,C,9,5,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,logG,7.373882362049784,3.876214195889557,0.11551572879736399,-2.590243440939533,17.3380081650391,,0.23103145759472798,0.2823717815046675
JPN__annual_difference__C,JPN,annual_difference,C,9,5,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,logM,-0.16215487112305083,0.23839573707086864,0.5265952894563288,-0.7749706225305565,0.45066088028445483,,0.5265952894563288,0.6436164648910685
JPN__annual_difference__D,JPN,annual_difference,D,9,6,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,const,-0.12345934298694214,0.22932961543113062,0.6097111032917606,-0.6846086968038939,0.4376900108300096,,,
JPN__annual_difference__D,JPN,annual_difference,D,9,6,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,logQ,-1.0646444688861043,0.7387827086017165,0.19964170995266317,-2.8723806339846245,0.7430916962124161,,0.33273618325443866,0.3049688804927089
JPN__annual_difference__D,JPN,annual_difference,D,9,6,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,logG,6.5648822502690765,4.347100579241445,0.1817421894869888,-4.0720896751959765,17.20185417573413,,0.33273618325443866,0.3049688804927089
KOR__updated_main__A,KOR,updated_main,A,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,13.289822920061418,40.300899418131806,0.7581240557829908,-98.60341200447945,125.18305784460227,,,
KOR__updated_main__A,KOR,updated_main,A,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logQ,-0.44198759621430983,0.6486070401912053,0.5330020511128779,-2.2428094381500134,1.358834245721394,,0.6150023666687052,0.6345325066236834
KOR__updated_main__A,KOR,updated_main,A,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logG,-1.0540530529592953,4.073027115691598,0.8085698118693674,-12.362589251659141,10.25448314574055,,0.8085698118693674,0.8111332391393868
KOR__updated_main__A,KOR,updated_main,A,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,logM,0.07709378437517361,0.07516731743275178,0.36303827916518083,-0.13160414618183922,0.28579171493218647,,0.5321435645569337,0.5137932618504514
KOR__updated_main__B,KOR,updated_main,B,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,const,12.347882945137359,35.726392126552206,0.7436922901632349,-79.48973170819798,104.1854975984727,,,
