model_id,year,y,logQ,logG,logM,fitted,residual
DEU__new_source_old_years__B,2017,-0.30417038533008295,5.951553934028465,10.835830693477304,2.891409513410439,-0.43738615157606375,0.1332157662459808
DEU__new_source_old_years__C,2010,1.1459071105354406,3.682166724070565,10.512736686478211,4.456192445165693,1.0540556701207675,0.09185144041467308
DEU__new_source_old_years__C,2011,0.7105540398602702,4.252328599622632,10.605641549672672,4.509679808932987,0.7431185886715705,-0.03256454881130033
DEU__new_source_old_years__C,2012,0.24709265137139125,4.598290072191402,10.661010194065058,3.523311081544699,0.3409606176126029,-0.09386796624121163
DEU__new_source_old_years__C,2013,0.18688024155311425,4.90117475518874,10.685852276792648,3.015723559908184,0.14834815332225182,0.03853208823086243
DEU__new_source_old_years__C,2014,0.10203394737081978,5.151279397977148,10.713583311801187,3.26713839072327,0.10660295210272808,-0.004569004731908299
DEU__new_source_old_years__C,2015,-0.12455785037253038,5.39300057712095,10.736010048349293,3.164990795937875,0.008215541518420633,-0.132773391890951
DEU__new_source_old_years__C,2016,-0.15452682770338777,5.674382328161501,10.780184633729247,2.929240932529897,-0.195152660963826,0.04062583326043823
DEU__new_source_old_years__C,2017,-0.30417038533008295,5.951553934028465,10.835811011768737,2.891409513410439,-0.3969359350993852,0.09276554976930224
DEU__new_source_old_years__D,2010,1.1459071105354406,3.682166724070565,10.512736686478211,4.456192445165693,1.0525509700043045,0.09335614053113606
DEU__new_source_old_years__D,2011,0.7105540398602702,4.252328599622632,10.605641549672672,4.509679808932987,0.6401338147327493,0.07042022512752089
DEU__new_source_old_years__D,2012,0.24709265137139125,4.598290072191402,10.661010194065058,3.523311081544699,0.3931463645893416,-0.14605371321795035
DEU__new_source_old_years__D,2013,0.18688024155311425,4.90117475518874,10.685852276792648,3.015723559908184,0.2536050586713188,-0.06672481711820452
DEU__new_source_old_years__D,2014,0.10203394737081978,5.151279397977148,10.713583311801187,3.26713839072327,0.11495616210683579,-0.012922214736016013
DEU__new_source_old_years__D,2015,-0.12455785037253038,5.39300057712095,10.736010048349293,3.164990795937875,-0.00484810096072863,-0.11970974941180175
DEU__new_source_old_years__D,2016,-0.15452682770338777,5.674382328161501,10.780184633729247,2.929240932529897,-0.20294488431920854,0.04841805661582077
DEU__new_source_old_years__D,2017,-0.30417038533008295,5.951553934028465,10.835811011768737,2.891409513410439,-0.43738645753937533,0.13321607220929238
DEU__annual_difference__C,2011,-0.4353530706751704,0.570161875552067,0.09290486319446067,0.05348736376729324,-0.43018337708011206,-0.005169693595058311
DEU__annual_difference__C,2012,-0.46346138848887897,0.34596147256876986,0.0553686443923862,-0.9863687273882875,-0.3481738125222068,-0.11528757596667216
DEU__annual_difference__C,2013,-0.060212409818276996,0.3028846829973384,0.0248420827275897,-0.5075875216365149,-0.21146405160544385,0.15125164178716685
DEU__annual_difference__C,2014,-0.08484629418229447,0.2501046427884077,0.02773103500853935,0.25141483081508564,-0.04983265544285587,-0.03501363873943861
DEU__annual_difference__C,2015,-0.22659179774335014,0.2417211791438021,0.022426736548105453,-0.1021475947853947,-0.09120525122403354,-0.1353865465193166
DEU__annual_difference__C,2016,-0.02996897733085739,0.2813817510405512,0.04417458537995422,-0.2357498634079782,-0.16563847875870513,0.13566950142784773
DEU__annual_difference__C,2017,-0.14964355762669518,0.27717160586696377,0.055626378039489666,-0.037831419119457976,-0.1408832309530591,-0.008760326673636076
DEU__annual_difference__C,2018,-0.11301469390811048,0.21908599669022522,0.07271574146851201,0.06548090212723512,-0.08457679649367152,-0.02843789741443896
DEU__annual_difference__C,2019,-0.17974947560176197,0.19256896682238178,0.03054912804718768,-0.44973997564722357,-0.10424228561502384,-0.07550718998673812
DEU__annual_difference__C,2020,0.09386225714334151,0.20294792819386398,0.05121674082896277,-0.012261363251104829,-0.06422491880725308,0.15808717595059457
DEU__annual_difference__C,2021,0.031060460579165672,0.1848607098549584,0.05915442968248641,0.9473417249528824,0.09131298944254373,-0.06025252886337806
DEU__annual_difference__C,2022,-0.027502445653357688,0.2015759373757966,0.08323129472018032,0.18252486828325187,-0.05887674164427692,0.03137429599091923
DEU__annual_difference__C,2023,-0.3301662875818988,0.2977491784524089,0.09243596005178212,-0.887637669343901,-0.3175990701840507,-0.012567217397848107
DEU__annual_difference__D,2011,-0.4353530706751704,0.570161875552067,0.09290486319446067,0.05348736376729324,-0.5108513426852539,0.07549827201008352
DEU__annual_difference__D,2012,-0.46346138848887897,0.34596147256876986,0.0553686443923862,-0.9863687273882875,-0.23577708528572885,-0.2276843032031501
DEU__annual_difference__D,2013,-0.060212409818276996,0.3028846829973384,0.0248420827275897,-0.5075875216365149,-0.1749508208319904,0.1147384110137134
DEU__annual_difference__D,2014,-0.08484629418229447,0.2501046427884077,0.02773103500853935,0.25141483081508564,-0.11420509072113062,0.02935879653883615
DEU__annual_difference__D,2015,-0.22659179774335014,0.2417211791438021,0.022426736548105453,-0.1021475947853947,-0.1025850613543112,-0.12400673638903895
DEU__annual_difference__D,2016,-0.02996897733085739,0.2813817510405512,0.04417458537995422,-0.2357498634079782,-0.1564127750240552,0.1264437976931978
DEU__annual_difference__D,2017,-0.14964355762669518,0.27717160586696377,0.055626378039489666,-0.037831419119457976,-0.1554055254046715,0.005761967777976329
DEU__annual_difference__D,2018,-0.11301469390811048,0.21908599669022522,0.07271574146851201,0.06548090212723512,-0.09331146326027408,-0.019703230647836398
DEU__annual_difference__D,2019,-0.17974947560176197,0.19256896682238178,0.03054912804718768,-0.44973997564722357,-0.047872717726626435,-0.13187675787513553
DEU__annual_difference__D,2020,0.09386225714334151,0.20294792819386398,0.05121674082896277,-0.012261363251104829,-0.06708184573181009,0.1609441028751516
DEU__annual_difference__D,2021,0.031060460579165672,0.1848607098549584,0.05915442968248641,0.9473417249528824,-0.048641336521394594,0.07970179710056027
DEU__annual_difference__D,2022,-0.027502445653357688,0.2015759373757966,0.08323129472018032,0.18252486828325187,-0.07642779261565992,0.04892534696230223
DEU__annual_difference__D,2023,-0.3301662875818988,0.2977491784524089,0.09243596005178212,-0.887637669343901,-0.19206482372523823,-0.13810146385666058
JPN__updated_main__A,2010,1.8222651613974585,3.682166724070565,10.512763874058926,4.456192445165693,1.9515327884985334,-0.12926762710107487
JPN__updated_main__A,2011,1.767657320186044,4.252328599622632,10.605666325206338,4.509679808932987,1.594903288172819,0.17275403201322503
JPN__updated_main__A,2012,1.5930233629950608,4.598290072191402,10.661033635112348,3.523311081544699,1.5353924254973759,0.057630937497684886
JPN__updated_main__A,2013,1.2058067222315105,4.90117475518874,10.685875142695629,3.015723559908184,1.2282743812963226,-0.022467659064812073
JPN__updated_main__A,2014,0.9233103391951751,5.151279397977148,10.713605552327314,3.26713839072327,0.9261565207716358,-0.00284618157646066
JPN__updated_main__A,2015,0.4112984431187065,5.39300057712095,10.736031795649817,3.164990795937875,0.6536310102934427,-0.24233256717473622
JPN__updated_main__A,2016,0.8216190728758879,5.674382328161501,10.780205441271315,2.929240932529897,0.5061716190573747,0.31544745381851313
