model_id,year,y,x,fitted_log,residual_log
wind__CAN__main_level,2018,7.064642989272673,6.290532398624406,7.1583517845177305,-0.09370879524505771
wind__CAN__main_level,2019,7.6916056448087184,6.38729428375806,7.132772539906044,0.558833104902674
wind__CAN__main_level,2020,7.015957636945303,6.5486992739946635,7.090104729940313,-0.07414709299500988
wind__CAN__main_level,2021,6.961332374743764,6.645448863841342,7.06452873561827,-0.10319636087450679
wind__CAN__main_level,2022,7.201228935684452,6.733146895042726,7.041345543300707,0.15988339238374483
wind__CAN__main_level,2023,6.936946262072288,6.849202095255681,7.0106660629391495,-0.07371980086686136
wind__CAN__main_level,2024,6.517945717439862,6.955776347473294,6.982492894723004,-0.46454717728314154
wind__CAN__annual_difference,2011,-0.07251425270848966,0.19625501302491166,-0.07031803246617518,-0.0021962202423144728
wind__CAN__annual_difference,2012,0.31486821287685274,0.1894863767809527,-0.06832603459727016,0.3831942474741229
wind__CAN__annual_difference,2013,-0.09259967288138515,0.11179534541401814,-0.04546169925141789,-0.047137973629967266
wind__CAN__annual_difference,2014,-0.04497629272909354,0.15312661276529838,-0.05762541931487614,0.012649126585782607
wind__CAN__annual_difference,2015,0.11812968170727078,0.17119928049009303,-0.06294417397913374,0.18107385568640452
wind__CAN__annual_difference,2016,-0.07795111265477139,0.11273516280027529,-0.04573828587287432,-0.032212826781897075
wind__CAN__annual_difference,2017,-0.155240428052827,0.09117496761724109,-0.03939315794609116,-0.11584727010673584
wind__CAN__annual_difference,2018,-0.1414263376360516,0.08459740305843066,-0.03745739214165313,-0.10396894549439847
wind__CAN__annual_difference,2019,0.6269626555360457,0.09676188513365425,-0.04103737804971632,0.668000033585762
wind__CAN__annual_difference,2020,-0.6756480078634155,0.16140499023660304,-0.06006173139998017,-0.6155862764634353
wind__CAN__annual_difference,2021,-0.05462526220153929,0.09674958984667814,-0.041033759568153534,-0.013591502633385759
wind__CAN__annual_difference,2022,0.23989656094068845,0.0876980312013842,-0.03836990160890998,0.2782664625495984
wind__CAN__annual_difference,2023,-0.26428267361216395,0.1160552002129549,-0.04671536710643083,-0.21756730650573314
wind__CAN__annual_difference,2024,-0.41900054463242586,0.10657425221761319,-0.04392514060862251,-0.37507540402380335
wind__CHN__main_level,2010,6.470899502642039,5.180162236673185,6.739641728130229,-0.2687422254881895
wind__CHN__main_level,2011,6.6144422896467905,5.376417249698097,6.739828777990847,-0.12538648834405652
wind__CHN__main_level,2012,6.724439074977184,5.56590362647905,6.740009376691586,-0.015570301714402213
wind__CHN__main_level,2013,6.701984223348478,5.677698971893068,6.7401159283839736,-0.03813170503549568
wind__CHN__main_level,2014,6.824521968138676,5.830825584658366,6.740261872740417,0.08426009539825863
wind__CHN__main_level,2015,6.860873219027706,6.002024865148459,6.740425042083508,0.12044817694419763
wind__CHN__main_level,2016,6.904667404217524,6.114760027948734,6.740532489512053,0.16413491470547115
wind__CHN__main_level,2017,6.857428392566497,6.2059349955659755,6.740619388005609,0.1168090045608885
wind__CHN__main_level,2018,6.94331244359371,6.290532398624406,6.740700017448938,0.20261242614477215
wind__CHN__main_level,2019,6.894718597386668,6.38729428375806,6.7407922408110235,0.1539263565756448
wind__CHN__main_level,2020,6.975848428312097,6.5486992739946635,6.740946075255614,0.23490235305648266
wind__CHN__main_level,2021,6.830489944331476,6.645448863841342,6.741038286899112,0.08945165743236405
wind__CHN__main_level,2022,6.691435256182797,6.733146895042726,6.741121871538606,-0.049686615355809316
wind__CHN__main_level,2023,6.513056420832723,6.849202095255681,6.741232483281406,-0.22817606244868305
wind__CHN__main_level,2024,6.300482472339494,6.955776347473294,6.7413340587709465,-0.44085158643145217
wind__CHN__annual_difference,2011,0.1435427870047512,0.19625501302491166,0.12627176295174947,0.017271024053001738
wind__CHN__annual_difference,2012,0.10999678533039337,0.1894863767809527,0.11277411824313238,-0.0027773329127390167
wind__CHN__annual_difference,2013,-0.022454851628705974,0.11179534541401814,-0.042153093183368684,0.01969824155466271
wind__CHN__annual_difference,2014,0.12253774479019786,0.15312661276529838,0.04026746273915577,0.08227028205104209
wind__CHN__annual_difference,2015,0.03635125088903024,0.17119928049009303,0.07630698962374577,-0.03995573873471553
wind__CHN__annual_difference,2016,0.04379418518981826,0.11273516280027529,-0.04027896068260062,0.08407314587241888
wind__CHN__annual_difference,2017,-0.04723901165102706,0.09117496761724109,-0.08327312434278586,0.036034112691758796
wind__CHN__annual_difference,2018,0.08588405102721275,0.08459740305843066,-0.09638974433282488,0.18227379536003763
wind__CHN__annual_difference,2019,-0.04859384620704166,0.09676188513365425,-0.07213199857757752,0.02353815237053586
wind__CHN__annual_difference,2020,0.08112983092542869,0.16140499023660304,0.05677575094436366,0.024354079981065035
wind__CHN__annual_difference,2021,-0.1453584839806208,0.09674958984667814,-0.07215651716732183,-0.07320196681329896
wind__CHN__annual_difference,2022,-0.13905468814867916,0.0876980312013842,-0.09020664104012271,-0.04884804710855645
wind__CHN__annual_difference,2023,-0.17837883535007393,0.1160552002129549,-0.033658323407896845,-0.14472051194217708
wind__CHN__annual_difference,2024,-0.21257394849322875,0.10657425221761319,-0.05256471207019378,-0.16000923642303497
wind__DEU__main_level,2010,6.38531064729008,5.180162236673185,6.594228221100465,-0.20891757381038545
wind__DEU__main_level,2011,6.662651458522096,5.376417249698097,6.6338735424351665,0.0287779160869297
wind__DEU__main_level,2012,6.629505505510202,5.56590362647905,6.672151536868233,-0.042646031358031244
wind__DEU__main_level,2013,6.66504728806993,5.677698971893068,6.694735226957719,-0.029687938887788867
wind__DEU__main_level,2014,6.754260218908241,5.830825584658366,6.725668213964803,0.028592004943438276
wind__DEU__main_level,2015,6.833861203611955,6.002024865148459,6.760252046411609,0.07360915720034544
wind__DEU__main_level,2016,6.86413136294733,6.114760027948734,6.78302558827456,0.08110577467277036
wind__DEU__main_level,2017,6.937437695279027,6.2059349955659755,6.8014437720098595,0.13599392326916782
wind__DEU__main_level,2018,6.934116539824635,6.290532398624406,6.81853322708486,0.1155833127397754
wind__DEU__main_level,2019,6.858448402574534,6.38729428375806,6.838080019648004,0.020368382926529982
wind__DEU__main_level,2020,6.958099487160983,6.5486992739946635,6.870685315198554,0.08741417196242907
wind__DEU__main_level,2021,6.9786779491540605,6.645448863841342,6.8902296240004155,0.08844832515364498
wind__DEU__main_level,2022,6.990841133282879,6.733146895042726,6.907945434535956,0.08289569874692226
wind__DEU__main_level,2023,6.745700750753798,6.849202095255681,6.931389654554029,-0.18568890380023095
wind__DEU__main_level,2024,6.677070415854225,6.955776347473294,6.952918635699781,-0.27584821984555585
wind__DEU__annual_difference,2011,0.27734081123201637,0.19625501302491166,0.11926000208941262,0.15808080914260375
wind__DEU__annual_difference,2012,-0.03314595301189449,0.1894863767809527,0.1096645372887598,-0.1428104903006543
wind__DEU__annual_difference,2013,0.035541782559728397,0.11179534541401814,-0.0004730930903555919,0.03601487565008399
wind__DEU__annual_difference,2014,0.08921293083831117,0.15312661276529838,0.0581196140283852,0.03109331680992597
wind__DEU__annual_difference,2015,0.07960098470371335,0.17119928049009303,0.0837400847933692,-0.004139100089655845
wind__DEU__annual_difference,2016,0.0302701593353758,0.11273516280027529,0.0008592262017204921,0.02941093313365531
wind__DEU__annual_difference,2017,0.07330633233169692,0.09117496761724109,-0.029705290270656187,0.10301162260235311
wind__DEU__annual_difference,2018,-0.003321155454392155,0.08459740305843066,-0.039029884904385734,0.03570872944999358
wind__DEU__annual_difference,2019,-0.07566813725010135,0.09676188513365425,-0.021785072897364838,-0.053883064352736515
wind__DEU__annual_difference,2020,0.09965108458644956,0.16140499023660304,0.06985534287676545,0.029795741709684104
wind__DEU__annual_difference,2021,0.020578461993077113,0.09674958984667814,-0.021802503143154517,0.04238096513623163
wind__DEU__annual_difference,2022,0.012163184128818116,0.0876980312013842,-0.03463432173134952,0.046797505860167635
wind__DEU__annual_difference,2023,-0.24514038252908055,0.1160552002129549,0.005565831931737458,-0.250706214460818
wind__DEU__annual_difference,2024,-0.06863033489957271,0.10657425221761319,-0.00787470460873868,-0.06075563029083403
wind__ESP__main_level,2010,7.038129577615569,5.180162236673185,7.2550279996293,-0.2168984220137311
wind__ESP__main_level,2011,7.1340296825130345,5.376417249698097,7.155256587539965,-0.021226905026930254
wind__ESP__main_level,2012,7.10286101170056,5.56590362647905,7.058926190207756,0.04393482149280459
wind__ESP__main_level,2013,7.060089739478371,5.677698971893068,7.002092077768774,0.05799766170959675
wind__ESP__main_level,2014,6.754049484642113,5.830825584658366,6.924246125461245,-0.17019664081913177
wind__ESP__main_level,2015,6.7375918831886565,6.002024865148459,6.8372124558499285,-0.099620572661272
wind__ESP__main_level,2016,6.756056676707186,6.114760027948734,6.779900562454998,-0.023843885747811377
wind__ESP__main_level,2017,6.983827821887474,6.2059349955659755,6.733549362930647,0.250278458956827
wind__ESP__main_level,2018,7.483457341919413,6.290532398624406,6.690542041832771,0.7929153000866425
wind__ESP__main_level,2019,6.8008076203516445,6.38729428375806,6.6413505854342265,0.15945703491741803
wind__ESP__main_level,2020,6.353345619767945,6.5486992739946635,6.559296101597285,-0.20595048182933962
wind__ESP__main_level,2021,6.395965089715005,6.645448863841342,6.510110895832162,-0.11414580611715763
wind__ESP__main_level,2022,6.2245758476744495,6.733146895042726,6.465527288638872,-0.24095144096442223
wind__ESP__main_level,2023,6.003955489197918,6.849202095255681,6.406527566659351,-0.402572077461433
wind__ESP__main_level,2024,6.543170690130803,6.955776347473294,6.352347734652886,0.19082295547791706
wind__ESP__annual_difference,2011,0.09590010489746525,0.19625501302491166,-0.1431693263655449,0.23906943126301017
wind__ESP__annual_difference,2012,-0.031168670812474097,0.1894863767809527,-0.13265788565909753,0.10148921484662343
wind__ESP__annual_difference,2013,-0.04277127222218979,0.11179534541401814,-0.012006599313914179,-0.030764672908275614
wind__ESP__annual_difference,2014,-0.3060402548362573,0.15312661276529838,-0.07619252250827371,-0.22984773232798358
wind__ESP__annual_difference,2015,-0.01645760145345676,0.17119928049009303,-0.104258704283968,0.08780110283051124
wind__ESP__annual_difference,2016,0.01846479351852981,0.11273516280027529,-0.013466100810888143,0.03193089432941795
wind__ESP__annual_difference,2017,0.22777114518028796,0.09117496761724109,0.02001608158414958,0.20775506359613838
wind__ESP__annual_difference,2018,0.49962952003193895,0.08459740305843066,0.030230795059773746,0.46939872497216517
wind__ESP__annual_difference,2019,-0.6826497215677687,0.09676188513365425,0.0113398061737221,-0.6939895277414908
wind__ESP__annual_difference,2020,-0.4474620005836991,0.16140499023660304,-0.08904853527050077,-0.35841346531319834
wind__ESP__annual_difference,2021,0.04261946994705923,0.09674958984667814,0.011358900297761265,0.031260569649297965
wind__ESP__annual_difference,2022,-0.17138924204055517,0.0876980312013842,0.025415634708013557,-0.19680487674856872
wind__ESP__annual_difference,2023,-0.2206203584765314,0.1160552002129549,-0.018621995609890807,-0.20199836286664058
wind__ESP__annual_difference,2024,0.539215200932885,0.10657425221761319,-0.003898435486107882,0.5431136364189929
