technology,iso3,country,year,tic,logC,logQ,logK,logM,source_sheet,source_cell,model_id,fitted_log_cost,residual
wind,GRC,Greece,2017,2279.9391883381822,7.731904049811289,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J18,wind_GRC_2024,7.676947499044267,0.054956550767021994
wind,GRC,Greece,2018,2511.1647367498217,7.828501963038985,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K18,wind_GRC_2024,7.6578795862125,0.1706223768264845
wind,GRC,Greece,2019,2192.378913089225,7.692742494939803,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.7,L18,wind_GRC_2024,7.636069848271827,0.05667264666797589
wind,GRC,Greece,2020,2202.5787219674644,7.697384099268066,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M18,wind_GRC_2024,7.599689815632788,0.09769428363527854
wind,GRC,Greece,2021,1540.4361586828409,7.339820875232406,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.7,N18,wind_GRC_2024,7.577882849000119,-0.23806197376771276
wind,GRC,Greece,2022,1963.843736777833,7.582658921990307,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.7,O18,wind_GRC_2024,7.558116067113084,0.02454285487722263
wind,GRC,Greece,2023,1600.845018371483,7.378286905295062,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P18,wind_GRC_2024,7.531957693908586,-0.1536707886135238
wind,GRC,Greece,2024,1966.8938205766929,7.584210836544009,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.7,Q18,wind_GRC_2024,7.507936288074265,0.07627454846974402
wind,HRV,Croatia,2011,2428.2141588364498,7.794911352093801,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D12,wind_HRV_2024,7.858793339398926,-0.06388198730512507
wind,HRV,Croatia,2012,2020.581135988339,7.611140440103442,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E12,wind_HRV_2024,7.810583773365618,-0.19944333326217567
wind,HRV,Croatia,2014,2959.7675959303,7.992866029347239,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.7,G12,wind_HRV_2024,7.7431817107292975,0.24968431861794116
wind,HRV,Croatia,2015,2107.1047714082165,7.6530701379633745,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.7,H12,wind_HRV_2024,7.699624790396269,-0.046554652432894805
wind,HRV,Croatia,2016,2337.545701855688,7.756856812567729,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I12,wind_HRV_2024,7.670942447276803,0.08591436529092533
wind,HRV,Croatia,2017,2337.545701855687,7.756856812567728,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J12,wind_HRV_2024,7.647745499313576,0.10911131325415191
wind,HRV,Croatia,2020,1968.6195563914648,7.585087843307845,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M12,wind_HRV_2024,7.56053861196109,0.024549231346754574
wind,HRV,Croatia,2021,1824.5575566674672,7.509092801921791,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.7,N12,wind_HRV_2024,7.535923355605216,-0.026830553683424796
wind,HRV,Croatia,2023,1558.5875622615483,7.351535281306754,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P12,wind_HRV_2024,7.48408398313294,-0.1325487018261864
wind,IDN,Indonesia,2017,3097.299637410054,8.038285926152053,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J19,wind_IDN_2024,7.943143243477608,0.09514268267444503
wind,IDN,Indonesia,2018,2381.944059822307,7.775672265098047,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K19,wind_IDN_2024,7.910133064378531,-0.13446079928048427
wind,IDN,Indonesia,2019,2658.183405648922,7.885398238265513,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.7,L19,wind_IDN_2024,7.8723762652009,0.013021973064612169
wind,IDN,Indonesia,2020,2529.284313808457,7.835691661785889,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M19,wind_IDN_2024,7.809395518244459,0.02629614354142973
wind,IND,India,2010,1607.2867942080602,7.382302815407491,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.6,C15,wind_IND_2024,7.4773138713938305,-0.09501105598633952
wind,IND,India,2011,1439.2246792330563,7.271859830372191,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.6,D15,wind_IND_2024,7.427934235729297,-0.15607440535710637
wind,IND,India,2012,1727.3567208366633,7.454347612020716,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.6,E15,wind_IND_2024,7.3802576535894655,0.07408995843125066
wind,IND,India,2013,1775.4884766427886,7.481830862158076,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.6,F15,wind_IND_2024,7.352128876951111,0.12970198520696474
wind,IND,India,2014,1697.2585891987796,7.436769633825177,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.6,G15,wind_IND_2024,7.313600758701543,0.12316887512363461
wind,IND,India,2015,1517.2250364441445,7.324638311421371,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.6,H15,wind_IND_2024,7.270525384644433,0.0541129267769378
wind,IND,India,2016,1395.643984213105,7.241111225162439,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.6,I15,wind_IND_2024,7.242160140975713,-0.0010489158132740428
wind,IND,India,2017,1379.8823534779967,7.229753523414268,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.6,J15,wind_IND_2024,7.219219648331617,0.010533875082651356
wind,IND,India,2018,1381.2400608612577,7.230736969483618,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.6,K15,wind_IND_2024,7.197934133751356,0.03280283573226228
wind,IND,India,2019,1255.719701089365,7.1354641541999975,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.6,L15,wind_IND_2024,7.173587919300738,-0.03812376510074067
wind,IND,India,2020,1222.0443385764129,7.108280422687392,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.6,M15,wind_IND_2024,7.132976882214469,-0.024696459527076442
wind,IND,India,2021,1051.781225948876,6.958240411546307,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.6,N15,wind_IND_2024,7.108633761375484,-0.15039334982917651
wind,IND,India,2022,1191.1010340630933,7.082633397044562,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.6,O15,wind_IND_2024,7.086568099141054,-0.00393470209649216
wind,IND,India,2023,1236.9870705080064,7.120433920040374,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.6,P15,wind_IND_2024,7.057367502350374,0.06306641768999999
wind,IND,India,2024,1110.269638408882,7.012358182292184,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.6,Q15,wind_IND_2024,7.030552402625722,-0.018194220333538347
wind,IRL,Ireland,2010,4238.2409612573065,8.351903594516626,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.7,C20,wind_IRL_2024,8.085133627410038,0.2667699671065886
wind,IRL,Ireland,2011,2580.440328439444,7.855715333290975,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D20,wind_IRL_2024,8.025518660170802,-0.16980332687982624
wind,IRL,Ireland,2012,2580.440328439444,7.855715333290975,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E20,wind_IRL_2024,7.967959752655688,-0.1122444193647123
wind,IRL,Ireland,2013,2580.440328439444,7.855715333290975,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.7,F20,wind_IRL_2024,7.934000488371774,-0.07828515508079903
wind,IRL,Ireland,2014,2613.199770395157,7.868330715103112,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.7,G20,wind_IRL_2024,7.8874863236492665,-0.01915560854615439
wind,IRL,Ireland,2015,2308.9361491467293,7.744542155939111,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.7,H20,wind_IRL_2024,7.835482355238522,-0.09094019929941055
wind,IRL,Ireland,2016,2181.839458688478,7.687923588383049,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I20,wind_IRL_2024,7.801237609417964,-0.11331402103491506
wind,IRL,Ireland,2017,2407.8265834464555,7.786479786994201,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J20,wind_IRL_2024,7.773542048302027,0.012937738692174072
wind,IRL,Ireland,2018,2414.507673472744,7.7892506833879604,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K20,wind_IRL_2024,7.747844506445032,0.04140617694292814
wind,IRL,Ireland,2019,2805.127758790899,7.939204363725597,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.7,L20,wind_IRL_2024,7.718451847764168,0.2207525159614292
wind,IRL,Ireland,2020,2634.9848509409,7.876632711790397,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M20,wind_IRL_2024,7.669423020133747,0.20720969165664993
wind,IRL,Ireland,2022,2153.309866272955,7.674761410033498,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.7,O20,wind_IRL_2024,7.613394699039398,0.06136671099409963
wind,IRL,Ireland,2023,1837.415482063472,7.516115233873203,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P20,wind_IRL_2024,7.578141449443373,-0.062026215570170073
wind,IRL,Ireland,2024,1605.3455419648749,7.381094303336194,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.7,Q20,wind_IRL_2024,7.545768158914011,-0.16467385557781622
wind,ITA,Italy,2010,3042.576771339253,8.020460057522548,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.6,C16,wind_ITA_2024,8.20925584169133,-0.18879578416878218
wind,ITA,Italy,2011,3732.377300030415,8.22480065547191,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.6,D16,wind_ITA_2024,8.107396266466466,0.11740438900544348
wind,ITA,Italy,2012,3492.0935581917875,8.15825670875173,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.6,E16,wind_ITA_2024,8.00904972462625,0.14920698412548106
wind,ITA,Italy,2013,2409.1721620428693,7.7870384662476155,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.6,F16,wind_ITA_2024,7.951026104131299,-0.1639876378836833
wind,ITA,Italy,2014,2361.529671561993,7.767064853966952,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.6,G16,wind_ITA_2024,7.871550877019949,-0.10448602305299737
wind,ITA,Italy,2015,2527.535652399827,7.835000056591314,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.6,H16,wind_ITA_2024,7.782695638518042,0.052304418073271464
wind,ITA,Italy,2016,2129.873112690811,7.663817685422357,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.6,I16,wind_ITA_2024,7.724184237363238,-0.0603665519408807
wind,ITA,Italy,2017,3047.6230662438456,8.022117243228779,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.6,J16,wind_ITA_2024,7.676862931632034,0.34525431159674547
wind,ITA,Italy,2018,2093.797504944295,7.646734684244605,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.6,K16,wind_ITA_2024,7.632955489942559,0.013779194302045994
wind,ITA,Italy,2019,1988.9232899516264,7.595348710966765,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.6,L16,wind_ITA_2024,7.582734482255891,0.012614228710874364
wind,ITA,Italy,2020,2037.3177709416573,7.619389403540593,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.6,M16,wind_ITA_2024,7.498962641265582,0.12042676227501126
wind,ITA,Italy,2021,1564.420272621896,7.3552706015176055,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.6,N16,wind_ITA_2024,7.448748015034804,-0.0934774135171983
wind,ITA,Italy,2022,1538.4390431300335,7.338523573002211,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.6,O16,wind_ITA_2024,7.4032312964116915,-0.06470772340948017
wind,ITA,Italy,2023,1401.7706099642528,7.245491437919951,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.6,P16,wind_ITA_2024,7.342996741308491,-0.09750530338854002
wind,ITA,Italy,2024,1408.131747785429,7.25001910321084,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.6,Q16,wind_ITA_2024,7.287682953938303,-0.03766385072746292
wind,JPN,Japan,2010,3269.423400458563,8.092368918208317,5.180162236673185,4.822296444001899,5.619538317103914,Fig 2.7,C21,wind_JPN_2024,8.128203191546117,-0.03583427333779987
wind,JPN,Japan,2011,2779.0098903897792,7.929849988710543,5.376417249698097,4.998697446862276,5.708815243916515,Fig 2.7,D21,wind_JPN_2024,8.116665598089922,-0.18681560937937913
wind,JPN,Japan,2012,4129.473858593708,8.325905282826014,5.56590362647905,5.137394768957262,5.649587532329162,Fig 2.7,E21,wind_JPN_2024,8.105525924523935,0.220379358302079
wind,JPN,Japan,2013,3679.0938721614425,8.210421770452385,5.677698971893068,5.271086410766464,5.570291277483226,Fig 2.7,F21,wind_JPN_2024,8.098953612174807,0.11146815827757806
wind,JPN,Japan,2014,3476.629347013712,8.153818524948974,5.830825584658366,5.389968287621304,5.580565173034719,Fig 2.7,G21,wind_JPN_2024,8.08995148490081,0.06386704004816401
wind,JPN,Japan,2015,2766.4351850034004,7.925314833545151,6.002024865148459,5.479418664657636,5.457078829862897,Fig 2.7,H21,wind_JPN_2024,8.079886887478082,-0.15457205393293094
wind,JPN,Japan,2016,3269.842615986735,8.092497133065365,6.114760027948734,5.503732268414333,5.390606073342965,Fig 2.7,I21,wind_JPN_2024,8.073259324408179,0.01923780865718605
wind,JPN,Japan,2017,2942.611902077537,7.987052868004371,6.2059349955659755,5.541918527785211,5.479810592208201,Fig 2.7,J21,wind_JPN_2024,8.067899258983424,-0.08084639097905288
wind,JPN,Japan,2018,3109.3264626590585,8.042161410226024,6.290532398624406,5.540715306018656,5.574854860972366,Fig 2.7,K21,wind_JPN_2024,8.062925880576962,-0.020764470350938424
wind,JPN,Japan,2019,2694.574217673985,7.898995481130045,6.38729428375806,5.505334054872469,5.522971247577784,Fig 2.7,L21,wind_JPN_2024,8.057237367068339,-0.1582418859382937
wind,JPN,Japan,2020,3752.849810309514,8.230270779764982,6.5486992739946635,5.468373269138832,5.409727586029495,Fig 2.7,M21,wind_JPN_2024,8.047748564054096,0.18252221571088612
wind,JPN,Japan,2021,3556.955248637961,8.176660190659854,6.645448863841342,5.445506338822339,6.006814707669157,Fig 2.7,N21,wind_JPN_2024,8.042060773370437,0.13459941728941693
wind,JPN,Japan,2022,3737.176810014049,8.226085741722958,6.733146895042726,5.411217480302619,6.013632913023564,Fig 2.7,O21,wind_JPN_2024,8.036905112807606,0.18918062891535214
wind,JPN,Japan,2023,2441.4167101606376,7.800333768711595,6.849202095255681,5.365907195612585,5.796167476800661,Fig 2.7,P21,wind_JPN_2024,8.030082368777295,-0.22974860006570008
wind,JPN,Japan,2024,2891.080697355545,7.969385654928591,6.955776347473294,5.308656183746518,5.674641698918291,Fig 2.7,Q21,wind_JPN_2024,8.023816998145316,-0.05443134321672449
