model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_technology_window
pv_TUR_2022,pv,TUR,Türkiye,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.14580051210149003,0.03913168006313619,0.033669959497659475,0.021266041464996402,0.2703349827379837,**,0.08318460581774693
pv_USA_2022,pv,USA,United States,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,const,-18.268553528657833,3.4649646779147196,0.0005122616353361164,-26.106848193839063,-10.430258863476602,***,
pv_USA_2022,pv,USA,United States,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logQ,-0.490239807334374,0.029763111615338005,4.992350756428653e-08,-0.5575686434638369,-0.4229109712049111,***,2.0967873177000342e-06
pv_USA_2022,pv,USA,United States,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logK,3.332605320709014,0.39570892546902176,1.4647933380144129e-05,2.437449540553968,4.22776110086406,***,6.835702244067261e-05
pv_USA_2022,pv,USA,United States,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,logM,0.1546935664564275,0.045372028809493516,0.007756393643181743,0.0520549064918092,0.2573322264210458,***,0.025059117924125632
wind_ARG_2022,wind,ARG,Argentina,2022,10,8,2012,2022,"2012,2013,2014,2015,2017,2018,2019,2020,2021,2022",Fig 2.7,const,10.618153408873864,0.3605424762936835,1.9147923310674724e-09,9.78674096762388,11.449565850123848,***,
wind_ARG_2022,wind,ARG,Argentina,2022,10,8,2012,2022,"2012,2013,2014,2015,2017,2018,2019,2020,2021,2022",Fig 2.7,logQ,-0.4685921234213717,0.060392197780095434,5.437962523191831e-05,-0.6078567812363396,-0.3293274656064038,***,0.000349583305062332
wind_AUS_2022,wind,AUS,Australia,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,const,12.20012460902424,0.3171765780274776,4.4362823567119095e-13,11.50202366765987,12.89822555038861,***,
wind_AUS_2022,wind,AUS,Australia,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,logQ,-0.7262918468661397,0.05245930242474733,2.641200638615214e-08,-0.841753993011312,-0.6108297007209673,***,5.942701436884231e-07
wind_AUT_2022,wind,AUT,Austria,2022,8,6,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2022",Fig 2.7,const,10.78019037401377,0.5928002806385227,1.7802977715365674e-06,9.329660341957306,12.230720406070235,***,
wind_AUT_2022,wind,AUT,Austria,2022,8,6,2012,2022,"2012,2013,2014,2015,2016,2017,2018,2022",Fig 2.7,logQ,-0.5039306041067979,0.09561675357085034,0.001882642273644138,-0.7378963715873197,-0.26996483662627613,***,0.004458889595472959
