model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,R2,adjusted_R2,RMSE_log,max_VIF,joint_F_HAC,joint_p_HAC,small_sample,outcome,inference,Q_definition,K_definition,imputed_observations
wind_ESP_2022,wind,ESP,Spain,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.7176297221391137,0.6919596968790331,0.1460434146788843,1.0,31.868301514838272,0.00014987943292060673,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_ETH_2022,wind,ETH,Ethiopia,2022,6,4,2011,2022,"2011,2012,2015,2016,2019,2022",Fig 2.7,0.6865619387468878,0.6082024234336096,0.07715000130357215,1.0,27.784592338199104,0.006207467739756794,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_FIN_2022,wind,FIN,Finland,2022,10,8,2013,2022,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.3854502653702212,0.3086315485414989,0.15168745406167752,1.0,4.810579254124337,0.05961316599878143,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_FRA_2022,wind,FRA,France,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.6810799110173207,0.652087175655259,0.06806578357535793,1.0,21.461275057546096,0.0007252923586148439,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_GBR_2022,wind,GBR,United Kingdom,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.6667449821760658,0.6364490714647991,0.09087644838316024,1.0,13.89049124330002,0.0033408758896035138,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_GRC_2022,wind,GRC,Greece,2022,12,10,2010,2022,"2010,2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.7,0.35090025366814337,0.28599027903495766,0.13470771564273104,1.0,6.161818175294001,0.03241483867971961,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_HRV_2022,wind,HRV,Croatia,2022,8,6,2011,2021,"2011,2012,2014,2015,2016,2017,2020,2021",Fig 2.7,0.2631492041768041,0.14034073820627135,0.12160254861953217,1.0,2.689821114375229,0.1521017794060048,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_IDN_2022,wind,IDN,Indonesia,2022,4,2,2017,2020,"2017,2018,2019,2020",Fig 2.7,0.26090329127421885,-0.10864506308867172,0.08365538768854607,1.0,1.6765505787703725,0.32471351577128515,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_IND_2022,wind,IND,India,2022,13,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Fig 2.6,0.670184455667427,0.6402012243644659,0.0873205531585312,1.0,12.531348863165539,0.004633005420241592,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
wind_IRL_2022,wind,IRL,Ireland,2022,12,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022",Fig 2.7,0.3593940995413726,0.29533350949550974,0.1339714166103746,1.0,3.389631072573899,0.09542734506458464,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,excluded,0
