technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed,Q_global_gw,Q_china_gw,Q_no_china_gw,H_global,H_china_origin,H_foreign_citing_china,H_no_china_origin,initialization,delta,material,material_scope,Q_freeze_china2010_gw,H_freeze_china2010,china_Q_fraction,china_H_fraction,receiver,weight_base,K_access_global,K_access_china,K_access_no_china,K_access_freeze_china2010,patent_stock_global,patent_stock_china,china_access_fraction,weight_china,citation_origin_coverage,logQ,logK,logM,logC,iso3
pv,Greece,2011,4373.251073566136,2024 USD/kW,Figure 3.3,D10,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.383261964255084,GRC
pv,India,2011,3706.132789258691,2024 USD/kW,Figure 3.3,D11,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.217744237088093,IND
pv,Italy,2011,5733.075804344135,2024 USD/kW,Figure 3.3,D12,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.654007455277645,ITA
pv,Japan,2011,6644.276501864859,2024 USD/kW,Figure 3.3,D13,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.801511086644002,JPN
pv,Netherlands,2011,,2024 USD/kW,Figure 3.3,D14,source_blank,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,,NLD
pv,Poland,2011,,2024 USD/kW,Figure 3.3,D15,source_blank,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,,POL
pv,Republic of Korea,2011,7012.58447961614,2024 USD/kW,Figure 3.3,D16,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.85546159676247,KOR
pv,Spain,2011,3886.646798518194,2024 USD/kW,Figure 3.3,D17,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.265302059349773,ESP
pv,Türkiye,2011,,2024 USD/kW,Figure 3.3,D18,source_blank,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,,TUR
pv,United States,2011,5343.332324829953,2024 USD/kW,Figure 3.3,D19,IRENA_reported_cell,False,70.26885,2.93,67.33885,417090.0,5286.0,4085.0,411804.0,steady_2010,0.1,90.89271081670634,polysilicon common market price; 2023-2024 manual estimates,68.20285,416994.0,0.0416969966066044,0.0126735236999208,GLOBAL,base2010_2012,4836.430328323152,166.83413682102756,4669.596191502124,4816.632107655522,40361.9,12040.44,0.0344953044901756,0.0138561495112327,0.9967157618169415,4.252328599622632,8.484138934820503,4.509679808932987,8.583604768194975,USA
pv,Australia,2012,5845.8413892502,2024 USD/kW,Figure 3.3,E5,IRENA_reported_cell,False,99.31435,6.5,92.81435,412000.0,5263.400000000001,4114.5,406736.6,steady_2010,0.1,33.89647685975435,polysilicon common market price; 2023-2024 manual estimates,93.67835,411926.6,0.0654487493499177,0.0127752427184466,GLOBAL,base2010_2012,5063.001280063199,182.3108461544961,4880.690433908702,5027.7263500621,42659.71000000001,13157.396,0.0360084534982026,0.0138561495112327,0.9967157618169415,4.598290072191402,8.529912216601073,3.523311081544699,8.673485813802989,AUS
pv,Brazil,2012,,2024 USD/kW,Figure 3.3,E6,source_blank,False,99.31435,6.5,92.81435,412000.0,5263.400000000001,4114.5,406736.6,steady_2010,0.1,33.89647685975435,polysilicon common market price; 2023-2024 manual estimates,93.67835,411926.6,0.0654487493499177,0.0127752427184466,GLOBAL,base2010_2012,5063.001280063199,182.3108461544961,4880.690433908702,5027.7263500621,42659.71000000001,13157.396,0.0360084534982026,0.0138561495112327,0.9967157618169415,4.598290072191402,8.529912216601073,3.523311081544699,,BRA
pv,China,2012,3275.3966683631643,2024 USD/kW,Figure 3.3,E7,IRENA_reported_cell,False,99.31435,6.5,92.81435,412000.0,5263.400000000001,4114.5,406736.6,steady_2010,0.1,33.89647685975435,polysilicon common market price; 2023-2024 manual estimates,93.67835,411926.6,0.0654487493499177,0.0127752427184466,GLOBAL,base2010_2012,5063.001280063199,182.3108461544961,4880.690433908702,5027.7263500621,42659.71000000001,13157.396,0.0360084534982026,0.0138561495112327,0.9967157618169415,4.598290072191402,8.529912216601073,3.523311081544699,8.094194260845795,CHN
pv,France,2012,5890.383037251002,2024 USD/kW,Figure 3.3,E8,IRENA_reported_cell,False,99.31435,6.5,92.81435,412000.0,5263.400000000001,4114.5,406736.6,steady_2010,0.1,33.89647685975435,polysilicon common market price; 2023-2024 manual estimates,93.67835,411926.6,0.0654487493499177,0.0127752427184466,GLOBAL,base2010_2012,5063.001280063199,182.3108461544961,4880.690433908702,5027.7263500621,42659.71000000001,13157.396,0.0360084534982026,0.0138561495112327,0.9967157618169415,4.598290072191402,8.529912216601073,3.523311081544699,8.681076306322499,FRA
pv,Germany,2012,2788.468001908775,2024 USD/kW,Figure 3.3,E9,IRENA_reported_cell,False,99.31435,6.5,92.81435,412000.0,5263.400000000001,4114.5,406736.6,steady_2010,0.1,33.89647685975435,polysilicon common market price; 2023-2024 manual estimates,93.67835,411926.6,0.0654487493499177,0.0127752427184466,GLOBAL,base2010_2012,5063.001280063199,182.3108461544961,4880.690433908702,5027.7263500621,42659.71000000001,13157.396,0.0360084534982026,0.0138561495112327,0.9967157618169415,4.598290072191402,8.529912216601073,3.523311081544699,7.9332476207445035,DEU
