technology,iso3,year,supplier,price_model_supplier,trade_import_value,preborder_expenditure_share,quantity_share,baseline_price_usd_kw,duty_rate,policy_rent_rate,landed_expenditure_share,beta,price_basis,domestic
pv,AUS,2010,SVK,OTHER,3048.0,2.0919866555484013e-06,1.8209365716689026e-06,3062.9400472240845,0.0,0.0,2.0919866555484018e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,SVN,OTHER,146686.0,0.00010067754414559475,8.7633169931701e-05,3062.9400472240845,0.0,0.0,0.00010067754414559477,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,SWE,OTHER,71199.0,4.886724340170296e-05,4.2535716196277616e-05,3062.9400472240845,0.0,0.0,4.886724340170296e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,THA,OTHER,982398.0,0.0006742662422695008,0.000586904345844615,3062.9400472240845,0.0,0.0,0.0006742662422695008,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,TUR,OTHER,19226.0,1.3195713726894214e-05,1.1485999516701548e-05,3062.9400472240845,0.0,0.0,1.3195713726894214e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,USA,USA,9661831.0,0.006631371889817541,0.006788263994379824,2604.4682351451097,0.0,0.0,0.006631371889817543,-0.4906304306778069,approved national/OEM proxy equation,False
pv,AUS,2010,VGB,OTHER,14044.0,9.639061873530757e-06,8.39016837681039e-06,3062.9400472240845,0.0,0.0,9.639061873530759e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2010,ZAF,OTHER,31288.0,2.147443519645616e-05,1.86920811858191e-05,3062.9400472240845,0.0,0.0,2.1474435196456164e-05,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,ARG,OTHER,2038.0,1.0125483852804119e-06,8.561924907155379e-07,2308.2131329981794,0.0,0.0,1.0125483852804119e-06,0.0,assumed geometric mean of approved fitted prices; baseline only,False
pv,AUS,2011,AUS,OTHER,0.0,0.25,0.21139545111180708,2308.2131329981794,0.0,0.0,0.25,0.0,assumed geometric mean of approved fitted prices; baseline only,True
