year,cost,Q_global,Q_domestic,H_domestic,H_global,technology,iso3,country,country_cn
2019,1495.16284847862,603.5674000000001,4.662129999999999,84.77431161070001,56335.258616899,pv,BRA,Brazil,巴西
2020,1298.40743414743,739.6403700000001,8.37837,88.29688044963001,59295.7327552091,pv,BRA,Brazil,巴西
2021,915.542297424372,890.1477300000001,14.30279,81.46719240466702,62909.15947968819,pv,BRA,Brazil,巴西
2022,779.520074075437,1087.63105,25.06196,74.32047316420032,68369.24353171937,pv,BRA,Brazil,巴西
2023,744.352528682658,1458.89454,37.55661,66.8884258477803,74990.31917854745,pv,BRA,Brazil,巴西
2024,724.436607374899,1927.59936,53.10746,60.19958326300227,77242.28726069271,pv,BRA,Brazil,巴西
2010,4291.43290226581,40.84068000000001,0.864,10611.6,36781.0,pv,CHN,China,中国
2011,4031.16237878109,71.71798000000001,2.9299999999999997,12040.44,40361.9,pv,CHN,China,中国
2012,3275.39666836316,101.86881,6.5,13157.396,42659.71,pv,CHN,China,中国
2013,2520.85034160084,137.82325,17.45,13961.656400000002,43732.739,pv,CHN,China,中国
2014,2100.06502229283,177.21617,28.049999999999997,15283.490760000002,44962.4651,pv,CHN,China,中国
2015,1622.55538149438,225.65821,43.18,16656.141684000002,45982.218590000004,pv,CHN,China,中国
2016,1468.76921525338,298.67803,77.42,19083.527515600003,48058.99673100001,pv,CHN,China,中国
2017,1377.86660568043,395.8847000000001,130.42449,22507.174764040003,50808.097057900006,pv,CHN,China,中国
2018,1047.26599833193,496.0207700000001,174.63006,26709.457287636003,54640.287352110005,pv,CHN,China,中国
2019,946.188254693266,603.5674000000001,204.17999999999998,28824.511558872404,56335.258616899,pv,CHN,China,中国
2020,765.815825100798,739.6403700000001,253.01,32374.060402985164,59295.7327552091,pv,CHN,China,中国
2021,713.51431624731,890.1477300000001,305.99,36835.65436268665,62909.15947968819,pv,CHN,China,中国
2022,759.328024072784,1087.63105,392.04,43510.088926417986,68369.24353171937,pv,CHN,China,中国
2023,687.158676448271,1458.89454,608.9200000000001,51178.08003377619,74990.31917854745,pv,CHN,China,中国
2024,590.58615399278,1927.59936,885.6800000000001,54362.27203039857,77242.28726069271,pv,CHN,China,中国
2010,4412.42949894607,40.84068000000001,18.004,1390.5,36781.0,pv,DEU,Germany,德国
2011,3509.45855834911,71.71798000000001,25.914,1435.45,40361.9,pv,DEU,Germany,德国
2012,2788.46800190878,101.86881,34.075,1428.905,42659.71,pv,DEU,Germany,德国
2013,2385.84899412031,137.82325,36.708000000000006,1392.0145,43732.739,pv,DEU,Germany,德国
2014,1905.61098173221,177.21617,37.898,1318.81305,44962.4651,pv,DEU,Germany,德国
2015,1524.06572374874,225.65821,39.222,1230.931745,45982.218590000004,pv,DEU,Germany,德国
2016,1383.62885100851,298.67803,40.677,1147.8385705,48058.99673100001,pv,DEU,Germany,德国
2017,1326.59731019996,395.8847000000001,42.291,1076.05471345,50808.097057900006,pv,DEU,Germany,德国
2018,1325.57870064524,496.0207700000001,45.156,1005.449242105,54640.287352110005,pv,DEU,Germany,德国
2019,1070.35038272175,603.5674000000001,48.912,953.9043178945001,56335.258616899,pv,DEU,Germany,德国
2020,823.333270401052,739.6403700000001,53.669,914.5138861050501,59295.7327552091,pv,DEU,Germany,德国
2021,787.790346289519,890.1477300000001,60.035999999999994,827.0624974945451,62909.15947968819,pv,DEU,Germany,德国
2022,1057.34117367676,1087.63105,61.187999999999995,745.3562477450906,68369.24353171937,pv,DEU,Germany,德国
2023,748.22740078444,1458.89454,75.51899999999999,701.8206229705816,74990.31917854745,pv,DEU,Germany,德国
2024,592.966548401822,1927.59936,91.204,646.6385606735234,77242.28726069271,pv,DEU,Germany,德国
2010,5563.90103079268,40.84068000000001,3.88006,170.1,36781.0,pv,ESP,Spain,西班牙
2011,3886.64679851819,71.71798000000001,4.28805,170.09,40361.9,pv,ESP,Spain,西班牙
2012,3201.46960069621,101.86881,4.5747,168.08100000000002,42659.71,pv,ESP,Spain,西班牙
2013,2750.85934712369,137.82325,4.69571,157.27290000000002,43732.739,pv,ESP,Spain,西班牙
2014,2758.28975446983,177.21617,4.70247,154.54561,44962.4651,pv,ESP,Spain,西班牙
2015,1422.80348090784,225.65821,4.709689999999999,154.09104900000003,45982.218590000004,pv,ESP,Spain,西班牙
2016,1295.26106453016,298.67803,4.71393,145.68194410000004,48058.99673100001,pv,ESP,Spain,西班牙
2017,1167.71864815248,395.8847000000001,4.7222,148.11374969000005,50808.097057900006,pv,ESP,Spain,西班牙
2018,1040.17623177479,496.0207700000001,4.76361,148.30237472100004,54640.287352110005,pv,ESP,Spain,西班牙
2019,912.633815397112,603.5674000000001,8.807200000000002,147.47213724890003,56335.258616899,pv,ESP,Spain,西班牙
2020,897.08412157211,739.6403700000001,10.135590000000002,149.72492352401002,59295.7327552091,pv,ESP,Spain,西班牙
2021,926.730225640223,890.1477300000001,13.715200000000003,137.75243117160903,62909.15947968819,pv,ESP,Spain,西班牙
2022,826.227599302485,1087.63105,23.89732,127.97718805444813,68369.24353171937,pv,ESP,Spain,西班牙
2023,686.791110513351,1458.89454,29.579610000000002,120.17946924900332,74990.31917854745,pv,ESP,Spain,西班牙
2024,822.124441268123,1927.59936,35.82287,108.16152232410299,77242.28726069271,pv,ESP,Spain,西班牙
2010,6514.65732422562,40.84068000000001,1.044,461.5,36781.0,pv,FRA,France,法国
2011,6650.28526069215,71.71798000000001,2.98858,460.35,40361.9,pv,FRA,France,法国
2012,5890.383037251,101.86881,4.3007599999999995,443.31500000000005,42659.71,pv,FRA,France,法国
2013,3864.82301378044,137.82325,5.160279999999999,426.98350000000005,43732.739,pv,FRA,France,法国
2014,2821.35484289285,177.21617,5.861409999999999,414.28515000000004,44962.4651,pv,FRA,France,法国
2015,1857.07191546456,225.65821,6.81954,403.85663500000004,45982.218590000004,pv,FRA,France,法国
2016,1571.83817329739,298.67803,7.31908,392.4709715,48058.99673100001,pv,FRA,France,法国
2017,1476.36952800409,395.8847000000001,7.52377,378.22387435,50808.097057900006,pv,FRA,France,法国
2018,1278.88387364973,496.0207700000001,8.69345,379.401486915,54640.287352110005,pv,FRA,France,法国
2019,1165.9275536495,603.5674000000001,9.72578,371.46133822350004,56335.258616899,pv,FRA,France,法国
2020,1112.92804839325,739.6403700000001,10.882850000000001,364.31520440115,59295.7327552091,pv,FRA,France,法国
2021,918.025755962758,890.1477300000001,13.834930000000002,333.88368396103505,62909.15947968819,pv,FRA,France,法国
2022,1228.36280066234,1087.63105,16.427599999999998,300.49531556493156,68369.24353171937,pv,FRA,France,法国
2023,977.58883510313,1458.89454,19.74931,289.4457840084384,74990.31917854745,pv,FRA,France,法国
2024,1103.95801624094,1927.59936,25.08283,268.50120560759456,77242.28726069271,pv,FRA,France,法国
2010,6015.81257643064,40.84068000000001,0.03262,0.0,36781.0,pv,IND,India,印度
2011,3706.13278925869,71.71798000000001,0.4821,0.0,40361.9,pv,IND,India,印度
2012,3251.39107824026,101.86881,0.82949,0.0,42659.71,pv,IND,India,印度
2013,3346.78049335946,137.82325,1.17687,2.0,43732.739,pv,IND,India,印度
2014,2271.33554160773,177.21617,3.0633,5.8,44962.4651,pv,IND,India,印度
2015,1547.76357284486,225.65821,4.87949,6.22,45982.218590000004,pv,IND,India,印度
2016,1332.24642391231,298.67803,9.01328,5.598,48058.99673100001,pv,IND,India,印度
2017,1328.43151296093,395.8847000000001,17.05299,5.0382,50808.097057900006,pv,IND,India,印度
2018,943.787322513576,496.0207700000001,26.026590000000006,4.53438,54640.287352110005,pv,IND,India,印度
2019,736.341729266418,603.5674000000001,33.73115000000001,4.080941999999999,56335.258616899,pv,IND,India,印度
2020,701.301612888493,739.6403700000001,37.852900000000005,3.6728477999999996,59295.7327552091,pv,IND,India,印度
2021,669.689384633508,890.1477300000001,48.00376000000001,3.3055630199999997,62909.15947968819,pv,IND,India,印度
2022,679.903527356629,1087.63105,61.17020000000001,2.975006718,68369.24353171937,pv,IND,India,印度
2023,728.321084784776,1458.89454,70.76294000000001,2.6775060462,74990.31917854745,pv,IND,India,印度
2024,525.167420275871,1927.59936,94.93766000000001,2.40975544158,77242.28726069271,pv,IND,India,印度
2010,6078.87429770245,40.84068000000001,3.5919999999999996,250.0,36781.0,pv,ITA,Italy,意大利
2011,5733.07580434413,71.71798000000001,13.036999999999999,285.0,40361.9,pv,ITA,Italy,意大利
2012,3045.06899725023,101.86881,16.654,296.5,42659.71,pv,ITA,Italy,意大利
2013,2424.2115482721,137.82325,18.027,276.85,43732.739,pv,ITA,Italy,意大利
2014,2241.31952454864,177.21617,18.436,249.16500000000002,44962.4651,pv,ITA,Italy,意大利
2015,1880.18263145486,225.65821,18.737,233.24850000000004,45982.218590000004,pv,ITA,Italy,意大利
