technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,R2,adj_R2,RMSE_log,AIC,AICc,BIC,VIF,correlation_logQ_logH,condition_standardized,a,b,g,p_HAC_b,p_HAC_g,covariance_HAC,rolling_RMSE_log,rolling_MAE_log,rolling_test_N
pv,FRA,France,法国,G0,global,none,2010,2024,15,2,13,0.8787637629811803,0.8694378985951172,0.24208762544288975,6.0144901034383444,8.196308285256526,8.138640706744974,1.0,,1.0,11.029391148752492,-0.5901357175018014,,2.937134001516372e-06,,"[[0.19843690198069638, -0.033090640842915346], [-0.033090640842915325, 0.005720603437724609]]",0.3273180799617103,0.26229650211626104,7
pv,FRA,France,法国,D0,domestic,none,2010,2024,15,2,13,0.7720109077912496,0.7544732853136534,0.33198113181191297,15.487841688966082,17.669659870784265,17.61199229227271,1.0,,1.0000000000000002,9.190727067194413,-0.7946492540319535,,3.1326616568088385e-05,,"[[0.09768965224555848, -0.03746037430374529], [-0.037460374303745256, 0.016337786896190268]]",0.32506571939203033,0.30333635665629266,7
pv,FRA,France,法国,GD,global,domestic,2010,2024,15,3,12,0.9271797363959606,0.9150430257952874,0.18762145082268733,0.3682888298740359,4.368288829874036,3.200489634282876,9.577012076099447,-0.9463526296633391,6.0233284218335115,30.86027771652452,-0.9958106527655115,-2.945221716618491,2.459658716196117e-05,0.006604378119631583,"[[37.89751774495997, -0.8770441867026557, -5.520702631104264], [-0.877044186699889, 0.02261702822898684, 0.1251325869002462], [-5.520702631111227, 0.125132586900797, 0.8072613883024471]]",0.47758365156691257,0.3464762154237618,7
pv,FRA,France,法国,DD,domestic,domestic,2010,2024,15,3,12,0.774402560348189,0.7368029870728872,0.3302352658769444,17.329657447136942,21.329657447136942,20.16185825154578,5.529692233338979,-0.9050735379087224,4.479837127957547,6.051249602218249,-0.7005151152589284,0.4974027329048205,0.028197185821307383,0.7647338318494422,"[[102.05976620914157, -2.6058427318784716, -16.407820855796942], [-2.6058427318657884, 0.07886049468232736, 0.4147548044412219], [-16.40782085576376, 0.41475480444223, 2.6395865788377293]]",0.6663018665832805,0.5058072700452422,7
pv,FRA,France,法国,DG,domestic,global,2010,2024,15,3,12,0.7835511911978368,0.7474763897308095,0.3234699687620784,16.708685947661277,20.708685947661277,19.540886752070115,8.564591586515956,0.9398085975795554,5.676912610615248,19.472414348679905,-0.5274318493603425,-0.9957994890309365,0.07328193563478164,0.426850752570465,"[[161.24102571272488, 3.15538111599988, -15.371967266902686], [3.1553811160082645, 0.07221209823948582, -0.3026088160299789], [-15.37196726685238, -0.30260881602785616, 1.4658972107731039]]",0.537605704124844,0.5053981277653338,7
pv,FRA,France,法国,GG,global,global,2010,2024,15,3,12,0.9533793695728486,0.9456092645016567,0.15012237880966897,-6.320977767457261,-2.3209777674572614,-3.488776963048421,24.27058139257344,0.9791822381801047,9.75047728088076,-30.451022401486085,-1.4196698963324486,4.262508517670758,1.398201624327324e-05,0.0003693241098188909,"[[68.67075238337975, 1.625741474593383, -7.213026353946219], [1.625741474555653, 0.04091834641014813, -0.17212473981749188], [-7.213026353947214, -0.17212473982137766, 0.7584100996244558]]",0.3604529859629282,0.2636758348592477,7
pv,IND,India,印度,G0,global,none,2010,2024,15,2,13,0.9525457016496489,0.9488953710073142,0.16194442386106006,-6.046905959716806,-3.8650877778986246,-3.9227553564101765,1.0,,1.0,11.070365389307149,-0.656947396220198,,2.811785425192888e-09,,"[[0.0622740399670398, -0.01136609597945123], [-0.011366095979451242, 0.0021533511919867763]]",0.22409645993277175,0.1816595408432855,7
pv,IND,India,印度,D0,domestic,none,2010,2024,15,2,13,0.9547594733183157,0.9512794328043399,0.15812190819970803,-6.763513181221857,-4.581694999403675,-4.639362577915227,1.0,,1.0,7.907637136635431,-0.32969331493320997,,5.153263263563592e-08,,"[[0.008793756518830426, -0.002460358523568856], [-0.002460358523568856, 0.0008782487965403785]]",0.2043140227905346,0.18279920351385673,7
pv,IND,India,印度,GD,global,domestic,2010,2024,15,3,12,0.9590281326841525,0.9521994881315113,0.15047733787078238,-6.250127555750733,-2.2501275557507334,-3.417926751341893,1.5060617814356074,0.5796694012729017,1.9385972828622164,10.981802351308097,-0.6183943758849972,-0.1083793172602735,1.4398404455229801e-07,0.11576834201410867,"[[0.07064182120508188, -0.014787983625000684, 0.012030090945897302], [-0.014787983625000663, 0.003234866543671546, -0.002884071583243771], [0.012030090945897352, -0.002884071583243772, 0.004086504013265321]]",0.21681896464006928,0.17863220809377026,7
pv,IND,India,印度,DD,domestic,domestic,2010,2024,15,3,12,0.9568599466509585,0.9496699377594516,0.1544075597717712,-5.476634413989888,-1.4766344139898884,-2.644433609581048,1.8625160143754234,0.6805085339886485,2.293457676456414,7.85054415146032,-0.3440549974830759,0.06860640429545861,1.5674703593549317e-07,0.35174685863625565,"[[0.013672924898356482, -0.0017234165820169734, -0.004852348222603525], [-0.001723416582016975, 0.0010169716255747957, -0.0008206511140603465], [-0.004852348222603525, -0.0008206511140603468, 0.0050144588146959716]]",0.21908981299248814,0.18929844735317033,7
pv,IND,India,印度,DG,domestic,global,2010,2024,15,3,12,0.9623795548665361,0.9561094806776255,0.1441916745752503,-7.530197735654408,-3.530197735654408,-4.697996931245568,6.047631700516535,0.9135896317531356,4.70588680670712,15.673820192199628,-0.2635194055763683,-0.7270339040678602,0.0005446020068282173,0.15163473319289458,"[[25.516954812741623, 0.26007163748267254, -2.398155228009351], [0.26007163748265283, 0.00318868083089798, -0.024567352744006288], [-2.3981552280235263, -0.024567352744128586, 0.2254323197621072]]",0.22682800385467364,0.19080949268568048,7
pv,IND,India,印度,GG,global,global,2010,2024,15,3,12,0.9708805953853121,0.9660273612828641,0.12685846909215015,-11.372340920200543,-7.372340920200543,-8.540140115791703,24.27058139257344,0.9791822381801047,9.75047728088076,-10.915283764834115,-1.0966211086110027,2.2592353538748373,1.2973583973082752e-05,0.011514069131900834,"[[54.3152045097446, 1.109097027358592, -5.587624291404509], [1.1090970273687795, 0.02404581208199738, -0.11488348045883279], [-5.587624291422557, -0.11488348045813335, 0.5752766133121145]]",0.22422000239891088,0.19382946401459236,7
pv,ITA,Italy,意大利,G0,global,none,2010,2024,15,2,13,0.9300092114287533,0.9246253046155805,0.17609732197037967,-3.5333981348321224,-1.3515799530139407,-1.4092475315254926,1.0,,1.0,10.756698813530418,-0.5812131041267056,,4.980618448877127e-07,,"[[0.13615048559859796, -0.023128031736893134], [-0.023128031736893245, 0.0040332472561602035]]",0.26029284935977715,0.22551262107485087,7
pv,ITA,Italy,意大利,D0,domestic,none,2010,2024,15,2,13,0.646441469166592,0.6192446591024836,0.3957883151358384,20.761882944369287,22.94370112618747,22.886033547675915,1.0,,1.0000000000000004,10.53372672816725,-1.0906336567687003,,8.361957210024116e-05,,"[[0.355518980068219, -0.11281402278986138], [-0.11281402278986156, 0.03768179495343794]]",0.4556511245506122,0.40299093117148327,7
