technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,year,actual_log,fitted_log,residual_log
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,2022,6.707458256809958,6.780615253357999,-0.07315699654804053
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,2023,6.734546207295405,6.555857066328452,0.1786891409669531
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,2024,6.689798531094353,6.435119538168936,0.25467899292541674
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2010,8.712574809413928,8.683534093786575,0.02904071562735311
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2011,8.654007455277643,8.06987080038246,0.5841366548951825
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2012,8.02127883908276,7.974782568206697,0.04649627087606234
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2013,7.793261615770672,7.824960288496849,-0.031698672726177435
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2014,7.714820044872638,7.656834127926608,0.057985916946029725
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2015,7.539124195496667,7.550195332166581,-0.011071136669913884
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2016,7.325837612979232,7.497659023291099,-0.1718214103118676
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2017,7.054370937648804,7.373421016217506,-0.3190500785687016
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2018,6.943552785892716,7.266914579627647,-0.32336179373493135
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2019,6.896346097416841,7.147674161271257,-0.251328063854416
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2020,6.823077998187712,7.023826136551141,-0.20074813836342909
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2021,6.792908744053099,6.843525545709005,-0.050616801655905874
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2022,6.707458256809958,6.67041496093808,0.037043295871877824
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2023,6.734546207295405,6.545310440254534,0.18923576704087086
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,2024,6.689798531094353,6.2740410564666735,0.41575747462767954
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2010,8.712574809413928,8.701808080777298,0.010766728636630418
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2011,8.654007455277643,8.038315679288159,0.6156917759894842
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2012,8.02127883908276,7.83284988984386,0.18842894923889908
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2013,7.793261615770672,7.751784293509429,0.04147732226124301
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2014,7.714820044872638,7.6852441349866245,0.029575909886013108
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2015,7.539124195496667,7.632138702161148,-0.09301450666448119
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2016,7.325837612979232,7.531939746357226,-0.20610213337799443
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2017,7.054370937648804,7.407497610315206,-0.3531266726664013
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2018,6.943552785892716,7.246773275051809,-0.3032204891590933
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2019,6.896346097416841,7.169747879555399,-0.27340178213855815
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2020,6.823077998187712,7.049201173818811,-0.2261231756310993
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2021,6.792908744053099,6.909207573667173,-0.1162988296140739
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2022,6.707458256809958,6.698657504408739,0.00880075240121947
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2023,6.734546207295405,6.439245648698097,0.2953005585973081
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,2024,6.689798531094353,6.308552938852363,0.3812455922419904
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2010,8.712574809413928,8.789072497728494,-0.07649768831456605
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2011,8.654007455277643,8.40886151869569,0.24514593658195238
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2012,8.02127883908276,8.163829945091997,-0.14255110600923793
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2013,7.793261615770672,7.880219302791221,-0.08695768702054885
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2014,7.714820044872638,7.666804565634935,0.04801547923770233
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2015,7.539124195496667,7.448235839073946,0.0908883564227212
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2016,7.325837612979232,7.252321518696472,0.07351609428275996
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2017,7.054370937648804,7.09107577834095,-0.036704840692145524
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2018,6.943552785892716,7.051559794494189,-0.10800700860147305
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2019,6.896346097416841,6.913237089254446,-0.016890991837605007
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2020,6.823077998187712,6.832064881275137,-0.008986883087425568
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2021,6.792908744053099,6.797781160780497,-0.004872416727398132
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2022,6.707458256809958,6.821784137312973,-0.11432588050301451
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2023,6.734546207295405,6.763124253916368,-0.028578046620963526
pv,ITA,Italy,意大利,GG,global,global,2010,2024,15,3,12,2024,6.689798531094353,6.522991848204443,0.16680668288991018
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2011,8.801511086644002,8.538329323160257,0.263181763483745
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2012,8.448142693387702,8.41524559569163,0.03289709769607185
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2013,8.290749356920925,8.309227299657248,-0.018477942736323527
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2014,8.203804626073271,8.221056533838066,-0.017251907764794794
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2015,7.880312348703021,8.136304249672099,-0.25599190096907787
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2016,7.9731146386699665,8.037981343927036,-0.06486670525706995
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2017,7.875613505105813,7.93916315776727,-0.0635496526614574
pv,JPN,Japan,日本,G0,global,none,2011,2024,14,2,12,2018,7.824942071119181,7.8600772809279285,-0.035135209808747625
