technology,iso3,country,country_cn,current,alternative,R2_current,R2_alternative,R2_current_minus_alternative,R2_current_better,R2_tie,adj_R2_current,adj_R2_alternative,adj_R2_current_minus_alternative,adj_R2_current_better,adj_R2_tie,AICc_current,AICc_alternative,AICc_current_minus_alternative,AICc_current_better,AICc_tie,BIC_current,BIC_alternative,BIC_current_minus_alternative,BIC_current_better,BIC_tie,rolling_RMSE_log_current,rolling_RMSE_log_alternative,rolling_RMSE_log_current_minus_alternative,rolling_RMSE_log_current_better,rolling_RMSE_log_tie
pv,ESP,Spain,西班牙,GD,D0,0.9563847003431455,0.5147454872038761,0.44163921313926935,True,False,0.9491154837336697,0.4774182169887897,0.47169726674488,True,False,-5.597663938636103,26.723137096954922,-32.320801035591025,True,False,-6.765463134227263,26.665469518443366,-33.43093265267063,True,False,0.18508870087963694,1.5042828477363774,-1.3191941468567405,True,False
pv,ESP,Spain,西班牙,GD,DD,0.9563847003431455,0.624860974363487,0.3315237259796585,True,False,0.9491154837336697,0.562337803424068,0.3867776803096017,True,False,-5.597663938636103,26.680666470379137,-32.27833040901524,True,False,-6.765463134227263,25.51286727478798,-32.27833040901524,True,False,0.18508870087963694,0.8126532245306665,-0.6275645236510295,True,False
pv,ESP,Spain,西班牙,GD,DG,0.9563847003431455,0.9386213623060279,0.017763338037117604,True,False,0.9491154837336697,0.9283915893570325,0.020723894376637242,True,False,-5.597663938636103,-0.47285609924115235,-5.1248078393949505,True,False,-6.765463134227263,-1.640655294832312,-5.1248078393949505,True,False,0.18508870087963694,0.2600946752255404,-0.07500597434590348,True,False
pv,ESP,Spain,西班牙,GD,GG,0.9563847003431455,0.9617719332268986,-0.00538723288375309,False,False,0.9491154837336697,0.955400588764715,-0.0062851050310452905,False,False,-5.597663938636103,-7.575234242423079,1.977570303786976,False,False,-6.765463134227263,-8.743033438014239,1.977570303786976,False,False,0.18508870087963694,0.165435100755082,0.019653600124554943,False,False
pv,FRA,France,法国,GD,G0,0.9271797363959606,0.8787637629811803,0.04841597341478032,True,False,0.9150430257952874,0.8694378985951172,0.04560512720017018,True,False,4.368288829874036,8.196308285256526,-3.82801945538249,True,False,3.200489634282876,8.138640706744974,-4.938151072462098,True,False,0.47758365156691257,0.3273180799617103,0.15026557160520226,False,False
pv,FRA,France,法国,GD,D0,0.9271797363959606,0.7720109077912496,0.15516882860471104,True,False,0.9150430257952874,0.7544732853136534,0.16056974048163397,True,False,4.368288829874036,17.669659870784265,-13.30137104091023,True,False,3.200489634282876,17.61199229227271,-14.411502657989834,True,False,0.47758365156691257,0.32506571939203033,0.15251793217488224,False,False
pv,FRA,France,法国,GD,DD,0.9271797363959606,0.774402560348189,0.15277717604777163,True,False,0.9150430257952874,0.7368029870728872,0.17824003872240024,True,False,4.368288829874036,21.329657447136942,-16.961368617262906,True,False,3.200489634282876,20.16185825154578,-16.961368617262906,True,False,0.47758365156691257,0.6663018665832805,-0.18871821501636793,True,False
pv,FRA,France,法国,GD,DG,0.9271797363959606,0.7835511911978368,0.14362854519812385,True,False,0.9150430257952874,0.7474763897308095,0.16756663606447786,True,False,4.368288829874036,20.708685947661277,-16.34039711778724,True,False,3.200489634282876,19.540886752070115,-16.34039711778724,True,False,0.47758365156691257,0.537605704124844,-0.060022052557931416,True,False
pv,FRA,France,法国,GD,GG,0.9271797363959606,0.9533793695728486,-0.026199633176888004,False,False,0.9150430257952874,0.9456092645016567,-0.03056623870636932,False,False,4.368288829874036,-2.3209777674572614,6.689266597331297,False,False,3.200489634282876,-3.488776963048421,6.689266597331297,False,False,0.47758365156691257,0.3604529859629282,0.11713066560398439,False,False
pv,IND,India,印度,GD,G0,0.9590281326841525,0.9525457016496489,0.006482431034503633,True,False,0.9521994881315113,0.9488953710073142,0.0033041171241970924,True,False,-2.2501275557507334,-3.8650877778986246,1.6149602221478911,False,False,-3.417926751341893,-3.9227553564101765,0.5048286050682833,False,False,0.21681896464006928,0.22409645993277175,-0.007277495292702468,True,False
pv,IND,India,印度,GD,D0,0.9590281326841525,0.9547594733183157,0.004268659365836869,True,False,0.9521994881315113,0.9512794328043399,0.0009200553271714318,True,False,-2.2501275557507334,-4.581694999403675,2.3315674436529417,False,False,-3.417926751341893,-4.639362577915227,1.2214358265733338,False,False,0.21681896464006928,0.2043140227905346,0.012504941849534684,False,False
pv,IND,India,印度,GD,DD,0.9590281326841525,0.9568599466509585,0.0021681860331940195,True,False,0.9521994881315113,0.9496699377594516,0.002529550372059708,True,False,-2.2501275557507334,-1.4766344139898884,-0.773493141760845,True,False,-3.417926751341893,-2.644433609581048,-0.773493141760845,True,False,0.21681896464006928,0.21908981299248814,-0.002270848352418864,True,False
pv,IND,India,印度,GD,DG,0.9590281326841525,0.9623795548665361,-0.003351422182383601,False,False,0.9521994881315113,0.9561094806776255,-0.003909992546114127,False,False,-2.2501275557507334,-3.530197735654408,1.2800701799036744,False,False,-3.417926751341893,-4.697996931245568,1.2800701799036744,False,False,0.21681896464006928,0.22682800385467364,-0.01000903921460436,True,False
pv,IND,India,印度,GD,GG,0.9590281326841525,0.9708805953853121,-0.011852462701159583,False,False,0.9521994881315113,0.9660273612828641,-0.01382787315135281,False,False,-2.2501275557507334,-7.372340920200543,5.122213364449809,False,False,-3.417926751341893,-8.540140115791703,5.122213364449809,False,False,0.21681896464006928,0.22422000239891088,-0.0074010377588416,True,False
