technology,iso3,country,country_cn,spec,Q_scope,H_scope,first_year,last_year,N,p_mean,df_resid,term,coefficient,se_OLS,p_OLS,se_HAC,t_HAC,p_HAC,CI_HAC_lower,CI_HAC_upper,q_BH_within_technology_spec,q_BH_all_explored_slopes_technology
pv,ITA,Italy,意大利,D0,domestic,none,2010,2024,15,2,13,b,-1.0906336567687003,0.2237037558193186,0.0003031221396306825,0.19411799234856603,-5.618405813770806,8.361957210024116e-05,-1.510000083093681,-0.6712672304437195,9.198152931026528e-05,0.00018396305862053056
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,a,17.14665070522984,3.0895218736505337,0.00012578658499894907,2.643267486826043,6.486914695802893,2.9934152293146964e-05,11.387465592701076,22.9058358177586,,
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,b,-0.7958783980425237,0.11076801522132805,1.1092332174746014e-05,0.09016115830568673,-8.827286749623815,1.3541485560328831e-06,-0.9923226864962684,-0.599434109588779,4.965211372120572e-06,4.654885661363036e-06
pv,ITA,Italy,意大利,GD,global,domestic,2010,2024,15,3,12,g,-0.9656487825300069,0.4655372588175642,0.060231328266884605,0.41031346558986403,-2.353441608702255,0.036483751559556195,-1.8596450255408619,-0.07165253951915185,0.050165158394389765,0.04835195989820701
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,a,1.369531499643827,2.1285688752177347,0.5320648573918305,1.6961152420089323,0.8074519146598264,0.43511972641599783,-2.3259861502329073,5.065049149520561,,
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,b,-0.6247308410632542,0.1789498170229359,0.004454348642997587,0.048267103976015024,-12.943201261333112,2.0723012939666244e-08,-0.7298958264568939,-0.5195658556696144,2.279531423363287e-07,1.4247071396020544e-07
pv,ITA,Italy,意大利,DD,domestic,domestic,2010,2024,15,3,12,g,1.4682690679919452,0.33415565146513987,0.0008745972159198972,0.3269224548762415,4.491184518199484,0.0007378953777128137,0.7559662290025305,2.18057190698136,0.0016233698309681902,0.001352808192473492
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,a,31.30489806017794,5.441941897168254,9.127164119911846e-05,6.335367497789304,4.941291577971071,0.0003413436268299785,17.50131807536198,45.1084780449939,,
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,b,-0.3629307085162603,0.24592308535741952,0.16575220227549448,0.10835010221395071,-3.349611131880694,0.005784303050790457,-0.5990053013153588,-0.12685611571716182,0.012725466711739006,0.009221352689665946
pv,ITA,Italy,意大利,DG,domestic,global,2010,2024,15,3,12,g,-2.105916905075267,0.5497576505883491,0.0023928385608365647,0.6063071854670293,-3.4733497401207782,0.00460244605486869,-3.4269467794879476,-0.7848870306625861,0.01125042368967902,0.007445133324052292
