group,model_id,term,coefficient_error,SE_error
PV_G_Material_Sensitivity_0915,pv_USA_2022_C,const,1.1368683772161603e-13,3.8273384461717797e-11
PV_G_Material_Sensitivity_0915,pv_USA_2022_C,logQ,1.8318679906315083e-15,1.5932977159849315e-11
PV_G_Material_Sensitivity_0915,pv_USA_2022_C,logG,1.4210854715202004e-14,1.0909118053348266e-10
PV_G_Material_Sensitivity_0915,pv_USA_2022_C,logM,4.371503159461554e-16,1.7038315203166121e-12
PV_G_Material_Sensitivity_0915,pv_USA_2022_D,const,6.039613253960852e-14,3.8350655984231707e-10
PV_G_Material_Sensitivity_0915,pv_USA_2022_D,logQ,2.7200464103316335e-15,4.9117099276685394e-12
PV_G_Material_Sensitivity_0915,pv_USA_2022_D,logG,3.552713678800501e-15,3.280675731076599e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,const,5.684341886080802e-14,8.475176116462535e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logQ,8.881784197001252e-16,2.8078650515794834e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logG,0.0,1.3753331806753977e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logM,9.506284648352903e-16,3.4059213782633435e-13
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,const,2.5579538487363607e-13,2.4370727658151736e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,logQ,2.220446049250313e-15,5.195011087977264e-13
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,logG,2.3092638912203256e-14,3.0350166824177904e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,const,8.526512829121202e-14,5.902389688117182e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logQ,4.440892098500626e-16,1.1462497617742429e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logG,1.0658141036401503e-14,1.0314527010280017e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logM,6.314393452555578e-16,2.0194956817931597e-13
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,const,1.4210854715202004e-13,1.0905942815497838e-10
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,logQ,5.329070518200751e-15,1.7608137170554983e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,logG,1.9539925233402755e-14,1.1835310509411556e-11
