group,model_id,term,n,coefficient,SE_HAC,p_HAC_raw,R2
PV_G_Material_Sensitivity_0915,pv_USA_2022_D,logQ,13,-0.33425853380508563,0.18176951500951252,0.09576871832129921,0.9623555602198325
PV_G_Material_Sensitivity_0915,pv_USA_2022_D,logG,13,-1.2622041226191953,0.8330472887692086,0.16068121079260686,0.9623555602198325
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,const,15,-2.4212315109999167,5.984492058878597,0.6935389275304196,0.9810514152454795
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logQ,15,-0.8797033064128401,0.14941317134197615,0.0001049706445286829,0.9810514152454795
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logG,15,1.376979540642452,0.6313629261106805,0.05177808490992079,0.9810514152454795
PV_G_Material_Sensitivity_0915,pv_CHN_2024_A,logM,15,-0.05849749950500205,0.029374037014831093,0.07184586508760384,0.9810514152454795
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,const,15,-0.3391175880432513,5.689987179616812,0.9534560498839517,0.979435493741445
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,logQ,15,-0.8025759930825807,0.1361978771685107,7.335025312027204e-05,0.979435493741445
PV_G_Material_Sensitivity_0915,pv_CHN_2024_B,logG,15,1.1272741450634705,0.5952969857786387,0.0826291190048726,0.979435493741445
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,const,15,-2.421073560236124,5.984395753602719,0.6935531205478008,0.9810514451267196
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logQ,15,-0.8797066272770238,0.14941399044804915,0.00010497217613943233,0.9810514451267196
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logG,15,1.3769693509840373,0.6313556334175664,0.05177726750694441,0.9810514451267196
PV_G_Material_Sensitivity_0915,pv_CHN_2024_C,logM,15,-0.05849783459225777,0.02937399086059745,0.07184407746706484,0.9810514451267196
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,const,15,-0.3389727719448672,5.689891647414993,0.9534751203284588,0.9794355074844137
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,logQ,15,-0.8025782346353205,0.136198570546274,7.335179209676219e-05,0.9794355074844137
PV_G_Material_Sensitivity_0915,pv_CHN_2024_D,logG,15,1.127264041976069,0.5952896294344194,0.08262820072330444,0.9794355074844137
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,const,15,-1.4075277519945075,4.958640607807705,0.7817942630830987,0.9764817980391274
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logQ,15,-0.7040419816999446,0.12873016433631893,0.00019511257691356122,0.9764817980391274
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logG,15,1.1558761313001575,0.5269490418143323,0.05065557018266248,0.9764817980391274
PV_G_Material_Sensitivity_0915,pv_DEU_2024_A,logM,15,0.06668097862470002,0.05300785873576085,0.23445933811880496,0.9764817980391274
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,const,15,-3.7809179851797126,5.171686833027859,0.4787629499076129,0.9737835553662056
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,logQ,15,-0.7919589828551268,0.1003570452116098,4.323323363395673e-06,0.9737835553662056
PV_G_Material_Sensitivity_0915,pv_DEU_2024_B,logG,15,1.4405139412232533,0.527950086754803,0.018317157373240828,0.9737835553662056
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,const,15,-1.407402109156692,4.958564845173202,0.7818099420677419,0.9764818337560116
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logQ,15,-0.7040449247601974,0.12873100809421356,0.00019511640355792737,0.9764818337560116
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logG,15,1.1558683075819314,0.5269435034090166,0.05065484440679358,0.9764818337560116
PV_G_Material_Sensitivity_0915,pv_DEU_2024_C,logM,15,0.06668067099596775,0.053007841554529554,0.23446121702083766,0.9764818337560116
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,const,15,-3.78075282567913,5.1716028184115865,0.47877475872386877,0.9737836199442685
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,logQ,15,-0.7919622470002117,0.10035776936411542,4.323459767207069e-06,0.9737836199442685
PV_G_Material_Sensitivity_0915,pv_DEU_2024_D,logG,15,1.440503075210012,0.5279436997715883,0.01831673593076967,0.9737836199442685
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,const,15,-14.695084947132244,6.996460763246525,0.05956320371371527,0.9744441535986176
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logQ,15,-1.246236298006381,0.14875617570787675,4.201510788342522e-06,0.9744441535986176
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logG,15,2.716852430274159,0.7145584572168538,0.0029323867540766283,0.9744441535986176
PV_G_Material_Sensitivity_0915,pv_IND_2024_A,logM,15,-0.11425628627645912,0.05998891425702393,0.08329591019851634,0.9744441535986176
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,const,15,-10.628336685164683,7.5344629154479215,0.18374745557931474,0.9697504694623232
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,logQ,15,-1.0955925873151116,0.15812304072602068,1.585413954677379e-05,0.9697504694623232
PV_G_Material_Sensitivity_0915,pv_IND_2024_B,logG,15,2.2291322473012833,0.774699983377973,0.013897182239148313,0.9697504694623232
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,const,15,-14.694722922338116,6.996370692404283,0.059565751466248394,0.9744441547029681
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logQ,15,-1.2462417228205185,0.14875755053410478,4.201708448905739e-06,0.9744441547029681
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logG,15,2.7168270321306416,0.7145522714693022,0.0029324001069958566,0.9744441547029681
PV_G_Material_Sensitivity_0915,pv_IND_2024_C,logM,15,-0.11425675631384324,0.05998874706163782,0.08329405615491135,0.9744441547029681
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,const,15,-10.628006879826643,7.534358739528712,0.18375445158640746,0.9697504388451756
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,logQ,15,-1.0955961472301716,0.15812435442353773,1.585492289979584e-05,0.9697504388451756
PV_G_Material_Sensitivity_0915,pv_IND_2024_D,logG,15,2.229107805590944,0.7746925059982919,0.013897279711867818,0.9697504388451756
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,const,14,-11.414112343874507,5.497330462942797,0.06459749351577375,0.9544474511545136
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logQ,14,-0.8309297341322694,0.12888710787626473,7.376398398400152e-05,0.9544474511545136
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logG,14,2.241669882668008,0.5734627136440433,0.0029179836501541496,0.9544474511545136
PV_G_Material_Sensitivity_0915,pv_JPN_2024_A,logM,14,-0.038389897942167295,0.047477774170073955,0.437566692915324,0.9544474511545136
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,const,14,-10.085418849966004,5.388812447580669,0.08808386180216807,0.9520660205815084
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,logQ,14,-0.781334512293667,0.12137687287117316,4.8260078418291163e-05,0.9520660205815084
PV_G_Material_Sensitivity_0915,pv_JPN_2024_B,logG,14,2.0818259766455736,0.5594730536357934,0.0033756190043407203,0.9520660205815084
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,const,14,-11.413780550295883,5.497252685790555,0.064600850917883,0.954447411104603
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logQ,14,-0.8309333512632979,0.12888830989991268,7.376699846506861e-05,0.954447411104603
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logG,14,2.2416454110004,0.5734573345598222,0.0029180121248114877,0.954447411104603
PV_G_Material_Sensitivity_0915,pv_JPN_2024_C,logM,14,-0.03839027387556282,0.047477992260918415,0.43756438370118744,0.954447411104603
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,const,14,-10.085090114927624,5.38872942407353,0.08808863932372718,0.9520659374204469
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,logQ,14,-0.7813372390090416,0.12137768778067899,4.826145770520976e-05,0.9520659374204469
PV_G_Material_Sensitivity_0915,pv_JPN_2024_D,logG,14,2.0818009151554957,0.5594668574105975,0.0033756400532622133,0.9520659374204469
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,const,14,-17.997812840402077,12.168614571116944,0.1699268947949308,0.9170243507134406
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logQ,14,-1.1141134187578805,0.3060954954672813,0.0045386091418549036,0.9170243507134406
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logG,14,2.965501052621475,1.2960184337721978,0.045154576662903845,0.9170243507134406
PV_G_Material_Sensitivity_0915,pv_KOR_2024_A,logM,14,-0.02227043450085242,0.11082014812060556,0.8447582842270409,0.9170243507134406
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,const,14,-17.227022007034392,10.320019289948204,0.12324171669478279,0.9166301218188143
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,logQ,14,-1.085342643144595,0.23822633713561817,0.0008221055340572701,0.9166301218188143
PV_G_Material_Sensitivity_0915,pv_KOR_2024_B,logG,14,2.872773709485781,1.0740263509838062,0.021609114299124876,0.9166301218188143
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,const,14,-17.997293048845563,12.168457637520483,0.16993309268558046,0.9170240280239594
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logQ,14,-1.1141163398777558,0.30609837591074485,0.004538794853347976,0.9170240280239594
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logG,14,2.9654601648515744,1.2960080322516567,0.04515558924929732,0.9170240280239594
PV_G_Material_Sensitivity_0915,pv_KOR_2024_C,logM,14,-0.02227067727153842,0.11082069786016878,0.8447573755786589,0.9170240280239594
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,const,14,-17.226503135344743,10.31987009153351,0.12324697830668141,0.9166297911185586
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,logQ,14,-1.0853450158304976,0.2382281763023321,0.0008221395025270496,0.9166297911185586
PV_G_Material_Sensitivity_0915,pv_KOR_2024_D,logG,14,2.87273237676318,1.0740155298742404,0.021609559513879717,0.9166297911185586
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,const,15,7.037467668871585,7.559229305304218,0.3718472289396063,0.9671081255221611
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logQ,15,-0.6735119830294996,0.18601041793041181,0.004020625651746301,0.9671081255221611
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logG,15,0.45758879163020083,0.7936498726533181,0.5758430012656182,0.9671081255221611
PV_G_Material_Sensitivity_0915,pv_USA_2024_A,logM,15,-0.11458809151785498,0.03687307211496049,0.009967411486539703,0.9671081255221611
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,const,15,11.116025945266287,7.851754008588567,0.18227984190534394,0.9596931523644164
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,logQ,15,-0.522430796428337,0.18409069732549585,0.014954911845643825,0.9596931523644164
PV_G_Material_Sensitivity_0915,pv_USA_2024_B,logG,15,-0.03154775203824123,0.8190054966572374,0.9699068314647886,0.9596931523644164
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,const,15,7.037500357360699,7.559108574222522,0.371837731477065,0.9671081385621881
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logQ,15,-0.6735135297073138,0.18601159855259153,0.004020728820167139,0.9671081385621881
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logG,15,0.45758748593455323,0.7936408556259443,0.5758398010247812,0.9671081385621881
PV_G_Material_Sensitivity_0915,pv_USA_2024_C,logM,15,-0.11458827798248805,0.036873096476043886,0.00996735807264192,0.9671081385621881
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,const,15,11.116016179004518,7.851618136935475,0.18227318310979976,0.9596931521681445
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,logQ,15,-0.5224308484768798,0.18409170785269957,0.01495533635060657,0.9596931521681445
PV_G_Material_Sensitivity_0915,pv_USA_2024_D,logG,15,-0.03154688223077251,0.8189950137169714,0.9699072757548891,0.9596931521681445
PV_Module_Price_Updated_0915,CHN__updated_main__A,const,14,13.461853463960423,4.227925403482217,0.009752439365677162,0.9929707018888804
PV_Module_Price_Updated_0915,CHN__updated_main__A,logQ,14,-0.24644070509990113,0.10902512961000867,0.04733610680757692,0.9929707018888804
PV_Module_Price_Updated_0915,CHN__updated_main__A,logG,14,-1.2939089999562814,0.4506955358144381,0.016642593879434092,0.9929707018888804
PV_Module_Price_Updated_0915,CHN__updated_main__A,logM,14,0.40651466936321057,0.01941684710130075,1.3715690778378025e-09,0.9929707018888804
PV_Module_Price_Updated_0915,CHN__updated_main__B,const,14,-1.4342883183816575,17.71696543599412,0.936931405603009,0.9337622547724687
PV_Module_Price_Updated_0915,CHN__updated_main__B,logQ,14,-0.7895056518762011,0.2850720599473609,0.018243458011660038,0.9337622547724687
PV_Module_Price_Updated_0915,CHN__updated_main__B,logG,14,0.4845400258920556,1.786115229424374,0.7911979753649322,0.9337622547724687
PV_Module_Price_Updated_0915,CHN__updated_main__C,const,14,13.46172200804044,4.2278599429047805,0.009752137917754006,0.9929707276572826
PV_Module_Price_Updated_0915,CHN__updated_main__C,logQ,14,-0.24643726015464984,0.10902585623941274,0.047339858458342404,0.9929707276572826
PV_Module_Price_Updated_0915,CHN__updated_main__C,logG,14,-1.2939011705801269,0.4506907429335987,0.016642218565155995,0.9929707276572826
PV_Module_Price_Updated_0915,CHN__updated_main__C,logM,14,0.4065150141689263,0.019416914277660638,1.3716041641008408e-09,0.9929707276572826
PV_Module_Price_Updated_0915,CHN__updated_main__D,const,14,-1.4342749744212142,17.716689554626633,0.9369310112205743,0.9337622694725081
PV_Module_Price_Updated_0915,CHN__updated_main__D,logQ,14,-0.7895075520316086,0.2850746878467854,0.01824407348927882,0.9337622694725081
PV_Module_Price_Updated_0915,CHN__updated_main__D,logG,14,0.48454068680569407,1.7860944850366403,0.7911953369141291,0.9337622694725081
PV_Module_Price_Updated_0915,CHN__annual_difference__C,const,12,0.1509062565998769,0.06618542440520207,0.05206704025913914,0.8645478863901318
PV_Module_Price_Updated_0915,CHN__annual_difference__C,logQ,12,-0.4061629287578301,0.22167099879377683,0.10427244371976212,0.8645478863901318
PV_Module_Price_Updated_0915,CHN__annual_difference__C,logG,12,-3.582958540432376,1.4828705457376665,0.04209688403968031,0.8645478863901318
PV_Module_Price_Updated_0915,CHN__annual_difference__C,logM,12,0.37991914895032075,0.08336452787653095,0.0018564225933472107,0.8645478863901318
PV_Module_Price_Updated_0915,CHN__annual_difference__D,const,12,0.1416797350336829,0.13987447633637567,0.3375600797482455,0.3285399303343409
PV_Module_Price_Updated_0915,CHN__annual_difference__D,logQ,12,-1.1520205045238956,0.4696129168481978,0.036568601903594414,0.3285399303343409
PV_Module_Price_Updated_0915,CHN__annual_difference__D,logG,12,0.020787130144223065,1.5462840040254506,0.9895674246248022,0.3285399303343409
PV_Module_Price_Updated_0915,DEU__updated_main__A,const,14,-3.276185382684787,5.406596537287734,0.558043671018635,0.9777482106397088
PV_Module_Price_Updated_0915,DEU__updated_main__A,logQ,14,-0.49065906598127873,0.13979709500824236,0.005633589482584684,0.9777482106397088
PV_Module_Price_Updated_0915,DEU__updated_main__A,logG,14,0.4817303249300684,0.5801459502021626,0.4257148516551019,0.9777482106397088
PV_Module_Price_Updated_0915,DEU__updated_main__A,logM,14,0.22686759963741587,0.03754171194981986,0.0001247488012112808,0.9777482106397088
PV_Module_Price_Updated_0915,DEU__updated_main__B,const,14,-16.770414260747945,6.7120516866063555,0.029582378172327027,0.9562735142822294
PV_Module_Price_Updated_0915,DEU__updated_main__B,logQ,14,-0.8650373396977505,0.14892918828374074,0.00011783599109713814,0.9562735142822294
PV_Module_Price_Updated_0915,DEU__updated_main__B,logG,14,1.9909826952942646,0.6960072228508257,0.015500616578734873,0.9562735142822294
