model_id,series,spec,with_G,difference,n,df_resid,first_year,last_year,years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_all_slopes_within_spec,p_BH_knowledge_within_spec
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",logG,-0.7877350179126946,0.4209200681757919,0.20217812848167763,-2.5988078982331517,1.0233378624077627,,0.505445321204194,0.3369635474694627
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",const,9.693669913770483,0.5574849970585469,6.421186567628917e-05,8.145843422466072,11.241496405074894,***,,
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",logQ,-0.4152670469840114,0.1014055676819208,0.014912579140714737,-0.6968140390142845,-0.1337200549537383,**,0.020447794696139387,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",const,9.75252984867148,1.3542120862793006,0.00551855950716299,5.442822598120627,14.062237099222333,***,,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",logQ,-0.4831826718704928,1.026652493742663,0.6700029335139771,-3.750449107392706,2.7840837636517204,,0.8040035202167725,
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",logG,0.04284889284623361,0.5928864327739067,0.9469342886177605,-1.8439803445882523,1.9296781302807196,,0.9913771066969899,0.9469342886177605
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,9.492271559773439,0.4504810939968919,1.9642514373786246e-11,8.519066323974286,10.465476795572592,***,,
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.37954337622053247,0.07666440783226403,0.0002651025319146299,-0.5451667599674999,-0.2139199924735651,***,0.0015906151914877793,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,10.226205741824547,0.684180528455911,4.048032342439041e-09,8.735504428618912,11.716907055030182,***,,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.002939116273842135,0.26635254662719265,0.9913771066969899,-0.5773932295310089,0.5832714620786932,,0.9913771066969899,
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-0.38107760506060817,0.26236967326378696,0.1720201190311409,-0.9527320152823462,0.19057680516112985,,0.22936015870818785,0.20642414283736907
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,-0.029143207466653498,0.15237537634181758,0.8518069554762162,-0.36451914955704845,0.30623273462374145,,,
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.1472669166819658,1.3607180426778838,0.9157642538597005,-2.8476533023091735,3.1421871356731046,,0.9158922879991389,
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-0.1440486095677525,0.3128788258365727,0.6541987454005105,-0.8326902621382266,0.5445930430027215,,0.9158922879991389,0.6541987454005105
