model_id,year,logp,logQ,logG,fitted,residual
nordex_global__difference_plus_lnG,2017,-0.1520412106465674,0.09117496761724198,0.10920865460338369,-0.14189484534384836,-0.010146365302719035
nordex_global__difference_plus_lnG,2018,-0.033128008596581715,0.08459740305842978,0.07568900015104063,-0.07745778829037973,0.04432977969379802
nordex_global__difference_plus_lnG,2019,-0.14374995971126925,0.09676188513365425,0.05338994389931351,-0.03357669187883501,-0.11017326783243424
nordex_global__difference_plus_lnG,2020,-0.008921133677346482,0.16140499023660393,0.047219968999915096,-0.017678006375096367,0.008756872697749885
nordex_global__difference_plus_lnG,2021,0.011534525606331947,0.09674958984667725,0.052669897455020376,-0.032184589379275874,0.04371911498560782
nordex_global__difference_plus_lnG,2022,-0.01740800835799483,0.0876980312013842,0.04800619401237505,-0.0237181142447859,0.0063101058867910675
nordex_global__difference_plus_lnG,2023,-0.015612145904921881,0.1160552002129549,0.03410452055755897,0.00491193330990411,-0.02052407921482599
nordex_global__difference_plus_lnG,2024,0.040566019756691496,0.10657425221761319,0.03487604846090164,0.00283818067065901,0.037727839086032486
sgre_global__experience_only,2016,7.135743197695702,6.114760027948734,8.211482916445066,7.057894748892611,0.07784844880309105
sgre_global__experience_only,2017,7.04476108981515,6.205934995565976,8.32069157104845,7.022026722574214,0.022734367240936137
sgre_global__experience_only,2018,6.967525172448601,6.290532398624406,8.39638057119949,6.988746295296124,-0.021221122847522977
sgre_global__experience_only,2019,6.90181493070398,6.38729428375806,8.449770515098804,6.950680388246268,-0.04886545754228866
sgre_global__experience_only,2020,6.826829914891703,6.548699273994664,8.496990484098719,6.88718402966207,-0.060354114770366785
sgre_global__experience_only,2021,6.777273878536515,6.645448863841342,8.549660381553739,6.849122959550338,-0.07184908101382348
sgre_global__experience_only,2022,6.819708171121091,6.733146895042726,8.597666575566114,6.8146227521643805,0.005085418956710441
sgre_global__experience_only,2023,6.8169215586185805,6.849202095255681,8.631771096123673,6.768966898541265,0.0479546600773153
sgre_global__experience_only,2024,6.775707709540408,6.955776347473294,8.666647144584575,6.727040828444347,0.048666881096061765
sgre_global__experience_plus_lnG,2016,7.135743197695702,6.114760027948734,8.211482916445066,7.1400819192220855,-0.00433872152638326
sgre_global__experience_plus_lnG,2017,7.04476108981515,6.205934995565976,8.32069157104845,7.020800195781558,0.023960894033592695
sgre_global__experience_plus_lnG,2018,6.967525172448601,6.290532398624406,8.39638057119949,6.9438180709666355,0.023707101481965864
sgre_global__experience_plus_lnG,2019,6.90181493070398,6.38729428375806,8.449770515098804,6.8993709068871105,0.0024440238168690342
sgre_global__experience_plus_lnG,2020,6.826829914891703,6.548699273994664,8.496990484098719,6.880208326500442,-0.05337841160873946
sgre_global__experience_plus_lnG,2021,6.777273878536515,6.645448863841342,8.549660381553739,6.8367040910107235,-0.059430212474208766
sgre_global__experience_plus_lnG,2022,6.819708171121091,6.733146895042726,8.597666575566114,6.7969231631335365,0.02278500798755445
sgre_global__experience_plus_lnG,2023,6.8169215586185805,6.849202095255681,8.631771096123673,6.782945069255016,0.03397648936356479
sgre_global__experience_plus_lnG,2024,6.775707709540408,6.955776347473294,8.666647144584575,6.765433880615474,0.01027382892493467
sgre_global__difference_plus_lnG,2017,-0.09098210788055194,0.09117496761724198,0.10920865460338369,-0.1049756654719472,0.013993557591395256
sgre_global__difference_plus_lnG,2018,-0.07723591736654889,0.08459740305842978,0.07568900015104063,-0.05376966278616682,-0.023466254580382068
sgre_global__difference_plus_lnG,2019,-0.06571024174462181,0.09676188513365425,0.05338994389931351,-0.03332651206029605,-0.03238372968432576
sgre_global__difference_plus_lnG,2020,-0.07498501581227668,0.16140499023660393,0.047219968999915096,-0.07813533312671622,0.0031503173144395435
sgre_global__difference_plus_lnG,2021,-0.04955603635518813,0.09674958984667725,0.052669897455020376,-0.032332777806931265,-0.017223258548256862
sgre_global__difference_plus_lnG,2022,0.042434292584576205,0.0876980312013842,0.04800619401237505,-0.018507531363204544,0.06094182394778075
sgre_global__difference_plus_lnG,2023,-0.002786612502510444,0.1160552002129549,0.03410452055755897,-0.022871081906045067,0.020084469403534623
sgre_global__difference_plus_lnG,2024,-0.04121384907817216,0.10657425221761319,0.03487604846090164,-0.016116923633986688,-0.025096925444185472
us_project_5_100mw__experience_only,2010,7.633860269553674,5.180162236673185,6.721425700790643,7.554993408971466,0.07886686058220782
us_project_5_100mw__experience_only,2011,7.413724155178598,5.376417249698097,7.188412736496954,7.489813794863569,-0.0760896396849704
us_project_5_100mw__experience_only,2012,7.445354232123956,5.56590362647905,7.547501682814967,7.426882159503415,0.018472072620540736
us_project_5_100mw__experience_only,2013,7.316295554413122,5.677698971893068,7.751475318021456,7.389753031636399,-0.07345747722327722
us_project_5_100mw__experience_only,2014,7.33044279859622,5.830825584658366,7.9658927350845286,7.338897089788817,-0.008454291192596664
us_project_5_100mw__experience_only,2015,7.342701383762507,6.002024865148459,8.097730573664219,7.2820389088644015,0.0606624748981055
us_project_5_100mw__experience_plus_lnG,2010,7.633860269553674,5.180162236673185,6.721425700790643,7.614689311647106,0.019170957906568198
us_project_5_100mw__experience_plus_lnG,2011,7.413724155178598,5.376417249698097,7.188412736496954,7.47113472963882,-0.057410574460221575
us_project_5_100mw__experience_plus_lnG,2012,7.445354232123956,5.56590362647905,7.547501682814967,7.386286286987006,0.059067945136949795
us_project_5_100mw__experience_plus_lnG,2013,7.316295554413122,5.677698971893068,7.751475318021456,7.340844478333237,-0.024548923920114873
us_project_5_100mw__experience_plus_lnG,2014,7.33044279859622,5.830825584658366,7.9658927350845286,7.316647968340378,0.013794830255841717
us_project_5_100mw__experience_plus_lnG,2015,7.342701383762507,6.002024865148459,8.097730573664219,7.352775618681522,-0.010074234919015268
us_project_5_100mw__difference_plus_lnG,2011,-0.22013611437507574,0.19625501302491166,0.4669870357063104,-0.14194594055803728,-0.07819017381703847
us_project_5_100mw__difference_plus_lnG,2012,0.031630076945357466,0.1894863767809527,0.35908894631801314,-0.07124181412373731,0.10287189106909478
us_project_5_100mw__difference_plus_lnG,2013,-0.1290586777108338,0.11179534541401814,0.2039736352064896,-0.11308520375920891,-0.015973473951624878
us_project_5_100mw__difference_plus_lnG,2014,0.014147244183098096,0.15312661276529838,0.21441741706307216,-0.03404726248397269,0.048194506667070786
