series,year,logp,logQ,Q_global_gw,F_global_raw,F_global,G_depreciated,G_cumulative,G_global,logG
us_project_5_100mw,2010,7.633860269553674,5.180162236673185,177.71164000000002,468,468.0,1809.0,830,830,6.721425700790643
us_project_5_100mw,2011,7.413724155178598,5.376417249698097,216.24613,494,494.0,2122.1000000000004,1324,1324,7.188412736496954
us_project_5_100mw,2012,7.445354232123956,5.56590362647905,261.36127,572,572.0,2481.89,1896,1896,7.547501682814967
us_project_5_100mw,2013,7.316295554413122,5.677698971893068,292.27612,429,429.0,2662.701,2325,2325,7.751475318021456
us_project_5_100mw,2014,7.33044279859622,5.830825584658366,340.63979000000006,556,556.0,2952.4309000000003,2881,2881,7.9658927350845286
us_project_5_100mw,2015,7.342701383762507,6.002024865148459,404.24651,406,406.0,3063.187810000001,3287,3287,8.097730573664219
us_project_gt100mw,2010,7.537239649359366,5.180162236673185,177.71164000000002,468,468.0,1809.0,830,830,6.721425700790643
us_project_gt100mw,2011,7.432396369984271,5.376417249698097,216.24613,494,494.0,2122.1000000000004,1324,1324,7.188412736496954
us_project_gt100mw,2013,7.443176206169008,5.677698971893068,292.27612,429,429.0,2662.701,2325,2325,7.751475318021456
us_project_gt100mw,2014,7.113041672851738,5.830825584658366,340.63979000000006,556,556.0,2952.4309000000003,2881,2881,7.9658927350845286
us_project_gt100mw,2015,7.4177630940418045,6.002024865148459,404.24651,406,406.0,3063.187810000001,3287,3287,8.097730573664219
us_project_gt100mw,2016,7.023790411420235,6.114760027948734,452.48745,396,396.0,3152.869029,3683,3683,8.211482916445066
vestas_asp,2010,7.519976983896885,5.180162236673185,177.71164000000002,468,468.0,1809.0,830,830,6.721425700790643
vestas_asp,2011,7.544080932704994,5.376417249698097,216.24613,494,494.0,2122.1000000000004,1324,1324,7.188412736496954
vestas_asp,2012,7.475406322541961,5.56590362647905,261.36127,572,572.0,2481.89,1896,1896,7.547501682814967
vestas_asp,2013,7.447343924302284,5.677698971893068,292.27612,429,429.0,2662.701,2325,2325,7.751475318021456
vestas_asp,2014,7.337950736153582,5.830825584658366,340.63979000000006,556,556.0,2952.4309000000003,2881,2881,7.9658927350845286
vestas_asp,2015,7.180166664019038,6.002024865148459,404.24651,406,406.0,3063.187810000001,3287,3287,8.097730573664219
vestas_asp,2016,7.1525449693183685,6.114760027948734,452.48745,396,396.0,3152.869029,3683,3683,8.211482916445066
vestas_asp,2017,7.02696687700858,6.205934995565976,495.6822,425,425.0,3262.582126100001,4108,4108,8.32069157104845
vestas_asp,2018,6.7553635033498365,6.290532398624406,539.4404499999999,323,323.0,3259.3239134900005,4431,4431,8.39638057119949
vestas_asp,2019,6.87671553384544,6.38729428375806,594.24654,243,243.0,3176.391522141,4674,4674,8.449770515098804
vestas_asp,2020,6.903147370737096,6.548699273994664,698.33524,226,226.0,3084.7523699269,4900,4900,8.496990484098719
vestas_asp,2021,6.9986112310314175,6.645448863841342,769.27527,265,265.0,3041.277132934209,5165,5165,8.549660381553739
vestas_asp,2022,7.030213485772229,6.733146895042726,839.7858299999999,254,254.0,2991.1494196407893,5419,5419,8.597666575566114
vestas_asp,2023,6.98625099951834,6.849202095255681,943.12808,188,188.0,2880.0344776767106,5607,5607,8.631771096123673
vestas_asp,2024,7.093254850398366,6.955776347473294,1049.19276,199,199.0,2791.0310299090397,5806,5806,8.666647144584575
