model_id,year,logp,logQ,logG,fitted,residual
china_domestic__difference_plus_lnG,2020,0.006871871957607745,0.16140499023660393,-0.0292744259522717,-0.16410477192945888,0.17097664388706663
china_domestic__difference_plus_lnG,2021,-0.24664082998650994,0.09674958984667725,-0.014193848353496463,-0.13429062648930476,-0.11235020349720518
china_domestic__difference_plus_lnG,2022,-0.38549043434124464,0.0876980312013842,-0.016619801898457354,-0.13343380157385465,-0.25205663276739
china_domestic__difference_plus_lnG,2023,-0.3117981716727245,0.1160552002129549,-0.03785546932448636,-0.1571994984115581,-0.1545986732611664
china_domestic__difference_plus_lnG,2024,-0.1896244584604263,0.10657425221761319,-0.03139119315303418,-0.14971839018719443,-0.03990606827323187
nordex_global__experience_only,2016,7.193085649327715,6.114760027948734,8.056068120147582,7.070418994508456,0.12266665481925898
nordex_global__experience_only,2017,7.041044438681148,6.205934995565976,8.090274224065078,7.039647056229072,0.0013973824520761013
nordex_global__experience_only,2018,7.007916430084566,6.290532398624406,8.089275064352785,7.011095073886301,-0.003178643801734715
nordex_global__experience_only,2019,6.864166470373297,6.38729428375806,8.063501090002571,6.978437527248833,-0.11427105687553585
nordex_global__experience_only,2020,6.85524533669595,6.548699273994664,8.0342266640503,6.923962658462521,-0.06871732176657108
nordex_global__experience_only,2021,6.866779862302282,6.645448863841342,8.020032815696803,6.891309261536557,-0.024529399234275218
nordex_global__experience_only,2022,6.849371853944287,6.733146895042726,8.003413013798346,6.861710804044567,-0.012338950100279966
nordex_global__experience_only,2023,6.8337597080393655,6.849202095255681,7.965557544473859,6.822541681737368,0.011218026301997419
nordex_global__experience_only,2024,6.874325727796057,6.955776347473294,7.934166351320825,6.786572419590993,0.08775330820506433
nordex_global__experience_plus_lnG,2016,7.193085649327715,6.114760027948734,8.056068120147582,7.193773775165287,-0.0006881258375717181
nordex_global__experience_plus_lnG,2017,7.041044438681148,6.205934995565976,8.090274224065078,7.017013977247352,0.024030461433795836
nordex_global__experience_plus_lnG,2018,7.007916430084566,6.290532398624406,8.089275064352785,6.949307702771623,0.058608727312942754
nordex_global__experience_plus_lnG,2019,6.864166470373297,6.38729428375806,8.063501090002571,6.944321393673253,-0.08015492329995588
nordex_global__experience_plus_lnG,2020,6.85524533669595,6.548699273994664,8.0342266640503,6.895650072193156,-0.04040473549720591
nordex_global__experience_plus_lnG,2021,6.866779862302282,6.645448863841342,8.020032815696803,6.856609622608982,0.010170239693300331
nordex_global__experience_plus_lnG,2022,6.849371853944287,6.733146895042726,8.003413013798346,6.832264180192805,0.017107673751482366
nordex_global__experience_plus_lnG,2023,6.8337597080393655,6.849202095255681,7.965557544473859,6.846705696689124,-0.01294598864975871
nordex_global__experience_plus_lnG,2024,6.874325727796057,6.955776347473294,7.934166351320825,6.8500490567018915,0.024276671094165536
