technology,iso3,window_end,model_id,first_year,last_year,N,df_resid,R2,adj_R2,a,b_capacity,g_knowledge,se_HAC_b,se_HAC_g,p_HAC_b,p_HAC_g,p_OLS_b,p_OLS_g,VIF_Q,VIF_H,covariance_HAC,learning_rate_pct
pv,USA,2024,M_PV_DOM_PSTK,2010,2024,15,12.0,0.9617935871268902,0.9554258516480386,8.200103582638349,-0.5138334075046227,0.2957363251730918,0.0559353802531113,0.6967133919792353,8.889191498462893e-07,0.6787314308887749,1.595814985872547e-08,0.6105418917117134,1.6382201330055846,1.6382201330055846,"[[38.70417777935657, -0.25101468971327034, -4.3312876352860386], [-0.25101468971210905, 0.0031287667640601553, 0.02707703341862336], [-4.331287635267387, 0.027077033418664992, 0.48540955056321167]]",29.9640971584464
wind,AUS,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.9178557874156478,0.9110104363669518,12.124563593369706,-0.707018681207963,,0.0547399015953492,,2.1220112392277773e-08,,7.18864792780194e-08,,1.0,,"[[0.11678101439619286, -0.01864558306115492], [-0.018645583061155248, 0.002996456826668519]]",38.741526635253045
wind,BRA,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.9146845367848996,0.9075749148503076,12.060988221942,-0.7160560764694742,,0.0785466480906807,,9.638763655683063e-07,,9.036274684236061e-08,,1.0,,"[[0.231727614764511, -0.03772513774805537], [-0.03772513774805575, 0.006169575926281232]]",39.124065314561626
wind,CAN,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7885318147099439,0.7709094659357726,11.39820860793677,-0.586719043968678,,0.0957999813409629,,5.141824232627669e-05,,2.2303342250148947e-05,,1.0,,"[[0.36487335888357764, -0.05771872932764438], [-0.057718729327644, 0.00917763642492884]]",33.41445347298656
wind,CHN,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7198942502268332,0.6965521044124026,9.428983894644812,-0.3482950936157574,,0.0900298814142985,,0.0022332946763052,,0.0001250798786422,,1.0,,"[[0.2948987036200204, -0.04880977262887708], [-0.0488097726288762, 0.008105379547472653]]",21.448817095344875
wind,DEU,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.902764286870902,0.8946613107768104,9.2687542194382,-0.2525790640114993,,0.0303928674946588,,2.540782190434079e-06,,1.9915514730519432e-07,,1.0,,"[[0.03474444676558629, -0.0056524849972036], [-0.005652484997203807, 0.0009237263945478909]]",16.06054879837876
wind,ESP,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7492166660753442,0.7283180549149563,10.804568738521866,-0.5235019975140006,,0.0596253307411109,,1.4329878940217245e-06,,6.337269158909304e-05,,1.0,,"[[0.12404739985830951, -0.020836970747904984], [-0.020836970747903236, 0.003555180065986866]]",30.431891411570632
wind,FRA,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.686122423671756,0.6599659589777357,8.838650663091771,-0.1875917190482192,,0.0276209977820395,,1.9257667813825383e-05,,0.0002525593800323,,1.0,,"[[0.03145380564679193, -0.004870494378389929], [-0.0048704943783899534, 0.0007629195184754363]]",12.192974472844142
wind,GBR,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7088592117269333,0.6845974793708445,10.131967769047783,-0.3858784114007956,,0.0847308060131094,,0.0006613777790814,,0.0001587185266651,,1.0,,"[[0.2613235821673161, -0.043242793836589286], [-0.04324279383659013, 0.00717930948763119]]",23.468711815929566
wind,IND,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7363307038279283,0.7143582624802557,8.978684181931097,-0.2810659533789372,,0.065901577025643,,0.0010978826442902,,8.621389292789613e-05,,1.0,,"[[0.18094029678514212, -0.027996951835510094], [-0.02799695183550985, 0.004343017854466766]]",17.701727856447945
wind,ITA,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.827653346586716,0.8132911254689423,11.289490239594528,-0.5771797615271547,,0.0590324550714266,,4.565355117966122e-07,,6.405290873596933e-06,,1.0,,"[[0.1486743693045336, -0.02268545913673514], [-0.022685459136734604, 0.0034848307517600053]]",32.972722620226826
wind,POL,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7417980053761872,0.7202811724908695,9.734810657542706,-0.3364152070475845,,0.0490506294609431,,1.750895433410707e-05,,7.579705637270885e-05,,1.0,,"[[0.09153787250951038, -0.01475430285006735], [-0.0147543028500678, 0.0024059642505147413]]",20.799316112556475
wind,SWE,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.7595811537944892,0.73954624994403,10.202268688644631,-0.4234959525411641,,0.0784497575475594,,0.0001605224235305,,4.891625885717224e-05,,1.0,,"[[0.22211717945859974, -0.03689138006884547], [-0.03689138006884615, 0.0061543644592708625]]",25.43843495960886
wind,TUR,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.767327066081728,0.7479376549218719,9.867956019491483,-0.3653838620549585,,0.054204126240563,,2.0707934143665263e-05,,4.002136463827712e-05,,1.0,,"[[0.1190791350821727, -0.018626556123498537], [-0.018626556123498447, 0.002938087301502894]]",22.37376948426225
wind,USA,2024,M_WIND_PST_ONE_FACTOR,2011,2024,14,12.0,0.9113438360724114,0.9039558224117792,10.281772447659094,-0.4330951499071871,,0.0439543649486696,,4.2004384484477414e-07,,1.1395941308669321e-07,,1.0,,"[[0.06735969875545544, -0.011395101554414045], [-0.011395101554414273, 0.0019319861980408362]]",25.932895199683394
