scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn,quantity_S0,consumer_price_S0,expenditure_2024USD_bn_S0,real_consumption_2024USD_bn_S0,quantity_gap,quantity_pct,consumer_price_gap,consumer_price_pct,expenditure_2024USD_bn_gap,expenditure_2024USD_bn_pct,real_consumption_2024USD_bn_gap,real_consumption_2024USD_bn_pct
S1_NO_CN,2030,Australia_Oceania,Coal,0.0030180582454507,2.892896744158829,0.0111732905282716,0.0038623192279643,0.0030226292418755,2.8338976820117594,0.0109619946884253,0.0038681688988278,-4.570996424800057e-06,-0.15122583879866844,0.058999062147069736,2.081905162686989,0.00021129583984630038,1.9275309453434264,-5.84967086349978e-06,-0.1512258388012077
S2_CAPACITY,2030,Australia_Oceania,Coal,0.0029514864477607,3.700090638730954,0.0139757041339598,0.0037771248700868,0.0030226292418755,2.8338976820117594,0.0109619946884253,0.0038681688988278,-7.114279411479969e-05,-2.3536725288430205,0.8661929567191944,30.565428039882217,0.0030137094455344998,27.492345427941654,-9.104402874099979e-05,-2.3536725288440623
S1_NO_CN,2030,Australia_Oceania,Oil,1.543055281336859e-05,1.5081551589224444,2.9781601705629632e-05,1.9747039713974933e-05,1.5515188926467796e-05,1.4933281346266518,2.965055708601078e-05,1.9855351626504632e-05,-8.463611309920453e-08,-0.5455048823467525,0.014827024295792635,0.9928845477420507,1.3104461961885102e-07,0.44196343171129915,-1.0831191252969914e-07,-0.5455048823467578
S2_CAPACITY,2030,Australia_Oceania,Oil,1.5624386050630772e-05,1.329422224692994,2.6581925573035447e-05,1.9995095158287236e-05,1.5515188926467796e-05,1.4933281346266518,2.965055708601078e-05,1.9855351626504632e-05,1.091971241629758e-07,0.7038078922564286,-0.16390590993365772,-10.975880393135162,-3.0686315129753344e-06,-10.349321613330238,1.397435317826044e-07,0.7038078922564267
S1_NO_CN,2030,Australia_Oceania,Gas,1.0508140967067554,2.347634528142471,3.15701699890939,1.3447651089581425,1.0620073545539743,2.2986139924350297,3.124022205463709,1.3590895290964768,-0.011193257847218918,-1.0539717827020043,0.04902053570744114,2.1326127774725405,0.032994793445681125,1.0561638578616825,-0.014324420138334348,-1.0539717827019996
S2_CAPACITY,2030,Australia_Oceania,Gas,0.9603729565103052,2.5418413677001896,3.1239847655346,1.2290242846470292,1.0620073545539743,2.2986139924350297,3.124022205463709,1.3590895290964768,-0.10163439804366914,-9.570027703466696,0.24322737526515992,10.581479798941698,-3.7439929108984416e-05,-0.0011984527204545617,-0.13006524444944767,-9.570027703466678
S1_NO_CN,2030,Australia_Oceania,Mine,0.0629478173800917,1.6804242363041084,0.1353692911017251,0.0805566173162722,0.0629679877012846,1.6778384653865197,0.135204299678193,0.0805824300118208,-2.0170321192905516e-05,-0.032032659656509914,0.0025857709175887145,0.1541132219181205,0.0001649914235321015,0.12203119569777472,-2.581269554860488e-05,-0.032032659656476434
S2_CAPACITY,2030,Australia_Oceania,Mine,0.0620686319780913,1.5858835896224048,0.1259690982227169,0.079431491697518,0.0629679877012846,1.6778384653865197,0.135204299678193,0.0805824300118208,-0.0008993557231933014,-1.4282745185693042,-0.09195487576411487,-5.480555945111882,-0.0092352014554761,-6.830553079641178,-0.0011509383143028101,-1.4282745185693415
S1_NO_CN,2030,Australia_Oceania,Manufac,169.30233406644345,1.5858168815185618,343.5868422315372,216.6623731435902,169.38650589691366,1.5835190086100277,343.2595527641916,216.77009090567583,-0.08417183047021126,-0.04969217000168662,0.0022978729085341154,0.1451117982190267,0.32728946734562214,0.09534751901586833,-0.10771776208562756,-0.04969217000167209
S2_CAPACITY,2030,Australia_Oceania,Manufac,162.93196812248598,1.5400139982558367,321.10828703850643,208.5099834507862,169.38650589691366,1.5835190086100277,343.2595527641916,216.77009090567583,-6.454537774427678,-3.810538354428199,-0.043505010354190965,-2.7473626851109634,-22.151265725685164,-6.453211730687762,-8.260107454889635,-3.810538354428192
