year,scenario,sector,real_output,real_output_S0,real_output_gap,real_output_pct
2020,S1_NO_CN,Oil,1880.2706274153682,1878.6102306160744,1.6603967992937214,0.08838431582208557
2020,S2_CAPACITY,Oil,1761.9844803200488,1878.6102306160744,-116.62575029602567,-6.208086616124689
2020,S1_NO_CN,OthServ,127195.57624222952,127223.93574362731,-28.359501397790154,-0.022291010910822803
2020,S2_CAPACITY,OthServ,127208.92351633387,127223.93574362731,-15.012227293438627,-0.011799845057214868
2020,S1_NO_CN,Petro,3571.406451888943,3569.8317400827286,1.5747118062145091,0.044111653457874635
2020,S2_CAPACITY,Petro,3151.0916247719924,3569.8317400827286,-418.7401153107362,-11.72996784719697
2020,S1_NO_CN,Power,4023.4853688233384,4051.806064199176,-28.32069537583766,-0.6989647314582204
2020,S2_CAPACITY,Power,3607.2700047398134,4051.806064199176,-444.5360594593626,-10.971306435102624
2020,S1_NO_CN,Rice,541.4056959673267,541.5026886933931,-0.09699272606644627,-0.017911771832653817
2020,S2_CAPACITY,Rice,531.7078319967023,541.5026886933931,-9.794856696690772,-1.8088288204671807
2020,S1_NO_CN,Transport,9293.017332937527,9297.016344569278,-3.999011631751273,-0.04301392493611394
2020,S2_CAPACITY,Transport,9048.687228455841,9297.016344569278,-248.3291161134366,-2.6710624883271783
2020,S1_NO_CN,WatWaste,1349.08698782285,1349.966272646148,-0.879284823297894,-0.06513383638647181
2020,S2_CAPACITY,WatWaste,1336.363643219242,1349.966272646148,-13.602629426905878,-1.007627353551772
2025,S1_NO_CN,Animal products nec,2362.6547479905066,2363.9419855986716,-1.2872376081650145,-0.05445301179161636
2025,S2_CAPACITY,Animal products nec,2340.5398758279894,2363.9419855986716,-23.402109770682273,-0.9899612559550888
2025,S1_NO_CN,"Bovine cattle, sheep and goats, horses",662.2465593273514,662.6672924018893,-0.42073307453790676,-0.06349084666800543
2025,S2_CAPACITY,"Bovine cattle, sheep and goats, horses",655.1905814128253,662.6672924018893,-7.476710989064031,-1.1282752408020786
2025,S1_NO_CN,Coal,644.6600931699064,641.9613961987704,2.6986969711359734,0.42038306152296673
2025,S2_CAPACITY,Coal,499.2466844559269,641.9613961987704,-142.71471174284352,-22.23104264335776
2025,S1_NO_CN,Crops nec,4011.833156070663,4013.6389853005467,-1.8058292298837841,-0.044992318354924524
2025,S2_CAPACITY,Crops nec,3968.808181537013,4013.6389853005467,-44.83080376353382,-1.1169615385868301
2025,S1_NO_CN,Forestry,617.0323883712475,617.3734377127466,-0.34104934149911514,-0.05524198494231292
2025,S2_CAPACITY,Forestry,610.8241324899344,617.3734377127466,-6.549305222812222,-1.060833658000606
2025,S1_NO_CN,Gas,1037.6813440222143,1031.1796351824125,6.501708839801722,0.6305117574060304
2025,S2_CAPACITY,Gas,863.4757854877022,1031.1796351824125,-167.70384969471036,-16.263301172064367
2025,S1_NO_CN,Manufac,73445.15762372516,73503.4778696868,-58.320245961644105,-0.07934351904414534
2025,S2_CAPACITY,Manufac,72408.72491082131,73503.4778696868,-1094.752958865487,-1.4893893331229278
2025,S1_NO_CN,Mine,2128.644021014902,2129.4268211163585,-0.7828001014563597,-0.03676107080524018
2025,S2_CAPACITY,Mine,2093.866798729608,2129.4268211163585,-35.56002238675046,-1.669933995107097
2025,S1_NO_CN,Oil,1979.2126799670907,1975.4395904724684,3.7730894946223543,0.19099999376442284
2025,S2_CAPACITY,Oil,1868.432463868591,1975.4395904724684,-107.0071266038774,-5.416876685066557
2025,S1_NO_CN,OthServ,142167.33905185363,142244.5018359965,-77.16278414285625,-0.05424658468122905
2025,S2_CAPACITY,OthServ,142112.50233958047,142244.5018359965,-131.99949641601415,-0.09279760884410526
2025,S1_NO_CN,Petro,4171.18831767064,4166.350878646883,4.837439023756815,0.1161073362435543
2025,S2_CAPACITY,Petro,3719.9855209151688,4166.350878646883,-446.3653577317141,-10.713580558454582
2025,S1_NO_CN,Power,3398.5803762433507,3448.1224073238377,-49.54203108048705,-1.4367828408660728
2025,S2_CAPACITY,Power,3031.6696050311575,3448.1224073238377,-416.4528022926802,-12.077668745405655
