year,scenario,region,CO2_Mt,CO2_Gt
2025,S2_CAPACITY,Southeast Asia,1496.4680802183232,1.4964680802183232
2025,S2_CAPACITY,"Central, Western and South Asia",3024.0397828479017,3.0240397828479018
2025,S2_CAPACITY,India,2334.933541806696,2.3349335418066963
2025,S2_CAPACITY,Canada,563.8691342362183,0.5638691342362183
2025,S2_CAPACITY,United States,4479.043793543356,4.479043793543355
2025,S2_CAPACITY,Rest of America,1305.3588446950612,1.3053588446950612
2025,S2_CAPACITY,Brazil,573.0419266290584,0.5730419266290584
2025,S2_CAPACITY,"EU, UK and EFTA",2970.268793699888,2.9702687936998884
2025,S2_CAPACITY,Eastern Europe,332.7761918405182,0.3327761918405182
2025,S2_CAPACITY,Russia,1554.8346299559676,1.5548346299559677
2025,S2_CAPACITY,North Africa,560.2841398057748,0.5602841398057747
2025,S2_CAPACITY,Sub Saharan,397.79485851576544,0.39779485851576546
2025,S2_CAPACITY,South Africa,306.3743246715793,0.3063743246715793
2030,S2_CAPACITY,Australia_Oceania,397.6689055570955,0.3976689055570955
2030,S2_CAPACITY,China,8901.820228023955,8.901820228023954
2030,S2_CAPACITY,Japan,1298.808017724085,1.298808017724085
2030,S2_CAPACITY,South Korea,575.0011840325351,0.5750011840325351
2030,S2_CAPACITY,Rest of World,42.77978876614908,0.04277978876614908
2030,S2_CAPACITY,Southeast Asia,1700.0786844276734,1.7000786844276734
2030,S2_CAPACITY,"Central, Western and South Asia",3430.2166404965847,3.430216640496585
2030,S2_CAPACITY,India,2882.882014019417,2.882882014019417
2030,S2_CAPACITY,Canada,636.8713483779427,0.6368713483779427
2030,S2_CAPACITY,United States,4970.395826368448,4.970395826368448
2030,S2_CAPACITY,Rest of America,1435.646763912418,1.435646763912418
2030,S2_CAPACITY,Brazil,679.929418620083,0.6799294186200829
2030,S2_CAPACITY,"EU, UK and EFTA",2509.161316473943,2.509161316473943
2030,S2_CAPACITY,Eastern Europe,377.5340148078338,0.3775340148078338
2030,S2_CAPACITY,Russia,1682.0453424542172,1.6820453424542172
2030,S2_CAPACITY,North Africa,669.4308147967812,0.6694308147967812
2030,S2_CAPACITY,Sub Saharan,452.89838405617775,0.45289838405617777
2030,S2_CAPACITY,South Africa,327.6312265859124,0.32763122658591237
2035,S2_CAPACITY,Australia_Oceania,428.25897357842064,0.42825897357842063
2035,S2_CAPACITY,China,8756.489281894956,8.756489281894956
2035,S2_CAPACITY,Japan,1411.2826084909018,1.4112826084909018
2035,S2_CAPACITY,South Korea,613.2718055245556,0.6132718055245556
2035,S2_CAPACITY,Rest of World,48.87251462051091,0.04887251462051091
2035,S2_CAPACITY,Southeast Asia,1865.1371663592424,1.8651371663592424
2035,S2_CAPACITY,"Central, Western and South Asia",3887.459729727418,3.8874597297274183
2035,S2_CAPACITY,India,3220.585180512894,3.220585180512894
2035,S2_CAPACITY,Canada,697.2252807904525,0.6972252807904525
2035,S2_CAPACITY,United States,5362.579896791826,5.362579896791826
2035,S2_CAPACITY,Rest of America,1656.6529085797602,1.65665290857976
2035,S2_CAPACITY,Brazil,810.2909062263651,0.8102909062263651
2035,S2_CAPACITY,"EU, UK and EFTA",2667.0557703881404,2.6670557703881403
2035,S2_CAPACITY,Eastern Europe,434.9903453658524,0.4349903453658524
2035,S2_CAPACITY,Russia,1829.444608725309,1.8294446087253091
2035,S2_CAPACITY,North Africa,768.2422584920256,0.7682422584920257
2035,S2_CAPACITY,Sub Saharan,579.1377504199836,0.5791377504199836
2035,S2_CAPACITY,South Africa,386.2673235805229,0.3862673235805229
2040,S2_CAPACITY,Australia_Oceania,498.0556050806392,0.49805560508063923
2040,S2_CAPACITY,China,8916.501405104707,8.916501405104707
2040,S2_CAPACITY,Japan,1553.5844564326571,1.553584456432657
2040,S2_CAPACITY,South Korea,680.0893137191629,0.6800893137191629
2040,S2_CAPACITY,Rest of World,54.53320001209234,0.05453320001209234
2040,S2_CAPACITY,Southeast Asia,2007.9995349634803,2.0079995349634805
2040,S2_CAPACITY,"Central, Western and South Asia",4364.228528984987,4.364228528984987
2040,S2_CAPACITY,India,3332.3624107477453,3.3323624107477454
2040,S2_CAPACITY,Canada,787.6841330849909,0.7876841330849909
2040,S2_CAPACITY,United States,5944.6326265449625,5.944632626544962
2040,S2_CAPACITY,Rest of America,1914.155245263971,1.914155245263971
2040,S2_CAPACITY,Brazil,965.205374791044,0.9652053747910441
2040,S2_CAPACITY,"EU, UK and EFTA",3026.15908271669,3.02615908271669
2040,S2_CAPACITY,Eastern Europe,496.61270429291335,0.4966127042929134
2040,S2_CAPACITY,Russia,1975.23351396265,1.97523351396265
