scenario,year,region,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe
S0_BASELINE,2020,United States,Coal,0.1000857123448158,11.630196397227463,16.77509716738932,304.0366402495268,11.73028210957228
S0_BASELINE,2020,United States,Oil,0.0011891998038284,0.1168628591227917,841.9929627510514,0.1348263625065278,0.1180520589266202
S0_BASELINE,2020,United States,Gas,124.06554802694062,243.75753758617037,178.93712430788167,214.0421660344164,367.82308561311095
S0_BASELINE,2020,United States,Oil_pct,262.00293432900577,615.4262124444476,64.86134078039288,9.040819781043526,877.4291467734533
S0_BASELINE,2020,United States,Electricity,135.09768159488684,233.4141075583269,12.34964696474428,21.68116949370768,368.5117891532137
S0_BASELINE,2020,Rest of America,Coal,0.1043099691195571,4.887568108919214,4.451900190250014,14.917343097899098,4.991878078038771
S0_BASELINE,2020,Rest of America,Oil,0.0010124328932908,1.2658202219905912,152.9266519720802,2.0633228098285934,1.266832654883882
S0_BASELINE,2020,Rest of America,Gas,15.29807187789526,53.11011462379931,58.50429219515165,62.35424566053224,68.40818650169457
S0_BASELINE,2020,Rest of America,Oil_pct,68.30332249810505,170.7702158811783,38.93043344664845,30.071643757269484,239.07353837928332
S0_BASELINE,2020,Rest of America,Electricity,24.8854655982741,57.26016465271689,1.0004621033351904,2.668084856327801,82.14563025099099
S0_BASELINE,2020,Brazil,Coal,0.0153505856926651,4.22348923269966,9.590339989490737,3.509861742814381,4.238839818392325
S0_BASELINE,2020,Brazil,Oil,0.0001851411111413,0.0089331272813767,89.25959255946847,0.0151891918065657,0.0091182683925181
S0_BASELINE,2020,Brazil,Gas,0.5942962500837855,12.63879081606028,11.113136762346866,12.726331902860167,13.233087066144064
S0_BASELINE,2020,Brazil,Oil_pct,29.359371627878733,91.38931921268131,26.391555346422187,6.989814341066406,120.74869084056006
S0_BASELINE,2020,Brazil,Electricity,14.18772867890164,36.10410318431988,1.540945394339779,1.5988249609688647,50.29183186322152
S0_BASELINE,2020,"EU, UK and EFTA",Coal,9.812162900805244,7.039303650859106,60.30032407330644,109.65129091041952,16.851466551664352
S0_BASELINE,2020,"EU, UK and EFTA",Oil,0.0442362071006473,0.0899688546417196,584.9290968599138,2.140145447008212,0.1342050617423669
S0_BASELINE,2020,"EU, UK and EFTA",Gas,106.52938949543794,137.97383483963554,36.69937183303351,120.88911609949749,244.50322433507347
S0_BASELINE,2020,"EU, UK and EFTA",Oil_pct,139.41626525601097,511.2868406373758,174.62438440910972,23.42675251234597,650.7031058933868
S0_BASELINE,2020,"EU, UK and EFTA",Electricity,107.91635019493538,224.92994062986688,9.074323978629076,20.187302302763303,332.8462908248023
S0_BASELINE,2020,Eastern Europe,Coal,0.9158454311887806,2.8888796282655425,11.45323045583712,27.822443057547037,3.804725059454323
S0_BASELINE,2020,Eastern Europe,Oil,0.007689999980332,0.0363867887091085,25.26966628408354,0.0118007641586359,0.0440767886894405
