technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution,observed_completed,observation_imputed,completion_method,region,country_name,cost_actual,cost_cf,capacity_weight_MW,tfp_start_year,alpha,annual_cost_reduction_actual,tfp_growth_factor_actual,tfp_growth_rate_actual,tfp_raw_actual,annual_cost_reduction_cf,tfp_growth_factor_cf,tfp_growth_rate_cf,tfp_raw_cf,tfp_actual,tfp_cf,tfp_multiplier,target,target_name,excluded_target_receiver,TIC,X,B,Q_global,Q_cf,p_beta_B,B_fitted,B_cf,B_deployment_gap,B_cf_fitted,B_fitted_gap,X_cf,equipment_gap_inclusive,equipment_gap_target_origin,equipment_gap_other_origins,TIC_cf,total_deployment_gap,deployment_gap_pct_of_TIC,balance_gap_pct_of_TIC,cf_Q_below_balance_fit_range,annual_cost_interpolated,B_cf_fixed,TIC_cf_equipment_only,scenario_scope
pv,JPN,2018,0.0208077821645751,2502.241154612059,951.1603439772704,1586.1145595484602,1551.0808106347886,2537.27490352573,478.49221,0.6356344860870359,-0.1713694705319817,125.24587932872792,observed_residual_preserved,False,552.6669527777715,368.8790003266101,0.0,208.86301939465224,120.75894010085447,1251.1679125998885,3788.442816125618,2502.241154612059,False,reported,Japan,Japan,2537.27490352573,3788.442816125618,56161.63,2010,1.0,0.0640041507114866,1.068380806132996,0.068380806132996,2.875381051051158,0.0415084121178259,1.043305974348237,0.0433059743482366,1.9257601428881197,1.068380806132996,0.7155382668761272,0.6697408478031515,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2019,0.0208077821645751,2465.1839596297914,783.5391603702972,1534.6263181598365,1681.6447992594942,2318.165478530133,580.10487,0.6485187238645316,-0.1713694705319817,129.5493507054827,observed_residual_preserved,False,620.4314314197491,454.7045140757669,0.0,164.49474521688975,125.06241147760926,1364.6931021900148,3682.858580720148,2465.1839596297914,False,reported,Japan,Japan,2318.165478530133,3682.858580720148,63192.0,2010,1.0,0.0863562023536071,1.094518457385763,0.0945184573857629,3.147157632392767,0.0278700881945603,1.0286690984981628,0.0286690984981627,1.980969950108415,1.1693625118292446,0.7360521039284036,0.629447324061202,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2020,0.0208077821645751,2156.084945202252,688.6836572393189,1482.1708912549786,1467.401287962933,2170.854548494297,710.6335,0.6443652037231569,-0.1713694705319817,114.78577935732346,observed_residual_preserved,False,662.257812011777,522.2736897983842,0.0,144.60824448536994,110.29884012945,1439.4385864249812,3610.293134919279,2156.084945202252,False,reported,Japan,Japan,2170.854548494297,3610.293134919279,71868.0,2010,1.0,0.0635463392929311,1.0678584984599775,0.0678584984599777,3.3607190237437985,0.0197035656434788,1.0200995994200597,0.0200995994200596,2.02078665256877,1.248713696037365,0.7508464563696566,0.6012959245601076,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2021,0.0208077821645751,1923.3335172935465,751.9509647914616,1435.9524388423793,1171.3825525020848,2187.9034036338408,854.92824,0.6424191111057461,-0.1713694705319817,92.28490388846556,observed_residual_preserved,False,555.7779756933237,336.4329677058358,0.0,143.5004595845431,87.79796466059211,1123.5093676442946,3311.412771278136,1923.3335172935465,False,reported,Japan,Japan,2187.9034036338408,3311.412771278136,78413.0,2010,1.0,-0.0078535225454734,0.9922076746572872,-0.0077923253427129,3.3345312077253424,0.0827856222394599,1.0902576586747237,0.0902576586747236,2.20317812451076,1.2389833126579404,0.818616099545795,0.66071600091986,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2022,0.0208077821645751,2022.7323093139555,667.9109845728742,1387.1959227338996,1354.8213247410813,2055.106907306774,1045.85862,0.625421646378934,-0.1713694705319817,113.46841680523092,observed_residual_preserved,False,647.4760519262825,546.7602054629964,0.0,134.99667540975048,108.98147757735748,1438.2144103763867,3493.3213176831605,2022.7323093139555,False,reported,Japan,Japan,2055.106907306774,3493.3213176831605,83057.0,2010,1.0,0.0606957766538084,1.0646178044825405,0.0646178044825402,3.5500012933470675,-0.0549338179712375,0.9479267637121712,-0.0520732362878287,2.088451509448935,1.3190436941124013,0.775988109965126,0.5882959855149429,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2023,0.0208077821645751,1920.0374804638247,473.5717274876743,1318.189585120835,1446.4657529761505,1791.7613126085091,1408.5874199999998,0.5679103821614423,-0.1713694705319817,147.27285978023295,observed_residual_preserved,False,759.342121344838,686.3130091911238,0.0,128.6961797811395,142.7859205523595,1717.1372308694608,3508.89854347797,1920.0374804638247,False,reported,Japan,Japan,1791.7613126085091,3508.89854347797,87068.0,2010,1.0,0.128142041546335,1.14697582364633,0.1469758236463298,4.071765657382289,-0.0044591448590651,0.9955606508419108,-0.0044393491580893,2.0791801439987525,1.512911227480069,0.772543227802465,0.5106335479373938,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,JPN,2024,0.0208077821645751,1911.450682621868,315.6578779059118,1256.3999687750404,1595.7928047159562,1572.0578466809525,1864.01976,0.5250071812543446,-0.1713694705319817,186.3054157762529,observed_residual_preserved,False,863.568118490911,800.0556994486501,0.0,111.44667218588924,181.81847654837944,1956.8889666738296,3528.946813354782,1911.450682621868,False,reported,Japan,Japan,1572.0578466809525,3528.946813354782,89601.33,2010,1.0,0.1226187128729242,1.1397553317719264,0.1397553317719264,4.640816617727287,-0.0057135507420342,0.994318908462734,-0.005681091537266,2.0673681312782297,1.7243486380180186,0.7681543390088242,0.4454750750937162,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,KOR,2010,0.0258895420715839,,2777.7589810053937,3669.6101571957774,,6447.369138201172,39.73239,0.9854023379917494,-0.4321698509914313,26.998729051084844,2011_TIC_carried_to_2010,True,0.0,0.0,0.0,0.0,0.0,0.0,6447.369138201172,7012.58447961614,True,2011_value_carried_to_2010_per_user,South Korea,South Korea,6447.369138201172,6447.369138201172,735.0,2010,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3066386801857194,0.3066386801857194,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,KOR,2011,0.0258895420715839,7012.58447961614,2027.4340459964767,2868.182802656054,4985.150433619663,4895.61684865253,70.26885,0.962344623542295,-0.4321698509914313,83.38246648030477,observed_residual_preserved,False,113.29112713268574,12.871360522913116,0.0,14.182505892145308,56.38373742921993,196.7287309769641,5092.345579629495,7012.58447961614,False,reported,South Korea,South Korea,4895.61684865253,5092.345579629495,735.0,2010,1.0,0.2406799201792847,1.316967674865272,0.3169676748652719,1.316967674865272,0.2101668959115518,1.2660902598582606,0.2660902598582606,1.2660902598582606,0.4038332296679426,0.3882322462789315,0.9613677571758044,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv,KOR,2012,0.0258895420715839,3628.137387695874,1433.8467999047368,2469.867588676854,2194.290587791137,3903.7143885815913,99.31435,0.9374108575447556,-0.4321698509914313,62.156514570684,observed_residual_preserved,False,315.6547850423724,65.88523255572112,0.0,22.56010181603732,35.15778551959916,439.25790493373,4342.972293515321,3628.137387695874,False,reported,South Korea,South Korea,3903.7143885815913,4342.972293515321,1039.0,2010,1.0,0.2026103125991059,1.2540919650710782,0.2540919650710782,1.6515985793068777,0.1471568012021478,1.1725484841874527,0.1725484841874527,1.4845522150413015,0.5064440085552702,0.455221131887051,0.8988577694613421,,,,,,,,,,,,,,,,,,,,,,,,,,,
