scenario,year,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe,group,final_energy_share_pct
S1_NO_CN,2030,Oil,0.15455197991317313,7.218647547392162,4421.927452999389,66.7378758816503,7.373199527305335,GLOBAL,0.07013965634496663
S1_NO_CN,2030,Oil_pct,1431.0845821922485,4718.179235905676,1449.7135623776799,409.90797844496274,6149.263818097925,GLOBAL,58.49662000582733
S1_NO_CN,2035,Coal,80.51836585419014,426.00188748005655,1038.1556783679432,2692.495879343569,506.5202533342467,GLOBAL,4.445837609529037
S1_NO_CN,2035,Electricity,816.1256531496595,1393.6110006133356,76.41720703917461,155.1899268050352,2209.736653762995,GLOBAL,19.395335641142744
S1_NO_CN,2035,Gas,620.3696826688873,1048.5471371691222,817.2025263660812,1728.7720874190056,1668.9168198380094,GLOBAL,14.648443208282185
S1_NO_CN,2035,Oil,0.17021506482635002,6.923345274508405,4521.8388064319815,76.54031245994872,7.093560339334755,GLOBAL,0.062261710434049
S1_NO_CN,2035,Oil_pct,1658.189246912995,5342.677849501797,1704.1272277146907,467.9148400579474,7000.867096414792,GLOBAL,61.44812183061197
S1_NO_CN,2040,Coal,82.77206029551206,389.3232537418068,1081.094711127721,2731.1720549583315,472.0953140373189,GLOBAL,3.7695808121244836
S1_NO_CN,2040,Electricity,909.0628909331347,1420.036196923958,79.89990491732468,161.22108588209434,2329.0990878570924,GLOBAL,18.597361528627033
S1_NO_CN,2040,Gas,676.5171474496744,1043.918702086879,847.4390578620073,1830.1556792533138,1720.4358495365536,GLOBAL,13.73731484738147
S1_NO_CN,2040,Oil,0.18656381324025365,6.439555898232214,4624.825780272611,87.22224043294193,6.6261197114724695,GLOBAL,0.05290815854450944
S1_NO_CN,2040,Oil_pct,1952.6359350403316,6042.922345007917,2059.6623512188653,534.4074284755709,7995.558280048249,GLOBAL,63.84283465332252
S1_NO_CN,2045,Coal,85.21300704275141,349.3560879784563,1129.4032796439326,2692.5900953668297,434.56909502120766,GLOBAL,3.1815912267609536
S1_NO_CN,2045,Electricity,1008.7198348317492,1396.021712661299,80.07386759320997,163.39797616589846,2404.7415474930485,GLOBAL,17.605726448996712
S1_NO_CN,2045,Gas,736.1906719203463,1027.6156079472507,865.8643577669438,1911.0796243271286,1763.806279867597,GLOBAL,12.91327581741348
S1_NO_CN,2045,Oil,0.20486641598257874,5.9537590396463065,4697.651803404613,98.34092953374851,6.1586254556288855,GLOBAL,0.04508886835953972
S1_NO_CN,2045,Oil_pct,2303.3108184643647,6746.273746397938,2406.180962025845,598.8049690927766,9049.584564862304,GLOBAL,66.25431763846932
S1_NO_CN,2050,Coal,88.34124986884315,303.2830923959045,1175.9277122999874,2551.881062717912,391.6243422647476,GLOBAL,2.655074790015283
S1_NO_CN,2050,Electricity,1126.3947448070658,1300.9279442591162,76.32021058834428,160.62702530803992,2427.322689066182,GLOBAL,16.456390942662434
S1_NO_CN,2050,Gas,803.2570184939578,998.881145375294,870.8390891570488,1968.7927369785862,1802.138163869252,GLOBAL,12.217860563373849
S1_NO_CN,2050,Oil,0.2258849284850056,5.4690998290382,4736.357408971121,109.37589878323998,5.694984757523206,GLOBAL,0.03860998622245821
S1_NO_CN,2050,Oil_pct,2746.240878504368,7377.009476929865,2695.744276029082,656.3341582073753,10123.250355434233,GLOBAL,68.63206371772598
S2_CAPACITY,2017,Coal,70.98918054415205,178.65766319766826,753.3065510871928,1389.460654938511,249.6468437418203,GLOBAL,3.447319891865136
S2_CAPACITY,2017,Electricity,595.8481734640657,1474.5624351535505,57.85403204567225,111.05346550562953,2070.410608617616,GLOBAL,28.58985744998015
S2_CAPACITY,2017,Gas,412.18939504977556,679.294692701497,498.94597492991926,983.5142919748783,1091.4840877512725,GLOBAL,15.0720704133978
S2_CAPACITY,2017,Oil,0.13263166300074147,6.761142590982323,3714.4956592990625,37.01633194865653,6.893774253983066,GLOBAL,0.09519465481550766
S2_CAPACITY,2017,Oil_pct,922.8435882822106,2900.487210527802,612.8356302041769,263.36880406176476,3823.3307988100123,GLOBAL,52.7955575899414
S2_CAPACITY,2020,Coal,72.20585284630394,198.49591577742032,852.3334532699205,1544.4935055737637,270.70176862372426,GLOBAL,3.4309979011802634
S2_CAPACITY,2020,Electricity,656.1887952794561,1603.5823501592622,63.415515213518695,122.19785747284227,2259.7711454387186,GLOBAL,28.641372003464877
S2_CAPACITY,2020,Gas,438.37463892150987,700.9280229712259,532.7626360400046,1027.6363127693548,1139.3026618927356,GLOBAL,14.440042492653607
S2_CAPACITY,2020,Oil,0.14277270745321063,6.76800997200484,3821.957636357964,39.43926002726345,6.910782679458052,GLOBAL,0.08759041726724602
S2_CAPACITY,2020,Oil_pct,1021.1979641787583,3192.0000904240146,703.5566031625991,281.4746066029503,4213.1980546027735,GLOBAL,53.39999718543401
S2_CAPACITY,2025,Coal,73.24075504598287,223.54742408010975,978.288340796198,1942.747612993933,296.78817912609264,GLOBAL,3.5706059430193418
S2_CAPACITY,2025,Electricity,631.4865771525226,1252.4384189577368,50.359052359415685,125.65307748723676,1883.9249961102594,GLOBAL,22.665167484504398
