scenario,year,real_GDP,real_household_consumption,real_investment,government_income,exports_FOB,imports_CIF,CO2_Mt,power_CO2_Mt,EV,renewable_capacity_GW,total_generation_TWh,renewable_generation_TWh,group,renewable_generation_share_pct,additional_carbon_price_2024USD_t,emissions_weighted_final_carbon_price_2024USD_t
S2_CAPACITY,2050,164919.41946411916,96686.63656266457,39974.548011545405,77201.2036425958,70859.33124348671,73184.93607093781,34763.02605809996,10764.244942571222,-2602.507671531245,3733.350126883154,29778.566077474745,7266.488308768198,ROW_EX_CHINA,24.401740130344127,60.893893166004126,117.26968533207103
S0_BASELINE,2025,24485.934588558728,10783.617304236948,8163.025365630385,5078.49933434341,5527.515912042169,5152.309537060229,11597.26091488335,5803.75077514737,0.0,2997.1388817918382,11357.55445889313,4158.949336481802,CHINA,36.618352582278696,0.0,14.985713895234976
S0_BASELINE,2030,29255.412264215884,13601.030826322029,8566.220339476904,5996.123907997796,6879.060309599026,6407.234118878595,12254.284103503089,5536.183545803775,0.0,6262.761725945997,15323.598180644916,8318.069401208586,CHINA,54.282742885512725,0.0,15.907124143276802
S0_BASELINE,2035,33382.48009020939,15662.112602464904,9160.939593646388,6888.292713545807,8274.291700376376,7701.708956787488,11732.774480364022,5086.2623798377845,0.0,7668.982421030725,16984.908204650445,10248.16479413044,CHINA,60.33688655040541,0.0,32.543698063345474
S0_BASELINE,2040,36713.88710015786,17564.773218252143,9290.234582859215,7454.54739933967,9879.383074056832,9179.418484286007,11967.13461217138,5019.361979210104,0.0,8492.157385667595,18150.67359269975,11440.362738329795,CHINA,63.02996238625073,0.0,32.5436980788118
S0_BASELINE,2045,39451.731780777736,18915.649768662737,9524.633698956011,7886.577491389161,11669.968871420964,10811.158031803248,11858.151288141114,4789.697399405442,0.0,8935.788566050354,18599.213429126376,12178.66184851188,CHINA,65.47944564924498,0.0,32.543698066242456
S0_BASELINE,2050,41499.74088902433,19954.80045314965,9658.676864496781,8197.442819224105,13549.316356413927,12499.430268858885,11426.04546969734,4426.793045492711,0.0,9053.76997716849,18463.34969135849,12546.116637431804,CHINA,67.95146518458586,0.0,32.54369806626208
S1_NO_CN,2025,24483.92799961048,10781.198793941572,8161.3605498727475,5077.896107828576,5526.8790375125445,5151.581097357788,11574.26898818686,5798.635438348837,-2.6458910892692153,3005.580433618873,11366.255420370542,4170.600368685779,CHINA,36.69282639215772,0.0,14.985713895243979
S1_NO_CN,2030,29250.664244019696,13596.232628168726,8562.994634169632,5995.101192694134,6877.235051037454,6405.274057867777,12212.864169870332,5526.796618432471,-5.097637339091807,6287.036775230102,15349.372112896604,8350.192638808798,CHINA,54.40087436405905,0.0,15.90712414365119
S1_NO_CN,2035,33376.29387892745,15657.061841792982,9157.100765520861,6887.068999056143,8271.762784867386,7699.119653977822,11698.61297569263,5079.44130089492,-5.015302479200702,7694.031224120858,17014.281654336508,10281.436379857332,CHINA,60.428271899665276,0.0,32.54369806338481
S1_NO_CN,2040,36706.885987953196,17559.60684639471,9285.827586466214,7453.691556758613,9875.621846312446,9175.664290594514,11933.534935004142,5012.835013094126,-4.426401720416869,8519.144003703494,18183.1277645794,11476.332055774195,CHINA,63.11528029919037,0.0,32.5436980496031
S1_NO_CN,2045,39444.74072295192,18910.61154408048,9519.606452246524,7886.299073975351,11665.089775302678,10806.365507102904,11828.326424402052,4784.597454473096,-3.4123875577824374,8962.8836178663,18633.2318960532,12214.882051148,CHINA,65.55428558657769,0.0,32.54369806807757
S1_NO_CN,2050,41493.59752664866,19949.728180305505,9653.716826326694,8197.911176472016,13544.45275741492,12494.659908207288,11402.813793037589,4424.015170819749,-2.794284291926657,9078.547523723211,18496.23272169208,12579.313423285674,CHINA,68.01013813225252,0.0,32.54369806630173
S2_CAPACITY,2025,24253.943775145046,10501.41395768932,8040.4355549855445,5413.872483759241,5343.123947933923,4964.262712593712,8351.193650865738,3916.301194066572,-316.05556542980537,4058.144699278505,11100.545418656187,5625.524919606583,CHINA,50.677914529785326,60.893893166004126,75.87960706121648
S2_CAPACITY,2030,28975.528241611137,13292.513016011724,8439.699002228186,6346.972157111984,6620.5775124280235,6144.214964568032,8901.820228023955,3688.441804139429,-341.0644315396225,7899.761599911152,15741.257547394012,10486.268500695953,CHINA,66.61645976583344,60.893893166004126,76.80101730926947
S2_CAPACITY,2035,33043.735113855415,15353.297296401188,9024.81311947223,7193.801546089511,7966.172689863935,7390.6486800016655,8756.489281894956,3454.888556055558,-329.76175385627823,9474.928249252562,17856.2640503349,12649.41882176892,CHINA,70.84023167506686,60.893893166004126,93.43759123225745
S2_CAPACITY,2040,36345.82671849836,17249.170482373,9144.293524034332,7766.066334212874,9485.725725290098,8784.580753682985,8916.501405104707,3398.4767832486714,-311.9930164587023,10509.699487036589,19333.66472330222,14134.650091935038,CHINA,73.10900594494646,60.893893166004126,93.43759123225854
S2_CAPACITY,2045,39054.008594018014,18602.747065656953,9362.43197662985,8184.074519660873,11187.984575744713,10330.497683495938,8710.000636714263,3184.0848704823634,-273.7054749820038,11236.805129509348,20201.854878863352,15271.089949002508,CHINA,75.59251385861717,60.893893166004126,93.43759123241627
S2_CAPACITY,2050,41071.24324659439,19644.802662169823,9494.335820450848,8460.860537123986,12999.204963696893,11951.296525561858,8161.98441241003,2843.2796882036346,-229.54556369106598,11730.79603423626,20625.18239380074,16179.30258180249,CHINA,78.44440971666492,60.893893166004126,93.43759123600388
