scenario,year,region,technology,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2030,Rest of World,Oil_Power,3.057509598594057,3.085891822386859,-0.028382223792802197,-0.9197413722315536
S2_CAPACITY,2030,Rest of World,Oil_Power,2.914376894842521,3.085891822386859,-0.1715149275443384,-5.558034351692728
S1_NO_CN,2030,Rest of World,Gas_Power,1.0152129175655165,1.0231252533620858,-0.007912335796569359,-0.7733496725419179
S2_CAPACITY,2030,Rest of World,Gas_Power,0.8511707485638421,1.0231252533620858,-0.1719545047982437,-16.80678922088816
S1_NO_CN,2030,Rest of World,Nuclear,0.0001721940970386,0.0001720759269943,1.181700442999989e-07,0.06867319930457982
S2_CAPACITY,2030,Rest of World,Nuclear,0.0001775267401051,0.0001720759269943,5.450813110799988e-06,3.167679062383052
S1_NO_CN,2030,Rest of World,Hydro,4.1848167761388335e-05,4.175311693487387e-05,9.505082651446354e-08,0.22764965466583714
S2_CAPACITY,2030,Rest of World,Hydro,4.59280116431163e-05,4.175311693487387e-05,4.174894708242428e-06,9.999001307505715
S1_NO_CN,2030,Rest of World,Wind,0.0011778651174757,0.0011749717579669,2.893359508799806e-06,0.246249281242836
S2_CAPACITY,2030,Rest of World,Wind,0.0013444341955458,0.0011749717579669,0.00016946243757889998,14.422681773400877
S1_NO_CN,2030,Rest of World,Solar,0.0036672196934502,0.0036591875414043,8.032152045900007e-06,0.21950643291755081
S2_CAPACITY,2030,Rest of World,Solar,0.0040976322303492,0.0036591875414043,0.00043844468894490033,11.982022893984734
S1_NO_CN,2030,Rest of World,Biomass,0.0139807543089873,0.014022127740423,-4.137343143569873e-05,-0.2950581552357947
S2_CAPACITY,2030,Rest of World,Biomass,0.0152739728448107,0.014022127740423,0.0012518451043877013,8.927640138228675
S1_NO_CN,2030,Southeast Asia,TnD,0.1957472107744102,0.1962838861789254,-0.0005366754045151856,-0.2734179636253846
S2_CAPACITY,2030,Southeast Asia,TnD,0.1697790098283038,0.1962838861789254,-0.026504876350621598,-13.503337877904404
S1_NO_CN,2030,Southeast Asia,Coal_Power,578.40788042516,580.7045457155599,-2.2966652903999147,-0.39549635134505473
S2_CAPACITY,2030,Southeast Asia,Coal_Power,392.1809265550329,580.7045457155599,-188.523619160527,-32.46463637170656
S1_NO_CN,2030,Southeast Asia,Oil_Power,23.58806650318277,23.66456435907452,-0.07649785589175195,-0.3232590920796636
S2_CAPACITY,2030,Southeast Asia,Oil_Power,23.47555720814384,23.66456435907452,-0.18900715093068143,-0.7986927122882104
S1_NO_CN,2030,Southeast Asia,Gas_Power,240.23399774038043,241.36700187699827,-1.133004136617842,-0.46941136435676745
S2_CAPACITY,2030,Southeast Asia,Gas_Power,218.14325747168525,241.36700187699827,-23.223744405313028,-9.621756174088766
S1_NO_CN,2030,Southeast Asia,Nuclear,0.0001467037883447,0.0001456809700198,1.0228183248999943e-06,0.702094669441712
S2_CAPACITY,2030,Southeast Asia,Nuclear,0.0001584164419064,0.0001456809700198,1.2735471886599992e-05,8.7420284783037
S1_NO_CN,2030,Southeast Asia,Hydro,5.418560110713927e-05,5.3942583285454895e-05,2.4301782168437234e-07,0.4505120201573657
S2_CAPACITY,2030,Southeast Asia,Hydro,6.185759876015154e-05,5.3942583285454895e-05,7.915015474696646e-06,14.673037501396147
S1_NO_CN,2030,Southeast Asia,Wind,0.001142407832754,0.0011377207236181,4.6871091359001506e-06,0.4119736099202389
S2_CAPACITY,2030,Southeast Asia,Wind,0.0012811952426428,0.0011377207236181,0.00014347451902469994,12.6106975153298
S1_NO_CN,2030,Southeast Asia,Solar,0.0031862787480916,0.0031745693263431,1.1709421748499777e-05,0.3688507178385762
S2_CAPACITY,2030,Southeast Asia,Solar,0.0035089502113635,0.0031745693263431,0.00033438088502039985,10.533110184290262
S1_NO_CN,2030,Southeast Asia,Biomass,4.237976218032608,4.226613732261851,0.011362485770757047,0.2688318945265072
S2_CAPACITY,2030,Southeast Asia,Biomass,4.7872298494269465,4.226613732261851,0.5606161171650959,13.263954377612006
S1_NO_CN,2030,"Central, Western and South Asia",TnD,4.784278289132544,4.803486061450248,-0.019207772317703764,-0.39987151148107286
S2_CAPACITY,2030,"Central, Western and South Asia",TnD,3.932089820852209,4.803486061450248,-0.8713962405980391,-18.140913275283886
S1_NO_CN,2030,"Central, Western and South Asia",Coal_Power,314.5976822441769,314.47392267388506,0.12375957029183837,0.03935447786561915
S2_CAPACITY,2030,"Central, Western and South Asia",Coal_Power,221.59073343660117,314.47392267388506,-92.88318923728389,-29.536054515275456
S1_NO_CN,2030,"Central, Western and South Asia",Oil_Power,439.46821780725134,437.9571836737088,1.5110341335425233,0.3450186890114557
S2_CAPACITY,2030,"Central, Western and South Asia",Oil_Power,375.79895841664313,437.9571836737088,-62.15822525706568,-14.192763031231705
S1_NO_CN,2030,"Central, Western and South Asia",Gas_Power,902.628960148278,900.4528783869785,2.1760817612995424,0.24166525684249632
S2_CAPACITY,2030,"Central, Western and South Asia",Gas_Power,750.0137494478955,900.4528783869785,-150.43912893908293,-16.707051812480323
S1_NO_CN,2030,"Central, Western and South Asia",Nuclear,0.0001869992999464,0.0001854927569964,1.5065429500000051e-06,0.8121842461100752
S2_CAPACITY,2030,"Central, Western and South Asia",Nuclear,0.0002060197465703,0.0001854927569964,2.0526989573899996e-05,11.066194662413897
S1_NO_CN,2030,"Central, Western and South Asia",Hydro,3.78785974332688e-05,3.758390518072552e-05,2.9469225254328033e-07,0.7840916241306661
S2_CAPACITY,2030,"Central, Western and South Asia",Hydro,4.117658052505231e-05,3.758390518072552e-05,3.5926753443267894e-06,9.559079417242813
S1_NO_CN,2030,"Central, Western and South Asia",Wind,0.0001969717663921,0.0002807850772815,-8.381331088940002e-05,-29.84963150494401
S2_CAPACITY,2030,"Central, Western and South Asia",Wind,0.0002149460552509,0.0002807850772815,-6.583902203060002e-05,-23.448191288525408
S1_NO_CN,2030,"Central, Western and South Asia",Solar,0.0025840801348356,0.0025653071810818,1.877295375380013e-05,0.7318013956474211
S2_CAPACITY,2030,"Central, Western and South Asia",Solar,0.0027721349119615,0.0025653071810818,0.00020682773087970022,8.0624937397353
S1_NO_CN,2030,"Central, Western and South Asia",Biomass,1.1728872462866442,1.1638831647516243,0.009004081535019859,0.773624175321872
S2_CAPACITY,2030,"Central, Western and South Asia",Biomass,1.2163626648375527,1.1638831647516243,0.05247950008592839,4.5090007034449755
S1_NO_CN,2030,India,TnD,1.0330143236772709,1.0467471434901403,-0.013732819812869446,-1.3119519741014511
S2_CAPACITY,2030,India,TnD,0.9229992998483424,1.0467471434901403,-0.12374784364179792,-11.822133397869983
S1_NO_CN,2030,India,Coal_Power,1742.8917381508436,1737.8583395410908,5.033398609752794,0.2896322729666184
S2_CAPACITY,2030,India,Coal_Power,1444.7413591445525,1737.8583395410908,-293.11698039653834,-16.866563501023943
S1_NO_CN,2030,India,Oil_Power,4.176066103090528,4.149741203846604,0.02632489924392356,0.6343744814621617
S2_CAPACITY,2030,India,Oil_Power,5.092398352851604,4.149741203846604,0.942657149005,22.71604668096419
S1_NO_CN,2030,India,Gas_Power,68.96207097146689,68.93287588430289,0.029195087163998323,0.04235292201213167
S2_CAPACITY,2030,India,Gas_Power,75.43359748913043,68.93287588430289,6.500721604827547,9.430509784240504
