group,year,fuel,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
ROW_EX_CHINA,2030,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1479.6881252278927,1479.3307871691077,-0.3573380587849897,-0.02414955237475834
ROW_EX_CHINA,2030,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1479.6881252278927,1175.1516764614396,-304.5364487664531,-20.58112406082533
ROW_EX_CHINA,2030,Oil,S1_NO_CN,modeled_final_demand_Mtoe,6.28036778369169,6.251713247470616,-0.028654536221074167,-0.45625570361471124
ROW_EX_CHINA,2030,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,6.28036778369169,6.464575244198168,0.18420746050647807,2.9330680439577423
ROW_EX_CHINA,2030,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,4788.228889185295,4796.667250858437,8.438361673142026,0.17623137632791386
ROW_EX_CHINA,2030,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,4788.228889185295,4465.406161232865,-322.8227279524299,-6.742007022294988
ROW_EX_CHINA,2035,Coal,S1_NO_CN,modeled_final_demand_Mtoe,211.22332311418154,209.44141458908288,-1.7819085250986575,-0.8436135265874056
ROW_EX_CHINA,2035,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,211.22332311418154,121.47417802718664,-89.7491450869949,-42.490168113906144
ROW_EX_CHINA,2035,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1570.5048610115703,1524.709261968382,-45.795599043188304,-2.9159794522183855
ROW_EX_CHINA,2035,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1570.5048610115703,1407.954954567296,-162.54990644427426,-10.35016894755582
ROW_EX_CHINA,2035,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1497.0379622756589,1496.143622292233,-0.8943399834258798,-0.0597406349045676
ROW_EX_CHINA,2035,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1497.0379622756589,1220.4695911206597,-276.5683711549991,-18.474372602721804
ROW_EX_CHINA,2035,Oil,S1_NO_CN,modeled_final_demand_Mtoe,6.147535043943008,6.117602125784276,-0.02993291815873178,-0.4869092724932709
ROW_EX_CHINA,2035,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,6.147535043943008,6.3933392062076715,0.24580416226466362,3.998418236051334
ROW_EX_CHINA,2035,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,5539.865800735888,5549.480403501024,9.614602765135714,0.17355299046880449
ROW_EX_CHINA,2035,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,5539.865800735888,5129.903471993445,-409.9623287424429,-7.400221295757482
ROW_EX_CHINA,2040,Coal,S1_NO_CN,modeled_final_demand_Mtoe,197.1242447967111,195.40316243034363,-1.721082366367483,-0.8730952238484864
ROW_EX_CHINA,2040,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,197.1242447967111,118.70020552151182,-78.42403927519929,-39.784065808889146
ROW_EX_CHINA,2040,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1667.7186581185595,1619.678124004961,-48.04053411359837,-2.8806138181481646
ROW_EX_CHINA,2040,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1667.7186581185595,1500.5288089844435,-167.189849134116,-10.025063179585196
ROW_EX_CHINA,2040,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1547.4178108707313,1545.3941525234084,-2.0236583473229075,-0.13077646729322548
