region,year,technology,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
"EU, UK and EFTA",2035,Wind,S1_NO_CN,generation_TWh,1077.8835002952133,1105.8979298670592,28.014429571845994,2.5990220245669717
"EU, UK and EFTA",2035,Wind,S2_CAPACITY,generation_TWh,1077.8835002952133,1145.727171936744,67.84367164153082,6.294156244431762
"EU, UK and EFTA",2035,Solar,S1_NO_CN,generation_TWh,1296.3914105561755,274.3441549617903,-1022.0472555943852,-78.83786079359383
"EU, UK and EFTA",2035,Solar,S2_CAPACITY,generation_TWh,1296.3914105561755,284.35787472889865,-1012.0335358272769,-78.06543051632039
"EU, UK and EFTA",2035,Biomass,S1_NO_CN,generation_TWh,94.44794425810808,111.77415213652112,17.326207878413044,18.34471677971502
"EU, UK and EFTA",2035,Biomass,S2_CAPACITY,generation_TWh,94.44794425810808,110.59465823412296,16.14671397601488,17.095887160750703
Eastern Europe,2035,Coal_Power,S1_NO_CN,generation_TWh,78.48455747589881,78.80426590172277,0.3197084258239613,0.4073520143400668
Eastern Europe,2035,Coal_Power,S2_CAPACITY,generation_TWh,78.48455747589881,62.10304493539832,-16.381512540500488,-20.87227483639817
Eastern Europe,2035,Oil_Power,S1_NO_CN,generation_TWh,3.2111159899417334,3.2220336260669318,0.01091763612519836,0.3399950720994187
Eastern Europe,2035,Oil_Power,S2_CAPACITY,generation_TWh,3.2111159899417334,2.518357822424841,-0.6927581675168923,-21.57375098522874
Eastern Europe,2035,Gas_Power,S1_NO_CN,generation_TWh,74.2022282196221,74.27695392517799,0.07472570555589186,0.10070547387703828
Eastern Europe,2035,Gas_Power,S2_CAPACITY,generation_TWh,74.2022282196221,65.74238438383826,-8.459843835783843,-11.401064413786315
Eastern Europe,2035,Nuclear,S1_NO_CN,generation_TWh,139.1753594753425,141.11355818961906,1.9381987142765524,1.3926306507007373
Eastern Europe,2035,Nuclear,S2_CAPACITY,generation_TWh,139.1753594753425,163.68231111627162,24.506951640929117,17.608685713702776
Eastern Europe,2035,Hydro,S1_NO_CN,generation_TWh,2.854696889284272,2.8919614495262858,0.037264560242013633,1.3053771271441916
Eastern Europe,2035,Hydro,S2_CAPACITY,generation_TWh,2.854696889284272,3.36022134275011,0.5055244534658381,17.70851593258235
Eastern Europe,2035,Wind,S1_NO_CN,generation_TWh,1.2715143771313713,1.2887083415148266,0.01719396438345533,1.3522430176720581
Eastern Europe,2035,Wind,S2_CAPACITY,generation_TWh,1.2715143771313713,1.500220380980582,0.2287060038492108,17.98689876910304
Eastern Europe,2035,Solar,S1_NO_CN,generation_TWh,11.425712539369842,11.579970065663582,0.15425752629374045,1.35009108414212
Eastern Europe,2035,Solar,S2_CAPACITY,generation_TWh,11.425712539369842,13.511069529563732,2.0853569901938904,18.251439312938494
Eastern Europe,2035,Biomass,S1_NO_CN,generation_TWh,0.1342571519040954,0.1357654227273202,0.0015082708232247999,1.1234193499816014
