region,year,sector,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
Australia_Oceania,2025,Manufac,S1_NO_CN,real_output,428.59500864322297,427.3682322484749,-1.2267763947480717,-0.2862320769043958
Australia_Oceania,2025,Manufac,S2_CAPACITY,real_output,428.59500864322297,441.23775660856893,12.642747965345961,2.9498122260845583
Australia_Oceania,2025,Petro,S1_NO_CN,real_output,24.615705571797683,24.74958013563228,0.1338745638345955,0.5438583242886044
Australia_Oceania,2025,Petro,S2_CAPACITY,real_output,24.615705571797683,21.722510256272052,-2.893195315525631,-11.753452717765592
Australia_Oceania,2025,Power,S1_NO_CN,real_output,43.53541609225943,42.11868656555168,-1.4167295267077549,-3.2542000372879136
Australia_Oceania,2025,Power,S2_CAPACITY,real_output,43.53541609225943,38.117532940684804,-5.417883151574628,-12.444771723539183
Australia_Oceania,2025,WatWaste,S1_NO_CN,real_output,41.052214473088156,41.010134500663746,-0.04207997242441053,-0.10250353839497774
Australia_Oceania,2025,WatWaste,S2_CAPACITY,real_output,41.052214473088156,40.81528721570985,-0.236927257378305,-0.5771363626038324
Australia_Oceania,2025,OthServ,S1_NO_CN,real_output,3064.111767339283,3063.0818228459757,-1.0299444933070845,-0.03361315028666318
Australia_Oceania,2025,OthServ,S2_CAPACITY,real_output,3064.111767339283,3048.07684332432,-16.0349240149626,-0.5233139399770167
Australia_Oceania,2025,Transport,S1_NO_CN,real_output,176.26327715343027,176.1205602736789,-0.1427168797513616,-0.08096801673960263
Australia_Oceania,2025,Transport,S2_CAPACITY,real_output,176.26327715343027,175.38542662155368,-0.8778505318765895,-0.4980337061998768
China,2025,Rice,S1_NO_CN,real_output,202.3357240802263,202.31127701899297,-0.024447061233331624,-0.012082424566626872
China,2025,Rice,S2_CAPACITY,real_output,202.3357240802263,198.9204989726194,-3.4152251076068865,-1.6879002079992294
China,2025,Crops nec,S1_NO_CN,real_output,1204.7115758075813,1204.4864411745752,-0.22513463300606418,-0.018687845084840712
China,2025,Crops nec,S2_CAPACITY,real_output,1204.7115758075813,1190.2057325956396,-14.505843211941738,-1.204092622934889
China,2025,"Bovine cattle, sheep and goats, horses",S1_NO_CN,real_output,164.80764342951264,164.78827824927853,-0.019365180234103718,-0.011750171188137948
China,2025,"Bovine cattle, sheep and goats, horses",S2_CAPACITY,real_output,164.80764342951264,161.47875661769865,-3.3288868118139874,-2.0198619084300753
China,2025,Animal products nec,S1_NO_CN,real_output,762.5800666998731,762.5592702335194,-0.020796466353658616,-0.0027271190609081883
China,2025,Animal products nec,S2_CAPACITY,real_output,762.5800666998731,755.446990857917,-7.133075841956156,-0.9353871355207485
China,2025,Forestry,S1_NO_CN,real_output,147.8665516761962,147.87213815863768,0.005586482441486851,0.0037780568885655377
China,2025,Forestry,S2_CAPACITY,real_output,147.8665516761962,144.68164562084183,-3.184906055354361,-2.153905679986904
China,2025,Coal,S1_NO_CN,real_output,259.8732771325818,260.10916012812055,0.23588299553875913,0.09076846920986673
China,2025,Coal,S2_CAPACITY,real_output,259.8732771325818,199.27129879561986,-60.601978336961935,-23.31981918481141
China,2025,Oil,S1_NO_CN,real_output,90.82289520181749,90.88574862902782,0.06285342721032805,0.06920438626258445
China,2025,Oil,S2_CAPACITY,real_output,90.82289520181749,85.00825871888789,-5.8146364829296004,-6.402170366853975
China,2025,Gas,S1_NO_CN,real_output,13.66335044012158,13.689102822993716,0.025752382872136437,0.1884778040715121
China,2025,Gas,S2_CAPACITY,real_output,13.66335044012158,8.426688372092373,-5.236662068029206,-38.32633943613181
China,2025,Mine,S1_NO_CN,real_output,586.3802038366368,586.5038862659643,0.12368242932745943,0.021092531521053337
China,2025,Mine,S2_CAPACITY,real_output,586.3802038366368,570.4852534806256,-15.894950356011236,-2.71069013790232
China,2025,Manufac,S1_NO_CN,real_output,26950.725466942615,26945.87024349607,-4.855223446546006,-0.018015186465022457
