scenario,year,carrier,modeled_final_demand_Mtoe,baseline_Mtoe,difference_pct
S0_BASELINE,2050,Gas,1807.6062157301144,1807.6062157301144,0.0
S1_NO_CN,2050,Gas,1802.138163869252,1807.6062157301144,-0.3025023820607875
S2_CAPACITY,2050,Gas,1518.2894557336704,1807.6062157301144,-16.005519204280095
S0_BASELINE,2050,Oil fuels,10122.641418226718,10122.641418226718,0.0
S1_NO_CN,2050,Oil fuels,10128.945340191754,10122.641418226718,0.06227546452139965
S2_CAPACITY,2050,Oil fuels,8984.008274263624,10122.641418226718,-11.248379715524482
S0_BASELINE,2017,Total,8875.824096704066,8875.824096704066,0.0
S1_NO_CN,2017,Total,8865.79555783485,8875.824096704066,-0.11298712953244916
S2_CAPACITY,2017,Total,7241.766113174704,8875.824096704066,-18.410211443196022
S0_BASELINE,2020,Total,9521.735559052655,9521.735559052655,0.0
S1_NO_CN,2020,Total,9503.35173346244,9521.735559052655,-0.19307221331869018
S2_CAPACITY,2020,Total,7889.88441323741,9521.735559052655,-17.13816914673487
S0_BASELINE,2025,Total,9639.35802571138,9639.35802571138,0.0
S1_NO_CN,2025,Total,9607.320861391068,9639.35802571138,-0.33235786278358326
S2_CAPACITY,2025,Total,8311.983564199343,9639.35802571138,-13.77036165656974
S0_BASELINE,2030,Total,10559.085884984359,10559.085884984359,0.0
S1_NO_CN,2030,Total,10512.169450962034,10559.085884984359,-0.44432287542089943
S2_CAPACITY,2030,Total,9197.238806673027,10559.085884984359,-12.89739559982137
S0_BASELINE,2035,Total,11440.614088895738,11440.614088895738,0.0
S1_NO_CN,2035,Total,11393.134383689378,11440.614088895738,-0.41501011079855266
S2_CAPACITY,2035,Total,10075.257303251687,11440.614088895738,-11.934296315171288
S0_BASELINE,2040,Total,12574.349667045799,12574.349667045799,0.0
S1_NO_CN,2040,Total,12523.814651190687,12574.349667045799,-0.4018896976242914
S2_CAPACITY,2040,Total,11111.084589665641,12574.349667045799,-11.636904620324074
S0_BASELINE,2045,Total,13711.042682316627,13711.042682316627,0.0
S1_NO_CN,2045,Total,13658.860112699786,13711.042682316627,-0.3805879014886493
S2_CAPACITY,2045,Total,12100.532749581105,13711.042682316627,-11.746079200910264
S0_BASELINE,2050,Total,14801.54407065475,14801.54407065475,0.0
S1_NO_CN,2050,Total,14750.030535391936,14801.54407065475,-0.3480281179917166
S2_CAPACITY,2050,Total,12976.581534536705,14801.54407065475,-12.3295416167843
