scenario,year,region,sector,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2030,North Africa,Crops nec,6.714527118630689,6.745672331678166,-0.03114521304747697,-0.4617065803984696
S2_CAPACITY,2030,North Africa,Crops nec,5.009976343221599,6.745672331678166,-1.735695988456567,-25.730511402186156
S1_NO_CN,2030,North Africa,"Bovine cattle, sheep and goats, horses",0.3808274345223846,0.3813965048529348,-0.0005690703305502032,-0.14920701246846368
S2_CAPACITY,2030,North Africa,"Bovine cattle, sheep and goats, horses",0.2851564994824042,0.3813965048529348,-0.09624000537053062,-25.23358346129586
S1_NO_CN,2030,North Africa,Animal products nec,3.1274754229154818,3.1330633971448028,-0.005587974229321002,-0.17835496831674036
S2_CAPACITY,2030,North Africa,Animal products nec,2.302416045641904,3.1330633971448028,-0.8306473515028987,-26.512305887582016
S1_NO_CN,2030,North Africa,Forestry,0.4428847336431223,0.4436201939199664,-0.0007354602768440688,-0.16578602302688533
S2_CAPACITY,2030,North Africa,Forestry,0.3601103149698192,0.4436201939199664,-0.08350987895014716,-18.824634246747838
S1_NO_CN,2030,North Africa,Coal,0.2808761841842067,0.2822524801173942,-0.001376295933187499,-0.4876116350209116
S2_CAPACITY,2030,North Africa,Coal,0.1381505513570746,0.2822524801173942,-0.14410192876031958,-51.05426485548855
S1_NO_CN,2030,North Africa,Oil,1.2812575940280235,1.2803544024625957,0.0009031915654278411,0.07054230951138757
S2_CAPACITY,2030,North Africa,Oil,1.024922024838756,1.2803544024625957,-0.25543237762383963,-19.95013077102313
S1_NO_CN,2030,North Africa,Gas,15.536792336572814,15.498080756147404,0.03871158042541012,0.24978306046092155
S2_CAPACITY,2030,North Africa,Gas,9.916370463662716,15.498080756147404,-5.581710292484688,-36.01549366214697
S1_NO_CN,2030,North Africa,Mine,9.051540757031264,9.09360918537089,-0.04206842833962554,-0.4626153101818148
S2_CAPACITY,2030,North Africa,Mine,6.10212764691425,9.09360918537089,-2.9914815384566396,-32.896526312886955
S1_NO_CN,2030,North Africa,Manufac,89.35104549012902,90.02924724953841,-0.6782017594093901,-0.7533127068469044
S2_CAPACITY,2030,North Africa,Manufac,70.44689833053513,90.02924724953841,-19.58234891900328,-21.751097023754888
S1_NO_CN,2030,North Africa,Petro,19.652287927587768,19.736318498688345,-0.08403057110057688,-0.42576618889769874
S2_CAPACITY,2030,North Africa,Petro,14.320474162648932,19.736318498688345,-5.415844336039413,-27.441005962684198
S1_NO_CN,2030,North Africa,WatWaste,0.6701720173918891,0.6713060827464594,-0.0011340653545702795,-0.16893416933309632
S2_CAPACITY,2030,North Africa,WatWaste,0.5339121211591844,0.6713060827464594,-0.13739396158727502,-20.466664181734565
S1_NO_CN,2030,North Africa,OthServ,29.32547118271884,29.47529094620043,-0.14981976348159165,-0.5082893456592138
S2_CAPACITY,2030,North Africa,OthServ,24.60410512088045,29.47529094620043,-4.87118582531998,-16.52633670083555
S1_NO_CN,2030,North Africa,Transport,209.77376574315127,211.34334507505451,-1.5695793319032418,-0.7426679706171188
S2_CAPACITY,2030,North Africa,Transport,159.65472290351414,211.34334507505451,-51.68862217154037,-24.457179928321924
S1_NO_CN,2030,North Africa,Power,292.61972560194664,293.9142209243843,-1.2944953224376832,-0.4404330346338429
S2_CAPACITY,2030,North Africa,Power,250.3488238312319,293.9142209243843,-43.56539709315243,-14.822486967842412
S1_NO_CN,2030,North Africa,Households,148.01134562838843,148.34331884481716,-0.3319732164287359,-0.22378710346639547
S2_CAPACITY,2030,North Africa,Households,124.14506948018472,148.34331884481716,-24.198249364632446,-16.312328423733312
S1_NO_CN,2030,Sub Saharan,Rice,0.0314184376419973,0.031602377700968,-0.00018394005897069687,-0.5820449989908913
S2_CAPACITY,2030,Sub Saharan,Rice,0.0252924164214826,0.031602377700968,-0.0063099612794853994,-19.966729526468896
S1_NO_CN,2030,Sub Saharan,Crops nec,2.4126816218512346,2.426147789933183,-0.01346616808194856,-0.5550431897769683
S2_CAPACITY,2030,Sub Saharan,Crops nec,2.0318257787712337,2.426147789933183,-0.3943220111619494,-16.25300869131345
S1_NO_CN,2030,Sub Saharan,"Bovine cattle, sheep and goats, horses",0.2707521053680072,0.2722099557107921,-0.0014578503427848943,-0.535560993343601
S2_CAPACITY,2030,Sub Saharan,"Bovine cattle, sheep and goats, horses",0.2142198290026563,0.2722099557107921,-0.0579901267081358,-21.303455473078685
S1_NO_CN,2030,Sub Saharan,Animal products nec,3.003348807724892,3.016750227560651,-0.013401419835758599,-0.44423365624786937
S2_CAPACITY,2030,Sub Saharan,Animal products nec,2.512939838438963,3.016750227560651,-0.5038103891216879,-16.700434279210107
S1_NO_CN,2030,Sub Saharan,Forestry,1.1571256380659336,1.163163018944933,-0.006037380878999299,-0.5190485581699124
S2_CAPACITY,2030,Sub Saharan,Forestry,0.9553134857156014,1.163163018944933,-0.20784953322933153,-17.8693381618911
S1_NO_CN,2030,Sub Saharan,Coal,0.1164987376762702,0.1165437812972849,-4.504362101470649e-05,-0.03864952768248293
S2_CAPACITY,2030,Sub Saharan,Coal,0.0597402085778646,0.1165437812972849,-0.056803572719420305,-48.74011473381261
S1_NO_CN,2030,Sub Saharan,Oil,0.7361835540993229,0.7354007810275188,0.0007827730718040771,0.1064416970988756
S2_CAPACITY,2030,Sub Saharan,Oil,0.5641187610541037,0.7354007810275188,-0.17128201997341508,-23.290976076214644
S1_NO_CN,2030,Sub Saharan,Gas,5.836295407806367,5.798550373395072,0.037745034411295286,0.6509391482477617
S2_CAPACITY,2030,Sub Saharan,Gas,3.840994974914513,5.798550373395072,-1.957555398480559,-33.75939282104405
S1_NO_CN,2030,Sub Saharan,Mine,10.83948238380508,10.90614932088007,-0.06666693707498972,-0.6112784183814021
S2_CAPACITY,2030,Sub Saharan,Mine,8.711078093877195,10.90614932088007,-2.1950712270028756,-20.126913380879188
S1_NO_CN,2030,Sub Saharan,Manufac,51.17151015818426,51.57137585107365,-0.3998656928893851,-0.7753636320351543
S2_CAPACITY,2030,Sub Saharan,Manufac,40.1245291410127,51.57137585107365,-11.446846710060946,-22.196124344475166
S1_NO_CN,2030,Sub Saharan,Petro,9.168908019864531,9.201365822436344,-0.03245780257181252,-0.3527498329940144
S2_CAPACITY,2030,Sub Saharan,Petro,6.744990869526352,9.201365822436344,-2.456374952909992,-26.695764523571473
S1_NO_CN,2030,Sub Saharan,WatWaste,1.3342988807208018,1.34340779059255,-0.009108909871748283,-0.6780450385605198
S2_CAPACITY,2030,Sub Saharan,WatWaste,1.0223328570968329,1.34340779059255,-0.32107493349571725,-23.900035100592767
S1_NO_CN,2030,Sub Saharan,OthServ,29.897474383769456,30.07473482366113,-0.1772604398916755,-0.5893998431940182
S2_CAPACITY,2030,Sub Saharan,OthServ,24.86472141834096,30.07473482366113,-5.210013405320172,-17.323555588663822
S1_NO_CN,2030,Sub Saharan,Transport,187.3355407175061,188.2451520308466,-0.9096113133405197,-0.4832057046502144
S2_CAPACITY,2030,Sub Saharan,Transport,164.185350575811,188.2451520308466,-24.059801455035625,-12.781100174677057
S1_NO_CN,2030,Sub Saharan,Power,125.9979767678259,126.38588763812793,-0.3879108703020222,-0.3069257790970309
S2_CAPACITY,2030,Sub Saharan,Power,111.34204982941358,126.38588763812793,-15.043837808714343,-11.903099380674792
S1_NO_CN,2030,Sub Saharan,Households,97.21661355096316,97.50083484791844,-0.2842212969552804,-0.2915065264811405
S2_CAPACITY,2030,Sub Saharan,Households,85.69888597820278,97.50083484791844,-11.801948869715659,-12.104459298347864
S1_NO_CN,2030,South Africa,Rice,0.0050825984509302,0.0051136558965941,-3.1057445663900014e-05,-0.6073432841772853
S2_CAPACITY,2030,South Africa,Rice,0.0041580515914386,0.0051136558965941,-0.0009556043051555003,-18.68730169724504
S1_NO_CN,2030,South Africa,Crops nec,3.6650962361792656,3.69185658366152,-0.02676034748225442,-0.7248479694656493
S2_CAPACITY,2030,South Africa,Crops nec,2.9718411072139754,3.69185658366152,-0.7200154764475446,-19.502801913649787
S1_NO_CN,2030,South Africa,"Bovine cattle, sheep and goats, horses",0.4694740526871143,0.4734739859615819,-0.003999933274467626,-0.844805288794089
S2_CAPACITY,2030,South Africa,"Bovine cattle, sheep and goats, horses",0.3526871755892808,0.4734739859615819,-0.1207868103723011,-25.510759609526225
S1_NO_CN,2030,South Africa,Animal products nec,4.209065999482471,4.238172421756763,-0.0291064222742925,-0.6867682429547688
S2_CAPACITY,2030,South Africa,Animal products nec,2.5850961201459364,4.238172421756763,-1.653076301610827,-39.004460817231475
S1_NO_CN,2030,South Africa,Forestry,0.3577168462246554,0.359609471522015,-0.001892625297359618,-0.5263001804010474
S2_CAPACITY,2030,South Africa,Forestry,0.3042952742171726,0.359609471522015,-0.05531419730484238,-15.381740939895153
S1_NO_CN,2030,South Africa,Coal,0.0273569436875296,0.0274348893236911,-7.794563616149788e-05,-0.28411135631660367
S2_CAPACITY,2030,South Africa,Coal,0.0114393562064354,0.0274348893236911,-0.015995533117255697,-58.30361817221887
S1_NO_CN,2030,South Africa,Oil,0.0005762395750536,0.0005802754804265,-4.035905372900021e-06,-0.695515407601515
S2_CAPACITY,2030,South Africa,Oil,0.0004144182793131,0.0005802754804265,-0.00016585720111340002,-28.582493437685095
S1_NO_CN,2030,South Africa,Gas,0.0748473232210262,0.075869041102211,-0.0010217178811847971,-1.3466861665067518
S2_CAPACITY,2030,South Africa,Gas,0.0413690628632851,0.075869041102211,-0.0344999782389259,-45.47306482027027
S1_NO_CN,2030,South Africa,Mine,9.403425861170929,9.483852001385772,-0.0804261402148434,-0.8480324260974508
S2_CAPACITY,2030,South Africa,Mine,7.536222609478251,9.483852001385772,-1.9476293919075207,-20.536269351556044
S1_NO_CN,2030,South Africa,Manufac,49.64761168980212,50.05625177615416,-0.40864008635204385,-0.8163617367505573
S2_CAPACITY,2030,South Africa,Manufac,30.521186268759507,50.05625177615416,-19.535065507394656,-39.02622512519163
S1_NO_CN,2030,South Africa,Petro,63.158348622790776,63.22288973609693,-0.06454111330615575,-0.102085041629007
S2_CAPACITY,2030,South Africa,Petro,27.024358318453107,63.22288973609693,-36.19853141764382,-57.25542057432464
S1_NO_CN,2030,South Africa,WatWaste,0.2916444461770842,0.2942118179731309,-0.0025673717960467135,-0.8726270119717559
S2_CAPACITY,2030,South Africa,WatWaste,0.2251798244218456,0.2942118179731309,-0.06903199355128531,-23.46336528112875
S1_NO_CN,2030,South Africa,OthServ,27.2718606415277,27.46377178191112,-0.1919111403834215,-0.6987792569330292
S2_CAPACITY,2030,South Africa,OthServ,14.85894795716148,27.46377178191112,-12.60482382474964,-45.89618616424619
S1_NO_CN,2030,South Africa,Transport,46.48512203661408,46.66606177169189,-0.18093973507781413,-0.3877330295473401
S2_CAPACITY,2030,South Africa,Transport,39.817100331353394,46.66606177169189,-6.848961440338499,-14.676536181360708
S1_NO_CN,2030,South Africa,Power,210.77867097647712,210.89085212216207,-0.11218114568495707,-0.05319393636855062
S2_CAPACITY,2030,South Africa,Power,157.40254347116016,210.89085212216207,-53.488308651001915,-25.36302931718343
S1_NO_CN,2030,South Africa,Households,48.82347364894832,48.92788311236308,-0.1044094634147541,-0.2133946060469801
S2_CAPACITY,2030,South Africa,Households,43.974387239017965,48.92788311236308,-4.953495873345112,-10.124075595033181
S1_NO_CN,2050,Australia_Oceania,Rice,0.0579345513810103,0.0578738689794166,6.068240159370214e-05,0.1048528509737001
