grid,scenario,year,stage,status,residual,seconds,requested_tolerance,run_id
fiveyear_2050,C,2035,scenario_0.25,Solved,4.930456043439334e-10,2.2279999256134038,1e-08,C
fiveyear_2050,C,2035,scenario_0.5,Solved,1.3496119777300919e-09,1.900000095367432,1e-08,C
fiveyear_2050,C,2035,scenario_0.75,Solved,1.0718364752234083e-10,2.180000066757202,1e-08,C
fiveyear_2050,C,2035,scenario_1.0,Solved,1.3651857422303235e-10,2.5209999084472656,1e-08,C
fiveyear_2050,C,2040,scenario_0.25,Solved,9.477254536705002e-10,1.8020000457763672,1e-08,C
fiveyear_2050,C,2040,scenario_0.5,Solved,9.663736477705244e-11,1.8320000171661377,1e-08,C
fiveyear_2050,C,2040,scenario_0.75,Solved,4.106041728846321e-09,3.7890000343322754,1e-08,C
fiveyear_2050,C,2040,scenario_1.0,Solved,8.696858344592329e-09,2.1470000743865967,1e-08,C
fiveyear_2050,C,2045,scenario_0.25,Solved,5.78836534259608e-09,1.876999855041504,1e-08,C
fiveyear_2050,C,2045,scenario_0.5,Solved,5.309885864335229e-09,2.211999893188477,1e-08,C
fiveyear_2050,C,2045,scenario_0.75,Solved,5.426628035820613e-09,3.366000175476074,1e-08,C
fiveyear_2050,C,2045,scenario_1.0,Solved,1.4505161516353835e-09,2.5840001106262207,1e-08,C
fiveyear_2050,C,2050,scenario_0.25,Solved,4.551566235022619e-09,3.758000135421753,1e-08,C
fiveyear_2050,C,2050,scenario_0.5,Solved,5.858282747794874e-09,2.3289999961853027,1e-08,C
fiveyear_2050,C,2050,scenario_0.75,Solved,4.883759174845181e-09,3.050999879837036,1e-08,C
fiveyear_2050,C,2050,scenario_1.0,Solved,4.5944261728436694e-09,2.065000057220459,1e-08,C
