region,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
China,2040,S1_NO_CN,real_household_consumption,17564.773218252143,17559.60684639471,-5.166371857434569,-0.029413256825120974
China,2040,S2_CAPACITY,real_household_consumption,17564.773218252143,17249.170482373,-315.60273587914344,-1.7967936844820183
Japan,2040,S1_NO_CN,real_household_consumption,4023.1665377802537,4014.4976826523025,-8.668855127951247,-0.21547343483161427
Japan,2040,S2_CAPACITY,real_household_consumption,4023.1665377802537,4010.5527934052757,-12.613744374978069,-0.3135277711356585
South Korea,2040,S1_NO_CN,real_household_consumption,1347.6322260297243,1341.6910858643334,-5.941140165390834,-0.4408576799097555
South Korea,2040,S2_CAPACITY,real_household_consumption,1347.6322260297243,1338.6272861905115,-9.004939839212739,-0.6682045490810428
Rest of World,2040,S1_NO_CN,real_household_consumption,78.46350179974134,78.44587835800779,-0.017623441733547907,-0.022460687235865893
Rest of World,2040,S2_CAPACITY,real_household_consumption,78.46350179974134,74.01965864090064,-4.443843158840693,-5.663579953622899
Southeast Asia,2040,S1_NO_CN,real_household_consumption,4079.58380879569,4079.2463812543256,-0.33742754136437725,-0.008271126594749068
Southeast Asia,2040,S2_CAPACITY,real_household_consumption,4079.58380879569,3980.1247805282323,-99.4590282674576,-2.4379699726482227
"Central, Western and South Asia",2040,S1_NO_CN,real_household_consumption,6679.753823987056,6689.694819250766,9.940995263709738,0.14882277888762208
"Central, Western and South Asia",2040,S2_CAPACITY,real_household_consumption,6679.753823987056,6129.208539083676,-550.54528490338,-8.241999621698136
India,2040,S1_NO_CN,real_household_consumption,5323.265763622151,5317.864094520686,-5.401669101464904,-0.10147284282476636
India,2040,S2_CAPACITY,real_household_consumption,5323.265763622151,5197.596335675686,-125.66942794646548,-2.360758104644305
Canada,2040,S1_NO_CN,real_household_consumption,1799.031485186133,1799.2050268656164,0.17354167948337818,0.009646394791440966
Canada,2040,S2_CAPACITY,real_household_consumption,1799.031485186133,1761.9754904960962,-37.05599469003687,-2.059774661820493
United States,2040,S1_NO_CN,real_household_consumption,26676.861440269393,26653.365580274498,-23.495859994895,-0.08807580324808154
United States,2040,S2_CAPACITY,real_household_consumption,26676.861440269393,26528.143570949083,-148.71786932030955,-0.5574788835384368
Rest of America,2040,S1_NO_CN,real_household_consumption,5035.049482761538,5034.753398025559,-0.29608473597818374,-0.005880473210678205
Rest of America,2040,S2_CAPACITY,real_household_consumption,5035.049482761538,4972.202340069248,-62.84714269228971,-1.248193148994047
Brazil,2040,S1_NO_CN,real_household_consumption,2603.7012752728456,2579.184334564365,-24.516940708480433,-0.9416188001794202
Brazil,2040,S2_CAPACITY,real_household_consumption,2603.7012752728456,2551.9949698764613,-51.70630539638432,-1.9858770238903827
"EU, UK and EFTA",2040,S1_NO_CN,real_household_consumption,16864.55373497421,16766.68968196345,-97.86405301076229,-0.5802943531663629
"EU, UK and EFTA",2040,S2_CAPACITY,real_household_consumption,16864.55373497421,16693.302327717563,-171.25140725664824,-1.015451757264718
Eastern Europe,2040,S1_NO_CN,real_household_consumption,391.09468220678747,390.55785268247587,-0.5368295243115995,-0.13726331467420877
Eastern Europe,2040,S2_CAPACITY,real_household_consumption,391.09468220678747,382.53881628369675,-8.555865923090721,-2.187671250044482
Russia,2040,S1_NO_CN,real_household_consumption,1569.7834566517042,1574.677583053559,4.894126401854692,0.31177079750182235
Russia,2040,S2_CAPACITY,real_household_consumption,1569.7834566517042,1430.4052984622017,-139.37815818950253,-8.87881431027382
North Africa,2040,S1_NO_CN,real_household_consumption,1129.3025062629852,1131.6895532971319,2.38704703414669,0.21137357093501472
North Africa,2040,S2_CAPACITY,real_household_consumption,1129.3025062629852,1082.7374669784183,-46.565039284566865,-4.123345075949302
Sub Saharan,2040,S1_NO_CN,real_household_consumption,2435.085915649702,2435.9727965993743,0.8868809496721042,0.03642093052948715
Sub Saharan,2040,S2_CAPACITY,real_household_consumption,2435.085915649702,2381.6096304789767,-53.47628517072553,-2.1960738562465707
South Africa,2040,S1_NO_CN,real_household_consumption,461.97437998867383,461.8748979958541,-0.09948199281973302,-0.021534093042599463
South Africa,2040,S2_CAPACITY,real_household_consumption,461.97437998867383,444.30016348142425,-17.674216507249582,-3.8258001466840863
Australia_Oceania,2045,S1_NO_CN,real_household_consumption,2010.4645781672577,2008.9498696635158,-1.5147085037419856,-0.07534121815380582
Australia_Oceania,2045,S2_CAPACITY,real_household_consumption,2010.4645781672577,1962.3999455554945,-48.06463261176327,-2.390722678415904
China,2045,S1_NO_CN,real_household_consumption,18915.649768662737,18910.61154408048,-5.038224582258408,-0.026635218159965918
China,2045,S2_CAPACITY,real_household_consumption,18915.649768662737,18602.747065656953,-312.90270300578413,-1.654200129694541
Japan,2045,S1_NO_CN,real_household_consumption,4180.014109379032,4171.485948024893,-8.52816135413832,-0.2040223102358196
Japan,2045,S2_CAPACITY,real_household_consumption,4180.014109379032,4165.470099086079,-14.544010292952407,-0.3479416555154407
South Korea,2045,S1_NO_CN,real_household_consumption,1421.1033020792047,1415.1289913366766,-5.974310742528132,-0.420399469467643
South Korea,2045,S2_CAPACITY,real_household_consumption,1421.1033020792047,1410.6797748037545,-10.42352727545017,-0.7334813211819008
Rest of World,2045,S1_NO_CN,real_household_consumption,86.19280516507465,86.17413411543174,-0.018671049642904336,-0.021661958451341657
Rest of World,2045,S2_CAPACITY,real_household_consumption,86.19280516507465,81.52191706763527,-4.670888097439374,-5.419116002192744
