scenario,year,region,sector,CO2_Mt
S0_BASELINE,2030,"EU, UK and EFTA",OthServ,177.2704318360298
S0_BASELINE,2030,"EU, UK and EFTA",Transport,832.2911468487063
S0_BASELINE,2030,"EU, UK and EFTA",Power,391.13354920639233
S0_BASELINE,2030,"EU, UK and EFTA",Households,652.1168864261798
S0_BASELINE,2030,Eastern Europe,Rice,0.2600488063254214
S0_BASELINE,2030,Eastern Europe,Crops nec,11.51287343512588
S0_BASELINE,2030,Eastern Europe,"Bovine cattle, sheep and goats, horses",0.4336862706539268
S0_BASELINE,2030,Eastern Europe,Animal products nec,3.714458525232877
S0_BASELINE,2030,Eastern Europe,Forestry,0.4322095865901641
S0_BASELINE,2030,Eastern Europe,Coal,0.2657488657390066
S0_BASELINE,2030,Eastern Europe,Oil,0.1298818549376803
S0_BASELINE,2030,Eastern Europe,Gas,2.5514514598161027
S0_BASELINE,2030,Eastern Europe,Mine,2.99345239042852
S0_BASELINE,2030,Eastern Europe,Manufac,63.04876420137964
S0_BASELINE,2030,Eastern Europe,Petro,10.012726236066513
S0_BASELINE,2030,Eastern Europe,WatWaste,0.5055792426229213
S0_BASELINE,2030,Eastern Europe,OthServ,9.220819747874422
S0_BASELINE,2030,Eastern Europe,Transport,68.12458873443308
S0_BASELINE,2030,Eastern Europe,Power,242.5184219098582
S0_BASELINE,2030,Eastern Europe,Households,59.50728383107055
S0_BASELINE,2030,Russia,Rice,0.7305464896245261
S0_BASELINE,2030,Russia,Crops nec,13.48975598144288
S0_BASELINE,2030,Russia,"Bovine cattle, sheep and goats, horses",0.2448529623841647
S0_BASELINE,2030,Russia,Animal products nec,5.354276566130858
S0_BASELINE,2030,Russia,Forestry,4.272554547613672
S0_BASELINE,2030,Russia,Coal,9.764587547267466
S0_BASELINE,2030,Russia,Oil,2.4718863420933577
S0_BASELINE,2030,Russia,Gas,30.718683380882627
S0_BASELINE,2030,Russia,Mine,13.283472544594517
S0_BASELINE,2030,Russia,Manufac,309.9668866656687
S0_BASELINE,2030,Russia,Petro,36.71813257308198
S0_BASELINE,2030,Russia,WatWaste,2.241415125503355
S0_BASELINE,2030,Russia,OthServ,43.487521631956255
S0_BASELINE,2030,Russia,Transport,263.3037625412606
S0_BASELINE,2030,Russia,Power,1162.862597621111
S0_BASELINE,2030,Russia,Households,290.62711371653734
S0_BASELINE,2030,North Africa,Rice,0.4237315155272099
S0_BASELINE,2030,North Africa,Crops nec,6.745672331678166
S0_BASELINE,2030,North Africa,"Bovine cattle, sheep and goats, horses",0.3813965048529348
S0_BASELINE,2030,North Africa,Animal products nec,3.1330633971448028
S0_BASELINE,2030,North Africa,Forestry,0.4436201939199664
S0_BASELINE,2030,North Africa,Coal,0.2822524801173942
S0_BASELINE,2030,North Africa,Oil,1.2803544024625957
S0_BASELINE,2030,North Africa,Gas,15.498080756147404
S0_BASELINE,2030,North Africa,Mine,9.09360918537089
S0_BASELINE,2030,North Africa,Manufac,90.02924724953841
S0_BASELINE,2030,North Africa,Petro,19.736318498688345
S0_BASELINE,2030,North Africa,WatWaste,0.6713060827464594
S0_BASELINE,2030,North Africa,OthServ,29.47529094620043
