scenario,year,technology,generation_TWh,generation_TWh_S0,generation_TWh_gap,generation_TWh_pct
S2_CAPACITY,2020,Nuclear,3827.449039591066,3077.2819137904353,750.1671258006309,24.377588625821225
S1_NO_CN,2020,Oil_Power,863.4601447467634,858.4697505658993,4.990394180864087,0.5813127576800978
S2_CAPACITY,2020,Oil_Power,732.9723531529079,858.4697505658993,-125.4973974129914,-14.61873261466279
S1_NO_CN,2020,Solar,540.2080248242355,792.0064663634362,-251.79844153920067,-31.792472944741753
S2_CAPACITY,2020,Solar,731.2063056843973,792.0064663634362,-60.80016067903887,-7.676725287131542
S1_NO_CN,2020,Wind,1408.1442400256396,1595.2760376421395,-187.13179761649985,-11.730370995422563
S2_CAPACITY,2020,Wind,1849.6585789058809,1595.2760376421395,254.38254126374136,15.945988986315218
S1_NO_CN,2025,Biomass,318.60939944352634,301.9512943831858,16.658105060340517,5.516818563195444
S2_CAPACITY,2025,Biomass,335.37697364835594,301.9512943831858,33.42567926517012,11.069891034397047
S1_NO_CN,2025,Coal_Power,12327.287525600192,12230.136078975669,97.15144662452258,0.7943611256421887
S2_CAPACITY,2025,Coal_Power,9075.90507001231,12230.136078975669,-3154.2310089633593,-25.790645243806157
S1_NO_CN,2025,Gas_Power,7622.681584371071,7518.085929842073,104.59565452899824,1.3912537779572227
S2_CAPACITY,2025,Gas_Power,6667.824442875072,7518.085929842073,-850.2614869670006,-11.309547335605691
S1_NO_CN,2025,Hydro,2135.4158502167884,2078.1004254993927,57.31542471739567,2.758068090170478
S2_CAPACITY,2025,Hydro,2657.462564350936,2078.1004254993927,579.3621388515435,27.879410048834178
S1_NO_CN,2025,Nuclear,5146.964455331088,4905.402130200133,241.5623251309553,4.924414323624472
S2_CAPACITY,2025,Nuclear,5981.447183414329,4905.402130200133,1076.0450532141958,21.93591931208899
S1_NO_CN,2025,Oil_Power,1249.7475494356797,1234.334908293496,15.412641142183702,1.2486595849008375
S2_CAPACITY,2025,Oil_Power,1088.445210593993,1234.334908293496,-145.88969769950313,-11.819296101833487
S1_NO_CN,2025,Solar,2539.388139479623,3700.9792420478693,-1161.5911025682462,-31.386047491730892
S2_CAPACITY,2025,Solar,3306.0706188992685,3700.9792420478693,-394.9086231486008,-10.67038200760308
S1_NO_CN,2025,Wind,2432.4851827079797,2639.9550788774136,-207.46989616943392,-7.8588419109637355
S2_CAPACITY,2025,Wind,3079.09774854109,2639.9550788774136,439.1426696636763,16.634475077902184
S1_NO_CN,2030,Biomass,332.1490891714312,306.5486009759191,25.600488195512128,8.351200466748557
S2_CAPACITY,2030,Biomass,340.2170493209898,306.5486009759191,33.668448345070715,10.983070298766602
S1_NO_CN,2030,Coal_Power,12320.804223475421,12190.00847200773,130.79575146769093,1.0729750661621031
S2_CAPACITY,2030,Coal_Power,9178.55758995622,12190.00847200773,-3011.4508820515093,-24.704255858121765
S1_NO_CN,2030,Gas_Power,7615.286511220973,7465.840779802375,149.44573141859746,2.0017267421895566
S2_CAPACITY,2030,Gas_Power,6691.478886967315,7465.840779802375,-774.3618928350606,-10.37206546019534
S1_NO_CN,2030,Hydro,2251.8427821703717,2169.8865573315156,81.95622483885609,3.776982006821788
S2_CAPACITY,2030,Hydro,2683.6582708832216,2169.8865573315156,513.771713551706,23.677353630114766
