scenario,year,region,good,quantity,consumer_price,expenditure_2024USD_bn,real_consumption_2024USD_bn
S2_CAPACITY,2030,North Africa,Petro,18.45662354943604,0.7846843953541268,18.533942533029933,23.619615073895165
S2_CAPACITY,2030,North Africa,Power,18.163393104298315,1.170685916025242,27.211840562948318,23.244356429340467
S2_CAPACITY,2030,North Africa,WatWaste,2.5404363274095587,0.9470242598128008,3.07886013614956,3.251088981327406
S2_CAPACITY,2030,North Africa,OthServ,268.1838082740682,0.9346718375065348,320.7836706210473,343.204596009977
S2_CAPACITY,2030,North Africa,Transport,46.02788684008912,1.0116570247885552,59.59020507870806,58.903565258288914
S2_CAPACITY,2030,Sub Saharan,Rice,5.417871586069102,1.5143507461148762,10.499671819587446,6.93344778268982
S2_CAPACITY,2030,Sub Saharan,Crops nec,144.69591409878618,1.457883504640242,269.9601319004205,185.17263760756316
S2_CAPACITY,2030,Sub Saharan,"Bovine cattle, sheep and goats, horses",11.18838259012466,1.50180548513026,21.50312288293437,14.318181152042806
S2_CAPACITY,2030,Sub Saharan,Animal products nec,46.84132119731249,1.4922569647320711,89.45266681133214,59.9445462414642
S2_CAPACITY,2030,Sub Saharan,Forestry,24.866141669494198,1.2339685460587502,39.26748034733538,31.822107952221216
S2_CAPACITY,2030,Sub Saharan,Coal,0.0135348630411117,1.470087943563611,0.0254634780290435,0.0173210573574176
S2_CAPACITY,2030,Sub Saharan,Oil,0.0027504697278298,1.768353122906239,0.0062243843901703,0.0035198763531143
S2_CAPACITY,2030,Sub Saharan,Gas,0.0222265213122218,1.6882417932646514,0.048020500842057,0.0284440895169124
S2_CAPACITY,2030,Sub Saharan,Mine,0.9341815630352776,1.5112626460954948,1.806723866829832,1.1955067806609854
S2_CAPACITY,2030,Sub Saharan,Manufac,467.8254504659554,1.2699022771065738,760.2819644179408,598.6933064788047
S2_CAPACITY,2030,Sub Saharan,Petro,13.875278823338242,1.434690465839493,25.475368398539786,17.75670191269114
S2_CAPACITY,2030,Sub Saharan,Power,9.573204733771638,2.424326751126608,29.700861212512237,12.251179120936264
S2_CAPACITY,2030,Sub Saharan,WatWaste,6.164574943318481,1.1910773501265208,9.39644648196533,7.889031288252003
S2_CAPACITY,2030,Sub Saharan,OthServ,393.33851761107263,1.1420753125276686,574.8860393583743,503.3696396463951
