scenario,year,fuel,household_Mtoe,nonenergy_industries_Mtoe,energy_industries_Mtoe,power_sector_Mtoe,modeled_final_demand_Mtoe,group,final_energy_share_pct,household_Mtoe_S0,nonenergy_industries_Mtoe_S0,energy_industries_Mtoe_S0,power_sector_Mtoe_S0,modeled_final_demand_Mtoe_S0,group_S0,final_energy_share_pct_S0,modeled_final_demand_Mtoe_gap,modeled_final_demand_Mtoe_pct
S2_CAPACITY,2030,Coal,74.96776796520459,247.37729985553608,1107.0883371436546,1959.2768736951891,322.34506782074067,GLOBAL,3.504802632577771,79.61880224057019,523.1086201416002,940.0482397808772,2720.9645907141216,602.7274223821704,GLOBAL,5.708140164285285,-280.38235456142974,-46.51893113694239
S1_NO_CN,2030,Electricity,739.0980422953581,1340.9211830512006,76.9314951223479,149.21132063141343,2080.019225346559,GLOBAL,19.78677412925649,748.1554483963537,1375.0733197521529,77.68652419892646,153.47969026131875,2123.2287681485063,GLOBAL,20.1080736654284,-43.209542801947464,-2.0350865366065554
S2_CAPACITY,2030,Electricity,677.1293876874653,1222.75972755373,48.55700964181287,132.56541953115146,1899.8891152411952,GLOBAL,20.657168473898235,748.1554483963537,1375.0733197521529,77.68652419892646,153.47969026131875,2123.2287681485063,GLOBAL,20.1080736654284,-223.33965290731112,-10.518869010147563
S1_NO_CN,2030,Gas,588.9622104635769,1087.195158055567,791.4247501587668,1628.9750579520105,1676.1573685191438,GLOBAL,15.944923417932047,591.9447100715125,1086.3145894069537,792.4679103112195,1601.4346441309356,1678.2592994784663,GLOBAL,15.893982848127507,-2.1019309593225444,-0.12524470801238746
S2_CAPACITY,2030,Gas,485.2286019076378,820.9236749307181,646.479892168573,1393.0393046732668,1306.152276838356,GLOBAL,14.201569669917465,591.9447100715125,1086.3145894069537,792.4679103112195,1601.4346441309356,1678.2592994784663,GLOBAL,15.893982848127507,-372.10702264011024,-22.172200848566472
S1_NO_CN,2030,Oil,0.1545519799131731,7.218647547392162,4421.927452999389,66.7378758816503,7.373199527305335,GLOBAL,0.0701396563449666,0.1554106009420169,7.257741372961554,4410.186686253834,66.28362842368904,7.413151973903572,GLOBAL,0.0702063801227861,-0.039952446598237046,-0.5389400721701262
S2_CAPACITY,2030,Oil,0.1631328412271193,7.501206021938812,4171.8036833272845,57.60866849156135,7.664338863165932,GLOBAL,0.083333041843005,0.1554106009420169,7.257741372961554,4410.186686253834,66.28362842368904,7.413151973903572,GLOBAL,0.0702063801227861,0.2511868892623603,3.3883952486959723
S1_NO_CN,2030,Oil_pct,1431.0845821922485,4718.179235905676,1449.71356237768,409.90797844496274,6149.263818097925,GLOBAL,58.49662000582733,1438.1388188809829,4709.318424120329,1442.7391525921707,403.2947354060805,6147.457243001311,GLOBAL,58.21959694203603,1.8065750966134146,0.02938735521373726
S2_CAPACITY,2030,Oil_pct,1296.8053153520536,4364.382692557517,1083.67757016859,354.02887100170244,5661.188007909571,GLOBAL,61.55312618176352,1438.1388188809829,4709.318424120329,1442.7391525921707,403.2947354060805,6147.457243001311,GLOBAL,58.21959694203603,-486.2692350917405,-7.910087307160093
S1_NO_CN,2035,Coal,80.51836585419014,426.00188748005655,1038.1556783679432,2692.495879343569,506.5202533342467,GLOBAL,4.445837609529037,80.5871707040074,428.4880742531614,1041.2193461323575,2668.212076528137,509.0752449571688,GLOBAL,4.449719578001301,-2.5549916229221026,-0.5018887970357049
