year,region,scenario,real_GDP,real_household_consumption,real_investment,government_income,exports_FOB,imports_CIF,CO2_Mt,power_CO2_Mt,real_wage,EV,carbon_price_2024USD_t,additional_carbon_price_2024USD_t,renewable_capacity_GW,total_generation_TWh,renewable_generation_TWh,renewable_generation_share_pct
2017,Rest of America,S0_BASELINE,4673.061968737886,3063.640147228719,926.4694677116914,881.2448490367659,1274.4036261642573,1276.9477329097147,1274.9629676433308,333.8993463563932,0.954136081787466,0.0,0.0,0.0,108.01502999985172,997.8228904144992,407.80199999944966,40.86917667623833
2017,Brazil,S0_BASELINE,2444.8586534159717,1520.7253049455805,355.37250474026695,829.4266364166705,330.41004695366155,295.77756655492254,456.2689054214078,72.47053131600416,0.8978957463305736,0.0,0.0,0.0,136.24831000033907,588.9673276436049,469.4910000009161,79.7142690205413
2017,"EU, UK and EFTA",S0_BASELINE,22049.21598563571,12001.988023078344,4757.77344464238,9292.439010701162,9546.169729262641,9526.60051195648,3584.1688114729363,1035.8376991086975,0.8883138985583798,0.0,7.985555483028722,0.0,485.4601099981362,3487.1315370393704,1219.6369999954184,34.97536548423147
2017,Eastern Europe,S0_BASELINE,361.21377229224356,237.95028266535823,78.26532735874102,110.60700287536305,180.90497265297847,218.07096054780848,358.22065904364774,182.09767715991455,0.8912818817843634,0.0,0.012797364556190158,0.0,20.226599999983087,205.94908715342095,18.25999999998032,8.866268965969052
2017,Russia,S0_BASELINE,1997.6377849771134,1053.401602980412,433.400438245782,343.81641263433056,504.7847893274102,360.6753166308001,1602.3249565328867,797.0933004365925,0.9975816113968223,0.0,0.0,0.0,50.81510000013158,1095.0064836318911,190.5070000004973,17.39779652889618
2017,North Africa,S0_BASELINE,796.1672947925689,516.737360844872,192.74366908668014,136.6463130831792,222.00588464380223,277.94831370913863,501.49289547734594,177.67734139085402,1.0035863644742005,0.0,0.0,0.0,7.287969998820023,343.63645574575537,20.84199999662448,6.065130648432933
2017,Sub Saharan,S0_BASELINE,1657.9039739409711,1161.5636812191976,388.6992004215804,210.99354853513896,356.1140999543088,443.4703268848175,357.1231980750332,69.3987002032441,0.9713872120711111,0.0,0.0,0.0,28.86662999957108,196.7258839672161,107.58399999838583,54.68726220913281
2017,South Africa,S0_BASELINE,469.07099325064456,270.9276631607963,74.5242041877894,123.68502194064953,161.31424810649193,129.64742918733174,436.1180711271066,226.701994052339,0.9359213796858776,0.0,3.7493436508818344e-14,0.0,5.306589999986002,257.08200828186455,13.799999999972748,5.367936905503879
2020,Australia_Oceania,S0_BASELINE,2052.637620484513,1153.4884288585672,481.65265476736715,713.1105468394165,580.1979337858778,556.2816183813903,443.2088982498557,192.76111968686592,0.9486852646073045,0.0,18.300231315274154,0.0,47.02436000012432,308.55559243025505,94.91794768624042,30.762024742006705
2020,China,S0_BASELINE,19470.63340568922,8224.420736802,7313.257194258213,3960.135628584733,4383.829581515415,4081.4589908078715,10920.89241517645,5348.031401452572,1.1075823202349602,0.0,0.0,0.0,896.4119699890975,8346.791177663836,2187.4958256687078,26.207626129697438
2020,Japan,S0_BASELINE,6352.057401508473,3495.769580237043,1628.6194621316054,2250.62193835137,1192.9902019828676,1228.655547280638,1134.5135110845629,516.1562685777211,1.0078342114247556,0.0,7.140929422323774,0.0,107.93381999884603,1054.9818692826632,221.49120947584208,20.99478824469708
2020,South Korea,S0_BASELINE,2129.6095942718757,963.0860016428514,662.151453352418,669.9732846597459,979.4449014797624,822.1485035423078,503.8556025019257,230.27204067661987,0.9967341767283804,0.0,41.96255837956918,0.0,22.091210000041464,527.2237141683166,39.60854616741771,7.512663998792104
