scenario,year,region,household_income,household_savings,labor_income,household_capital_income,land_income,resource_income,government_income,carbon_revenue,expenditure_gap
S1_NO_CN,2030,South Korea,2580.605031287028,949.6590596593234,1218.7547103693703,1291.9508373518677,66.81236799892437,3.087115566865537,975.780635873914,18.723087992084796,0.0
S1_NO_CN,2030,Rest of World,156.9991366947328,79.64994355533571,65.05290801770175,79.55488354807568,5.278981548909424,7.112363580045983,17.552282039604357,5.316359045732216e-11,-9.09307442223605e-15
S1_NO_CN,2030,Southeast Asia,5575.278994602161,1889.436302060063,2016.9558294095243,2766.7692757985783,648.9960270379878,142.55786235607056,802.4083886961968,13.674651140399014,-5.819567630231072e-13
S1_NO_CN,2030,"Central, Western and South Asia",9451.883475982,3376.801383858673,2774.379884072066,5764.501681040026,274.83650992947497,638.1654009404335,1006.6747914638852,7.957107091062881,0.0
S1_NO_CN,2030,India,6259.5941203051225,1874.609664399913,2922.976116131254,2136.2793327431714,1088.182588611115,112.15608281958158,752.9464208236118,-4.3486205681641954e-10,-1.1639135260462145e-12
S1_NO_CN,2030,Canada,2216.228762295272,195.4107807149288,1317.0526275906948,813.9700932630416,17.000495745942914,68.20554569559329,1247.9892319306025,16.126623106485845,8.729351445346609e-13
S1_NO_CN,2030,United States,27769.44825140724,-130.7835086508902,12612.72607800834,14646.017723645904,283.58705153691005,227.1173982160865,12863.750492978928,121.99872211507667,0.0
S1_NO_CN,2030,Rest of America,6398.194071474484,1204.0319522488246,2265.585653833937,3837.53862223704,189.03514507277356,106.03465033073388,1392.8602850832829,12.365098612332158,-5.819567630231072e-13
S1_NO_CN,2030,Brazil,3290.717714775757,219.4415451276263,1466.019977189074,1680.1253973158562,74.34252062128148,70.22981964954597,1459.71338361815,-1.6567148290423936e-11,5.819567630231072e-13
S1_NO_CN,2030,"EU, UK and EFTA",22381.05355890476,1700.8474324648266,8014.9469899678,14064.18513889382,243.35884688302252,58.56258316011997,14664.029220482777,841.7145408627446,-2.327827052092429e-12
S1_NO_CN,2030,Eastern Europe,463.68306258119776,28.49336934933548,195.08902723350676,245.531378561984,15.594493668207878,7.468163117499148,177.09397084686222,0.8417614756901752,1.454891907557768e-13
S1_NO_CN,2030,Russia,2759.2148040820607,1011.078933374108,864.250707731839,1688.09647983047,29.265777972758503,177.60183854699295,551.961100326593,1.5087400475443872e-11,-5.819567630231072e-13
S1_NO_CN,2030,North Africa,1192.4017114285634,272.73821677500666,426.780240731843,598.276486887811,98.58696101032884,68.75802279858054,230.0646843344411,-2.5180022615996025e-10,-7.565437919300395e-12
S1_NO_CN,2030,Sub Saharan,2493.01274790145,492.17196578322086,951.0309176679648,1242.2095155767406,225.44784467724108,74.32446997950356,354.138591277364,2.1862275686040536e-12,0.0
S1_NO_CN,2030,South Africa,622.0634714814244,127.87871179987324,286.54047021547046,308.8599341991818,7.262340456945008,19.400726609827053,205.6501976720184,-1.1608292702647492e-10,2.1823378613366526e-13
S1_NO_CN,2050,Australia_Oceania,5667.217538902399,1092.7675434187377,2726.8089749085266,2134.3064533888605,455.1999149367035,350.9021956683084,2446.042908203167,89.76851455288288,1.7458702890693218e-12
S1_NO_CN,2050,China,35899.24738802766,10187.790063580154,10378.58269405302,4721.610254844468,19257.909967143118,1541.1444719870526,8197.911176472016,371.08972918397313,-9.311308208369716e-12
S1_NO_CN,2050,Japan,10717.337910685585,2018.8007994345207,4034.9543910403263,6477.249104167723,184.0280872719885,21.106328205545715,5186.692776146742,21.634699999262544,0.0
S1_NO_CN,2050,South Korea,4800.888634816682,1766.720335422784,2455.114075697872,1933.31965682054,395.8827834504304,16.572118847840315,1831.8680344113577,41.80224462508804,0.0
S1_NO_CN,2050,Rest of World,281.29544374578285,142.7088497963466,114.62246268996172,106.58557900970406,27.03849905533667,33.04890299078041,32.05731313032084,9.126295892184464e-11,-3.63722976889442e-14
S1_NO_CN,2050,Southeast Asia,8627.611923476652,2923.857834573937,1729.6226016133576,1780.3985507867894,4521.424124870541,596.1666462059646,1330.0114619667386,33.242445575792246,-8.147394682323502e-12
S1_NO_CN,2050,"Central, Western and South Asia",16302.339965118908,5824.211046849443,4413.591214998106,7708.303090602246,2627.7495990785437,1552.696060440012,1848.8925692410892,24.84915805589028,-4.655654104184858e-12
S1_NO_CN,2050,India,10889.069130656191,3261.0347949607703,608.5270033385375,254.3010230027928,9623.610310624794,402.6307936900694,1481.5914909064918,-1.5972614110873974e-09,-1.1639135260462145e-12
S1_NO_CN,2050,Canada,4689.646165878181,413.4985675404445,2717.2659289170483,1399.335733452176,398.7119140286717,174.33258948028472,2481.2730548210498,35.411593994017004,-2.327827052092429e-12
S1_NO_CN,2050,United States,52131.805996315416,-245.52092064559264,23501.88325266155,25425.45006111157,2738.495398221753,465.9772843205381,23381.955493937843,255.8851342197497,0.0
S1_NO_CN,2050,Rest of America,13888.953642032937,2613.666259807048,4570.320882821248,7296.190289603257,1605.7289126436349,416.7135569647969,2976.623758248226,31.895139055052223,0.0
S1_NO_CN,2050,Brazil,8771.372820033932,584.9190879777043,3754.763791003224,3907.1326123826993,868.2553668647689,241.221049783239,3745.823903046392,-1.2372169658887364e-10,0.0
S1_NO_CN,2050,"EU, UK and EFTA",43747.02421711069,3324.5536731243355,15984.746824057527,25129.826512976582,2309.796612468653,322.654267607922,27618.569574226087,1574.304025861852,-4.655654104184858e-12
S1_NO_CN,2050,Eastern Europe,1130.8586303340117,69.49137295768287,434.5862851078283,475.7138817175807,187.50569083265623,33.05277267594637,391.3735064818481,2.820929588100584,0.0
S1_NO_CN,2050,Russia,5039.549071040429,1846.678225956088,1671.4410263401608,2792.692975839488,274.3197101553943,301.095358705387,1024.6376060726384,-7.93132029654838e-10,1.7458702890693218e-12
S1_NO_CN,2050,North Africa,1913.648903166068,437.7091917770442,499.9344902412672,547.1238088058988,645.943908531231,220.646695587671,389.9184678515479,-2.58786017111718e-09,-2.327827052092429e-12
S1_NO_CN,2050,Sub Saharan,6875.0189256383965,1357.2700670209554,1918.865076838683,2013.0450147418296,2595.7286266570577,347.38020740082624,986.1254200323276,-6.905424436183662e-10,0.0
S1_NO_CN,2050,South Africa,1501.6749227234243,308.7020271464052,638.0675877832945,598.5046998446047,117.49791772804042,147.6047173674845,489.2319069271883,9.033477719915261e-11,-1.3094027168019913e-12
S2_CAPACITY,2030,Australia_Oceania,2312.177971391081,445.8401366101973,1171.820186984757,1050.3489086118,33.84365299636404,56.16522279816029,1041.8844177487435,55.16759893666196,5.819567630231072e-13
