model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_slopes_by_technology_spec,inference_scope,country_proxy
pv__USA__annual_difference,pv,USA,annual_difference,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.4684186680222115,0.4292610697325846,0.2985007695771023,-1.4132159123049624,0.4763785762605391,,0.5497734684101229,conditional HAC on selected price series,False
pv__USA__annual_difference,pv,USA,annual_difference,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logM,0.1414301395972006,0.1387247745594239,0.3298640810460737,-0.163901030543944,0.4467613097383453,,0.5497734684101229,conditional HAC on selected price series,False
wind__DEU_spliced_proxy__main_level,wind,DEU_spliced_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,10.37926470673463,0.251500390581112,3.581449474298668e-15,9.835931145835492,10.922598267633768,***,,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True
wind__DEU_spliced_proxy__main_level,wind,DEU_spliced_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.5173177868697387,0.0420908777023883,1.5677177822503213e-08,-0.6082495997809122,-0.4263859739585652,***,6.270871129001285e-08,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True
wind__DEU_spliced_proxy__annual_difference,wind,DEU_spliced_proxy,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,-0.0107939186781699,0.0549232241181603,0.8474864248387222,-0.1304613440332969,0.1088735066769569,,,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True
wind__DEU_spliced_proxy__annual_difference,wind,DEU_spliced_proxy,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.3382495633532238,0.4165485493827258,0.4325885171594791,-1.2458308869259924,0.5693317602195449,,0.7911193641758065,conditional HAC on constructed series; excludes anchor/interpolation/proxy uncertainty,True
wind__DNK_vestas_proxy__main_level,wind,DNK_vestas_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.49227155977344,0.4504810939968919,1.964251437378625e-11,8.519066323974286,10.465476795572592,***,,conditional HAC on selected price series,True
wind__DNK_vestas_proxy__main_level,wind,DNK_vestas_proxy,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.3795433762205324,0.076664407832264,0.0002651025319146,-0.5451667599674999,-0.2139199924735651,***,0.0005302050638292,conditional HAC on selected price series,True
wind__DNK_vestas_proxy__annual_difference,wind,DNK_vestas_proxy,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,-0.0032364809988997,0.1193515136131699,0.9788119924249272,-0.2632810900990225,0.256808128101223,,,conditional HAC on selected price series,True
wind__DNK_vestas_proxy__annual_difference,wind,DNK_vestas_proxy,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.214805343792889,0.7931191538161831,0.7911193641758065,-1.9428635315793823,1.5132528439936044,,0.7911193641758065,conditional HAC on selected price series,True
wind__china_domestic__main_level,wind,china_domestic,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,10.754774353893588,1.022598128827848,9.993114577305909e-08,8.545585408218223,12.963963299568952,***,,conditional HAC on selected price series,False
wind__china_domestic__main_level,wind,china_domestic,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.7209200284230962,0.1738975153771521,0.0011505160238756,-1.096602770080343,-0.3452372867658497,***,0.0015340213651674666,conditional HAC on selected price series,False
wind__china_domestic__annual_difference,wind,china_domestic,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,-0.1869832416672845,0.1635400573112585,0.2751912369672589,-0.5433064167009454,0.1693399333663762,,,conditional HAC on selected price series,False
wind__china_domestic__annual_difference,wind,china_domestic,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,0.6068997192492971,0.970421515822644,0.5434204995579167,-1.507467129606501,2.721266568105096,,0.7911193641758065,conditional HAC on selected price series,False
wind__USA_LBNL_WM_chain__main_level,wind,USA_LBNL_WM_chain,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.274343118100706,0.5386555875134669,2.4918551687631423e-10,8.11064847020902,10.438037765992393,***,,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True
wind__USA_LBNL_WM_chain__main_level,wind,USA_LBNL_WM_chain,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.3462790494570753,0.09130781632550528,0.002239283269797464,-0.5435375939365961,-0.14902050497755456,***,0.002239283269797464,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True
wind__USA_LBNL_WM_chain__annual_difference,wind,USA_LBNL_WM_chain,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.010561535199623181,0.1248749101917969,0.9339923941756043,-0.26151752122933103,0.28264059162857735,,,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True
wind__USA_LBNL_WM_chain__annual_difference,wind,USA_LBNL_WM_chain,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.36081773646038484,0.8680775836361525,0.6850013077612027,-2.252196312830052,1.5305608399092827,,0.7911193641758065,"conditional HAC; excludes digitization, source-link and anchor uncertainty",True
