technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed
wind,Denmark,2010,2829.308711935296,2024 USD/kW,Fig 2.7,C14,IRENA_reported_cell,False
wind,Denmark,2011,3043.07870350374,2024 USD/kW,Fig 2.7,D14,IRENA_reported_cell,False
wind,Denmark,2012,2452.067550343923,2024 USD/kW,Fig 2.7,E14,IRENA_reported_cell,False
wind,Denmark,2013,2669.609953528281,2024 USD/kW,Fig 2.7,F14,IRENA_reported_cell,False
wind,Denmark,2014,,2024 USD/kW,Fig 2.7,G14,source_blank,False
wind,Denmark,2015,2263.446969548236,2024 USD/kW,Fig 2.7,H14,IRENA_reported_cell,False
wind,Denmark,2016,2263.446969548236,2024 USD/kW,Fig 2.7,I14,IRENA_reported_cell,False
wind,Denmark,2017,2085.510402489083,2024 USD/kW,Fig 2.7,J14,IRENA_reported_cell,False
wind,Denmark,2018,2266.005369502973,2024 USD/kW,Fig 2.7,K14,IRENA_reported_cell,False
wind,Denmark,2019,2262.846856831192,2024 USD/kW,Fig 2.7,L14,IRENA_reported_cell,False
wind,Denmark,2020,2262.846856831192,2024 USD/kW,Fig 2.7,M14,IRENA_reported_cell,False
wind,Denmark,2021,,2024 USD/kW,Fig 2.7,N14,source_blank,False
wind,Denmark,2022,,2024 USD/kW,Fig 2.7,O14,source_blank,False
wind,Denmark,2023,,2024 USD/kW,Fig 2.7,P14,source_blank,False
wind,Denmark,2024,,2024 USD/kW,Fig 2.7,Q14,source_blank,False
wind,Dominican Republic,2010,,2024 USD/kW,Fig 2.7,C15,source_blank,False
wind,Dominican Republic,2011,1679.6966524738002,2024 USD/kW,Fig 2.7,D15,IRENA_reported_cell,False
wind,Dominican Republic,2012,2944.0833147834683,2024 USD/kW,Fig 2.7,E15,IRENA_reported_cell,False
wind,Dominican Republic,2013,2581.7700596941995,2024 USD/kW,Fig 2.7,F15,IRENA_reported_cell,False
wind,Dominican Republic,2014,2642.604327619912,2024 USD/kW,Fig 2.7,G15,IRENA_reported_cell,False
wind,Dominican Republic,2015,,2024 USD/kW,Fig 2.7,H15,source_blank,False
wind,Dominican Republic,2016,2996.2627041845085,2024 USD/kW,Fig 2.7,I15,IRENA_reported_cell,False
wind,Dominican Republic,2017,2430.34790389692,2024 USD/kW,Fig 2.7,J15,IRENA_reported_cell,False
wind,Dominican Republic,2018,2490.7292182794527,2024 USD/kW,Fig 2.7,K15,IRENA_reported_cell,False
wind,Dominican Republic,2019,2067.6597741513083,2024 USD/kW,Fig 2.7,L15,IRENA_reported_cell,False
wind,Dominican Republic,2020,2426.7167492340077,2024 USD/kW,Fig 2.7,M15,IRENA_reported_cell,False
wind,Dominican Republic,2021,,2024 USD/kW,Fig 2.7,N15,source_blank,False
wind,Dominican Republic,2022,,2024 USD/kW,Fig 2.7,O15,source_blank,False
wind,Dominican Republic,2023,,2024 USD/kW,Fig 2.7,P15,source_blank,False
wind,Dominican Republic,2024,2108.0067043255785,2024 USD/kW,Fig 2.7,Q15,IRENA_reported_cell,False
wind,Egypt,2010,1834.4723256991094,2024 USD/kW,Fig 2.7,C16,IRENA_reported_cell,False
wind,Egypt,2011,,2024 USD/kW,Fig 2.7,D16,source_blank,False
wind,Egypt,2012,,2024 USD/kW,Fig 2.7,E16,source_blank,False
wind,Egypt,2013,,2024 USD/kW,Fig 2.7,F16,source_blank,False
wind,Egypt,2014,,2024 USD/kW,Fig 2.7,G16,source_blank,False
wind,Egypt,2015,2301.625233767108,2024 USD/kW,Fig 2.7,H16,IRENA_reported_cell,False
wind,Egypt,2016,,2024 USD/kW,Fig 2.7,I16,source_blank,False
wind,Egypt,2017,,2024 USD/kW,Fig 2.7,J16,source_blank,False
wind,Egypt,2018,2081.496440671476,2024 USD/kW,Fig 2.7,K16,IRENA_reported_cell,False
wind,Egypt,2019,,2024 USD/kW,Fig 2.7,L16,source_blank,False
wind,Egypt,2020,1724.073795680908,2024 USD/kW,Fig 2.7,M16,IRENA_reported_cell,False
wind,Egypt,2021,1622.5135592682948,2024 USD/kW,Fig 2.7,N16,IRENA_reported_cell,False
wind,Egypt,2022,1558.2033844385596,2024 USD/kW,Fig 2.7,O16,IRENA_reported_cell,False
wind,Egypt,2023,,2024 USD/kW,Fig 2.7,P16,source_blank,False
wind,Egypt,2024,1435.4923368827385,2024 USD/kW,Fig 2.7,Q16,IRENA_reported_cell,False
wind,Ethiopia,2010,,2024 USD/kW,Fig 2.7,C17,source_blank,False
wind,Ethiopia,2011,3150.065554401592,2024 USD/kW,Fig 2.7,D17,IRENA_reported_cell,False
wind,Ethiopia,2012,2952.202658292882,2024 USD/kW,Fig 2.7,E17,IRENA_reported_cell,False
wind,Ethiopia,2013,,2024 USD/kW,Fig 2.7,F17,source_blank,False
wind,Ethiopia,2014,,2024 USD/kW,Fig 2.7,G17,source_blank,False
wind,Ethiopia,2015,2835.472782216877,2024 USD/kW,Fig 2.7,H17,IRENA_reported_cell,False
wind,Ethiopia,2016,3113.16154795305,2024 USD/kW,Fig 2.7,I17,IRENA_reported_cell,False
wind,Ethiopia,2017,,2024 USD/kW,Fig 2.7,J17,source_blank,False
wind,Ethiopia,2018,,2024 USD/kW,Fig 2.7,K17,source_blank,False
wind,Ethiopia,2019,2262.846856831192,2024 USD/kW,Fig 2.7,L17,IRENA_reported_cell,False
wind,Ethiopia,2020,,2024 USD/kW,Fig 2.7,M17,source_blank,False
wind,Ethiopia,2021,,2024 USD/kW,Fig 2.7,N17,source_blank,False
wind,Ethiopia,2022,2273.458740323888,2024 USD/kW,Fig 2.7,O17,IRENA_reported_cell,False
wind,Ethiopia,2023,,2024 USD/kW,Fig 2.7,P17,source_blank,False
wind,Ethiopia,2024,,2024 USD/kW,Fig 2.7,Q17,source_blank,False
wind,Greece,2010,3004.097116805965,2024 USD/kW,Fig 2.7,C18,IRENA_reported_cell,False
wind,Greece,2011,1926.802072054809,2024 USD/kW,Fig 2.7,D18,IRENA_reported_cell,False
wind,Greece,2012,2703.5616580715046,2024 USD/kW,Fig 2.7,E18,IRENA_reported_cell,False
wind,Greece,2013,,2024 USD/kW,Fig 2.7,F18,source_blank,False
wind,Greece,2014,2429.43308064844,2024 USD/kW,Fig 2.7,G18,IRENA_reported_cell,False
wind,Greece,2015,2414.343434184785,2024 USD/kW,Fig 2.7,H18,IRENA_reported_cell,False
wind,Greece,2016,2054.6866274333765,2024 USD/kW,Fig 2.7,I18,IRENA_reported_cell,False
wind,Greece,2017,2279.9391883381822,2024 USD/kW,Fig 2.7,J18,IRENA_reported_cell,False
wind,Greece,2018,2511.1647367498217,2024 USD/kW,Fig 2.7,K18,IRENA_reported_cell,False
wind,Greece,2019,2192.378913089225,2024 USD/kW,Fig 2.7,L18,IRENA_reported_cell,False
wind,Greece,2020,2202.5787219674644,2024 USD/kW,Fig 2.7,M18,IRENA_reported_cell,False
wind,Greece,2021,1540.4361586828409,2024 USD/kW,Fig 2.7,N18,IRENA_reported_cell,False
wind,Greece,2022,1963.8437367778333,2024 USD/kW,Fig 2.7,O18,IRENA_reported_cell,False
wind,Greece,2023,1600.845018371483,2024 USD/kW,Fig 2.7,P18,IRENA_reported_cell,False
wind,Greece,2024,1966.8938205766926,2024 USD/kW,Fig 2.7,Q18,IRENA_reported_cell,False
