technology,year,n_countries,n_observed,observed_complete,observed,observed_available_subset,observed_weight_coverage,model_factual,model_without_china_contribution,china_contribution_since_2010,procurement_model,other_cost_fitted,P_direct,S_share,T_cn_tariff,K_spillover,G_other,observed_completed,n_imputed,imputed_weight,contains_imputation
pv,2020,10,10,True,1087.7754712517803,1087.7754712517806,1.0,1188.868336957325,2264.576471636245,1075.7081346789205,417.7786670617781,771.0896698955471,878.4204471257203,94.14061477642304,-92.65670427121636,27.549196769901048,168.2545802780926,1087.77547125178,0,0.0,False
pv,2021,10,10,True,983.6678547602368,983.6678547602368,1.0,1163.8230240115254,2132.3102879827293,968.487263971204,469.31387392507503,694.5091500864503,814.6239936128468,85.53470726074605,-78.47330323405184,29.06402882422227,117.7378375074408,983.6678547602364,0,0.0,False
pv,2022,10,10,True,996.9482485905694,996.9482485905694,1.0,1054.4960176504162,2116.7386145521023,1062.2425969016858,434.25233609188285,620.2436815585335,884.9351865601628,116.697413574297,-99.28100886783476,26.91478841494898,132.9762172201116,996.9482485905689,0,0.0,False
pv,2023,10,10,True,923.4827098259412,923.4827098259414,1.0,840.2346556328362,2000.587311041052,1160.3526554082157,314.4448514340992,525.7898041987371,928.064849814106,111.45698754189516,-100.5409684299189,23.65708631116591,197.71470017096735,923.4827098259409,0,0.0,False
pv,2024,10,10,True,844.9846248128495,844.9846248128495,1.0,649.1579480794499,1962.4664219078768,1313.3084738284274,198.16143819243345,450.9965098870164,1021.2839021893934,128.3220236596199,-107.443495209411,18.55873233158083,252.5873108572441,844.984624812849,0,0.0,False
wind,2010,13,13,True,2873.975064316949,2873.975064316949,1.0,3091.038218057203,3091.038218057203,0.0,1809.9824962332905,1281.055721823913,0.0,0.0,0.0,0.0,0.0,2873.975064316947,0,0.0,False
wind,2011,13,13,True,2830.0583731285037,2830.0583731285037,1.0,2902.63121338182,2905.300309143872,2.669095762051386,1701.9290498196422,1200.7021635621782,10.45545506275115,-34.41675247318969,0.0435716797348097,26.586821492755117,0.0,2830.0583731285014,0,0.0,False
wind,2012,13,13,True,2692.5969689038475,2692.5969689038475,1.0,2623.4805806869936,2691.6272861160496,68.14670542905645,1492.370588903795,1131.109991783199,27.831368913726884,6.695360500478426,0.1265964833814484,33.49337953146971,0.0,2692.5969689038457,0,0.0,False
wind,2013,13,13,True,2516.872091760972,2516.872091760972,1.0,2491.733144273787,2599.6913490729767,107.95820479918942,1398.309144465081,1093.4239998087055,40.81389606488644,26.279320476130454,-2.5950943935832536,43.460082651755776,0.0,2516.8720917609708,0,0.0,False
wind,2014,13,13,True,2386.1350795637304,2386.135079563731,1.0,2312.5776549573743,2467.7642020961102,155.18654713873576,1267.0184881414048,1045.5591668159695,62.20552228424955,49.50689808897356,-5.543591950189605,49.01771871570229,0.0,2386.135079563729,0,0.0,False
wind,2015,13,13,True,2255.2219191425907,2255.2219191425907,1.0,2170.827679813053,2324.319545642308,153.49186582925557,1174.0134484131297,996.8142313999232,65.40982025438089,34.36014423331112,-5.188280637537183,58.91018197910076,0.0,2255.2219191425893,0,0.0,False
wind,2016,13,13,True,2208.6909651618453,2208.690965161845,1.0,2097.638825529597,2254.305510150117,156.66668462051967,1130.3702066855033,967.268618844094,72.38497922984217,29.29616150302445,-6.659456473632675,61.64500036128569,0.0,2208.6909651618435,0,0.0,False
wind,2017,13,13,True,2048.373981567154,2048.3739815671534,1.0,1994.546024239401,2188.616869600294,194.0708453608938,1049.7800728804657,944.7659513589356,88.94677680307618,53.991062767480045,-5.536249552546452,56.66925534288407,0.0,2048.373981567152,0,0.0,False
wind,2018,13,12,False,,2012.690299039644,0.9677950079334317,1968.9216987852424,2116.34905148932,147.42735270407718,1043.9732049496722,924.9484938355702,70.67909991815887,18.29604550031169,-1.6523707279021695,60.10457801350878,0.0,2003.3104379696483,1,0.0322049920665683,True
wind,2019,13,12,False,,1877.119554668572,0.9677950079334317,1844.9473079447996,2077.662650590324,232.7153426455248,941.4673838888532,903.479924055946,106.5859806688915,72.85927255967701,-2.916370766114604,56.18646018307091,0.0,1872.4030902004238,1,0.0322049920665683,True
wind,2020,13,13,True,1703.0624502204969,1703.0624502204969,1.0,1714.2681292996776,2039.7780333062424,325.50990400656485,843.9061792834098,870.3619500162679,147.32473456950635,118.41114418104786,-10.004921194546904,69.77894645055747,0.0,1703.0624502204957,0,0.0,False
wind,2021,13,13,True,1512.8089837901225,1512.8089837901225,1.0,1593.274597945899,1974.172019793268,380.8974218473694,741.2389523657292,852.0356455801696,176.4838847461442,150.05327079079288,-4.65946229827659,59.01972860870888,0.0,1512.8089837901211,0,0.0,False
wind,2022,13,13,True,1449.337684577553,1449.3376845775529,1.0,1498.69640966893,1968.754729915514,470.0583202465839,662.3371214009794,836.3592882679508,234.5983459404997,197.95956982801363,-16.05263088565987,53.55303536373037,0.0,1449.337684577552,0,0.0,False
wind,2023,13,13,True,1444.7524844690988,1444.752484469099,1.0,1437.3658579717924,1917.3983999802076,480.0325420084149,620.4466013471762,816.9192566246161,250.35035889792985,190.3305829908317,-18.34215214730657,57.69375226695999,0.0,1444.752484469098,0,0.0,False
wind,2024,13,13,True,1459.1009317912606,1459.1009317912603,1.0,1422.194053251633,1800.7933078013823,378.5992545497497,621.8775882470435,800.3164650045895,188.40731835172852,124.72276854723587,1.2328435603424528,64.23632409044282,0.0,1459.1009317912594,0,0.0,False
