technology,country,2023,2024,net_additions_2024_mw
wind,Nicaragua,186.2,186.2,0.0
wind,Niger,0.0,0.0,0.0
wind,Nigeria,0.0,0.0,0.0
wind,Niue,0.0,0.0,0.0
wind,North Macedonia,72.8,72.8,0.0
wind,Norway,5061.7,5063.0,1.300000000000182
wind,Oman,50.0,50.0,0.0
wind,Pakistan,1845.0,1845.0,0.0
wind,Palau,0.0,0.0,0.0
wind,Palestine,0.0,0.0,0.0
wind,Panama,336.0,336.0,0.0
wind,Papua N Guin,0.0,0.0,0.0
wind,Paraguay,0.0,0.0,0.0
wind,Peru,1014.99,1014.99,0.0
wind,Philippines,426.9,426.9,0.0
wind,Poland,9343.32,10151.75,808.4300000000003
wind,Portugal,5513.14,5575.47,62.32999999999993
wind,Puerto Rico,99.0,127.8,28.799999999999997
wind,Qatar,0.0,0.0,0.0
wind,Reunion,8.8,19.8,11.0
wind,Romania,3026.76,3095.43,68.66999999999962
wind,Russian Fed,2532.4,2566.7,34.29999999999973
wind,Rwanda,0.0,0.0,0.0
wind,Samoa,0.55,0.55,0.0
wind,Sao Tome Prn,0.0,0.0,0.0
wind,Saudi Arabia,400.0,400.0,0.0
wind,Senegal,158.7,159.0,0.30000000000001137
wind,Serbia,510.0,604.0,94.0
wind,Seychelles,6.0,6.0,0.0
wind,Sierra Leone,0.0,0.0,0.0
wind,Singapore,0.1,0.1,0.0
wind,Slovakia,4.0,4.0,0.0
wind,Slovenia,3.33,3.4,0.06999999999999984
wind,Solomon Is,0.0,0.0,0.0
wind,Somalia,0.0,0.0,0.0
wind,South Africa,3442.0,3442.0,0.0
wind,South Georgia,0.0,0.0,0.0
wind,South Sudan,0.0,0.0,0.0
wind,Spain,30863.5,32179.27,1315.7700000000004
wind,Sri Lanka,267.0,267.0,0.0
wind,St Barth,0.0,0.0,0.0
wind,St Kitts Nevis,2.2,2.2,0.0
wind,St Lucia,0.0,0.0,0.0
wind,St Maarten,0.0,0.0,0.0
wind,St Martin,0.0,0.0,0.0
wind,St Pierre Mq,0.0,0.0,0.0
wind,St Vincent Gren,0.0,0.0,0.0
wind,Sudan,0.0,0.0,0.0
wind,Suriname,0.0,0.0,0.0
wind,Sweden,16031.0,16626.0,595.0
wind,Switzerland,88.32,102.12,13.800000000000011
wind,Syrian AR,5.0,5.0,0.0
wind,Tajikistan,0.0,0.0,0.0
wind,Tanzania,2.4,2.4,0.0
wind,Thailand,1543.56,1543.56,0.0
wind,Timor Leste,0.0,0.0,0.0
wind,Togo,0.0,0.0,0.0
wind,Tokelau,0.02,0.02,0.0
wind,Tonga,1.4,1.4,0.0
wind,Trinidad Tobago,0.01,0.01,0.0
wind,Tunisia,245.0,245.0,0.0
wind,Turkmenistan,0.0,0.0,0.0
wind,Turks Caicos,0.0,0.0,0.0
wind,Tuvalu,0.0,0.0,0.0
wind,Türkiye,11806.07,12870.79,1064.7200000000012
wind,UK,15417.87,16229.97,812.0999999999985
wind,US Virgin Is,0.0,0.0,0.0
wind,USA,147479.0,152481.4,5002.399999999994
wind,Uganda,0.0,0.0,0.0
wind,Ukraine,1761.0,0.0,-1761.0
wind,United Arab Em,99.1,110.0,10.900000000000006
wind,Uruguay,1509.03,1509.03,0.0
wind,Uzbekistan,0.75,500.75,500.0
wind,Vanuatu,3.13,3.13,0.0
wind,Venezuela,0.0,0.0,0.0
wind,Viet Nam,4778.0,5075.3,297.3000000000002
wind,Yemen,0.0,0.0,0.0
wind,Zambia,0.0,0.0,0.0
wind,Zimbabwe,0.0,0.0,0.0
