technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,DEU,2017,0.10218052849442469,2305.1190969879626,1274.9917666412082,899.1445146610314,1030.1273303467544,2174.1362813022397,495.6822,0.710261574855825,0.2020092160890111,0.0,excluded_for_wind,False,0.5747964219094094,-0.7175790733745862,0.0,153.74743802051873,0.0,153.60465536905355,2327.740936671293
wind,DEU,2018,0.10218052849442469,2267.184611637869,1240.4728193870562,914.6424529316199,1026.7117922508126,2155.115272318676,539.4404499999999,0.6995445558448573,0.2020092160890111,0.0,excluded_for_wind,False,0.4611820488960911,-1.1132092333411587,0.0,159.77605964671304,0.0,159.12403246226796,2314.239304780944
wind,DEU,2019,0.10218052849442469,2098.5998414809087,1146.7108688765209,932.6966552646912,951.8889726043878,2079.407524141212,594.24654,0.6876345464291639,0.2020092160890111,0.0,excluded_for_wind,False,13.786959698680961,32.93577067497005,0.0,155.30861360380163,0.0,202.03134397745265,2281.4388681186647
wind,DEU,2020,0.10218052849442469,2089.1128870850494,1037.4798723154056,963.6087152789851,1051.6330147696438,2001.0885875943907,698.33524,0.6349287915070704,0.2020092160890111,0.0,excluded_for_wind,False,28.303588608249797,63.609975661871204,0.0,185.62345349410936,0.0,277.53701776423037,2278.625605358621
wind,DEU,2021,0.10218052849442469,1944.2419851493808,870.7437759227737,982.6270260633049,1073.498209226607,1853.3708019860787,769.27527,0.6301816773597831,0.2020092160890111,0.0,excluded_for_wind,False,97.17591527344052,213.96772952649292,-0.10379148377698677,163.19468981356684,0.0,474.2345431297233,2327.6053451158023
wind,DEU,2022,0.10218052849442469,2011.739426286796,925.1043294468158,1000.1901736345326,1086.6350968399802,1925.2945030813485,839.7858299999999,0.622067819362944,0.2020092160890111,0.0,excluded_for_wind,False,46.515017270828736,92.12861020916733,-1.6083930367722972,171.8378629613781,0.0,308.8730974046019,2234.1676004859505
wind,DEU,2023,0.10218052849442469,1791.825824693949,941.4309919416091,1023.9158807847729,850.3948327523399,1965.3468727263821,943.12808,0.5902443176116652,0.2020092160890111,0.0,excluded_for_wind,False,1.095445845200884,-0.05659051921823969,-0.04332857279540741,197.14316905212826,0.0,198.1386958053155,2163.4855685316975
wind,DEU,2024,0.10218052849442469,1669.527372030262,875.537730004671,1046.1987495440808,793.9896420255911,1921.7364795487517,1049.19276,0.5598405673329274,0.2020092160890111,0.0,excluded_for_wind,False,8.594821462017496,13.754141332085517,-0.18716347991167034,207.86717669094747,0.0,230.02897600513882,2151.7654555538907
wind,ESP,2010,0.05241562338288858,2917.3316496399493,1778.0769246231569,1415.202627722767,1139.2547250167925,3193.2795523459235,177.71164000000002,0.9331638040141884,-0.5083763749600175,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,3193.2795523459235
wind,ESP,2011,0.05241562338288858,2838.1110057057613,1584.1913076390288,1280.821038411021,1253.9196980667325,2865.01234605005,216.24613,0.8685660178057291,-0.5083763749600175,0.0,excluded_for_wind,False,0.3837824566807165,-0.17357818881112677,0.03647607944542531,11.50741721301764,0.0,11.754097560332655,2876.766443610383
