technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution,observed_completed,observation_imputed,completion_method
wind,CAN,2022,0.0501939438218226,1819.9977599750696,478.91990944326767,1142.924426773737,1341.077850531802,1621.8443362170046,839.7858299999999,0.622067819362944,-0.2643524831740681,0.0,excluded_for_wind,False,288.64767750448647,478.4060680010248,0.0,64.16208904465647,0.0,831.2158345501676,2453.060170767172,1819.9977599750696,False,reported
wind,CAN,2023,0.0501939438218226,1454.1580407027554,424.5368247624041,1108.3925182701926,1029.6212159403512,1532.9293430325963,943.12808,0.5902443176116652,-0.2643524831740681,0.0,excluded_for_wind,False,313.915741212284,478.2093494525315,0.0,66.77779690522618,0.0,858.9028875700417,2391.8322306026384,1454.1580407027554,False,reported
wind,CAN,2024,0.0501939438218226,1237.5279556276118,560.3421311843513,1077.6013681507616,677.1858244432606,1637.9434993351128,1049.19276,0.5598405673329274,-0.2643524831740681,0.0,excluded_for_wind,False,195.75483737839164,297.920390174426,0.0,90.09293192675418,0.0,583.7681594795719,2221.7116588146846,1237.5279556276118,False,reported
wind,DEU,2010,0.1021805284944246,2704.819128610142,2111.75018936582,730.8646030881091,593.0689392443223,2842.6147924539287,177.71164000000002,0.9331638040141884,0.2020092160890111,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,2842.6147924539287,2704.819128610142,False,reported
wind,DEU,2011,0.1021805284944246,2704.819128610142,1922.1958468953924,760.4220000748554,782.6232817147495,2682.617846970248,216.24613,0.8685660178057291,0.2020092160890111,0.0,excluded_for_wind,False,0.1934091627996179,-0.1668641958369783,0.0183873374871506,63.02569191184293,0.0,63.07062421629272,2745.6884711865405,2704.819128610142,False,reported
wind,DEU,2012,0.1021805284944246,2457.322731337371,1700.2150388587406,790.0936927671297,757.1076924786303,2490.30873162587,261.36127,0.8334319771249964,0.2020092160890111,0.0,excluded_for_wind,False,1.1131612525052506,4.953246277734976,0.0524586580530509,80.81111536781901,0.0,86.9299815561123,2577.2387131819823,2457.322731337371,False,reported
wind,DEU,2013,0.1021805284944246,2427.545592608569,1643.0450309872965,808.1399322123634,784.5005616212729,2451.18496319966,292.27612,0.7998293873615128,0.2020092160890111,0.0,excluded_for_wind,False,0.7188452195717809,1.3499730615550172,0.0266277835232887,112.60807064925592,0.0,114.703516713906,2565.888479913566,2427.545592608569,False,reported
wind,DEU,2014,0.1021805284944246,2394.891197421886,1537.1861962341984,833.5287660599712,857.7050011876875,2370.7149622941697,340.63979000000006,0.7694570854450093,0.2020092160890111,0.0,excluded_for_wind,False,0.4326152656274262,-0.6671070913642713,0.0,133.24759142276204,0.0,133.0130995970252,2503.728061891195,2394.891197421886,False,reported
wind,DEU,2015,0.1021805284944246,2350.285901628808,1421.515833372084,862.8596490621951,928.770068256724,2284.375482434279,404.24651,0.7214741816818653,0.2020092160890111,0.0,excluded_for_wind,False,0.6787172964180767,-0.0867737068014469,0.0,168.8294824800059,0.0,169.42142606962253,2453.7969085039017,2350.285901628808,False,reported
wind,DEU,2016,0.1021805284944246,2305.478060177636,1348.1641399818948,882.7354819415536,957.3139201957412,2230.8996219234486,452.48745,0.7146964186520532,0.2020092160890111,0.0,excluded_for_wind,False,0.5213408604138081,-0.7882211172571352,0.0,163.55527722880947,0.0,163.28839697196614,2394.188018895414,2305.478060177636,False,reported
wind,DEU,2017,0.1021805284944246,2305.1190969879626,1274.9917666412082,899.1445146610314,1030.1273303467544,2174.13628130224,495.6822,0.710261574855825,0.2020092160890111,0.0,excluded_for_wind,False,0.5747964219094094,-0.7175790733745862,0.0,153.74743802051873,0.0,153.60465536905355,2327.740936671293,2305.1190969879626,False,reported
wind,DEU,2018,0.1021805284944246,2267.184611637869,1240.4728193870562,914.64245293162,1026.7117922508126,2155.115272318676,539.4404499999999,0.6995445558448573,0.2020092160890111,0.0,excluded_for_wind,False,0.4611820488960911,-1.1132092333411587,0.0,159.77605964671304,0.0,159.12403246226796,2314.239304780944,2267.184611637869,False,reported
wind,DEU,2019,0.1021805284944246,2098.5998414809087,1146.7108688765209,932.6966552646912,951.8889726043878,2079.407524141212,594.24654,0.6876345464291639,0.2020092160890111,0.0,excluded_for_wind,False,13.78695969868096,32.93577067497005,0.0,155.30861360380163,0.0,202.03134397745265,2281.4388681186647,2098.5998414809087,False,reported
wind,DEU,2020,0.1021805284944246,2089.1128870850494,1037.4798723154056,963.6087152789852,1051.6330147696438,2001.088587594391,698.33524,0.6349287915070704,0.2020092160890111,0.0,excluded_for_wind,False,28.3035886082498,63.6099756618712,0.0,185.62345349410936,0.0,277.5370177642304,2278.625605358621,2089.1128870850494,False,reported
wind,DEU,2021,0.1021805284944246,1944.2419851493808,870.7437759227737,982.6270260633048,1073.498209226607,1853.3708019860787,769.27527,0.6301816773597831,0.2020092160890111,0.0,excluded_for_wind,False,97.17591527344052,213.9677295264929,-0.1037914837769867,163.19468981356684,0.0,474.2345431297233,2327.6053451158023,1944.2419851493808,False,reported
wind,DEU,2022,0.1021805284944246,2011.739426286796,925.1043294468158,1000.1901736345326,1086.6350968399802,1925.2945030813485,839.7858299999999,0.622067819362944,0.2020092160890111,0.0,excluded_for_wind,False,46.515017270828736,92.12861020916732,-1.6083930367722972,171.8378629613781,0.0,308.8730974046019,2234.1676004859505,2011.739426286796,False,reported
wind,DEU,2023,0.1021805284944246,1791.825824693949,941.4309919416092,1023.9158807847728,850.3948327523399,1965.346872726382,943.12808,0.5902443176116652,0.2020092160890111,0.0,excluded_for_wind,False,1.095445845200884,-0.0565905192182396,-0.0433285727954074,197.14316905212823,0.0,198.1386958053155,2163.485568531697,1791.825824693949,False,reported
wind,DEU,2024,0.1021805284944246,1669.527372030262,875.537730004671,1046.1987495440808,793.9896420255911,1921.736479548752,1049.19276,0.5598405673329274,0.2020092160890111,0.0,excluded_for_wind,False,8.594821462017496,13.754141332085515,-0.1871634799116703,207.86717669094747,0.0,230.0289760051388,2151.7654555538907,1669.527372030262,False,reported
wind,ESP,2010,0.0524156233828885,2917.3316496399493,1778.0769246231569,1415.202627722767,1139.2547250167925,3193.2795523459235,177.71164000000002,0.9331638040141884,-0.5083763749600175,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,3193.2795523459235,2917.3316496399493,False,reported
wind,ESP,2011,0.0524156233828885,2838.1110057057613,1584.1913076390288,1280.821038411021,1253.9196980667325,2865.01234605005,216.24613,0.8685660178057291,-0.5083763749600175,0.0,excluded_for_wind,False,0.3837824566807165,-0.1735781888111267,0.0364760794454253,11.50741721301764,0.0,11.754097560332657,2876.766443610383,2838.1110057057613,False,reported
wind,ESP,2012,0.0524156233828885,2489.7916665030607,1274.3521750855318,1163.1954442529536,1215.4394914175289,2437.5476193384857,261.36127,0.8334319771249964,-0.5083763749600175,0.0,excluded_for_wind,False,33.51200626492823,144.622714373039,1.5565195918601786,10.222707817444746,0.0,189.91394804727216,2627.461567385758,2489.7916665030607,False,reported
wind,ESP,2013,0.0524156233828885,2478.4744316553188,1313.9247644918669,1098.9298018203383,1164.549667163452,2412.854566312205,292.27612,0.7998293873615128,-0.5083763749600175,0.0,excluded_for_wind,False,8.417353281274686,26.45265894538714,0.301900008366412,14.385175502395915,0.0,49.55708773742416,2462.4116540496293,2478.4744316553188,False,reported
wind,ESP,2014,0.0524156233828885,2087.660762101033,1230.136489703782,1016.6275710217546,857.524272397251,2246.7640607255366,340.63979000000006,0.7694570854450093,-0.5083763749600175,0.0,excluded_for_wind,False,1.6373545272904015,1.3149117284533238,0.0,14.19009957815942,0.0,17.142365833903146,2263.90642655944,2087.660762101033,False,reported
wind,ESP,2015,0.0524156233828885,1974.0001131302856,1130.473136554495,931.8878323154838,843.5269765757903,2062.360968869979,404.24651,0.7214741816818653,-0.5083763749600175,0.0,excluded_for_wind,False,1.669090741306304,0.6504212456361663,0.0,17.439407941643488,0.0,19.75891992858596,2082.1198887985647,1974.0001131302856,False,reported
wind,ESP,2016,0.0524156233828885,1944.6505362263824,1085.40331935218,879.9812165852829,859.2472168742024,1965.384535937463,452.48745,0.7146964186520532,-0.5083763749600175,0.0,excluded_for_wind,False,10.249813935762097,18.35796308918924,0.0,26.306458392472088,0.0,54.91423541742342,2020.2987713548864,1944.6505362263824,False,reported
wind,ESP,2017,0.0524156233828885,2134.4262580278214,1055.3854099515836,840.1238848528548,1079.0408480762378,1895.5092948044385,495.6822,0.710261574855825,-0.5083763749600175,0.0,excluded_for_wind,False,1.3359142912073536,-0.5392059085002596,0.0,25.94324361949252,0.0,26.73995200219961,1922.249246806638,2134.4262580278214,False,reported
wind,ESP,2018,0.0524156233828885,2785.848293599864,1007.4696711386296,804.7583466317225,1778.3786224612345,1812.228017770352,539.4404499999999,0.6995445558448573,-0.5083763749600175,0.0,excluded_for_wind,False,9.548470351452863,14.47242360120824,0.0,28.14550451079924,0.0,52.16639846346035,1864.3944162338123,2785.848293599864,False,reported
wind,ESP,2019,0.0524156233828885,1848.056275124011,949.4835708386136,766.1290172852874,898.5727042853974,1715.612588123901,594.24654,0.6876345464291639,-0.5083763749600175,0.0,excluded_for_wind,False,22.09236156205569,35.34833959673487,0.0,30.079900689634457,0.0,87.52060184842502,1803.133189972326,1848.056275124011,False,reported
wind,ESP,2020,0.0524156233828885,1450.2230865567224,875.8118270380786,705.7747260058753,574.4112595186438,1581.586553043954,698.33524,0.6349287915070704,-0.5083763749600175,0.0,excluded_for_wind,False,19.818440949013265,28.337534469632857,0.0,35.54528243735583,0.0,83.70125785600194,1665.287810899956,1450.2230865567224,False,reported
wind,ESP,2021,0.0524156233828885,1330.7665242650544,731.3449845394781,671.9009244719164,599.4215397255763,1403.2459090113944,769.27527,0.6301816773597831,-0.5083763749600175,0.0,excluded_for_wind,False,86.56043333549474,121.95139876144351,-0.0926788635048594,21.98607690428321,0.0,230.4052301377166,1633.651139149111,1330.7665242650544,False,reported
wind,ESP,2022,0.0524156233828885,1230.4390450051137,725.430248636965,642.603111449174,505.0087963681488,1368.033360086139,839.7858299999999,0.622067819362944,-0.5083763749600175,0.0,excluded_for_wind,False,74.67723391978353,95.97954096530962,-2.58499181903144,23.429465727919464,0.0,191.5012487939812,1559.5346088801202,1230.4390450051137,False,reported
wind,ESP,2023,0.0524156233828885,1185.8472461907195,780.8195342956693,605.7864714655723,405.0277118950502,1386.6060057612417,943.12808,0.5902443176116652,-0.5083763749600175,0.0,excluded_for_wind,False,3.5137402066973538,1.6784770628171526,-0.1287562655314336,35.08438210182027,0.0,40.14784310580334,1426.753848867045,1185.8472461907195,False,reported
wind,ESP,2024,0.0524156233828885,1398.8328190572436,704.3477312453125,573.8383489698434,694.4850878119311,1278.186080215156,1049.19276,0.5598405673329274,-0.5083763749600175,0.0,excluded_for_wind,False,35.37341494384624,40.59406538071384,-0.7578177594740783,31.940142069510014,0.0,107.14980463459602,1385.335884849752,1398.8328190572436,False,reported
wind,FRA,2010,0.0452988392052943,2950.0624683907927,1968.843489066251,807.8512668513363,981.2189793245416,2776.694755917588,177.71164000000002,0.9331638040141884,0.2520769073090383,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,2776.694755917588,2950.0624683907927,False,reported
wind,FRA,2011,0.0452988392052943,2644.948773343461,1803.593619802517,848.8218444253614,841.3551535409442,2652.415464227878,216.24613,0.8685660178057291,0.2520769073090383,0.0,excluded_for_wind,False,1.4359771484449466,8.88629698988525,0.1347419433225182,39.48362785239466,0.0,49.94064393404738,2702.356108161925,2644.948773343461,False,reported
wind,FRA,2012,0.0452988392052943,2400.053077507022,1562.9963202819724,890.3498385030584,837.0567572250495,2453.34615878503,261.36127,0.8334319771249964,0.2520769073090383,0.0,excluded_for_wind,False,6.203544640581052,28.99296446425481,0.2904093616500339,48.51192740098038,0.0,83.99884586746629,2537.3450046524968,2400.053077507022,False,reported
wind,FRA,2013,0.0452988392052943,2262.0084106773293,1424.5039292118086,915.7976987457748,837.5044814655207,2340.301627957584,292.27612,0.7998293873615128,0.2520769073090383,0.0,excluded_for_wind,False,19.612913981746377,83.15864892800447,0.7020316206207681,61.67326762355268,0.0,165.1468621539243,2505.448490111508,2262.0084106773293,False,reported
wind,FRA,2014,0.0452988392052943,2137.2782742110044,1412.2357781286764,951.8383027926492,725.042496082328,2364.0740809213257,340.63979000000006,0.7694570854450093,0.2520769073090383,0.0,excluded_for_wind,False,1.756385448864088,-0.4153970140857408,0.0,79.20658883989634,0.0,80.5475772746747,2444.621658196,2137.2782742110044,False,reported
wind,FRA,2015,0.0452988392052943,2131.6884264783607,1265.4926011811742,993.8144860809676,866.1958252971865,2259.307087262142,404.24651,0.7214741816818653,0.2520769073090383,0.0,excluded_for_wind,False,18.604097408255605,49.0787475578268,0.0,98.60124031306344,0.0,166.28408527914584,2425.591172541288,2131.6884264783607,False,reported
wind,FRA,2016,0.0452988392052943,2109.213578229046,1240.429921415068,1022.4617579714763,868.783656813978,2262.8916793865446,452.48745,0.7146964186520532,0.2520769073090383,0.0,excluded_for_wind,False,2.738521108660846,0.7747041623973483,0.0,98.3675079139146,0.0,101.8807331849728,2364.7724125715176,2109.213578229046,False,reported
wind,FRA,2017,0.0452988392052943,2402.662458269312,1183.63001414796,1046.2332274474145,1219.032444121352,2229.8632415953743,495.6822,0.710261574855825,0.2520769073090383,0.0,excluded_for_wind,False,2.1361599316143103,-1.1752058048440828,0.0,92.76307636456346,0.0,93.72403049133368,2323.5872720867083,2402.662458269312,False,reported
wind,FRA,2018,0.0452988392052943,2320.5563744430056,882.4999124519697,1068.7837965895824,1438.0564619910358,1951.283709041552,539.4404499999999,0.6995445558448573,0.2520769073090383,0.0,excluded_for_wind,False,120.78379376572477,263.4934962009431,0.0,70.48718028759151,0.0,454.7644702542594,2406.048179295812,2320.5563744430056,False,reported
wind,FRA,2019,0.0452988392052943,2101.797854337148,713.5315060952424,1095.173502029492,1388.2663482419052,1808.7050081247344,594.24654,0.6876345464291639,0.2520769073090383,0.0,excluded_for_wind,False,190.50164713995645,380.5454010282051,0.0,59.787970366635015,0.0,630.8350185347966,2439.540026659531,2101.797854337148,False,reported
