technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct
wind,AUS,Australia,2010,2024,Shapley,2762.5064308935325,653.8197895305243,69.85557410226619,6.370106043105888,0.1907739893239264,0.0,730.2362436652204,2032.2701872283126,-6.370106043105888,-0.008328056130293273,0.0,23.66762959241497,2.5287026781570754,0.2305915371587199,0.006905829691126568,0.0,26.433829637421894
wind,AUS,Australia,2010,2024,SDA,2762.5064308935325,597.0879961478352,81.9940765358562,9.211098550816617,0.3219981022130923,0.0,688.615169336721,2073.8912615568115,-9.211098550816617,-0.016603132859047926,-32.57105667783294,21.613994793659433,2.9681044582884546,0.3334326554974675,0.011656012764789909,0.0,24.927187920210145
wind,BRA,Brazil,2010,2024,Shapley,1799.196779698392,408.0222024547836,390.39522540069447,7.464545924920044,12.702593643064004,0.0,818.5845674234621,980.6122122749298,-7.464545924920044,14.121567209558084,0.0,22.678019828558295,21.698306144486224,0.4148821301342792,0.7060146942455844,0.0,45.497222797424385
wind,BRA,Brazil,2010,2024,SDA,1799.196779698392,36.09813083581048,525.0643575852088,1.2280341993654709,24.057293482878663,0.0,586.4478161032633,1212.7489635951285,-1.2280341993654709,34.68156109379125,-374.97838306211446,2.006347012351911,29.18326463841425,0.06825457966700742,1.3371129692057087,0.0,32.59497919963887
wind,CAN,Canada,2010,2024,Shapley,1970.2411215219868,195.7548373783916,297.92039017442573,0.0,90.09293192675436,0.0,583.7681594795716,1386.4729620424148,-0.0,0.0,0.0,9.935577693514661,15.121011683295187,0.0,4.572685593789591,0.0,29.629274970599436
wind,CAN,Canada,2010,2024,SDA,1970.2411215219868,0.9223486896245,351.079026366895,0.0,137.3247063489011,0.0,489.3260814054206,1480.9150401165657,-0.0,0.0,-68.27253624281298,0.04681400055806353,17.81908937600951,0.0,6.969944178346022,0.0,24.8358475549136
wind,DEU,Germany,2010,2024,Shapley,1035.2917565798798,8.594821462017432,13.754141332085483,-0.18716347991166882,207.86717669094773,0.0,230.028976005139,805.2627805747408,0.18716347991166882,-4.860774354425759,0.0,0.8301835117871222,1.328528044840494,-0.018078331902300612,20.07812535643515,0.0,22.21875858116047
wind,DEU,Germany,2010,2024,SDA,1035.2917565798798,1.1360960868938763,17.4429981022871,-0.047145152553391655,214.19108205967188,0.0,232.72303109629948,802.5687254835806,0.047145152553391655,-7.009018139018652,16.81850273642813,0.10973680411085343,1.6848388863744665,-0.004553803529657882,20.6889585180567,0.0,22.478980405012365
wind,ESP,Spain,2010,2024,Shapley,1518.4988305827058,35.373414943846214,40.59406538071378,-0.7578177594740775,31.94014206951004,0.0,107.14980463459597,1411.3490259481105,0.7578177594740775,-3.673763796653176,0.0,2.3294989914659396,2.673302380162933,-0.04990571900429281,2.103402480544117,0.0,7.056298133168697
wind,ESP,Spain,2010,2024,SDA,1518.4988305827058,2.2272478732286154,51.18979445063317,-0.09242522878911093,43.598448886891816,0.0,96.9230659819645,1421.5757646007414,0.09242522878911093,-5.688802971832545,-70.724234940827,0.1466743225856773,3.371078951110532,-0.006086618371226789,2.871154590890362,0.0,6.382821246215345
wind,FRA,France,2010,2024,Shapley,1089.5794531686884,64.72033005430355,86.18964609122969,-1.3841516684459279,75.01851907990284,0.0,224.54434355699016,865.0351096116983,1.3841516684459279,-12.323180627507194,0.0,5.939936722015587,7.910358977546344,-0.1270354047536939,6.885089367437668,0.0,20.608349662245907
wind,FRA,France,2010,2024,SDA,1089.5794531686884,3.609068094527688,122.56350175036852,-0.14976731973197985,128.86693424132935,0.0,254.88973676649357,834.689716402195,0.14976731973197985,-19.595195500105252,-206.62864803447724,0.3312349626300206,11.24869796268022,-0.013745424374186774,11.827217727588536,0.0,23.393405228524593
wind,GBR,United Kingdom,2010,2024,Shapley,721.0565960692702,5.178172520574774,2.3292730908034947,0.058315609845529644,127.67697158423958,0.0,135.2427328054634,585.813863263807,-0.058315609845529644,13.861273202233724,0.0,0.7181367660739517,0.3230360977905439,0.008087521862143454,17.706927900008274,0.0,18.756188285734915
wind,GBR,United Kingdom,2010,2024,SDA,721.0565960692702,3.7843159561858193,2.88178387551268,0.0698184139534826,140.75913674368786,0.0,147.49505498933985,573.5615410799306,-0.0698184139534826,19.521298137240468,25.06320617089729,0.5248292542936905,0.3996612597710477,0.009682792492862143,19.521232800728097,0.0,20.455406107285697
wind,IND,India,2010,2024,Shapley,497.0171557991782,223.21547776415247,155.02725304675332,0.0,6.653459936893948,0.0,384.8961907477997,112.12096505137843,-0.0,0.0,0.0,44.91102070817522,31.19152955544913,0.0,1.3386781239362904,0.0,77.44122838756064
wind,IND,India,2010,2024,SDA,497.0171557991782,72.95303782971341,187.37667758791903,0.0,13.306919873787896,0.0,273.6366352914203,223.3805205077582,-0.0,0.0,-90.1359622907078,14.678172972200255,37.700243422508606,0.0,2.6773562478725808,0.0,55.05577264258144
wind,ITA,Italy,2010,2024,Shapley,1634.4450235538238,68.21005488596838,72.76882520802275,-1.4680959906707964,7.9016951144186995,0.0,147.412479217739,1487.032544336085,1.4680959906707964,-7.307427923505716,0.0,4.173285360045771,4.452203907709252,-0.08982229255277552,0.48344820416399215,0.0,9.019115179366237
wind,ITA,Italy,2010,2024,SDA,1634.4450235538238,5.629741484873493,89.3691386209895,-0.2336202229744244,15.509290508782549,0.0,110.27455039167111,1524.170473162153,0.2336202229744244,-11.47276459450653,-41.7364076308017,0.3444436125867711,5.467858345377164,-0.014293550386078865,0.9489025501182183,0.0,6.746910957696073
