technology,iso3,country,start_year,end_year,method,total_decline,P_direct,S_share,T_cn_tariff,K_spillover,G_other,cn_related_net,remainder,cn_tariff_cost_increase,other_origin_tariff,SDA_interactions,P_pct,S_pct,T_pct,K_pct,G_pct,net_pct,net_additions_2024_mw,common_window,negative_initial_balance,weight
wind,AUS,Australia,2010,2024,Shapley,2762.5064308935325,653.8197895305242,69.85557410226649,6.370106043105888,0.1907739893239382,0.0,730.2362436652205,2032.270187228312,-6.370106043105888,-0.0083280561302935,0.0,23.667629592414965,2.528702678157086,0.2305915371587199,0.0069058296911269,0.0,26.4338296374219,2655.0,True,False,0.10576581019598344
wind,BRA,Brazil,2010,2024,Shapley,1799.196779698392,408.0222024547836,390.3952254006954,7.464545924920046,12.702593643064,0.0,818.584567423463,980.612212274929,-7.464545924920046,14.121567209558089,0.0,22.67801982855829,21.69830614448628,0.4148821301342794,0.7060146942455843,0.0,45.49722279742443,3807.310000000001,True,False,0.15166976527957432
wind,CAN,Canada,2010,2024,Shapley,1970.2411215219868,195.75483737839164,297.920390174426,0.0,90.09293192675418,0.0,583.7681594795719,1386.472962042415,-0.0,0.0,0.0,9.935577693514665,15.1210116832952,0.0,4.572685593789582,0.0,29.629274970599447,1260.0,True,False,0.05019394382182265
wind,DEU,Germany,2010,2024,Shapley,1035.2917565798798,8.594821462017496,13.754141332085515,-0.1871634799116703,207.86717669094747,0.0,230.0289760051388,805.262780574741,0.1871634799116703,-4.860774354425763,0.0,0.8301835117871286,1.328528044840497,-0.0180783319023007,20.078125356435127,0.0,22.21875858116045,2565.0,True,False,0.10218052849442469
wind,ESP,Spain,2010,2024,Shapley,1518.4988305827058,35.37341494384624,40.59406538071384,-0.7578177594740783,31.940142069510014,0.0,107.14980463459602,1411.3490259481098,0.7578177594740783,-3.673763796653183,0.0,2.3294989914659414,2.673302380162937,-0.0499057190042928,2.103402480544115,0.0,7.056298133168701,1315.7700000000004,True,False,0.05241562338288858
wind,FRA,France,2010,2024,Shapley,1089.5794531686884,64.72033005430357,86.18964609122976,-1.3841516684459283,75.01851907990276,0.0,224.54434355699016,865.0351096116982,1.3841516684459283,-12.323180627507195,0.0,5.93993672201559,7.91035897754635,-0.1270354047536939,6.8850893674376605,0.0,20.608349662245907,1137.119999999999,True,False,0.045298839205294386
wind,GBR,United Kingdom,2010,2024,Shapley,721.0565960692702,5.178172520574777,2.3292730908035018,0.0583156098455296,127.67697158423944,0.0,135.24273280546325,585.813863263807,-0.0583156098455296,13.861273202233733,0.0,0.7181367660739522,0.3230360977905449,0.0080875218621434,17.706927900008257,0.0,18.756188285734897,812.0999999999985,True,False,0.03235119188706516
wind,IND,India,2010,2024,Shapley,497.0171557991782,223.21547776415247,155.02725304675343,0.0,6.653459936893951,0.0,384.89619074779984,112.1209650513784,-0.0,0.0,0.0,44.91102070817522,31.19152955544915,0.0,1.3386781239362908,0.0,77.44122838756067,3426.920000000005,True,True,0.13651637298561964
wind,ITA,Italy,2010,2024,Shapley,1634.4450235538238,68.2100548859684,72.76882520802288,-1.468095990670797,7.901695114418714,0.0,147.4124792177392,1487.0325443360846,1.468095990670797,-7.307427923505722,0.0,4.173285360045772,4.45220390770926,-0.0898222925527755,0.483448204163993,0.0,9.01911517936625,652.8600000000006,True,False,0.026007633463107274
wind,POL,Poland,2010,2024,Shapley,1291.3669738725714,17.707251663973985,18.23053606116351,-0.3963491672349576,73.17669183408535,0.0,108.71813039198788,1182.6488434805835,0.3963491672349576,-12.235265488963654,0.0,1.3712021464257524,1.4117238887172012,-0.0306922180336066,5.666607038481242,0.0,8.41884085559059,808.4300000000003,True,False,0.032204992066568336
wind,SWE,Sweden,2010,2024,Shapley,1000.3444573012288,107.87004869313635,149.6822696385949,-2.2824688632392105,78.32564982835399,0.0,333.595499296846,666.7489580043829,2.2824688632392105,-11.099392756878284,0.0,10.7832904861744,14.963072824176384,-0.2281682920898018,7.829867927660058,0.0,33.34806294592104,595.0,True,False,0.023702695693638476
wind,TUR,Turkey,2010,2024,Shapley,1454.6514714419732,128.84560883258646,211.839077249595,-1.239721088591595,103.2688000673168,0.0,442.71376506090667,1011.9377063810664,1.239721088591595,0.0,0.0,8.85749001476373,14.562875122217577,-0.0852246131069924,7.099212567045223,0.0,30.434353090919537,1064.7200000000012,True,False,0.0424146792587072
wind,USA,United States,2010,2024,Shapley,1282.1144403540648,4.390918866429691,-2.607945845228014,-1.484122219746568,88.40630941404947,0.0,88.70516021550458,1193.4092801385602,1.484122219746568,-0.189341806330099,0.0,0.342474800082363,-0.2034097552561542,-0.1157558306056296,6.895352445264984,0.0,6.918661659485564,5002.399999999994,True,False,0.19927792426530583
