iso3,year,price,source,scope,period,raw_value,raw_unit,conversion,source_location,Q_global_gw,material,logQ,logM,eligible,logP
JPN,2016,2.2741789197815065,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,2.2741789197815065,2024 USD/W,1.0,JPN__national_market_proxy,291.30835,18.71342035548105,5.674382328161501,2.929240932529897,True,0.8216190728758879
KOR,2016,0.5227997516739096,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,0.5227997516739096,2024 USD/W,1.0,KOR__national_market_proxy,291.30835,18.71342035548105,5.674382328161501,2.929240932529897,True,-0.6485567722247049
CHN,2017,0.405340532042003,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.405340532042003,2024 USD/W,1.0,CHN__china_domestic_typical,384.35013,18.018689295039167,5.951553934028465,2.891409513410439,True,-0.903027745309794
USA,2017,0.4510470991284264,NREL Q1 2020 vintage historical series,utility module component,Q1,0.367604054403808,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!I4,384.35013,18.018689295039167,5.951553934028465,2.891409513410439,True,-0.7961835122749041
DEU,2017,0.7377351564931761,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.510109090909091,nominal EUR/Wp; digitized,1.4462301684889036,"PDF p9, original image year 2017; 2006 anchor 3306.6 EUR/kWp",384.35013,18.018689295039167,5.951553934028465,2.891409513410439,True,-0.3041703853300829
JPN,2017,1.4333048302872065,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.4333048302872065,2024 USD/W,1.0,JPN__national_market_proxy,384.35013,18.018689295039167,5.951553934028465,2.891409513410439,True,0.359982847987546
KOR,2017,0.5758814050261097,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,0.5758814050261097,2024 USD/W,1.0,KOR__national_market_proxy,384.35013,18.018689295039167,5.951553934028465,2.891409513410439,True,-0.5518535335372289
CHN,2018,0.341954784931793,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.341954784931793,2024 USD/W,1.0,CHN__china_domestic_typical,478.49221,19.23805628676222,6.17063993071869,2.956890415537674,True,-1.0730767584615286
USA,2018,0.5925711414843069,NREL Q1 2020 vintage historical series,utility module component,Q1,0.4829463587134183,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!J4,478.49221,19.23805628676222,6.17063993071869,2.956890415537674,True,-0.5232843431649703
DEU,2018,0.6588989601407658,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.4463454545454545,nominal EUR/Wp; digitized,1.4762085139004488,"PDF p9, original image year 2018; 2006 anchor 3306.6 EUR/kWp",478.49221,19.23805628676222,6.17063993071869,2.956890415537674,True,-0.4171850792381934
JPN,2018,1.4990693210464066,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.4990693210464066,2024 USD/W,1.0,JPN__national_market_proxy,478.49221,19.23805628676222,6.17063993071869,2.956890415537674,True,0.4048444629120449
KOR,2018,,,,,,,,,478.49221,19.23805628676222,6.17063993071869,2.956890415537674,False,
CHN,2019,0.2984415804150787,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.2984415804150787,2024 USD/W,1.0,CHN__china_domestic_typical,580.10487,12.26991633321208,6.363208897541072,2.5071504398904505,True,-1.2091810758055288
USA,2019,0.4837505808148535,NREL Q1 2020 vintage historical series,utility module component,Q1,0.3942574404565765,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!K4,580.10487,12.26991633321208,6.363208897541072,2.5071504398904505,True,-0.7261858339880062
DEU,2019,0.5504965692833758,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.4008,nominal EUR/Wp; digitized,1.37349443433976,"PDF p9, original image year 2019; 2006 anchor 3306.6 EUR/kWp",580.10487,12.26991633321208,6.363208897541072,2.5071504398904505,True,-0.5969345548399554
JPN,2019,1.926376864314296,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,1.926376864314296,2024 USD/W,1.0,JPN__national_market_proxy,580.10487,12.26991633321208,6.363208897541072,2.5071504398904505,True,0.6556409662566212
KOR,2019,0.4601218624954528,previous IEA-PVPS domestic quote,national_market_proxy,annual reported quote,0.4601218624954528,2024 USD/W,1.0,KOR__national_market_proxy,580.10487,12.26991633321208,6.363208897541072,2.5071504398904505,True,-0.7762639061153219
CHN,2020,0.2757864282538956,previous IEA-PVPS domestic quote,china_domestic_typical,annual reported quote,0.2757864282538956,2024 USD/W,1.0,CHN__china_domestic_typical,710.6335,12.120389009740702,6.566156825734936,2.4948890766393457,True,-1.2881285234852962
USA,2020,0.4615677068385029,NREL Q1 2020 vintage historical series,utility module component,Q1,0.3761783652828475,2019 USD/Wdc,1.2269916333212076,Figures ES-1 and ES-2!L4,710.6335,12.120389009740702,6.566156825734936,2.4948890766393457,True,-0.7731265254241907
DEU,2020,0.6046700765600451,Fraunhofer 2026 report Figure 5 / BSW,10-100 kWp rooftop module component,Q4 (annual average FX used),0.4372363636363636,nominal EUR/Wp; digitized,1.382936386011414,"PDF p9, original image year 2020; 2006 anchor 3306.6 EUR/kWp",710.6335,12.120389009740702,6.566156825734936,2.4948890766393457,True,-0.5030722976966139
JPN,2020,,,,,,,,,710.6335,12.120389009740702,6.566156825734936,2.4948890766393457,False,
KOR,2020,,,,,,,,,710.6335,12.120389009740702,6.566156825734936,2.4948890766393457,False,
