model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,R2,adjusted_R2,RMSE_log,max_VIF,VIF_G,VIF_Q,VIF_M,joint_F_HAC,joint_p_HAC,outcome,inference
pv_DEU_2024_A,pv,DEU,Germany,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9764817980391276,0.9700677429588896,0.0877543323472063,34.82504363842123,28.670656092885146,34.82504363842123,2.606332927555287,663.1497052198137,1.049575874347791e-12,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2024_B,pv,DEU,Germany,2024,B,ln(1+G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9737835553662059,0.9694141479272401,0.0926517028546594,24.252274489840957,24.25227448984083,24.252274489840957,,383.0120264515621,1.3462612170065138e-11,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2024_C,pv,DEU,Germany,2024,C,ln(G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9764818337560116,0.970067788416742,0.08775426571131911,34.825653674405366,28.6711944075717,34.825653674405366,2.6063367574134286,663.1493728098532,1.0495787508214351e-12,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2024_D,pv,DEU,Germany,2024,D,ln(G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9737836199442691,0.969414223268314,0.0926515887417182,24.25269420789404,24.25269420789404,24.25269420789404,,383.01401702613117,1.3462198848342544e-11,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2024_A,pv,IND,India,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9744441535986172,0.967474377307331,0.11884293128040824,34.82504363842123,28.670656092885146,34.82504363842123,2.606332927555287,175.7457625349804,1.4258823984013636e-09,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2024_B,pv,IND,India,2024,B,ln(1+G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9697504694623228,0.9647088810393766,0.1292967295959979,24.252274489840957,24.25227448984083,24.252274489840957,,185.325312092001,9.51202361327377e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2024_C,pv,IND,India,2024,C,ln(G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9744441547029684,0.9674743787128689,0.11884292871261334,34.825653674405366,28.6711944075717,34.825653674405366,2.6063367574134286,175.7463075700989,1.4258586125550905e-09,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2024_D,pv,IND,India,2024,D,ln(G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9697504388451759,0.9647088453193718,0.12929679503000474,24.25269420789404,24.25269420789404,24.25269420789404,,185.32535600022766,9.512010515505942e-10,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2024_A,pv,JPN,Japan,2024,A,ln(1+G),True,14,10,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9544474511545132,0.9407816865008672,0.07745191092590556,31.456388149784626,27.440787198837413,31.456388149784626,1.9825929022610091,77.24818263426442,3.2217391421931784e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2024_B,pv,JPN,Japan,2024,B,ln(1+G),False,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9520660205815082,0.943350751596328,0.0794506653698986,24.02495080876855,24.02495080876855,24.024950808768487,,106.9445181779716,6.192046499832585e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2024_C,pv,JPN,Japan,2024,C,ln(G),True,14,10,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9544474111046023,0.940781634435983,0.07745194497385167,31.456846688275363,27.441200477423482,31.456846688275363,1.9825958405389508,77.24791729353639,3.221791996332994e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_JPN_2024_D,pv,JPN,Japan,2024,D,ln(G),False,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9520659374204457,0.9433506533150722,0.07945073428968132,24.02527703595581,24.02527703595581,24.025277035955682,,106.94394730617584,6.192219403563107e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2024_A,pv,KOR,Republic of Korea,2024,A,ln(1+G),True,14,10,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9170243507134384,0.8921316559274699,0.1490416311006358,31.456388149784626,27.440787198837413,31.456388149784626,1.9825929022610091,33.93381469741778,1.4908219339005734e-05,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2024_B,pv,KOR,Republic of Korea,2024,B,ln(1+G),False,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9166301218188136,0.9014719621495071,0.14939527035011782,24.02495080876855,24.02495080876855,24.024950808768487,,51.39852720082097,2.6238509131946678e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2024_C,pv,KOR,Republic of Korea,2024,C,ln(G),True,14,10,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9170240280239585,0.8921312364311461,0.1490419209092729,31.456846688275363,27.441200477423482,31.456846688275363,1.9825958405389508,33.933646642819774,1.4908552772741744e-05,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_KOR_2024_D,pv,KOR,Republic of Korea,2024,D,ln(G),False,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9166297911185577,0.9014715713219318,0.14939556665020973,24.02527703595581,24.02527703595581,24.025277035955682,,51.39814472820394,2.623947921887978e-06,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2024_A,pv,USA,United States,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9671081255221609,0.958137614300932,0.10758062265500135,34.82504363842123,28.670656092885146,34.82504363842123,2.606332927555287,128.03257803642362,7.783508004979764e-09,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2024_B,pv,USA,United States,2024,B,ln(1+G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9596931523644164,0.9529753444251525,0.11909105930344595,24.252274489840957,24.25227448984083,24.252274489840957,,95.07361771635155,4.3760335051014644e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2024_C,pv,USA,United States,2024,C,ln(G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9671081385621884,0.9581376308973306,0.1075806013297586,34.825653674405366,28.6711944075717,34.825653674405366,2.6063367574134286,128.0322199369119,7.78362415210634e-09,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_USA_2024_D,pv,USA,United States,2024,D,ln(G),False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9596931521681448,0.9529753441961689,0.11909105959339909,24.25269420789404,24.25269420789404,24.25269420789404,,95.07366071970704,4.3760223340056733e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
