iso3,country,year,tic,G_global,logC,logQ,logG,logM,source_sheet,source_cell,model_id,spec,fit_end,fitted_log_cost,residual
IND,India,2015,1547.763572844863,45982.21859000001,7.344566311764775,5.39300057712095,10.736010048349293,3.164990795937875,Figure 3.3,H11,pv_IND_2022_D,D,2022,7.443052620875333,-0.09848630911055789
IND,India,2016,1332.2464239123133,48058.99673100001,7.194621836926574,5.674382328161501,10.780184633729247,2.929240932529897,Figure 3.3,I11,pv_IND_2022_D,D,2022,7.232935878068551,-0.038314041141976674
IND,India,2017,1328.4315129609276,50808.097057900006,7.191754211715141,5.951553934028465,10.835811011768737,2.891409513410439,Figure 3.3,J11,pv_IND_2022_D,D,2022,7.037100021446161,0.15465419026897997
IND,India,2018,943.7873225135758,54640.287352110005,6.849900846815523,6.17063993071869,10.908526753237249,2.956890415537674,Figure 3.3,K11,pv_IND_2022_D,D,2022,6.908735714620475,-0.05883486780495151
IND,India,2019,736.3417292664177,56335.25861689902,6.601694317040669,6.363208897541072,10.939075881284436,2.5071504398904505,Figure 3.3,L11,pv_IND_2022_D,D,2022,6.765230155227286,-0.16353583818661743
IND,India,2020,701.3016128884932,59295.73275520909,6.55293805539548,6.566156825734936,10.9902926221134,2.4948890766393457,Figure 3.3,M11,pv_IND_2022_D,D,2022,6.631478918836743,-0.07854086344126276
IND,India,2021,669.689384633508,62909.1594796882,6.506813999862362,6.751017535589894,11.049447051795886,3.442230801592228,Figure 3.3,N11,pv_IND_2022_D,D,2022,6.521143082898542,-0.014329083036179746
IND,India,2022,679.9035273566287,68369.24353171937,6.521950916571065,6.952593472965691,11.132678346516066,3.62475566987548,Figure 3.3,O11,pv_IND_2022_D,D,2022,6.418050093716635,0.10390082285442936
JPN,Japan,2011,6644.276501864859,40361.90000000001,8.801511086644002,4.252328599622632,10.605666325206338,4.509679808932987,Figure 3.3,D13,pv_JPN_2022_A,A,2022,8.679874351631407,0.12163673501259531
JPN,Japan,2012,4666.397750554368,42659.71000000001,8.448142693387702,4.598290072191402,10.661033635112348,3.523311081544699,Figure 3.3,E13,pv_JPN_2022_A,A,2022,8.517819006824766,-0.06967631343706415
JPN,Japan,2013,3986.820627069335,43732.739,8.290749356920927,4.90117475518874,10.685875142695629,3.015723559908184,Figure 3.3,F13,pv_JPN_2022_A,A,2022,8.33308370099091,-0.04233434406998349
JPN,Japan,2014,3654.82914695912,44962.4651,8.203804626073271,5.151279397977148,10.713605552327314,3.26713839072327,Figure 3.3,G13,pv_JPN_2022_A,A,2022,8.19829851852166,0.005506107551610739
JPN,Japan,2015,2644.6984988513204,45982.21859000001,7.880312348703021,5.39300057712095,10.736031795649817,3.164990795937875,Figure 3.3,H13,pv_JPN_2022_A,A,2022,8.057635064319852,-0.17732271561683088
JPN,Japan,2016,2901.8816159801127,48058.99673100001,7.973114638669967,5.674382328161501,10.780205441271315,2.929240932529897,Figure 3.3,I13,pv_JPN_2022_A,A,2022,7.927589869390722,0.04552476927924509
JPN,Japan,2017,2632.3006248899737,50808.097057900006,7.8756135051058145,5.951553934028465,10.835830693477304,2.891409513410439,Figure 3.3,J13,pv_JPN_2022_A,A,2022,7.823715114028987,0.051898391076827366
JPN,Japan,2018,2502.241154612059,54640.287352110005,7.82494207111918,6.17063993071869,10.908545054584073,2.956890415537674,Figure 3.3,K13,pv_JPN_2022_A,A,2022,7.796907870746971,0.028034200372209384
JPN,Japan,2019,2465.1839596297914,56335.25861689902,7.810021712345271,6.363208897541072,10.939093631999517,2.5071504398904505,Figure 3.3,L13,pv_JPN_2022_A,A,2022,7.706785595189399,0.10323611715587155
JPN,Japan,2020,2156.084945202252,59295.73275520909,7.676049330697208,6.566156825734936,10.990309486591185,2.4948890766393457,Figure 3.3,M13,pv_JPN_2022_A,A,2022,7.650784198010165,0.02526513268704278
JPN,Japan,2021,1923.3335172935465,62909.1594796882,7.561815166480589,6.751017535589894,11.049462947605978,3.442230801592228,Figure 3.3,N13,pv_JPN_2022_A,A,2022,7.629317947204598,-0.06750278072400917
JPN,Japan,2022,2022.7323093139555,68369.24353171937,7.612204504790826,6.952593472965691,11.132692972869016,3.62475566987548,Figure 3.3,O13,pv_JPN_2022_A,A,2022,7.636469804077423,-0.024265299286597042
JPN,Japan,2011,6644.276501864859,40361.90000000001,8.801511086644002,4.252328599622632,10.605666325206338,4.509679808932987,Figure 3.3,D13,pv_JPN_2022_B,B,2022,8.67729255855466,0.12421852808934197
JPN,Japan,2012,4666.397750554368,42659.71000000001,8.448142693387702,4.598290072191402,10.661033635112348,3.523311081544699,Figure 3.3,E13,pv_JPN_2022_B,B,2022,8.519975650390965,-0.07183295700326298
JPN,Japan,2013,3986.820627069335,43732.739,8.290749356920927,4.90117475518874,10.685875142695629,3.015723559908184,Figure 3.3,F13,pv_JPN_2022_B,B,2022,8.335841735837358,-0.04509237891643103
JPN,Japan,2014,3654.82914695912,44962.4651,8.203804626073271,5.151279397977148,10.713605552327314,3.26713839072327,Figure 3.3,G13,pv_JPN_2022_B,B,2022,8.197967819828694,0.005836806244577275
JPN,Japan,2015,2644.6984988513204,45982.21859000001,7.880312348703021,5.39300057712095,10.736031795649817,3.164990795937875,Figure 3.3,H13,pv_JPN_2022_B,B,2022,8.056125064205172,-0.17581271550215138
JPN,Japan,2016,2901.8816159801127,48058.99673100001,7.973114638669967,5.674382328161501,10.780205441271315,2.929240932529897,Figure 3.3,I13,pv_JPN_2022_B,B,2022,7.926488492323362,0.04662614634660578
JPN,Japan,2017,2632.3006248899737,50808.097057900006,7.8756135051058145,5.951553934028465,10.835830693477304,2.891409513410439,Figure 3.3,J13,pv_JPN_2022_B,B,2022,7.822576602011857,0.05303690309395748
JPN,Japan,2018,2502.241154612059,54640.287352110005,7.82494207111918,6.17063993071869,10.908545054584073,2.956890415537674,Figure 3.3,K13,pv_JPN_2022_B,B,2022,7.796889092357095,0.028052978762085345
JPN,Japan,2019,2465.1839596297914,56335.25861689902,7.810021712345271,6.363208897541072,10.939093631999517,2.5071504398904505,Figure 3.3,L13,pv_JPN_2022_B,B,2022,7.708793297914784,0.10122841443048625
JPN,Japan,2020,2156.084945202252,59295.73275520909,7.676049330697208,6.566156825734936,10.990309486591185,2.4948890766393457,Figure 3.3,M13,pv_JPN_2022_B,B,2022,7.653299856222041,0.022749474475166842
JPN,Japan,2021,1923.3335172935465,62909.1594796882,7.561815166480589,6.751017535589894,11.049462947605978,3.442230801592228,Figure 3.3,N13,pv_JPN_2022_B,B,2022,7.627302059277165,-0.06548689279657616
JPN,Japan,2022,2022.7323093139555,68369.24353171937,7.612204504790826,6.952593472965691,11.132692972869016,3.62475566987548,Figure 3.3,O13,pv_JPN_2022_B,B,2022,7.635728812015943,-0.02352430722511656
JPN,Japan,2011,6644.276501864859,40361.90000000001,8.801511086644002,4.252328599622632,10.605641549672672,4.509679808932987,Figure 3.3,D13,pv_JPN_2022_C,C,2022,8.679874333597967,0.12163675304603494
JPN,Japan,2012,4666.397750554368,42659.71000000001,8.448142693387702,4.598290072191402,10.661010194065058,3.523311081544699,Figure 3.3,E13,pv_JPN_2022_C,C,2022,8.517819182893774,-0.06967648950607241
JPN,Japan,2013,3986.820627069335,43732.739,8.290749356920927,4.90117475518874,10.685852276792648,3.015723559908184,Figure 3.3,F13,pv_JPN_2022_C,C,2022,8.333083637350278,-0.04233428042935117
JPN,Japan,2014,3654.82914695912,44962.4651,8.203804626073271,5.151279397977148,10.713583311801187,3.26713839072327,Figure 3.3,G13,pv_JPN_2022_C,C,2022,8.198298493531242,0.005506132542029363
JPN,Japan,2015,2644.6984988513204,45982.21859000001,7.880312348703021,5.39300057712095,10.736010048349293,3.164990795937875,Figure 3.3,H13,pv_JPN_2022_C,C,2022,8.057634908582296,-0.1773225598792747
JPN,Japan,2016,2901.8816159801127,48058.99673100001,7.973114638669967,5.674382328161501,10.780184633729247,2.929240932529897,Figure 3.3,I13,pv_JPN_2022_C,C,2022,7.927589741154367,0.04552489751559996
JPN,Japan,2017,2632.3006248899737,50808.097057900006,7.8756135051058145,5.951553934028465,10.835811011768737,2.891409513410439,Figure 3.3,J13,pv_JPN_2022_C,C,2022,7.8237151072272715,0.051898397878543
JPN,Japan,2018,2502.241154612059,54640.287352110005,7.82494207111918,6.17063993071869,10.908526753237249,2.956890415537674,Figure 3.3,K13,pv_JPN_2022_C,C,2022,7.796908133513475,0.02803393760570483
JPN,Japan,2019,2465.1839596297914,56335.25861689902,7.810021712345271,6.363208897541072,10.939075881284436,2.5071504398904505,Figure 3.3,L13,pv_JPN_2022_C,C,2022,7.706785629135625,0.10323608320964528
JPN,Japan,2020,2156.084945202252,59295.73275520909,7.676049330697208,6.566156825734936,10.9902926221134,2.4948890766393457,Figure 3.3,M13,pv_JPN_2022_C,C,2022,7.650784157175708,0.025265173521500373
JPN,Japan,2021,1923.3335172935465,62909.1594796882,7.561815166480589,6.751017535589894,11.049447051795886,3.442230801592228,Figure 3.3,N13,pv_JPN_2022_C,C,2022,7.62931801494289,-0.06750284846230148
JPN,Japan,2022,2022.7323093139555,68369.24353171937,7.612204504790826,6.952593472965691,11.132678346516066,3.62475566987548,Figure 3.3,O13,pv_JPN_2022_C,C,2022,7.636469701831642,-0.024265197040815423
JPN,Japan,2011,6644.276501864859,40361.90000000001,8.801511086644002,4.252328599622632,10.605641549672672,4.509679808932987,Figure 3.3,D13,pv_JPN_2022_D,D,2022,8.677292439036705,0.12421864760729662
