model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_spec_window,p_BH_all_four_specs_window
pv_IND_2022_A,pv,IND,India,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-5.400133597482068,16.043841304125394,0.7441442777794702,-41.693824123303784,30.89355692833965,,,
pv_IND_2022_A,pv,IND,India,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-1.0730252186103098,0.35977161981465183,0.015386585464807673,-1.8868851653656462,-0.2591652718549733,**,0.1372432688888448,0.05770023860748764
pv_IND_2022_A,pv,IND,India,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.7576945121001515,1.712118275701017,0.3313996289007284,-2.1153861089303136,5.630775133130617,,0.6627992578014568,0.4970994433510926
pv_IND_2022_A,pv,IND,India,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,-0.08260067429729911,0.16957527851215662,0.6378289233724617,-0.46620660522655305,0.3010052566319548,,0.8831477400541777,0.765394708046954
pv_IND_2022_B,pv,IND,India,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,2.377308508019695,8.444509814744695,0.7840502587324039,-16.438231896012205,21.192848912051595,,,
pv_IND_2022_B,pv,IND,India,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.8910758458827863,0.15688512588192596,0.00020389761885951024,-1.2406376901557157,-0.541514001609857,***,0.0012233857131570616,0.003058596280769332
pv_IND_2022_B,pv,IND,India,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,0.9194567432529723,0.858632535319891,0.30940625849448355,-0.9936957682544343,2.8326092547603787,,0.33753410017580027,0.4885361976228688
pv_IND_2022_C,pv,IND,India,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-5.399842196936277,16.043523983150024,0.7441526657671157,-41.69281489284063,30.893130498968077,,,
pv_IND_2022_C,pv,IND,India,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-1.0730275041159096,0.35977308579432127,0.015386730295330036,-1.8868907671476558,-0.25916424108416336,**,0.1372448150164059,0.05770023860748764
pv_IND_2022_C,pv,IND,India,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,1.7576720078724364,1.712092758088692,0.3313986667536493,-2.115350888308529,5.630694904053401,,0.6627973335072986,0.4970994433510926
pv_IND_2022_C,pv,IND,India,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,-0.08260048396582675,0.16957486264011104,0.6378288741847622,-0.46620547412715396,0.30100450619550045,,0.8831476719481323,0.765394708046954
pv_IND_2022_D,pv,IND,India,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,2.3774380256176073,8.444365107917296,0.7840352350100254,-16.43777995151002,21.192656002745235,,,
pv_IND_2022_D,pv,IND,India,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.8910775051384601,0.1568862834516071,0.00020390641871795547,-1.2406419286373698,-0.5415130816395504,***,0.001223438512307733,0.003058596280769332
pv_IND_2022_D,pv,IND,India,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,0.9194473598920183,0.858621393809303,0.30940498765354224,-0.9936803267827776,2.8325750465668142,,0.3375327138038643,0.4885361976228688
pv_JPN_2022_A,pv,JPN,Japan,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,-8.323496287500518,12.549526424866148,0.5258156061914481,-37.26275611809581,20.61576354309477,,,
pv_JPN_2022_A,pv,JPN,Japan,2022,A,ln(1+G),True,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.7560234029098378,0.26913127533029985,0.0228738781481408,-1.3766412367342802,-0.13540556908539547,**,0.1372432688888448,0.06862240750820295
