target,technology,iso3,supplier,P0,P1,S0,S1,T0,T1,price_weight,tariff_weight,gap0,gap1
CHN,pv,JPN,MYS,3062.9400472240845,252.29920450144743,0.03789666810688987,0.00039447118047678057,0.0,0.0,0.019145569643683327,40.519839187458885,0.0,0.0
CHN,pv,JPN,NLD,3062.9400472240845,252.29920450144743,0.0001905069289323719,9.296736544574662e-06,0.0,0.0,9.990183273847329e-05,0.20804230259385018,0.0,0.0
CHN,pv,JPN,NZL,3062.9400472240845,252.29920450144743,0.0,7.22330829840446e-05,0.0,0.0,3.61165414920223e-05,0.04294905022623563,0.0,0.0
CHN,pv,JPN,PHL,3062.9400472240845,252.29920450144743,0.012604729015779907,0.0424319307280646,0.0,0.0,0.027518329871922254,38.62879438694112,0.0,0.0
CHN,pv,JPN,POL,3062.9400472240845,252.29920450144743,8.837195476897334e-05,3.815724104232517e-06,0.0,0.0,4.6093839436602925e-05,0.09621081916589654,0.0,0.0
CHN,pv,JPN,PRT,3062.9400472240845,252.29920450144743,5.0601977192210105e-06,0.0,0.0,0.0,2.5300988596105053e-06,0.0053791413902212525,0.0,0.0
CHN,pv,JPN,RUS,3062.9400472240845,252.29920450144743,0.00027951909586035036,0.0,0.0,0.0,0.00013975954793017518,0.2971371518129334,0.0,0.0
CHN,pv,JPN,S19,3062.9400472240845,252.29920450144743,0.09081881480020734,0.007287253437713611,0.0,0.0,0.04905303411896048,100.87604023218951,0.0,0.0
CHN,pv,JPN,SGP,3062.9400472240845,252.29920450144743,0.0006133961770001999,0.00019462695957622977,0.0,0.0,0.0004040115682882148,0.7677816601840405,0.0,0.0
CHN,pv,JPN,SVK,3062.9400472240845,252.29920450144743,1.0281854441421503e-05,0.0,0.0,0.0,5.1409272207107515e-06,0.010929918525514636,0.0,0.0
CHN,pv,JPN,SWE,3062.9400472240845,252.29920450144743,4.648604251850393e-05,0.0,0.0,0.0,2.3243021259251965e-05,0.04941605234693558,0.0,0.0
CHN,pv,JPN,THA,3062.9400472240845,252.29920450144743,0.019062718323496174,2.2468878281520413e-05,0.0,0.0,0.009542593600888848,20.277598996661407,0.0,0.0
CHN,pv,JPN,TUR,3062.9400472240845,252.29920450144743,8.433965223051834e-07,0.0,0.0,0.0,4.216982611525916e-07,0.0008965557065621698,0.0,0.0
CHN,pv,JPN,USA,2604.4682351451097,239.70191312785576,0.024800246708428078,0.0012646038151478529,0.0,0.0,0.013032425261787967,23.171242084675725,18.85878757872709,89.12469081100625
CHN,pv,JPN,VNM,3062.9400472240845,252.29920450144743,0.00017784001661210627,0.00011716121344292392,0.0,0.0,0.0001475006150275151,0.2587121078360068,0.0,0.0
CHN,pv,KOR,ARE,3062.9400472240845,252.29920450144743,3.1080952980804667e-07,0.0,0.0,0.0,1.5540476490402333e-07,0.00033039981815632453,0.0,0.0
CHN,pv,KOR,AUS,3062.9400472240845,252.29920450144743,0.001086548566736539,0.0,0.0,0.0,0.0005432742833682696,1.1550335959437283,0.0,0.0
CHN,pv,KOR,AUT,3062.9400472240845,252.29920450144743,0.00021407164610590083,0.0,0.0,0.0,0.00010703582305295041,0.22756455694745417,0.0,0.0
CHN,pv,KOR,BEL,3062.9400472240845,252.29920450144743,8.690169532382371e-06,5.114097497830437e-07,0.0,0.0,4.600789641082707e-06,0.009541988894174057,0.0,0.0
CHN,pv,KOR,BGD,3062.9400472240845,252.29920450144743,6.280559817843373e-05,0.0,0.0,0.0,3.140279908921686e-05,0.06676422769330563,0.0,0.0
CHN,pv,KOR,BGR,3062.9400472240845,252.29920450144743,2.7516787302170352e-06,1.6229863133610642e-05,0.0,0.0,9.49077093191384e-06,0.012575226863814454,0.0,0.0
CHN,pv,KOR,BLR,3062.9400472240845,252.29920450144743,2.0515051993596395e-07,0.0,0.0,0.0,1.0257525996798198e-07,0.000218081133237386,0.0,0.0
