technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed
pv,BRA,2013,5117.282639309783,1076.9540102485794,3655.0409002931688,4040.3286290612036,-0.8431480181598846,4731.994910541748,15550.85,reported,5117.282639309783
pv,BRA,2014,6068.722799156141,1009.5977421492223,2960.126634866061,5059.125057006919,-0.8431480181598846,3969.7243770152836,15550.85,reported,6068.722799156141
pv,BRA,2015,2497.658976411624,821.9244308268568,2414.3384512008897,1675.7345455847671,-0.8431480181598846,3236.2628820277464,15550.85,reported,2497.658976411624
pv,BRA,2016,2460.5928028234507,568.3766487495783,1904.4225715651276,1892.2161540738725,-0.8431480181598846,2472.799220314706,15550.85,reported,2460.5928028234507
pv,BRA,2017,1975.0868857598143,482.78243735120384,1507.5444881806472,1492.3044484086104,-0.8431480181598846,1990.326925531851,15550.85,reported,1975.0868857598143
pv,BRA,2018,1809.6190475909184,434.6277856666832,1253.2751396165838,1374.9912619242352,-0.8431480181598846,1687.902925283267,15550.85,reported,1809.6190475909184
pv,BRA,2019,1495.162848478625,339.1556423527974,1065.4487732773468,1156.0072061258275,-0.8431480181598846,1404.604415630144,15550.85,reported,1495.162848478625
pv,BRA,2020,1298.4074341474254,304.6098542145941,897.8798206178218,993.7975799328312,-0.8431480181598846,1202.4896748324159,15550.85,reported,1298.4074341474254
pv,BRA,2021,915.5422974243716,376.4771235260486,768.2930901527423,539.0651738983229,-0.8431480181598846,1144.770213678791,15550.85,reported,915.5422974243716
pv,BRA,2022,779.5200740754375,359.85205446189406,648.2088449663519,419.66801961354344,-0.8431480181598846,1008.0608994282459,15550.85,reported,779.5200740754375
pv,BRA,2023,744.352528682658,228.57890185696598,504.2974670278212,515.773626825692,-0.8431480181598846,732.8763688847872,15550.85,reported,744.352528682658
pv,BRA,2024,724.4366073748986,131.8617369588426,398.2022818459343,592.574870416056,-0.8431480181598846,530.0640188047769,15550.85,reported,724.4366073748986
pv,CHN,2010,4291.432902265811,2270.6250354815543,2797.886122193744,2020.807866784257,-0.5260812937466695,5068.511157675299,276760.0,reported,4291.432902265811
pv,CHN,2011,4031.162378781085,1732.0867985017794,2072.8255542525635,2299.0755802793055,-0.5260812937466695,3804.912352754343,276760.0,reported,4031.162378781085
pv,CHN,2012,3275.3966683631643,1009.547984993162,1727.9034923500594,2265.848683370002,-0.5260812937466695,2737.4514773432215,276760.0,reported,3275.3966683631643
pv,CHN,2013,2520.8503416008384,717.5643894655738,1473.3914518499791,1803.2859521352648,-0.5260812937466695,2190.955841315553,276760.0,reported,2520.8503416008384
pv,CHN,2014,2100.065022292831,693.0711175800188,1291.7417216724655,1406.9939047128123,-0.5260812937466695,1984.8128392524843,276760.0,reported,2100.065022292831
pv,CHN,2015,1622.5553814943787,590.1313696901666,1137.492739425966,1032.4240118042121,-0.5260812937466695,1727.6241091161326,276760.0,reported,1622.5553814943787
pv,CHN,2016,1468.7692152533812,468.76741419462576,980.9800198753308,1000.0018010587554,-0.5260812937466695,1449.7474340699564,276760.0,reported,1468.7692152533812
pv,CHN,2017,1377.8666056804332,401.40400633342114,847.8784559352094,976.462599347012,-0.5260812937466695,1249.2824622686305,276760.0,reported,1377.8666056804332
pv,CHN,2018,1047.2659983319315,367.78615155784,755.5759081129419,679.4798467740916,-0.5260812937466695,1123.362059670782,276760.0,reported,1047.2659983319315
pv,CHN,2019,946.188254693266,282.48497461032827,682.7804234158286,663.7032800829377,-0.5260812937466695,965.2653980261568,276760.0,reported,946.188254693266
pv,CHN,2020,765.8158251007976,253.59096118664755,613.6386339579409,512.2248639141501,-0.5260812937466695,867.2295951445884,276760.0,reported,765.8158251007976
pv,CHN,2021,713.51431624731,327.2604837903864,556.7712366893907,386.25383245692365,-0.5260812937466695,884.031720479777,276760.0,reported,713.51431624731
pv,CHN,2022,759.3280240727838,315.87717213559927,500.75107409611303,443.45085193718455,-0.5260812937466695,816.6282462317123,276760.0,reported,759.3280240727838
pv,CHN,2023,687.158676448271,195.68035971721693,428.14796416612097,491.47831673105406,-0.5260812937466695,623.8283238833379,276760.0,reported,687.158676448271
pv,CHN,2024,590.5861539927796,109.4301787373887,369.47691176254773,481.1559752553909,-0.5260812937466695,478.90709049993643,276760.0,reported,590.5861539927796
pv,DEU,2010,4412.429498946073,2627.8484134454716,1682.3518379719396,1784.5810855006016,-0.384829060580243,4310.200251417411,15685.0,reported,4412.429498946073
pv,DEU,2011,3509.4585583491103,2010.878264542425,1350.909215976013,1498.5802938066852,-0.384829060580243,3361.7874805184383,15685.0,reported,3509.4585583491103
pv,DEU,2012,2788.468001908775,1256.0313677696051,1182.512994802188,1532.4366341391699,-0.384829060580243,2438.544362571793,15685.0,reported,2788.468001908775
pv,DEU,2013,2385.8489941203084,1013.1821674464204,1052.4102424059756,1372.666826673888,-0.384829060580243,2065.592409852396,15685.0,reported,2385.8489941203084
pv,DEU,2014,1905.6109817322056,1083.4459548018426,955.8402024343387,822.165026930363,-0.384829060580243,2039.2861572361812,15685.0,reported,1905.6109817322056
pv,DEU,2015,1524.0657237487353,953.8836222345835,870.9367987615078,570.1821015141518,-0.384829060580243,1824.8204209960913,15685.0,reported,1524.0657237487353
pv,DEU,2016,1383.628851008505,804.9002929966445,781.555009957474,578.7285580118606,-0.384829060580243,1586.4553029541185,15685.0,reported,1383.628851008505
pv,DEU,2017,1326.5973101999584,711.6537367109757,702.4834546982947,614.9435734889827,-0.384829060580243,1414.1371914092706,15685.0,reported,1326.5973101999584
pv,DEU,2018,1325.5787006452413,616.0057544065216,645.6846266953398,709.5729462387196,-0.384829060580243,1261.6903811018615,15685.0,reported,1325.5787006452413
pv,DEU,2019,1070.350382721752,423.1180966761038,599.5653979502181,647.2322860456484,-0.384829060580243,1022.6834946263218,15685.0,reported,1070.350382721752
pv,DEU,2020,823.3332704010522,365.01031141811427,554.5210651142627,458.32295898293796,-0.384829060580243,919.531376532377,15685.0,reported,823.3332704010522
pv,DEU,2021,787.7903462895194,428.9600048879928,516.4430505354707,358.83034140152665,-0.384829060580243,945.4030554234635,15685.0,reported,787.7903462895194
pv,DEU,2022,1057.341173676759,374.06262760044456,477.8958126311356,683.2785460763143,-0.384829060580243,851.9584402315802,15685.0,reported,1057.341173676759
pv,DEU,2023,748.2274007844397,239.97871734341157,426.15801592538486,508.24868344102816,-0.384829060580243,666.1367332687964,15685.0,reported,748.2274007844397
pv,DEU,2024,592.9665484018221,139.32381848965485,382.60423905278026,453.6427299121673,-0.384829060580243,521.9280575424351,15685.0,reported,592.9665484018221
pv,ESP,2010,5563.901030792681,2790.4267182966028,2402.431447182071,2773.4743124960783,-0.4691205152601589,5192.858165478674,6243.260000000002,reported,5563.901030792681
pv,ESP,2011,3886.646798518194,2101.0534194644747,1838.6041960866414,1785.5933790537192,-0.4691205152601589,3939.657615551116,6243.260000000002,reported,3886.646798518194
pv,ESP,2012,3201.469600696212,1325.3592285047707,1563.1594637564535,1876.1103721914415,-0.4691205152601589,2888.5186922612243,6243.260000000002,reported,3201.469600696212
pv,ESP,2013,2750.859347123692,1081.6661395939698,1356.1091112973038,1669.193207529722,-0.4691205152601589,2437.7752508912736,6243.260000000002,reported,2750.859347123692
pv,ESP,2014,2758.289754469833,1106.9768064771733,1205.9774897867146,1651.3129479926597,-0.4691205152601589,2312.954296263888,6243.260000000002,reported,2758.289754469833
pv,ESP,2015,1422.8034809078426,956.8978133331395,1076.6927441397936,465.9056675747031,-0.4691205152601589,2033.5905574729331,6243.260000000002,reported,1422.8034809078426
pv,ESP,2016,,824.514923717199,943.5481489553343,943.5481489553343,-0.4691205152601589,1768.0630726725335,6243.260000000002,interpolate_country,1295.26106453016
pv,ESP,2017,,710.9297858394584,828.5030425551782,828.5030425551782,-0.4691205152601589,1539.4328283946365,6243.260000000002,interpolate_country,1167.7186481524775
pv,ESP,2018,,569.7935585156736,747.5810844572234,747.5810844572234,-0.4691205152601589,1317.374642972897,6243.260000000002,interpolate_country,1040.1762317747948
pv,ESP,2019,912.6338153971122,381.7011014197696,683.0067351389529,530.9327139773427,-0.4691205152601589,1064.7078365587224,6243.260000000002,reported,912.6338153971122
pv,ESP,2020,897.0841215721103,328.85772496097593,620.9792602222468,568.2263966111344,-0.4691205152601589,949.8369851832227,6243.260000000002,reported,897.0841215721103
pv,ESP,2021,926.730225640223,396.9248562650093,569.3957623619684,529.8053693752138,-0.4691205152601589,966.3206186269776,6243.260000000002,reported,926.730225640223
pv,ESP,2022,826.2275993024847,357.1843491678415,518.0192091762711,469.0432501346432,-0.4691205152601589,875.2035583441127,6243.260000000002,reported,826.2275993024847
pv,ESP,2023,686.7911105133509,239.67897687838894,450.48828708988015,447.11213363496194,-0.4691205152601589,690.167263968269,6243.260000000002,reported,686.7911105133509
pv,ESP,2024,822.1244412681233,145.39462230540977,395.0091498366218,676.7298189627136,-0.4691205152601589,540.4037721420316,6243.260000000002,reported,822.1244412681233
pv,FRA,2010,6514.65732422562,2808.81709208976,4039.9891356469534,3705.84023213586,-0.5680182225907597,6848.8062277367135,5333.52,reported,6514.65732422562
pv,FRA,2011,6650.285260692152,2105.9241984278633,2922.3253953946114,4544.361062264289,-0.5680182225907597,5028.249593822475,5333.52,reported,6650.285260692152
pv,FRA,2012,5890.383037251002,1406.740395318378,2400.95661350695,4483.6426419326235,-0.5680182225907597,3807.697008825328,5333.52,reported,5890.383037251002
pv,FRA,2013,3864.823013780442,1117.4038156215279,2021.4664787841987,2747.4191981589142,-0.5680182225907597,3138.870294405727,5333.52,reported,3864.823013780442
pv,FRA,2014,2821.354842892848,1106.031154107372,1753.7550517203401,1715.323688785476,-0.5680182225907597,2859.7862058277124,5333.52,reported,2821.354842892848
pv,FRA,2015,1857.0719154645603,896.5633469186281,1528.7603808533122,960.5085685459322,-0.5680182225907597,2425.3237277719404,5333.52,reported,1857.0719154645603
pv,FRA,2016,1571.8381732973864,817.2601261667812,1302.9451945974115,754.5780471306052,-0.5680182225907597,2120.205320764193,5333.52,reported,1571.8381732973864
pv,FRA,2017,1476.3695280040931,723.5106941876463,1113.1442999079898,752.8588338164468,-0.5680182225907597,1836.654994095636,5333.52,reported,1476.3695280040931
pv,FRA,2018,1278.8838736497266,642.4103320988797,982.8919091717436,636.4735415508469,-0.5680182225907597,1625.3022412706232,5333.52,reported,1278.8838736497266
pv,FRA,2019,1165.927553649501,491.50102736712597,881.0518446342522,674.4265262823751,-0.5680182225907597,1372.552872001378,5333.52,reported,1165.927553649501
pv,FRA,2020,1112.9280483932464,407.7778421588375,785.1213958636927,705.1502062344089,-0.5680182225907597,1192.8992380225302,5333.52,reported,1112.9280483932464
pv,FRA,2021,918.0257559627578,455.16658393205415,706.8610404377391,462.85917203070363,-0.5680182225907597,1162.0276243697933,5333.52,reported,918.0257559627578
pv,FRA,2022,1228.3628006623424,381.9439113909419,630.3878675587093,846.4188892714005,-0.5680182225907597,1012.3317789496512,5333.52,reported,1228.3628006623424
pv,FRA,2023,977.5888351031304,242.49264853920923,532.3005820349636,735.0961865639212,-0.5680182225907597,774.7932305741728,5333.52,reported,977.5888351031304
pv,FRA,2024,1103.958016240936,140.17118712993985,453.99182716551,963.7868291109962,-0.5680182225907597,594.1630142954499,5333.52,reported,1103.958016240936
pv,IND,2010,6015.812576430637,2805.9289271757975,3215.1952868175176,3209.8836492548394,-0.7017656828234162,6021.124213993315,24174.719999999987,reported,6015.812576430637
pv,IND,2011,3706.132789258691,2151.0087263441974,2154.9511612990696,1555.1240629144936,-0.7017656828234162,4305.9598876432665,24174.719999999987,reported,3706.132789258691
pv,IND,2012,3251.3910782402595,1372.5155216779826,1690.4320908262664,1878.8755565622769,-0.7017656828234162,3062.9476125042493,24174.719999999987,reported,3251.3910782402595
pv,IND,2013,3346.7804933594625,898.9503190592804,1366.7423955983654,2447.830174300182,-0.7017656828234162,2265.692714657646,24174.719999999987,reported,3346.7804933594625
pv,IND,2014,2271.335541607726,873.4753967382785,1146.730946908842,1397.8601448694476,-0.7017656828234162,2020.2063436471205,24174.719999999987,reported,2271.335541607726
pv,IND,2015,1547.763572844863,716.7522671039153,967.8130032399883,831.0113057409476,-0.7017656828234162,1684.5652703439036,24174.719999999987,reported,1547.763572844863
pv,IND,2016,1332.2464239123133,562.2462710458713,794.3902454317467,770.000152866442,-0.7017656828234162,1356.636516477618,24174.719999999987,reported,1332.2464239123133
pv,IND,2017,1328.4315129609276,476.4738536992924,653.9725069302505,851.9576592616352,-0.7017656828234162,1130.4463606295428,24174.719999999987,reported,1328.4315129609276
pv,IND,2018,943.7873225135758,482.37874974380975,560.7741715240533,461.408572769766,-0.7017656828234162,1043.152921267863,24174.719999999987,reported,943.7873225135758
pv,IND,2019,736.3417292664177,421.8675791955431,489.889563790573,314.4741500708746,-0.7017656828234162,911.7571429861162,24174.719999999987,reported,736.3417292664177
pv,IND,2020,701.3016128884932,345.58693555550485,424.8593165644817,355.71467733298834,-0.7017656828234162,770.4462521199865,24174.719999999987,reported,701.3016128884932
pv,IND,2021,669.689384633508,399.94364399683883,373.16817598995164,269.74574063666915,-0.7017656828234162,773.1118199867905,24174.719999999987,reported,669.689384633508
pv,IND,2022,679.9035273566287,434.89590623013305,323.94382355338945,245.00762112649568,-0.7017656828234162,758.8397297835224,24174.719999999987,reported,679.9035273566287
pv,IND,2023,728.321084784776,357.0288901868288,262.85957681794315,371.2921945979472,-0.7017656828234162,619.8884670047719,24174.719999999987,reported,728.321084784776
pv,IND,2024,525.1674202758713,191.57837800557286,215.94456851054264,333.5890422702985,-0.7017656828234162,407.5229465161155,24174.719999999987,reported,525.1674202758713
pv,ITA,2010,6078.874297702453,2717.835002031279,2929.3311145239554,3361.039295671174,-0.5895247210083466,5647.166116555234,6085.75,reported,6078.874297702453
pv,ITA,2011,5733.075804344135,2045.1935420745149,2093.107047821177,3687.88226226962,-0.5895247210083466,4138.300589895692,6085.75,reported,5733.075804344135
pv,ITA,2012,3045.068997250228,1374.6295010785539,1706.9305322940193,1670.4394961716744,-0.5895247210083466,3081.5600333725733,6085.75,reported,3045.068997250228
