target,technology,iso3,capacity_weight,equipment_gap,other_gap,total_gap,Q_ratio
USA,wind,POL,808.4300000000003,1.967186951087871,0.0,1.967186951087871,0.887355875387474
DEU,wind,POL,808.4300000000003,0.5901306413951091,0.0,0.5901306413951091,0.9639408491534006
JOINT,wind,POL,808.4300000000003,18.528324927263874,0.0,18.528324927263874,0.4111372918738021
CHN,wind,SWE,595.0,68.08194910424743,0.0,68.08194910424743,0.5598405673329274
USA,wind,SWE,595.0,12.17208973345738,0.0,12.17208973345738,0.887355875387474
DEU,wind,SWE,595.0,3.6495974108431346,0.0,3.6495974108431346,0.9639408491534006
JOINT,wind,SWE,595.0,115.2547782836353,0.0,115.2547782836353,0.4111372918738021
CHN,wind,TUR,1064.7200000000012,177.1573476474538,0.0,177.1573476474538,0.5598405673329274
USA,wind,TUR,1064.7200000000012,31.864101672948234,0.0,31.864101672948234,0.887355875387474
DEU,wind,TUR,1064.7200000000012,9.5624343889588,0.0,9.5624343889588,0.9639408491534006
JOINT,wind,TUR,1064.7200000000012,298.385980758271,0.0,298.385980758271,0.4111372918738021
